index,datetime,player,channel,message
0,20/10/2025 15:05,Bez,online-boutique-6382,What a day! Our Grand Summer Sale kicked off this morning at 10 and the response has been insane. Can't believe we're already 5 hours in
1,20/10/2025 15:05,Bob,online-boutique-6382,Totally! Just checked the dashboard we've already crossed $160k+ in revenue :money_mouth_face: . The sale energy is next level!
2,20/10/2025 15:05,Tinus,online-boutique-6382,That's fantastic but hey this is just the beginning. Three days to go... I'm keeping my fingers crossed :crossed_fingers:
3,20/10/2025 15:05,Bez,online-boutique-6382,Seeing so many people shopping on a holiday it feels satisfying. Exactly the momentum we were hoping for
5,20/10/2025 15:09,player2,online-boutique-6382,Clicked Start button
7,20/10/2025 15:09,Shay,online-boutique-6382,Not this time! I just got a few alerts mentioning severe errors popping up in PROD
8,20/10/2025 15:09,Bob,online-boutique-6382,Weird... a few users just complained they are unable to complete their orders. Feels... off..
9,20/10/2025 15:09,player2,online-boutique-6382,Hi guys investigating now
10,20/10/2025 15:09,player2,online-boutique-6382,Bob whats the scope of the problem? whats the impact?
11,20/10/2025 15:09,player2,online-boutique-6382,Shay what type of errors?
12,20/10/2025 15:09,Bob,online-boutique-6382,Sure let me look at my reports
13,20/10/2025 15:10,Shay,online-boutique-6382,Looking into logs now
14,20/10/2025 15:10,Bez,business-comms-6382,Customers have gone outrageous. #OBFail and #OBStealsSale are trending with frustrated posts. We're getting hammered online! Where are we @player2?
15,20/10/2025 15:10,Bob,online-boutique-6382,Here are some of the complaints we've received in the last few minutes. It's coming all across the globe
16,20/10/2025 15:10,player2,online-boutique-6382,I see frontend and currency services high
17,20/10/2025 15:10,Bob,online-boutique-6382,"Germany - ""I added items to my cart clicked checkout and it just kept spinning. Then it dumped me back to an empty cart"
18,20/10/2025 15:10,player2,online-boutique-6382,investigating more
19,20/10/2025 15:10,Bob,online-boutique-6382,"USA - ""Order failed twice and now the cart is empty. I refreshed but now the site is laggy"
20,20/10/2025 15:10,Shay,online-boutique-6382,Found these below error logs
21,20/10/2025 15:10,Bob,online-boutique-6382,"Japan - ""Got to checkout then error 502. Tried again - cart gone"
22,20/10/2025 15:10,Shay,online-boutique-6382,```\napp[checkout-service] [ERROR] - write() failed Read-only filesystem\napp[checkout-service] Order submission failed for session_id=ae43f9 due to I/O error\napp[checkout-service] [ERROR] - Transaction commit failed Read-only file system\n[ERROR] nginx[3245] - 502 Bad Gateway while accessing upstream checkout service\n[ERROR] nginx
23,20/10/2025 15:10,Bob,online-boutique-6382,To sum it all we have got 240+ reports globally
24,20/10/2025 15:10,Shay,online-boutique-6382,The server is too slow and give up while responding back. I'm not sure why read-only errors are there
25,20/10/2025 15:10,Bob,online-boutique-6382,Metrics
26,20/10/2025 15:10,player2,business-comms-6382,Hi bez investigating now  with the team
27,20/10/2025 15:10,player2,business-comms-6382,gonna keep this channel updated
28,20/10/2025 15:10,Daniel,online-boutique-6382,Looking at the above logs app looks fine. But system can't write new data. Errors suggests to be an infra component failure
29,20/10/2025 15:10,Daniel,online-boutique-6382,Also checkout servers show CPU and memory limits exceeded alerts this definitely looks bigger than just an app issue
30,20/10/2025 15:10,Daniel,online-boutique-6382,```app[checkout-service]: systemd[1]
31,20/10/2025 15:10,Shay,online-boutique-6382,Could this be due to load or any changes ?
32,20/10/2025 15:11,player2,online-boutique-6382,Bob confirm its just a germany  and japan outage? graph seems widespread to everyone
33,20/10/2025 15:11,player2,online-boutique-6382,uk and  usa high
34,20/10/2025 15:11,Bob,online-boutique-6382,seems to be global
35,20/10/2025 15:11,player2,online-boutique-6382,ok declaring incident
36,20/10/2025 15:11,Bob,online-boutique-6382,uk and usa are or largest markets
37,20/10/2025 15:11,player2,online-boutique-6382,global order outage sev1
39,20/10/2025 15:11,player2,business-comms-6382,*Incident Number INC100089:* global order outage sev1
41,20/10/2025 15:11,Bez,business-comms-6382,I'm seeing some posts on social media about issues with our platform is this a regional issue or hitting customers globally?
42,20/10/2025 15:11,Bob,online-boutique-6382,thats why there are more reports there
43,20/10/2025 15:12,player2,online-boutique-6382,Daniel Shay need info on any prod changes you guys  have done asap
44,20/10/2025 15:12,player2,business-comms-6382,this is hitting us globally
45,20/10/2025 15:12,Daniel,online-boutique-6382,frontend and currency service arent looking good
46,20/10/2025 15:12,Shay,online-boutique-6382,here are the changes made today
47,20/10/2025 15:12,Shay,online-boutique-6382,<https://uptime-labs.atlassian.net/wiki/external/YzYwYTAxNWQzOTI0NDYzOWI1MjkxNTI2YmVmMjUyZDE>
48,20/10/2025 15:12,player2,business-comms-6382,investgating with the team now working fast on this one.
49,20/10/2025 15:13,player2,online-boutique-6382,ok I need the  nature of the changes done if possible im  not seeing  any
50,20/10/2025 15:13,player2,online-boutique-6382,Shay can you post the changes done here in text form?
51,20/10/2025 15:14,player2,online-boutique-6382,Tanya I need info on any service changes or infrastructure changes done recently that could affect this
52,20/10/2025 15:14,Shay,online-boutique-6382,that list is all i got atm we can look into them if needed
53,20/10/2025 15:14,player2,online-boutique-6382,Daniel what has changed??
54,20/10/2025 15:14,Tanya,online-boutique-6382,Checking infra...
55,20/10/2025 15:14,Shay,online-boutique-6382,Ok reviewing the change
56,20/10/2025 15:14,Tanya,online-boutique-6382,All four checkout servers are maxed out - CPU memory and disk I/O all spiking. No changes or deployments were done from platform side
57,20/10/2025 15:14,Tanya,online-boutique-6382,ServerMetrics
58,20/10/2025 15:14,Tanya,online-boutique-6382,It doesn't looks like a load issue either. CPU and Memory spike is not matching with incoming traffic
59,20/10/2025 15:14,player2,business-comms-6382,checking now
60,20/10/2025 15:14,Tanya,online-boutique-6382,I'm seeing a running process called init_locker.sh eating up most of the CPU on the checkout server. That's not something we usually run. Something's suspicious here
61,20/10/2025 15:14,Tanya,online-boutique-6382,ProcessRunning
62,20/10/2025 15:15,Daniel,online-boutique-6382,I don't think this is due to any changes because nothing matches the issue start time and no PROD deployments have happened in a while around checkout service
63,20/10/2025 15:15,Tanya,online-boutique-6382,Same from the platform side. Strangely both apps and infrastructure are struggling without any changes
64,20/10/2025 15:15,Shay,online-boutique-6382,You're right that makes sense. On top of that only checkout is having issues and it hasn't been touched in a while
65,20/10/2025 15:15,player2,online-boutique-6382,ok im escalating this to Hamed if this is a server issue.. and Maya im concerned about this file init_locker.sh can you  please provide assistance?
66,20/10/2025 15:15,Maya,online-boutique-6382,Let me check if there's anything suspicious
67,20/10/2025 15:15,Hamed,online-boutique-6382,how can i help
68,20/10/2025 15:15,Bez,business-comms-6382,"Got an email claiming responsibility by ""BlackCrow Group"" and demanding payment of $5M in crypto. Honestly I get these hoax emails all the time so I'm not buying it"
69,20/10/2025 15:15,Maya,online-boutique-6382,Weird!! Security agent known as EDR(Endpoint Detection and Response) is missing from all 4 checkout servers. That's? concerning
70,20/10/2025 15:15,Maya,online-boutique-6382,```EDR is basically our endpoint defense tool it tracks unusual activity at the servers```
71,20/10/2025 15:15,Maya,online-boutique-6382,AlsoI found an init_locker.sh script encrypting DB app and log files which is renaming the filename like below
72,20/10/2025 15:16,Maya,online-boutique-6382,```\norder_log_2025-06-01.locked\nsession_state.tmp.locked```
73,20/10/2025 15:16,Daniel,online-boutique-6382,this explains why there were errors in checkout logs saying write failed  read-only filesystem
74,20/10/2025 15:16,Tanya,online-boutique-6382,Wait... there's a file here named HELP_ME_DECRYPT.txt. I opened it appears a ransom note. This doesn't look good
75,20/10/2025 15:16,Tanya,online-boutique-6382,help_me_decrypt
76,20/10/2025 15:16,Maya,online-boutique-6382,Confirmed. This is a ransomware breach. @player2 inform business about this
77,20/10/2025 15:16,player2,online-boutique-6382,HI Hamed have all four  checkout servers maxed out - looking like malware is at play here
78,20/10/2025 15:16,Tanya,online-boutique-6382,Shall i try killing this script ?
79,20/10/2025 15:16,Bob,online-boutique-6382,Guys!!! User complaints are sky rocketing its turning catastrophic!
80,20/10/2025 15:16,player2,business-comms-6382,ok  so we have a ransomware breach I have the whole team on now.
81,20/10/2025 15:16,player2,business-comms-6382,will update asap.
82,20/10/2025 15:16,player2,online-boutique-6382,wait not yet Tanya
83,20/10/2025 15:17,Tanya,online-boutique-6382,ok holding off
84,20/10/2025 15:17,Bez,business-comms-6382,Wait! you're telling me this is an actual ransomware hit?
85,20/10/2025 15:17,player2,online-boutique-6382,Maya can you get more info or wisdom on this and how to proceed as security expert
86,20/10/2025 15:17,Maya,online-boutique-6382,Killing the script could make things worse higher ransom or losing data forever
87,20/10/2025 15:17,Bez,business-comms-6382,Alright tell everyone no one says a single thing outside online-boutique! I don't care who's asking not a word until we know exactly what's going on!
88,20/10/2025 15:17,player2,online-boutique-6382,whilst I collect our thoughts
89,20/10/2025 15:17,player2,online-boutique-6382,dont kill the script
90,20/10/2025 15:17,Bez,business-comms-6382,This is nightmare! @player2 where are we right now?
91,20/10/2025 15:17,Maya,online-boutique-6382,@player2 before we do anything I'd request everyone to please change their passwords
92,20/10/2025 15:17,Maya,online-boutique-6382,Also I'm removing everyone's access to servers - only I'll have control for now. Later we will reassess to do any activity further
93,20/10/2025 15:17,Daniel,online-boutique-6382,Done on my end
94,20/10/2025 15:17,player2,online-boutique-6382,prioritise how to fix this over how this happened
95,20/10/2025 15:17,Hamed,online-boutique-6382,Updated. @Maya smart move by limiting server's access
96,20/10/2025 15:17,Shay,online-boutique-6382,Password updated
97,20/10/2025 15:17,Bob,online-boutique-6382,Changed mine too. Better safe than sorry
98,20/10/2025 15:17,player2,online-boutique-6382,ok everyone change passwords and confirm
99,20/10/2025 15:17,Tanya,online-boutique-6382,All set
100,20/10/2025 15:17,Tanya,online-boutique-6382,It's much worse now. Every file I check is encrypted nothing can be opened or recovered.
101,20/10/2025 15:17,Shay,online-boutique-6382,I'm seeing new errors on frontend now. How's it for you @player2 ?
102,20/10/2025 15:18,player2,business-comms-6382,everyone is ordered to change their passwords. change yours too please and let me know when its done.
103,20/10/2025 15:18,Maya,online-boutique-6382,Attention! when it comes to potential security breaches it's important we don't discuss sensitive details here
104,20/10/2025 15:18,player2,business-comms-6382,we are working on the solution hang in there.
105,20/10/2025 15:18,Maya,online-boutique-6382,I'm setting up private channel...
106,20/10/2025 15:18,Bez,business-comms-6382,on it
107,20/10/2025 15:18,Maya,online-boutique-6382,@player2 before we move to private channel can you check with business what's the plan - are we paying the ransom or moving with response?
108,20/10/2025 15:18,Tinus,business-comms-6382,working on that now
109,20/10/2025 15:18,player2,online-boutique-6382,describe the frontend errors Shay
110,20/10/2025 15:19,Shay,online-boutique-6382,i think its from the ransomware its causing more errors
111,20/10/2025 15:19,player2,business-comms-6382,security team is asking to check with business on the plan - pay ransom or move with response?
112,20/10/2025 15:19,Shay,online-boutique-6382,i can see a new issue on the platform when you try and purchase any items
113,20/10/2025 15:19,player2,business-comms-6382,move with response is advisable guys
114,20/10/2025 15:19,player2,online-boutique-6382,yes please Maya private channel -  asking business now
115,20/10/2025 15:19,Shay,online-boutique-6382,it no longer says your basket is empty there is a error you should take a look for yourself
116,20/10/2025 15:19,player2,online-boutique-6382,unable to reproduce frontend errors Shay
117,20/10/2025 15:20,Bez,business-comms-6382,Not in favor of paying. Ethically it sets the wrong example and there's no real guarantee we'll get anything back
118,20/10/2025 15:20,Tinus,business-comms-6382,Agree. Also just to be clear - we don't need to alert the ICO(Information Commissioner's Office) right this second. We've got up to 72 hours but that depends on how serious this really is
119,20/10/2025 15:20,Maya,private-comms-6382,@player2 let's build the core response team here. I've already added myself. Who else should we pull in to keep it tight and efficient?
120,20/10/2025 15:20,Shay,online-boutique-6382,thats odd
121,20/10/2025 15:20,Maya,private-comms-6382,I'd say one senior person each from security platform and engineering. Also add Tanya tasks could be platform intensive
122,20/10/2025 15:20,Bez,business-comms-6382,@Tinus do you think this is something we should loop in any cyber security agency for?
123,20/10/2025 15:20,Tinus,business-comms-6382,If it looks like a complete lock-out I'd say yes
