index,datetime,player,channel,message
0,21/10/2025 12:08,Bez,online-boutique-6392,What a day! Our Grand Summer Sale kicked off this morning at 10 and the response has been insane. Can't believe we're already 5 hours in
1,21/10/2025 12:08,Bob,online-boutique-6392,Totally! Just checked the dashboard we've already crossed $160k+ in revenue :money_mouth_face: . The sale energy is next level!
2,21/10/2025 12:08,Tinus,online-boutique-6392,That's fantastic but hey this is just the beginning. Three days to go... I'm keeping my fingers crossed :crossed_fingers:
3,21/10/2025 12:08,Bez,online-boutique-6392,Seeing so many people shopping on a holiday it feels satisfying. Exactly the momentum we were hoping for
5,21/10/2025 12:10,player8,online-boutique-6392,"this is a test"" P1"
6,21/10/2025 12:10,player8,business-comms-6392,"*Incident Number INC100059:* ""this is a test"" P1"
7,21/10/2025 12:10,player8,online-boutique-6392,Clicked undefined button
8,21/10/2025 12:10,player8,online-boutique-6392,Clicked org button
9,21/10/2025 12:11,player8,online-boutique-6392,Clicked undefined button
10,21/10/2025 12:12,player8,online-boutique-6392,Clicked Start button
12,21/10/2025 12:12,Shay,online-boutique-6392,Not this time! I just got a few alerts mentioning severe errors popping up in PROD
13,21/10/2025 12:12,Bob,online-boutique-6392,Weird... a few users just complained they are unable to complete their orders. Feels... off..
14,21/10/2025 12:13,player8,online-boutique-6392,Can you confirm what errors are being reported?
15,21/10/2025 12:13,Daniel,online-boutique-6392,Chcking
16,21/10/2025 12:13,Shay,online-boutique-6392,Checking logs now
17,21/10/2025 12:14,player8,online-boutique-6392,What has changed?
18,21/10/2025 12:14,Shay,online-boutique-6392,Looking into logs now
19,21/10/2025 12:14,Bez,business-comms-6392,Customers have gone outrageous. #OBFail and #OBStealsSale are trending with frustrated posts. We're getting hammered online! Where are we @player8?
20,21/10/2025 12:14,Shay,online-boutique-6392,Found these below error logs
21,21/10/2025 12:14,Shay,online-boutique-6392,```\napp[checkout-service] [ERROR] - write() failed Read-only filesystem\napp[checkout-service] Order submission failed for session_id=ae43f9 due to I/O error\napp[checkout-service] [ERROR] - Transaction commit failed Read-only file system\n[ERROR] nginx[3245] - 502 Bad Gateway while accessing upstream checkout service\n[ERROR] nginx
22,21/10/2025 12:14,Shay,online-boutique-6392,The server is too slow and give up while responding back. I'm not sure why read-only errors are there
23,21/10/2025 12:14,Daniel,online-boutique-6392,Looking at the above logs app looks fine. But system can't write new data. Errors suggests to be an infra component failure
24,21/10/2025 12:14,Daniel,online-boutique-6392,Also checkout servers show CPU and memory limits exceeded alerts this definitely looks bigger than just an app issue
25,21/10/2025 12:14,Daniel,online-boutique-6392,```app[checkout-service]: systemd[1]
26,21/10/2025 12:14,Shay,online-boutique-6392,Could this be due to load or any changes ?
28,21/10/2025 12:15,player8,online-boutique-6392,Will declare an incident.
29,21/10/2025 12:15,Shay,online-boutique-6392,Ok reviewing the change
30,21/10/2025 12:15,player8,online-boutique-6392,'checking failing in production' 'p1'
31,21/10/2025 12:15,player8,business-comms-6392,*Incident Number INC100010:* 'checking failing in production' 'p1'
34,21/10/2025 12:15,Bez,business-comms-6392,I'm seeing some posts on social media about issues with our platform is this a regional issue or hitting customers globally?
35,21/10/2025 12:16,Bez,business-comms-6392,Is this a global issue ?
36,21/10/2025 12:16,Daniel,online-boutique-6392,I don't think this is due to any changes because nothing matches the issue start time and no PROD deployments have happened in a while around checkout service
37,21/10/2025 12:16,Bez,business-comms-6392,How many customers have reported the issue till now
38,21/10/2025 12:16,Tanya,online-boutique-6392,Same from the platform side. Strangely both apps and infrastructure are struggling without any changes
39,21/10/2025 12:16,Shay,online-boutique-6392,You're right that makes sense. On top of that only checkout is having issues and it hasn't been touched in a while
40,21/10/2025 12:16,Bez,business-comms-6392,@lee - Please get this sorted asap
41,21/10/2025 12:17,player8,online-boutique-6392,Bob how many customer reports have we had at this time?
42,21/10/2025 12:17,Bob,online-boutique-6392,Sure let me look at my reports
43,21/10/2025 12:17,Bob,online-boutique-6392,Here are some of the complaints we've received in the last few minutes. It's coming all across the globe
44,21/10/2025 12:17,player8,online-boutique-6392,Can we increase the available compute on the server if it's struggling to take some pressure off?
45,21/10/2025 12:17,Bob,online-boutique-6392,"Germany - ""I added items to my cart clicked checkout and it just kept spinning. Then it dumped me back to an empty cart"
46,21/10/2025 12:17,Bob,online-boutique-6392,"USA - ""Order failed twice and now the cart is empty. I refreshed but now the site is laggy"
47,21/10/2025 12:17,Bob,online-boutique-6392,"Japan - ""Got to checkout then error 502. Tried again - cart gone"
48,21/10/2025 12:17,Bob,online-boutique-6392,To sum it all we have got 240+ reports globally
49,21/10/2025 12:17,Bob,online-boutique-6392,Metrics
50,21/10/2025 12:18,Daniel,online-boutique-6392,We might need to bring platform teams to check the infra
51,21/10/2025 12:18,player8,business-comms-6392,Appears to be global ~250 customer reports at current. We're on it in <#C09MMKXA3RU|> will supply top level updates in this channel.
52,21/10/2025 12:18,Bez,business-comms-6392,oh thats bad thanks keep me posted
53,21/10/2025 12:19,Daniel,online-boutique-6392,Yes i think the load is fine on front end
54,21/10/2025 12:19,player8,online-boutique-6392,"Seeing this in the logging: '{""error"":""gateway timeout: server error due to high load""""message"":""request error""""severity"":""error""""timestamp"":""2025-10-21T12:17:54.489326504Z""}'\n\nFor the front end at the same time Hamed S has anything changed with the infra?"
