index, datetime,player,channel,message
0,2025-10-09 11:51:27,Bez,online-boutique-6254,"What a day! Our Grand Summer Sale kicked off this morning at 10 and the response has been insane. Can't believe we're already 5 hours in"
1,2025-10-09 11:51:29,Bob,online-boutique-6254,"Totally! Just checked the dashboard we've already crossed $160k+ in revenue :money_mouth_face: . The sale energy is next level!"
2,2025-10-09 11:51:32,Tinus,online-boutique-6254,"That's fantastic but hey this is just the beginning. Three days to go... I'm keeping my fingers crossed :crossed_fingers:"
3,2025-10-09 11:51:36,Bez,online-boutique-6254,"Seeing so many people shopping on a holiday it feels satisfying. Exactly the momentum we were hoping for"
5,2025-10-09 11:53:57,player6,online-boutique-6254,"Clicked Start button"
7,2025-10-09 11:53:58,Shay,online-boutique-6254,"Not this time! I just got a few alerts mentioning severe errors popping up in PROD"
8,2025-10-09 11:54:01,Bob,online-boutique-6254,"Weird... a few users just complained they are unable to complete their orders. Feels... off.."
9,2025-10-09 11:54:29,player6,online-boutique-6254,"Hi everyone what seems to be the issue?"
10,2025-10-09 11:54:44,player6,online-boutique-6254,"I just tested on my end and when i try to complete the order i get redirected to my shopping cart is empty page"
11,2025-10-09 11:54:51,Shay,online-boutique-6254,"My checkout basket is empty"
12,2025-10-09 11:54:57,player6,online-boutique-6254,"are the customers reporting the same?"
13,2025-10-09 11:55:00,Shay,online-boutique-6254,"Are you getting this issue?"
14,2025-10-09 11:55:04,Bob,online-boutique-6254,"Sure let me look at my reports"
15,2025-10-09 11:55:19,Bob,online-boutique-6254,"Here are some of the complaints we've received in the last few minutes. It's coming all across the globe"
16,2025-10-09 11:55:21,Bob,online-boutique-6254,"Germany - I added items to my cart clicked checkout and it just kept spinning. Then it dumped me back to an empty cart"
17,2025-10-09 11:55:23,Bob,online-boutique-6254,"USA - Order failed twice and now the cart is empty. I refreshed but now the site is laggy"
18,2025-10-09 11:55:25,Bob,online-boutique-6254,"Japan - Got to checkout then error 502. Tried again - cart gone"
19,2025-10-09 11:55:27,Bob,online-boutique-6254,"To sum it all we have got 240+ reports globally"
20,2025-10-09 11:55:29,Bob,online-boutique-6254,"Metrics"
21,2025-10-09 11:56:00,player6,online-boutique-6254,"Thanks Bob Daniel Tanya Shay did we deploy any changes in the Prod environment lately?"
22,2025-10-09 11:56:13,player6,online-boutique-6254,"sev1 multiple issues ongoing with customers globaly"
23,2025-10-09 11:56:13,player6,business-comms-6254,"*Incident Number INC100024:* sev1 multiple issues ongoing with customers globaly"
26,2025-10-09 11:56:18,Bez,business-comms-6254,"I'm seeing some posts on social media about issues with our platform is this a regional issue or hitting customers globally?"
27,2025-10-09 11:56:21,Daniel,online-boutique-6254,"Here is a list of recent changes\n<https://uptime-labs.atlassian.net/wiki/external/YzYwYTAxNWQzOTI0NDYzOWI1MjkxNTI2YmVmMjUyZDE>"
28,2025-10-09 11:56:29,player6,business-comms-6254,"Hi we are currently seeing multiple issues globaly reported"
29,2025-10-09 11:56:31,Shay,online-boutique-6254,"I made a change"
30,2025-10-09 11:56:36,player6,business-comms-6254,"Germany - I added items to my cart clicked checkout and it just kept spinning. Then it dumped me back to an empty cart\n[1:55 PM] USA - Order failed twice and now the cart is empty. I refreshed but now the site is laggy\n[1:55 PM] Japan - Got to checkout then error 502. Tried again - cart gone"
31,2025-10-09 11:56:41,Shay,online-boutique-6254,"But it was only adding in tests"
32,2025-10-09 11:56:59,player6,online-boutique-6254,"Can we please review these changes quickly to see if any of them could be a potential cause of the issue?"
33,2025-10-09 11:57:03,Shay,online-boutique-6254,"Ok reviewing the change"
34,2025-10-09 11:57:23,player6,online-boutique-6254,"Thank you Shay how long do you need?"
35,2025-10-09 11:57:30,player6,online-boutique-6254,"Also do we have any other idea what could be going on?"
36,2025-10-09 11:57:53,Daniel,online-boutique-6254,"I don't think this is due to any changes because nothing matches the issue start time and no PROD deployments have happened in a while around checkout service"
37,2025-10-09 11:58:01,Tanya,online-boutique-6254,"Same from the platform side. Strangely both apps and infrastructure are struggling without any changes"
38,2025-10-09 11:58:03,Shay,online-boutique-6254,"Not sure must be to do with the checkout service"
39,2025-10-09 11:58:04,player6,online-boutique-6254,"Tinus Hamed S maybe any input from your end on what we could be looking at?"
40,2025-10-09 11:58:06,Shay,online-boutique-6254,"You're right that makes sense. On top of that only checkout is having issues and it hasn't been touched in a while"
41,2025-10-09 11:58:33,Hamed,online-boutique-6254,"Sure Tanya can you check the platform logs?"
42,2025-10-09 11:58:34,player6,online-boutique-6254,"Can we restart or bounce the checkoutservice? Would that cause any additional impact?"
43,2025-10-09 11:58:40,Tanya,online-boutique-6254,"Checking infra..."
44,2025-10-09 11:58:49,Daniel,online-boutique-6254,"No it shouldn't"
45,2025-10-09 11:58:56,Tanya,online-boutique-6254,"All four checkout servers are maxed out - CPU memory and disk I/O all spiking. No changes or deployments were done from platform side"
46,2025-10-09 11:58:58,Tanya,online-boutique-6254,"ServerMetrics"
47,2025-10-09 11:59:11,Tanya,online-boutique-6254,"It doesn't looks like a load issue either. CPU and Memory spike is not matching with incoming traffic"
48,2025-10-09 11:59:21,Tanya,online-boutique-6254,"I'm seeing a running process called init_locker.sh eating up most of the CPU on the checkout server. That's not something we usually run. Something's suspicious here"
49,2025-10-09 11:59:23,Tanya,online-boutique-6254,"ProcessRunning"
50,2025-10-09 11:59:46,player6,online-boutique-6254,"Maya do you think this could be a potential security incident?"
51,2025-10-09 11:59:51,Maya,online-boutique-6254,"Let me check if there's anything suspicious"
52,2025-10-09 11:59:57,player6,online-boutique-6254,"Thank you Maya"
53,2025-10-09 12:00:05,Bez,business-comms-6254,"Got an email claiming responsibility by BlackCrow Group and demanding payment of $5M in crypto. Honestly I get these hoax emails all the time so I'm not buying it"
54,2025-10-09 12:00:06,Maya,online-boutique-6254,"Weird!! Security agent known as EDR(Endpoint Detection and Response) is missing from all 4 checkout servers. That's? concerning"
55,2025-10-09 12:00:08,Maya,online-boutique-6254,"```EDR is basically our endpoint defense tool it tracks unusual activity at the servers```"
56,2025-10-09 12:00:09,Maya,online-boutique-6254,"AlsoI found an init_locker.sh script encrypting DB app and log files which is renaming the filename like below"
57,2025-10-09 12:00:11,Maya,online-boutique-6254,"```\norder_log_2025-06-01.locked\nsession_state.tmp.locked```"
58,2025-10-09 12:00:18,Daniel,online-boutique-6254,"this explains why there were errors in checkout logs saying write failed  read-only filesystem"
59,2025-10-09 12:00:23,Tanya,online-boutique-6254,"Wait... there's a file here named HELP_ME_DECRYPT.txt. I opened it appears a ransom note. This doesn't look good"
60,2025-10-09 12:00:25,Tanya,online-boutique-6254,"help_me_decrypt"
61,2025-10-09 12:00:33,Maya,online-boutique-6254,"Confirmed. This is a ransomware breach. @player6 inform business about this"
62,2025-10-09 12:00:41,Tanya,online-boutique-6254,"Shall i try killing this script ?"
63,2025-10-09 12:00:43,player6,online-boutique-6254,"Thank you Maya informing the business"
64,2025-10-09 12:00:45,Bob,online-boutique-6254,"Guys!!! User complaints are sky rocketing its turning catastrophic!"
65,2025-10-09 12:00:55,player6,online-boutique-6254,"what are the next steps we need to take? Maya Hamed S"
66,2025-10-09 12:01:05,Maya,online-boutique-6254,"Killing the script could make things worse higher ransom or losing data forever"
67,2025-10-09 12:01:08,player6,business-comms-6254,"Hi Bez Maya just confirmed there is a ransomware breach"
68,2025-10-09 12:01:11,Bez,business-comms-6254,"This is nightmare! @player6 where are we right now?"
69,2025-10-09 12:01:11,Maya,online-boutique-6254,"@player6 before we do anything I'd request everyone to please change their passwords"
70,2025-10-09 12:01:15,Maya,online-boutique-6254,"Also I'm removing everyone's access to servers - only I'll have control for now. Later we will reassess to do any activity further"
71,2025-10-09 12:01:16,Bez,business-comms-6254,"Wait! you're telling me this is an actual ransomware hit?"
72,2025-10-09 12:01:20,player6,business-comms-6254,"they are investigating further on how to handle this"
73,2025-10-09 12:01:20,Daniel,online-boutique-6254,"Done on my end"
74,2025-10-09 12:01:24,Hamed,online-boutique-6254,"Updated. @Maya smart move by limiting server's access"
75,2025-10-09 12:01:27,Shay,online-boutique-6254,"Password updated"
76,2025-10-09 12:01:30,Bob,online-boutique-6254,"Changed mine too. Better safe than sorry"
77,2025-10-09 12:01:31,Bez,business-comms-6254,"Alright tell everyone no one says a single thing outside online-boutique! I don't care who's asking not a word until we know exactly what's going on!"
78,2025-10-09 12:01:34,Tanya,online-boutique-6254,"All set"
79,2025-10-09 12:01:41,Tanya,online-boutique-6254,"It's much worse now. Every file I check is encrypted nothing can be opened or recovered."
80,2025-10-09 12:01:45,Shay,online-boutique-6254,"I'm seeing new errors on frontend now. How's it for you @player6 ?"
81,2025-10-09 12:01:56,Maya,online-boutique-6254,"Attention! when it comes to potential security breaches it's important we don't discuss sensitive details here"
82,2025-10-09 12:02:01,Maya,online-boutique-6254,"I'm setting up private channel..."
83,2025-10-09 12:02:06,Maya,online-boutique-6254,"@player6 before we move to private channel can you check with business what's the plan - are we paying the ransom or moving with response?"
84,2025-10-09 12:02:11,player6,online-boutique-6254,"Same here seeing checkout failed 503 error"
85,2025-10-09 12:02:27,player6,business-comms-6254,"Maya will be setting up a private chanell to discuss"
86,2025-10-09 12:02:52,Maya,online-boutique-6254,"can you check with business what's the plan - are we paying the ransom or moving with response?"
87,2025-10-09 12:03:12,player6,business-comms-6254,"Maya is asking if we will be paying the ransom or moving forward with a response Bez"
88,2025-10-09 12:03:17,Bez,business-comms-6254,"Not in favor of paying. Ethically it sets the wrong example and there's no real guarantee we'll get anything back"
89,2025-10-09 12:03:19,Tinus,business-comms-6254,"Agree. Also just to be clear - we don't need to alert the ICO(Information Commissioner's Office) right this second. We've got up to 72 hours but that depends on how serious this really is"
90,2025-10-09 12:03:36,Maya,private-comms-6254,"@player6 let's build the core response team here. I've already added myself. Who else should we pull in to keep it tight and efficient?"
91,2025-10-09 12:03:40,player6,online-boutique-6254,"Tinus and Bez are not in favor of paying also we do have 72h to inform ICO"
92,2025-10-09 12:03:40,Maya,private-comms-6254,"I'd say one senior person each from security platform and engineering. Also add Tanya tasks could be platform intensive"
93,2025-10-09 12:03:45,Bez,business-comms-6254,"@Tinus do you think this is something we should loop in any cyber security agency for?"
94,2025-10-09 12:03:47,Tinus,business-comms-6254,"If it looks like a complete lock-out I'd say yes"
95,2025-10-09 12:03:50,Tinus,business-comms-6254,"We've got Cyvantics Security on retainer - just in case this gets out of hand. @player6 ask Maya to reach out if needed"
96,2025-10-09 12:04:26,Maya,online-boutique-6254,"Thanks for the update"
97,2025-10-09 12:04:27,player6,private-comms-6254,"Hi Maya can you please add Bez Tinus Hamed and Tanya?"
98,2025-10-09 12:04:36,Maya,online-boutique-6254,"I've set up a new channel"
99,2025-10-09 12:04:54,player6,online-boutique-6254,"Thank you Maya have requested you to add additional members there as I am unable to"
100,2025-10-09 12:04:55,Maya,online-boutique-6254,"Bez and Tinus can stay in Business coms"
101,2025-10-09 12:05:10,Maya,private-comms-6254,"I can add Hamed and Tanya now"
102,2025-10-09 12:05:24,player6,private-comms-6254,"Also Tinus asked if you can reach out to Cyvantics Security"
103,2025-10-09 12:05:42,Maya,private-comms-6254,"Yes we've got an IR(incident response) retainer with Cyvantics Security"
104,2025-10-09 12:05:55,Bez,business-comms-6254,"@player6 I need a clear answer from the team. What exactly is affected right now?"
105,2025-10-09 12:05:58,Maya,private-comms-6254,"Looped in Cyvantics Security - they're on their way now to take snapshots of the infected server and storage followed by forensics on it"
106,2025-10-09 12:05:58,Tinus,business-comms-6254,"You're right. We need clear facts - which systems are locked which are safe"
107,2025-10-09 12:06:08,Maya,private-comms-6254,"Meanwhile I've got this from Cyvantics. @player6 can you help track the steps and coordinate?"
108,2025-10-09 12:06:09,Maya,private-comms-6254,"<https://uptime-labs.atlassian.net/wiki/external/MThjMTk4ZDU5ODU0NGZmMWE1NzhmNGY0MDQwNWI1NTA>"
109,2025-10-09 12:06:14,Maya,private-comms-6254,"We've got isolation steps in the playbook but before we dive in can you paste that list here? I'll help team run through it"
110,2025-10-09 12:06:56,player6,private-comms-6254,"Do we know which systems are clear and which are infected/locked out?"
111,2025-10-09 12:07:02,Bez,business-comms-6254,"URGENT I need a clear answer from the team. What exactly is affected right now?"
112,2025-10-09 12:07:03,player6,private-comms-6254,"Bez and Tinus are requesting that information"
113,2025-10-09 12:07:12,player6,business-comms-6254,"Gathering that information from May as we speak"
114,2025-10-09 12:07:12,Tanya,private-comms-6254,"Checking..."
115,2025-10-09 12:07:21,Tanya,private-comms-6254,"From what I'm seeing the impact seems limited to the checkout servers. We haven't spotted similar symptoms on the others so far"
116,2025-10-09 12:07:27,Maya,private-comms-6254,"Also I checked. All other servers have security agents running and reporting normally. The only ones missing agents were the checkout servers - which feels a bit off"
117,2025-10-09 12:07:49,Bez,business-comms-6254,"Thank you"
118,2025-10-09 12:08:06,player6,online-boutique-6254,"Everyone we need the following tasks completed as part of the playbok: Tanya Shay Daniel\n\nSteps for Isolation:\n\n\nSteps to be done mentioned along with the *owning* team\n1. Disconnect the infected server -> Platforms \n2. Cut off infrastructure traffic -> Platforms\n3. Disconnect DB & freeze backup -> Application\n4. Detach from Shared Resource -> Platforms\n5. Take snapshots (Disk & Memory) -> Ask team\n6. Kill suspicious process or activity -> Platforms\nSteps for Restoration:\n\n\nSteps to be done mentioned along with the *owning* team\n1. Validate backups → Security\n2. Wipe infected systems → Platforms\n3. Rebuild from clean backup → Platforms\n4. Re-enable security agent on the servers → Security\n5. Reconnect traffic to services and monitor → Platforms"
119,2025-10-09 12:08:16,Maya,private-comms-6254,"I've got this from Cyvantics. @player6 can you help track the steps and coordinate?"
120,2025-10-09 12:08:24,Maya,private-comms-6254,"<https://uptime-labs.atlassian.net/wiki/external/MThjMTk4ZDU5ODU0NGZmMWE1NzhmNGY0MDQwNWI1NTA>"
121,2025-10-09 12:08:24,player6,business-comms-6254,"only checkout servers are impacted"
122,2025-10-09 12:08:26,player6,business-comms-6254,"the rest are safe"
123,2025-10-09 12:08:49,Bez,business-comms-6254,"Thanks for the update"
124,2025-10-09 12:08:55,player6,private-comms-6254,"Sure Maya redistributed the same on the online boutique channel and asked for assistance"
125,2025-10-09 12:09:22,Maya,online-boutique-6254,"Wrong channel @player6"
126,2025-10-09 12:09:27,player6,private-comms-6254,"Maya is there anything else we should be looking at in parallel? Just to cover our all grounds?"
127,2025-10-09 12:09:46,Maya,private-comms-6254,"We need to focus on isolation first"
128,2025-10-09 12:10:06,Maya,private-comms-6254,"Then we can move to restoration"
129,2025-10-09 12:10:15,Maya,private-comms-6254,"Its the only move forward"
130,2025-10-09 12:10:19,player6,private-comms-6254,"Tanya Daniel Shay Hamed S Tinus we need to follow the playbook for isolation and then restoration:\n\nSteps for Isolation:\n\nSteps to be done mentioned along with the *owning* team\n1. Disconnect the infected server -> Platforms\n2. Cut off infrastructure traffic -> Platforms\n3. Disconnect DB & freeze backup -> Application\n4. Detach from Shared Resource -> Platforms\n5. Take snapshots (Disk & Memory) -> Ask team\n6. Kill suspicious process or activity -> Platforms\nSteps for Restoration:\n\n\nSteps to be done mentioned along with the *owning* team\n1. Validate backups → Security\n2. Wipe infected systems → Platforms\n3. Rebuild from clean backup → Platforms\n4. Re-enable security agent on the servers → Security\n5. Reconnect traffic to services and monitor → Platforms"
131,2025-10-09 12:10:39,player6,private-comms-6254,"Please let me know once all tasks for isolation are completed"
132,2025-10-09 12:10:42,Maya,private-comms-6254,"I've given write access to Tanya Hamed Daniel and myself"
133,2025-10-09 12:10:43,Bob,online-boutique-6254,"@player6 user complaints are spiking. They're reporting the site is down earlier it wasn't the case. What should I tell them now?"
134,2025-10-09 12:10:47,Tanya,private-comms-6254,"Disconnecting the checkout servers from the infra now"
135,2025-10-09 12:10:49,Daniel,private-comms-6254,"I'm on it. Disconnecting DB access for checkout and checking if scheduled backups exist"
136,2025-10-09 12:10:50,Hamed,private-comms-6254,"I'll verify if any shared storage is still attached to the checkout DB"
137,2025-10-09 12:11:03,Daniel,private-comms-6254,"Step 3 done DB connection to checkout is now cut"
138,2025-10-09 12:11:05,Tanya,private-comms-6254,"Step 1 done Checkout servers are now fully disconnected. Moving to isolate the infra from all external traffic"
139,2025-10-09 12:11:07,Hamed,private-comms-6254,"Step 4 confirmed No shared storage attached to checkout which makes sense since checkout has its standalone storage"
140,2025-10-09 12:11:08,player6,online-boutique-6254,"Same here I am getting 502 bad gateway"
141,2025-10-09 12:11:13,Tanya,private-comms-6254,"Step 2 completed Infra is now fully cut off from the outside world. That means the website will remain completely down until we recover"
142,2025-10-09 12:11:18,Maya,private-comms-6254,"Step 5 done Cyvantics has completed taking snapshots of the checkout servers and database. They've now moved on to forensics. @Hamed we're good to kill the script now"
143,2025-10-09 12:11:21,Bez,business-comms-6254,"Do we have any backup storage? Maybe we can try restoring from that"
144,2025-10-09 12:11:28,Hamed,private-comms-6254,"Step 6 done The Script has been killed. @player6 let us know and double-check if anything else is pending on our side"
145,2025-10-09 12:11:56,player6,online-boutique-6254,"We are performing some troubleshooting steps due to which the website is currently down it should be restored shotly"
146,2025-10-09 12:12:31,player6,private-comms-6254,"If we have all 6 steps completed I believe we can move to the restoration part"
147,2025-10-09 12:12:55,player6,private-comms-6254,"Please let us know once the restoration is completed"
148,2025-10-09 12:13:12,player6,business-comms-6254,"We have isolated the affected servers and are now in the process of restoring them"
149,2025-10-09 12:13:13,Maya,private-comms-6254,"Yes we must have a backup. Platform team can confirm us"
150,2025-10-09 12:13:22,Hamed,private-comms-6254,"Correct we do have backup which only runs at 2AM. Latest is yesterday's. We'll lose today's orders"
