time,player,state,title
2025-09-29 15:07:40,player1,playing,
2025-09-29 15:08:20,player1,STAR-1012,Asking questions to validate impact of the problem
2025-09-29 15:08:24,player1,customer_support_info,
2025-09-29 15:08:38,player1,incident_record,
2025-09-29 15:08:40,player1,comms_in_5_mins,
2025-09-29 15:08:45,player1,STAR-1005,Formally assign criticality level to the incident
2025-09-29 15:09:33,player1,developer_investigation,
2025-09-29 15:09:45,player1,STAR-1001,Reproduces the incident
2025-09-29 15:11:06,player1,STAR-1013,Check changes done to the platform
2025-09-29 15:11:41,player1,platform_investigation,
2025-09-29 15:12:02,player1,STAR-4005,Track actions and time box them
2025-09-29 15:12:25,player1,STAR-1000,Qualify the problem
2025-09-29 15:13:12,player1,STAR-1015,Form a working theory
2025-09-29 15:13:12,player1,involve_maya,
2025-09-29 15:15:03,player1,STAR-4002,Escalating when required
2025-09-29 15:15:14,player1,basic_protocols,
2025-09-29 15:16:48,player1,security_channel_creation,
2025-09-29 15:18:35,player1,main_plan,
2025-09-29 15:20:39,player1,execute_isolation,
2025-09-29 15:24:43,player1,decision_on_restoration,
2025-09-29 15:26:51,player1,business_go_ahead,
2025-09-29 15:27:27,player1,only_checkout_affected,
2025-09-29 15:30:20,player1,execute_restoration,
2025-09-29 15:32:29,player1,recovered,
2025-09-29 15:32:53,player1,STAR-3001,Confirm resolution with the business
2025-09-29 15:34:38,player1,post_fix_checks_and_forensics,
2025-09-29 15:36:48,player1,STAR-2000,Cross check resolution with stakeholders
2025-09-29 15:37:46,player1,completed,
2025-09-30 14:25:24,player2,playing,
2025-09-30 14:26:45,player2,customer_support_info,
2025-09-30 14:26:52,player2,STAR-1012,Asking questions to validate impact of the problem
2025-09-30 14:27:18,player2,STAR-1001,Reproduces the incident
2025-09-30 14:28:12,player2,incident_record,
2025-09-30 14:28:14,player2,comms_in_5_mins,
2025-09-30 14:28:26,player2,STAR-1005,Formally assign criticality level to the incident
2025-09-30 14:29:32,player2,STAR-1008,Reviewed changes
2025-09-30 14:29:32,player2,STAR-1013,Check changes done to the platform
2025-09-30 14:29:50,player2,developer_investigation,
2025-09-30 14:30:58,player2,review_deployments,
2025-09-30 14:32:15,player2,STAR-4002,Escalating when required
2025-09-30 14:32:20,player2,platform_investigation,
2025-09-30 14:37:04,player2,STAR-4001,Manage actions and timings
2025-09-30 14:37:04,player2,STAR-4000,Take command
2025-09-30 14:38:10,player2,involve_maya,
2025-09-30 14:41:34,player2,basic_protocols,
2025-09-30 14:45:36,player2,security_channel_creation,
2025-09-30 14:47:57,player2,main_plan,
2025-09-30 14:49:23,player2,execute_isolation,
2025-09-30 14:51:15,player2,decision_on_restoration,
2025-09-30 14:54:31,player2,business_go_ahead,
2025-09-30 14:55:55,player2,execute_restoration,
2025-09-30 14:57:30,player2,recovered,
2025-09-30 14:58:39,player2,STAR-3001,Confirm resolution with the business
2025-09-30 14:59:54,player2,post_fix_checks_and_forensics,
2025-09-30 15:01:26,player2,STAR-2002,Cross checking resolution with team
2025-09-30 15:02:19,player2,completed,
2025-10-01 04:09:42,player2,STAR-1015,Form a working theory
2025-10-01 04:10:22,player2,STAR-4006,Know your team and their roles
2025-10-01 04:11:07,player2,STAR-1000,Qualify the problem
2025-10-01 04:12:16,player2,STAR-1004,Send regular business comms
2025-10-01 04:13:38,player2,STAR-4000,Take command
2025-10-01 04:15:29,player2,STAR-1006,Form an effective investigation team
2025-10-01 04:34:37,player1,STAR-1006,Form an effective investigation team
2025-10-01 04:35:20,player1,STAR-1014,Facts over opinion
2025-10-01 04:36:15,player1,STAR-4000,Take command
2025-10-01 04:37:00,player1,STAR-4003,Communicating clearly and frequently
2025-10-01 04:37:10,player1,STAR-1011,Attempt to replicate the issue
2025-10-01 04:38:20,player1,STAR-1004,Send regular business comms
2025-10-01 04:41:22,player1,STAR-4004,Encourage business comms
2025-10-03 10:12:53,player3,playing,
2025-10-03 10:13:27,player3,customer_support_info,
2025-10-03 10:13:48,player3,incident_record,
2025-10-03 10:13:50,player3,comms_in_5_mins,
2025-10-03 10:13:54,player3,STAR-1001,Reproduces the incident
2025-10-03 10:14:59,player3,STAR-1005,Formally assign criticality level to the incident
