datetime,player,channel,message
2025-08-27 12:05:46,Bez,online-boutique-5530,"Morning, team! Anyone else need a triple espresso today?"
2025-08-27 12:05:55,Tinus,online-boutique-5530,"You're not the only one, Bez! The reports from last week are still giving me nightmares."
2025-08-27 12:06:05,Bob,online-boutique-5530,"Tell me about it, Tinus."
2025-08-27 12:06:08,Bob,online-boutique-5530,"But hey, at least it's sunny outside today. :sunrise:"
2025-08-27 12:06:10,Bez,online-boutique-5530,"True, a little sunshine makes everything better."
2025-08-27 12:06:12,Bez,online-boutique-5530,"Also, I'm having my usual green smoothie. That's my secret energy booster."
2025-08-27 12:06:14,Daniel,online-boutique-5530,"Nice, Bez! I'll stick with my coffee though."
2025-08-27 12:06:15,Daniel,online-boutique-5530,Anyone else excited for the launch of the new BitCoin :coin: payment feature this week?
2025-08-27 12:06:17,Tinus,online-boutique-5530,"Absolutely, Daniel! Been looking forward to it."
2025-08-27 12:06:19,Tinus,online-boutique-5530,"By the way, no spoilers, but did anyone catch the football game? Epic comeback!"
2025-08-27 12:06:22,Shay,online-boutique-5530,I missed it! I was knee deep in a sci-fi novel. Anyone else into that?
2025-08-27 12:06:30,Tanya,online-boutique-5530,"Oh, I love sci-fi! Can you share the name of the book, Shay?"
2025-08-27 12:06:38,Daniel,online-boutique-5530,I've been reading a bit of sci-fi myself.
2025-08-27 12:06:40,Daniel,online-boutique-5530,"Looking forward to sharing recommendations, Shay!"
2025-08-27 12:06:44,Bez,online-boutique-5530,"There's always so much happening outside of work! Keep the energy :battery: going, team."
2025-08-27 12:06:47,Bez,online-boutique-5530,It's going to be another productive day. :raised_hands:
2025-08-27 12:06:50,UptimeLabs,online-boutique-5530,Start lvl 8
2025-08-27 12:08:26,PLAYER,online-boutique-5530,Clicked Start button
2025-08-27 12:08:27,UptimeLabs,online-boutique-5530,":alarm_clock: - You have 25 minutes to resolve the outage, good luck! You can type `/help` if you need any reminders."
2025-08-27 12:08:28,Bob,online-boutique-5530,"Hey, we're getting reports of customers struggling to make purchases"
2025-08-27 12:08:30,Bob,online-boutique-5530,@here Anyone else seeing this?
2025-08-27 12:08:33,Tinus,online-boutique-5530,"Yes, I've noticed the same, @Bob . It seems like an error in the system"
2025-08-27 12:08:36,Bez,online-boutique-5530,"Whatever it is, we need to sort it out quickly."
2025-08-27 12:08:38,Bez,online-boutique-5530,we need to step on it! before the social media backlash is turning into a storm.
2025-08-27 12:08:42,Tinus,online-boutique-5530,"Who is handling incidents today? Please size up the issue, this is urgent"
2025-08-27 12:08:47,PLAYER,online-boutique-5530,"Hi Bob, how many customers and what is the issue they are reporting?"
2025-08-27 12:08:58,UptimeLabs,online-boutique-5530,:star: Asking questions to validate impact of the problem
2025-08-27 12:09:04,Bob,online-boutique-5530,Checking reports will report in a few
2025-08-27 12:09:09,PLAYER,online-boutique-5530,I'm managing incidents today Tinus
2025-08-27 12:09:36,Bob,online-boutique-5530,Customers are struggling to check out  or add items to their cart
2025-08-27 12:09:52,Bob,online-boutique-5530,This seems to be EU specific issue with 340+ reports so far
2025-08-27 12:09:54,PLAYER,online-boutique-5530,Will check i can recreate
2025-08-27 12:10:02,Shay,online-boutique-5530,I will try to do the same
2025-08-27 12:10:03,UptimeLabs,online-boutique-5530,:star: Reproduces the incident
2025-08-27 12:10:36,PLAYER,online-boutique-5530,"Daniel and Tanya, I'm seeing order confirmations drop and log severity changes for the frontend service and currency service."
2025-08-27 12:10:43,UptimeLabs,online-boutique-5530,:star: Qualify the problem
2025-08-27 12:10:44,Bob,online-boutique-5530,I can see some customers also mention isue with using crypto
2025-08-27 12:10:47,PLAYER,online-boutique-5530,Has there been any recent changes
2025-08-27 12:10:55,UptimeLabs,online-boutique-5530,:star: Check changes done to the platform
2025-08-27 12:10:55,Daniel,online-boutique-5530,Checking now
2025-08-27 12:11:12,Tanya,online-boutique-5530,I can see the drop as well
2025-08-27 12:11:28,PLAYER,online-boutique-5530,"As soon as try to look at an item I get the following

```rpc error: code = Unavailable desc = connection error: desc = ""transport: Error while dialing: dial tcp 172.20.205.234:7070: connect: connection refused""
could not retrieve cart```
"
2025-08-27 12:11:29,Shay,online-boutique-5530,Here is the list of the latest deployments <https://uptime-labs.atlassian.net/wiki/spaces/ULPUBLIC/pages/1114341391/The+Chain+-+Change+Request+Logs>
2025-08-27 12:11:53,Daniel,online-boutique-5530,I made a change that added Bitcoin as a payment method
2025-08-27 12:12:06,Bez,business-comms-5530,What's the latest on this?
2025-08-27 12:12:09,PLAYER,business-comms-5530,Sev 2 Customers unable to use crypto to checkout
2025-08-27 12:12:09,PLAYER,business-comms-5530,*Incident Number INC100032:* Sev 2 Customers unable to use crypto to checkout
2025-08-27 12:12:10,UptimeLabs,online-boutique-5530,:star: Incident record created
2025-08-27 12:12:12,UptimeLabs,online-boutique-5530,:star: Send first comms in first 5 minutes
2025-08-27 12:12:17,UptimeLabs,online-boutique-5530,:star: Formally assign criticality level to the incident
2025-08-27 12:12:40,PLAYER,business-comms-5530,"Hi Bez, customers reporting issues adding items to cart and specifically using crypto"
2025-08-27 12:12:43,Tanya,online-boutique-5530,"I can see that cart service is down, perhaps that is the root cause"
2025-08-27 12:13:01,Bez,business-comms-5530,Is this global or regional?
2025-08-27 12:13:09,PLAYER,business-comms-5530,Eu specific issue with 340+ reports so far
2025-08-27 12:13:17,Shay,online-boutique-5530,We can try to restart the cart to see if that helps
2025-08-27 12:13:21,PLAYER,business-comms-5530,We are assessing logs and changes recently
2025-08-27 12:14:14,PLAYER,online-boutique-5530,"Yes, lets try restart the cart service Tanya I can see a change to use Redis for that too, could it be related?"
2025-08-27 12:14:22,UptimeLabs,online-boutique-5530,:star: Reviewed changes
2025-08-27 12:14:32,PLAYER,online-boutique-5530,Thanks Shay and Daniel
2025-08-27 12:14:55,Bez,business-comms-5530,Can customers check out using a different currency?
2025-08-27 12:15:08,PLAYER,online-boutique-5530,I think right now we aren't even getting as far as payment and the errors point to cart service so lets focus there Daniel
2025-08-27 12:15:10,Daniel,online-boutique-5530,"sure @Jessica Light, restarting the cart service"
2025-08-27 12:15:13,Daniel,online-boutique-5530,I will have to restart frontend to pick up new service endpoints.
2025-08-27 12:15:18,UptimeLabs,online-boutique-5530,:star: Form a working theory
2025-08-27 12:15:34,PLAYER,online-boutique-5530,Great restart too thanks Daniel
2025-08-27 12:15:38,Daniel,online-boutique-5530,the service restart is completed
2025-08-27 12:15:51,Tanya,online-boutique-5530,I will check that now to see if there is any issues with service or the change itself
2025-08-27 12:15:57,PLAYER,business-comms-5530,We are seeing issues with the cart service and doing restarts now.
2025-08-27 12:16:19,PLAYER,business-comms-5530,I will check with different currency. Locally i can't even look at an item on the website
2025-08-27 12:16:23,Bob,online-boutique-5530,"I can make payments now, is the incident resolved?"
2025-08-27 12:16:27,Bob,online-boutique-5530,should I inform the customers?
2025-08-27 12:16:39,PLAYER,online-boutique-5530,Hi Bob Can you tell us payments are coming through by other means?
2025-08-27 12:16:46,PLAYER,online-boutique-5530,Not yet Bob
2025-08-27 12:16:53,PLAYER,online-boutique-5530,Can you test with me now Shay?
2025-08-27 12:17:00,Bob,online-boutique-5530,checking now
2025-08-27 12:17:09,Shay,online-boutique-5530,Hey @Jessica Light the cart service is crashing again.
2025-08-27 12:17:11,Shay,online-boutique-5530,I'm not sure what the problem is.
2025-08-27 12:17:30,Bob,online-boutique-5530,It seems that was a temporary fix
2025-08-27 12:18:15,PLAYER,online-boutique-5530,"Thanks Bob, if you can get me more details on other payment methods that would be great"
2025-08-27 12:18:30,Daniel,online-boutique-5530,It appears there is an issue with Bitcoin feature. We can roll it back and hopefully that should do it
2025-08-27 12:18:39,PLAYER,online-boutique-5530,Hamed S can we have some support in looking into this issue. Cart service
2025-08-27 12:18:47,UptimeLabs,online-boutique-5530,:star: Escalating when required
2025-08-27 12:19:06,PLAYER,online-boutique-5530,Thanks Daniel lets rollback all bitcoin feature changes
2025-08-27 12:19:14,Bob,online-boutique-5530,"Customers can't finish payments with any payments, they can't seem to get past the cart section"
2025-08-27 12:19:14,UptimeLabs,online-boutique-5530,:star: Restoration over root cause analysis
2025-08-27 12:19:28,Daniel,online-boutique-5530,"Understood, I'll proceed with rolling back the payment service"
2025-08-27 12:19:31,Bez,business-comms-5530,Do we have any progres on this?
2025-08-27 12:19:48,Daniel,online-boutique-5530,payment service rollback is complete
2025-08-27 12:19:54,PLAYER,online-boutique-5530,But this is still only EU Bob?
2025-08-27 12:20:03,Hamed,online-boutique-5530,This is not good. Something is broken after the payment rollback
2025-08-27 12:20:17,PLAYER,business-comms-5530,"Confirmation from Bob that this is affecting all payments, check if this is just EU. still"
2025-08-27 12:20:23,Bob,online-boutique-5530,I'm getting reports now from all regions
2025-08-27 12:20:28,PLAYER,business-comms-5530,We are rolling back the bitcoin changes now
2025-08-27 12:20:37,Bob,online-boutique-5530,This seems to be a global issue now
2025-08-27 12:20:42,Hamed,online-boutique-5530,What do we know so far?
2025-08-27 12:21:04,Hamed,online-boutique-5530,I will check from my side and see if i can find anything
2025-08-27 12:21:20,PLAYER,online-boutique-5530,"So far we know there is an issue with cart service, my guess is still the cart redis changes are a problem. I presume those haven't been rolled back Tanya"
2025-08-27 12:21:59,PLAYER,business-comms-5530,This is a global issue now. Should be escalated to a SEV1
2025-08-27 12:22:16,PLAYER,online-boutique-5530,This incident should now be treated as a SEV 1
2025-08-27 12:22:22,Hamed,online-boutique-5530,"It appears that cart redis, cart service and payments are all interconnected"
