datetime,player,channel,message
2025-07-01 15:03:01,tinus,online-boutique-4784,"Hi team, let's have a mood check send an emoji to describe your mood [n/a - 0]"
2025-07-01 15:03:05,tinus,online-boutique-4784,"I'll go first, :thumbsup: [n/a - 0]"
2025-07-01 15:03:11,tanya,online-boutique-4784,:thumbsup: [n/a - 0]
2025-07-01 15:03:13,tinus,online-boutique-4784,I'm excited about showing off all your hard work at todays stakeholder meeting [n/a - 0]
2025-07-01 15:03:16,daniel,online-boutique-4784,":skull: knackered, had a few too many late nights this week [n/a - 0]"
2025-07-01 15:03:19,shay,online-boutique-4784,:rainbow: [n/a - 0]
2025-07-01 15:03:22,hamed,online-boutique-4784,living the dream :smile: [n/a - 0]
2025-07-01 15:03:26,bez,online-boutique-4784,:smirk: im excited to see the show too [n/a - 0]
2025-07-01 15:03:28,tinus,online-boutique-4784,shouldn't you be prepping for the meeting  [n/a - 0]
2025-07-01 15:03:31,bez,online-boutique-4784,:sweat_smile: i am indeed I'll leave you lot to it [n/a - 0]
2025-07-01 15:03:33,shay,online-boutique-4784,hang in there @daniel its gonne be the weekend sooner or later :joy: [n/a - 0]
2025-07-01 15:03:36,tinus,online-boutique-4784,I should get on with my prep too have a good day team [n/a - 0]
2025-07-01 15:03:37,daniel,online-boutique-4784,@shay strict diet of energy drink for me today lol [n/a - 0]
2025-07-01 15:03:40,daniel,online-boutique-4784,hope the presentation goes well @tinus [n/a - 0]
2025-07-01 15:03:42,tanya,online-boutique-4784,:raised_hands: [n/a - 0]
2025-07-01 15:03:57,UptimeLabs,online-boutique-4784,Level 7 start button [n/a - 0]
2025-07-01 15:04:07,PLAYER,online-boutique-4784,Clicked Start button
2025-07-01 15:04:08,UptimeLabs,online-boutique-4784,":alarm_clock: - You have 20 minutes to resolve the outage, good luck! You can type `/help` if you need any reminders. [n/a - 0]"
2025-07-01 15:04:11,tinus,online-boutique-4784,"Hey team, I'm texting from the board room - kinda embarrassing but in my demo to the board, I tried to add a pair of Aviator sunglasses to the shopping cart and I got a ?http 500? [n/a - 0]"
2025-07-01 15:04:13,tinus,online-boutique-4784,"I've bought some time but need this be able to do this demo if we can lets get this sorted in the next 20 minutes.
 [n/a - 0]"
2025-07-01 15:04:15,tinus,online-boutique-4784,500 screenshot [n/a - 0]
2025-07-01 15:04:18,tanya,online-boutique-4784,"uh oh, those Aviators are top sellers due to the new Top Gun movie...It's size up the issue time Dylan Coombes [n/a - 0]"
2025-07-01 15:04:21,shay,online-boutique-4784,Come on this can't be happening! [n/a - 0]
2025-07-01 15:04:23,tinus,online-boutique-4784,"I'm in this meeting so, wont be able to help but I trust that you all can get this fixed asap, just @ me if you need anything [n/a - 0]"
2025-07-01 15:04:26,shay,online-boutique-4784,ok looking into this now [n/a - 0]
2025-07-01 15:04:34,PLAYER,online-boutique-4784,Having a look myself now [L7_incident_scope - 0.51]
2025-07-01 15:05:01,PLAYER,online-boutique-4784,"Hmm - i can't replicate this from my end, is anyone else able to? [L7_incident_scope - 0.48]"
2025-07-01 15:05:06,Shay,online-boutique-4784,"I wasn't able to replicate, anyone else? [n/a - 0]"
2025-07-01 15:05:14,PLAYER,online-boutique-4784,Bob do we have any customer reports of issues like the above? [n/a - 0]
2025-07-01 15:05:58,Bob,online-boutique-4784,checking reports now [n/a - 0]
2025-07-01 15:06:05,UptimeLabs,online-boutique-4784,:star: Asking questions to validate impact of the problem [n/a - 0]
2025-07-01 15:06:08,PLAYER,online-boutique-4784,Daniel are you able to see if there's anything you can see on your side that might be causing this? [L7_incident_scope - 0.48]
2025-07-01 15:06:12,UptimeLabs,online-boutique-4784,:star: Attempt to replicate the issue [n/a - 0]
