datetime,player,channel,message
2025-11-11 15:05:13,tinus,online-boutique-6736,"Hi team, let's have a mood check send an emoji to describe your mood"
2025-11-11 15:05:17,tinus,online-boutique-6736,"I'll go first, :thumbsup:"
2025-11-11 15:05:23,tanya,online-boutique-6736,:thumbsup:
2025-11-11 15:05:25,tinus,online-boutique-6736,I'm excited about showing off all your hard work at todays stakeholder meeting
2025-11-11 15:05:28,daniel,online-boutique-6736,":skull: knackered, had a few too many late nights this week"
2025-11-11 15:05:31,shay,online-boutique-6736,:rainbow:
2025-11-11 15:05:34,hamed,online-boutique-6736,living the dream :smile:
2025-11-11 15:05:38,bez,online-boutique-6736,:smirk: im excited to see the show too
2025-11-11 15:05:40,tinus,online-boutique-6736,shouldn't you be prepping for the meeting 
2025-11-11 15:05:43,bez,online-boutique-6736,:sweat_smile: i am indeed I'll leave you lot to it
2025-11-11 15:05:45,shay,online-boutique-6736,hang in there @daniel its gonne be the weekend sooner or later :joy:
2025-11-11 15:05:48,tinus,online-boutique-6736,I should get on with my prep too have a good day team
2025-11-11 15:05:49,daniel,online-boutique-6736,@shay strict diet of energy drink for me today lol
2025-11-11 15:05:52,daniel,online-boutique-6736,hope the presentation goes well @tinus
2025-11-11 15:05:54,tanya,online-boutique-6736,:raised_hands:
2025-11-11 15:06:10,UptimeLabs,online-boutique-6736,"Welcome to Rumours, remember communication is key to diagnose the problem.

 *Use `/help` at any time for a list of useful links and commands*
 *Use `/incident` to create an incident record*

Once you're ready just click start to begin Start button"
2025-11-11 15:07:21,PLAYER,online-boutique-6736,Clicked undefined button
2025-11-11 15:07:23,PLAYER,online-boutique-6736,Clicked org button
2025-11-11 15:07:25,PLAYER,online-boutique-6736,Clicked undefined button
2025-11-11 15:08:15,PLAYER,online-boutique-6736,Clicked Start button
2025-11-11 15:08:15,UptimeLabs,online-boutique-6736,":alarm_clock: - You have 20 minutes to resolve the outage, good luck! You can type `/help` if you need any reminders."
2025-11-11 15:08:18,tinus,online-boutique-6736,"Hey team, I'm texting from the board room - kinda embarrassing but in my demo to the board, I tried to add a pair of Aviator sunglasses to the shopping cart and I got a ?http 500?"
2025-11-11 15:08:21,tinus,online-boutique-6736,"I've bought some time but need this be able to do this demo if we can lets get this sorted in the next 20 minutes.
"
2025-11-11 15:08:22,tinus,online-boutique-6736,Metrics
2025-11-11 15:08:25,tanya,online-boutique-6736,"uh oh, those Aviators are top sellers due to the new Top Gun movie...It's size up the issue time Elsa Louise Savage"
2025-11-11 15:08:28,shay,online-boutique-6736,Come on this can't be happening!
2025-11-11 15:08:30,tinus,online-boutique-6736,"I'm in this meeting so, wont be able to help but I trust that you all can get this fixed asap, just @ me if you need anything"
2025-11-11 15:08:33,shay,online-boutique-6736,ok looking into this now
2025-11-11 15:08:49,PLAYER,online-boutique-6736,p1
2025-11-11 15:08:50,PLAYER,business-comms-6736,*Incident Number INC100082:* p1
2025-11-11 15:08:50,UptimeLabs,online-boutique-6736,:star: Incident record created
2025-11-11 15:08:52,UptimeLabs,online-boutique-6736,:star: Send first comms in first 5 minutes
2025-11-11 15:08:58,PLAYER,online-boutique-6736,looking at this now
2025-11-11 15:09:09,PLAYER,online-boutique-6736,i have checked and i can add the aviators to my baket
2025-11-11 15:09:14,PLAYER,online-boutique-6736,could someone else test please
2025-11-11 15:09:14,UptimeLabs,online-boutique-6736,:star: Attempt to replicate the issue
2025-11-11 15:09:17,UptimeLabs,online-boutique-6736,:star: Reproduces the incident
2025-11-11 15:09:25,Bez,online-boutique-6736,"oh wow, did someone raise a p1? Tinus is in that board meeting!"
2025-11-11 15:09:32,PLAYER,online-boutique-6736,I raised it
2025-11-11 15:09:49,PLAYER,online-boutique-6736,he is presenting and getting http 500
2025-11-11 15:09:59,PLAYER,online-boutique-6736,but i have tried buying and have had no issue
2025-11-11 15:10:04,Bez,online-boutique-6736,"Hey Elsa, thanks, I'm a bit worried now. I'll try to stay out of your way but keep me updated in the business comms chat"
2025-11-11 15:10:34,Bob,online-boutique-6736,a p1? I'm here if you need me!
2025-11-11 15:10:45,PLAYER,online-boutique-6736,Tinus - have you tried a refreshing the website
2025-11-11 15:10:46,Daniel,online-boutique-6736,me too
2025-11-11 15:10:48,PLAYER,online-boutique-6736,and trying again
2025-11-11 15:10:58,PLAYER,online-boutique-6736,Has anyone made any recent chnages
2025-11-11 15:11:06,UptimeLabs,online-boutique-6736,:star: Check changes done to the platform
2025-11-11 15:11:13,PLAYER,online-boutique-6736,or could everyone else test adding something to their basket
2025-11-11 15:11:14,Tinus,online-boutique-6736,I've been refreshing for the past minute...still seeing the error
2025-11-11 15:11:23,Shay,online-boutique-6736,I'll get the change logs now
2025-11-11 15:11:37,Shay,online-boutique-6736,here you go Elsa: <https://uptime-labs.atlassian.net/wiki/external/YzljMTlhYTdhNDNkNGFjYzk1MzMwMzgxZjg0NzdhODE>
2025-11-11 15:11:56,PLAYER,online-boutique-6736,could you try adding a different item Tinus
2025-11-11 15:12:05,PLAYER,online-boutique-6736,so we know if its an overall issue
2025-11-11 15:12:22,Tinus,online-boutique-6736,bit busy here...answering board questions. I'll try
2025-11-11 15:12:27,PLAYER,online-boutique-6736,could someone else please try to add something to their basket
2025-11-11 15:12:36,PLAYER,online-boutique-6736,so we can detect if this is a local issue
2025-11-11 15:12:53,PLAYER,online-boutique-6736,Shay Daniel Tanya?
2025-11-11 15:12:54,Daniel,online-boutique-6736,"I've been looking at this Elsa, I can't seem to reprode it, can you?"
