datetime,player,channel,message
2025-10-15 12:03:10,tinus,online-boutique-6309,"Hi team, let's have a mood check send an emoji to describe your mood"
2025-10-15 12:03:14,tinus,online-boutique-6309,"I'll go first, :thumbsup:"
2025-10-15 12:03:20,tanya,online-boutique-6309,:thumbsup:
2025-10-15 12:03:22,tinus,online-boutique-6309,I'm excited about showing off all your hard work at todays stakeholder meeting
2025-10-15 12:03:25,daniel,online-boutique-6309,":skull: knackered, had a few too many late nights this week"
2025-10-15 12:03:28,shay,online-boutique-6309,:rainbow:
2025-10-15 12:03:31,hamed,online-boutique-6309,living the dream :smile:
2025-10-15 12:03:35,bez,online-boutique-6309,:smirk: im excited to see the show too
2025-10-15 12:03:37,tinus,online-boutique-6309,shouldn't you be prepping for the meeting 
2025-10-15 12:03:40,bez,online-boutique-6309,:sweat_smile: i am indeed I'll leave you lot to it
2025-10-15 12:03:42,shay,online-boutique-6309,hang in there @daniel its gonne be the weekend sooner or later :joy:
2025-10-15 12:03:45,tinus,online-boutique-6309,I should get on with my prep too have a good day team
2025-10-15 12:03:46,daniel,online-boutique-6309,@shay strict diet of energy drink for me today lol
2025-10-15 12:03:49,daniel,online-boutique-6309,hope the presentation goes well @tinus
2025-10-15 12:03:51,tanya,online-boutique-6309,:raised_hands:
2025-10-15 12:04:07,UptimeLabs,online-boutique-6309,"Welcome to Rumours, remember communication is key to diagnose the problem.

 *Use `/help` at any time for a list of useful links and commands*
 *Use `/incident` to create an incident record*

Once you're ready just click start to begin Start button"
2025-10-15 12:04:40,PLAYER,online-boutique-6309,Clicked org button
2025-10-15 12:05:58,PLAYER,online-boutique-6309,Clicked Start button
2025-10-15 12:05:58,UptimeLabs,online-boutique-6309,":alarm_clock: - You have 20 minutes to resolve the outage, good luck! You can type `/help` if you need any reminders."
2025-10-15 12:06:01,tinus,online-boutique-6309,"Hey team, I'm texting from the board room - kinda embarrassing but in my demo to the board, I tried to add a pair of Aviator sunglasses to the shopping cart and I got a ?http 500?"
2025-10-15 12:06:03,tinus,online-boutique-6309,"I've bought some time but need this be able to do this demo if we can lets get this sorted in the next 20 minutes.
"
2025-10-15 12:06:06,tinus,online-boutique-6309,Metrics
2025-10-15 12:06:08,tanya,online-boutique-6309,"uh oh, those Aviators are top sellers due to the new Top Gun movie...It's size up the issue time Emma Allsopp"
2025-10-15 12:06:11,shay,online-boutique-6309,Come on this can't be happening!
2025-10-15 12:06:13,tinus,online-boutique-6309,"I'm in this meeting so, wont be able to help but I trust that you all can get this fixed asap, just @ me if you need anything"
2025-10-15 12:06:16,shay,online-boutique-6309,ok looking into this now
2025-10-15 12:06:44,PLAYER,online-boutique-6309,Hi Bob are we hearing complaints from customers?
2025-10-15 12:06:51,Bez,online-boutique-6309,This is an important demo to investors
2025-10-15 12:06:52,UptimeLabs,online-boutique-6309,:star: Asking questions to validate impact of the problem
2025-10-15 12:06:58,Bob,online-boutique-6309,I'll check now
2025-10-15 12:07:13,PLAYER,online-boutique-6309,Hi tested adding the sunglasses and it worked okay?
2025-10-15 12:07:20,PLAYER,online-boutique-6309,can someone ese try to test this?
2025-10-15 12:07:20,UptimeLabs,online-boutique-6309,:star: Attempt to replicate the issue
2025-10-15 12:07:26,Bez,online-boutique-6309,Our quarterly goals depend on this meeting going well
2025-10-15 12:07:28,UptimeLabs,online-boutique-6309,:star: Reproduces the incident
2025-10-15 12:07:35,Bob,online-boutique-6309,I'm not getting any complaints from users
2025-10-15 12:07:39,Shay,online-boutique-6309,Same here
2025-10-15 12:07:51,Shay,online-boutique-6309,I added a bunch of stuff and they all checked out fine
2025-10-15 12:07:59,PLAYER,online-boutique-6309,Thanks shay
2025-10-15 12:08:03,Shay,online-boutique-6309,(I hope I get reimbursed lol)
2025-10-15 12:08:11,PLAYER,online-boutique-6309,Tanya can you also please check if you can add items to check out?
2025-10-15 12:08:17,Tanya,online-boutique-6309,I'll try now
2025-10-15 12:08:31,Shay,online-boutique-6309,I can share the deployment list if that'll help
2025-10-15 12:08:46,PLAYER,online-boutique-6309,yes please shay
2025-10-15 12:08:48,Shay,online-boutique-6309,<https://uptime-labs.atlassian.net/wiki/spaces/ULPUBLIC/pages/1113292847>
2025-10-15 12:08:53,Tanya,online-boutique-6309,All good on my end
2025-10-15 12:09:13,Tinus,online-boutique-6309,Any luck guys I'm sweating over here
2025-10-15 12:09:23,Tinus,online-boutique-6309,I can only stall for so long
2025-10-15 12:09:45,PLAYER,business-comms-6309,"Tinus having an issue in meeting room adding items to cart, everyone else on team can add items fine and no complaints from customers"
2025-10-15 12:09:51,UptimeLabs,online-boutique-6309,:star: Formally assign criticality level to the incident
2025-10-15 12:09:53,PLAYER,business-comms-6309,issue seem to be limited to tinus
2025-10-15 12:09:59,UptimeLabs,online-boutique-6309,:star: Qualify the problem
2025-10-15 12:10:14,PLAYER,online-boutique-6309,- low severity - tinus cannot add items to cart
2025-10-15 12:10:14,PLAYER,business-comms-6309,*Incident Number INC100047:* - low severity - tinus cannot add items to cart
