datetime,player,channel,message
2025-08-04 13:02:01,tinus,online-boutique-5251,"Hi team, let's have a mood check send an emoji to describe your mood [n/a - 0]"
2025-08-04 13:02:06,tinus,online-boutique-5251,"I'll go first, :thumbsup: [n/a - 0]"
2025-08-04 13:02:12,tanya,online-boutique-5251,:thumbsup: [n/a - 0]
2025-08-04 13:02:14,tinus,online-boutique-5251,I'm excited about showing off all your hard work at todays stakeholder meeting [n/a - 0]
2025-08-04 13:02:17,daniel,online-boutique-5251,":skull: knackered, had a few too many late nights this week [n/a - 0]"
2025-08-04 13:02:20,shay,online-boutique-5251,:rainbow: [n/a - 0]
2025-08-04 13:02:23,hamed,online-boutique-5251,living the dream :smile: [n/a - 0]
2025-08-04 13:02:27,bez,online-boutique-5251,:smirk: im excited to see the show too [n/a - 0]
2025-08-04 13:02:29,tinus,online-boutique-5251,shouldn't you be prepping for the meeting  [n/a - 0]
2025-08-04 13:02:32,bez,online-boutique-5251,:sweat_smile: i am indeed I'll leave you lot to it [n/a - 0]
2025-08-04 13:02:34,shay,online-boutique-5251,hang in there @daniel its gonne be the weekend sooner or later :joy: [n/a - 0]
2025-08-04 13:02:37,tinus,online-boutique-5251,I should get on with my prep too have a good day team [n/a - 0]
2025-08-04 13:02:38,daniel,online-boutique-5251,@shay strict diet of energy drink for me today lol [n/a - 0]
2025-08-04 13:02:41,daniel,online-boutique-5251,hope the presentation goes well @tinus [n/a - 0]
2025-08-04 13:02:43,tanya,online-boutique-5251,:raised_hands: [n/a - 0]
2025-08-04 13:02:58,UptimeLabs,online-boutique-5251,Level 7 start button [n/a - 0]
2025-08-04 13:04:06,PLAYER,online-boutique-5251,Clicked Start button
2025-08-04 13:04:06,UptimeLabs,online-boutique-5251,":alarm_clock: - You have 20 minutes to resolve the outage, good luck! You can type `/help` if you need any reminders. [n/a - 0]"
2025-08-04 13:04:09,tinus,online-boutique-5251,"Hey team, I'm texting from the board room - kinda embarrassing but in my demo to the board, I tried to add a pair of Aviator sunglasses to the shopping cart and I got a ?http 500? [n/a - 0]"
2025-08-04 13:04:11,tinus,online-boutique-5251,"I've bought some time but need this be able to do this demo if we can lets get this sorted in the next 20 minutes.
 [n/a - 0]"
2025-08-04 13:04:14,tinus,online-boutique-5251,500 screenshot [n/a - 0]
2025-08-04 13:04:16,tanya,online-boutique-5251,"uh oh, those Aviators are top sellers due to the new Top Gun movie...It's size up the issue time Graham De Souza [n/a - 0]"
2025-08-04 13:04:19,shay,online-boutique-5251,Come on this can't be happening! [n/a - 0]
2025-08-04 13:04:21,tinus,online-boutique-5251,"I'm in this meeting so, wont be able to help but I trust that you all can get this fixed asap, just @ me if you need anything [n/a - 0]"
2025-08-04 13:04:24,shay,online-boutique-5251,ok looking into this now [n/a - 0]
2025-08-04 13:05:35,PLAYER,online-boutique-5251,Tinus Which environment are you using for the demo? [n/a - 0]
2025-08-04 13:06:22,Tinus,online-boutique-5251,Its in the production environment [n/a - 0]
2025-08-04 13:08:00,PLAYER,online-boutique-5251,"Shay Daniel Tanya I have been unable to reproduce the issue, could either of you confirm if you get the same issue? [n/a - 0]"
2025-08-04 13:08:05,UptimeLabs,online-boutique-5251,:star: Attempt to replicate the issue [n/a - 0]
2025-08-04 13:08:07,Daniel,online-boutique-5251,on it [n/a - 0]
2025-08-04 13:08:07,Shay,online-boutique-5251,i will try now [n/a - 0]
