datetime,player,channel,message
2025-07-16 10:04:45,tinus,online-boutique-5015,"Hi team, let's have a mood check send an emoji to describe your mood [n/a - 0]"
2025-07-16 10:04:50,tinus,online-boutique-5015,"I'll go first, :thumbsup: [n/a - 0]"
2025-07-16 10:04:56,tanya,online-boutique-5015,:thumbsup: [n/a - 0]
2025-07-16 10:04:58,tinus,online-boutique-5015,I'm excited about showing off all your hard work at todays stakeholder meeting [n/a - 0]
2025-07-16 10:04:59,PLAYER,online-boutique-5015,:+1: [L7_incident_severity - 0.6]
2025-07-16 10:05:01,daniel,online-boutique-5015,":skull: knackered, had a few too many late nights this week [n/a - 0]"
2025-07-16 10:05:04,shay,online-boutique-5015,:rainbow: [n/a - 0]
2025-07-16 10:05:07,hamed,online-boutique-5015,living the dream :smile: [n/a - 0]
2025-07-16 10:05:11,bez,online-boutique-5015,:smirk: im excited to see the show too [n/a - 0]
2025-07-16 10:05:13,tinus,online-boutique-5015,shouldn't you be prepping for the meeting  [n/a - 0]
2025-07-16 10:05:16,bez,online-boutique-5015,:sweat_smile: i am indeed I'll leave you lot to it [n/a - 0]
2025-07-16 10:05:18,shay,online-boutique-5015,hang in there @daniel its gonne be the weekend sooner or later :joy: [n/a - 0]
2025-07-16 10:05:21,tinus,online-boutique-5015,I should get on with my prep too have a good day team [n/a - 0]
2025-07-16 10:05:22,daniel,online-boutique-5015,@shay strict diet of energy drink for me today lol [n/a - 0]
2025-07-16 10:05:25,daniel,online-boutique-5015,hope the presentation goes well @tinus [n/a - 0]
2025-07-16 10:05:27,tanya,online-boutique-5015,:raised_hands: [n/a - 0]
2025-07-16 10:05:42,UptimeLabs,online-boutique-5015,Level 7 start button [n/a - 0]
2025-07-16 10:07:38,PLAYER,online-boutique-5015,Clicked org button
2025-07-16 10:07:44,PLAYER,online-boutique-5015,Clicked Start button
2025-07-16 10:07:45,UptimeLabs,online-boutique-5015,":alarm_clock: - You have 20 minutes to resolve the outage, good luck! You can type `/help` if you need any reminders. [n/a - 0]"
2025-07-16 10:07:48,tinus,online-boutique-5015,"Hey team, I'm texting from the board room - kinda embarrassing but in my demo to the board, I tried to add a pair of Aviator sunglasses to the shopping cart and I got a ?http 500? [n/a - 0]"
2025-07-16 10:07:50,tinus,online-boutique-5015,"I've bought some time but need this be able to do this demo if we can lets get this sorted in the next 20 minutes.
 [n/a - 0]"
2025-07-16 10:07:52,tinus,online-boutique-5015,500 screenshot [n/a - 0]
2025-07-16 10:07:55,tanya,online-boutique-5015,"uh oh, those Aviators are top sellers due to the new Top Gun movie...It's size up the issue time Jack Norris [n/a - 0]"
2025-07-16 10:07:58,shay,online-boutique-5015,Come on this can't be happening! [n/a - 0]
2025-07-16 10:08:00,tinus,online-boutique-5015,"I'm in this meeting so, wont be able to help but I trust that you all can get this fixed asap, just @ me if you need anything [n/a - 0]"
2025-07-16 10:08:03,shay,online-boutique-5015,ok looking into this now [n/a - 0]
2025-07-16 10:08:09,PLAYER,online-boutique-5015,"Looks like it's not finding the product, Shay let me know what you find out [L7_incident_scope - 0.52]"
2025-07-16 10:08:26,Shay,online-boutique-5015,I'll try placing an order for the aviators [n/a - 0]
2025-07-16 10:08:30,PLAYER,online-boutique-5015,Daniel are you able to check if there was any changes this morning? [L7_incident_scope - 0.44]
2025-07-16 10:08:35,UptimeLabs,online-boutique-5015,:star: Facts over opinion [n/a - 0]
2025-07-16 10:08:44,Daniel,online-boutique-5015,I'll have a look at our recent deployments now [n/a - 0]
2025-07-16 10:08:45,UptimeLabs,online-boutique-5015,:star: Check changes done to the platform [n/a - 0]
2025-07-16 10:09:08,PLAYER,online-boutique-5015,"Thanks, i just tried to reproduce on my end and it didn't look like it errored. Are you able to reproduce at this time Shay? [L7_incident_scope - 0.52]"
2025-07-16 10:09:17,Shay,online-boutique-5015,I'm able to purchase the aviators just fine also [n/a - 0]
2025-07-16 10:09:25,UptimeLabs,online-boutique-5015,:star: Attempt to replicate the issue [n/a - 0]
2025-07-16 10:09:37,Daniel,online-boutique-5015,Just from an initial glance we have three changes deployed to production today [n/a - 0]
2025-07-16 10:09:52,Shay,online-boutique-5015,Should I try another product? [n/a - 0]
2025-07-16 10:09:55,PLAYER,online-boutique-5015,"Alright, so there's something erroring but nothing consistent [L7_incident_severity - 0.47]"
2025-07-16 10:09:57,PLAYER,online-boutique-5015,Shay please do [L7_incident_severity - 0.55]
2025-07-16 10:10:08,Shay,online-boutique-5015,Okay [n/a - 0]
2025-07-16 10:10:10,PLAYER,online-boutique-5015,Bob Are we hearing anything from customers trying to purchase that they can't add things to the basket? [L7_incident_scope - 0.46]
2025-07-16 10:10:21,Tinus,online-boutique-5015,I can't text much - trying to stall [n/a - 0]
2025-07-16 10:10:24,UptimeLabs,online-boutique-5015,:star: Asking questions to validate impact of the problem [n/a - 0]
2025-07-16 10:10:31,Bob,online-boutique-5015,I'll have a look and report back [n/a - 0]
2025-07-16 10:10:49,Shay,online-boutique-5015,I added multiple items to the basket and ordered and it worked out just fine [n/a - 0]
2025-07-16 10:10:50,PLAYER,online-boutique-5015,Thanks [L7_incident_severity - 0.51]
2025-07-16 10:11:17,Bob,online-boutique-5015,I'm not seeing any complaints from users [n/a - 0]
2025-07-16 10:11:31,Tinus,online-boutique-5015,Have we figured out what's going on yet? [n/a - 0]
2025-07-16 10:11:44,Tinus,online-boutique-5015,This meeting is really important to our next round of investment [n/a - 0]
2025-07-16 10:12:03,Bez,business-comms-5015,"I heard Tinus isn't able to purchase on the website, and that too when he's near to demo next few minutes . [n/a - 0]"
2025-07-16 10:12:08,PLAYER,online-boutique-5015,We're still investigating the cause at this time as we're not able to reproduce the issue. [L7_incident_severity - 0.51]
2025-07-16 10:12:15,Bez,business-comms-5015,What's happening ? [n/a - 0]
2025-07-16 10:12:29,PLAYER,online-boutique-5015,Tinus is there anything else in the demo that seemed off? [L7_incident_scope - 0.88]
2025-07-16 10:12:34,Daniel,online-boutique-5015,"We have deployments to the checkout service, payment service and ad service [n/a - 0]"
2025-07-16 10:13:00,UptimeLabs,online-boutique-5015,:bulb: Form a working theory and try to validate or invalidate it [n/a - 0]
2025-07-16 10:13:05,Tinus,online-boutique-5015,I accessed the site as normal using this link: <https://hipster-vwkcj1hovyvrqet8wrmbgci.proxy.prod.uptimelabs.io/> [n/a - 0]
2025-07-16 10:13:09,PLAYER,business-comms-5015,"*Incident Number INC100014:* Sev-5 We're currently investigating an issue where some users are unable to add items to their basket, this doesn't look to be widespread at this time and we're continuing to investigate the cause [n/a - 0]"
2025-07-16 10:13:09,UptimeLabs,online-boutique-5015,:star: Incident record created [n/a - 0]
2025-07-16 10:13:11,UptimeLabs,online-boutique-5015,:star: Send first comms in first 5 minutes [n/a - 0]
2025-07-16 10:13:34,UptimeLabs,online-boutique-5015,:star: Formally assign criticality level to the incident [n/a - 0]
2025-07-16 10:14:07,Bez,business-comms-5015,It's not good. We are going to lose money from our big clients if it's not resolved soon. [n/a - 0]
2025-07-16 10:14:33,PLAYER,online-boutique-5015,"Okay, none of those services sound like ones that would have an impact, but there is a banner for a discount appearing in the screenshot that's not there when I check [L7_incident_scope - 0.45]"
2025-07-16 10:14:45,Bez,business-comms-5015,Have we got everybody in it from the team? [n/a - 0]
2025-07-16 10:14:48,PLAYER,online-boutique-5015,Daniel do you think rolling back the checkout service might help here since the error happens when adding to the basket? [L7_incident_scope - 0.43]
2025-07-16 10:14:55,Bez,business-comms-5015,Demo is super urgent [n/a - 0]
2025-07-16 10:15:31,PLAYER,online-boutique-5015,Tanya are you able to have a look at the Product database as well to ensure that the ID for sunglasses matches up with what's expected? [L7_incident_scope - 0.42]
2025-07-16 10:15:39,UptimeLabs,online-boutique-5015,:star: Form a working theory [n/a - 0]
2025-07-16 10:15:45,Daniel,online-boutique-5015,We can try - it wasn't my change so I can't determine if it's safe to rollback [n/a - 0]
2025-07-16 10:15:47,UptimeLabs,online-boutique-5015,:star: Form an effective investigation team [n/a - 0]
2025-07-16 10:15:56,Tanya,online-boutique-5015,On it - I'll investigate now [n/a - 0]
2025-07-16 10:16:23,UptimeLabs,online-boutique-5015,:star: Reviewed changes [n/a - 0]
2025-07-16 10:16:33,PLAYER,online-boutique-5015,Shay can you work with Daniel to confirm if we can roll back the last checkout change request and see if we can roll this back or if other services would have to roll back as well [L7_incident_scope - 0.44]
2025-07-16 10:16:37,Shay,online-boutique-5015,Yes of course - when do you we want an update from us? [n/a - 0]
2025-07-16 10:17:10,Tinus,online-boutique-5015,Guys I'm dying over here? Have we got a fix yet? [n/a - 0]
2025-07-16 10:17:13,PLAYER,business-comms-5015,"Hi Bez, yes the team is all hands on deck to determine the cause here. We're not hearing reports from customers at this time but we're working on it as top priority [L7_incident_scope - 0.5]"
2025-07-16 10:17:21,PLAYER,online-boutique-5015,Shay ASAP please [L7_incident_scope - 0.65]
2025-07-16 10:17:53,PLAYER,online-boutique-5015,"Tinus I think we're close, bear with us. Sorry for putting the pressure on you. Just to check, do other things fail to go into the basket as well? [L7_incident_scope - 0.76]"
2025-07-16 10:18:09,Tinus,online-boutique-5015,Let me try now... [n/a - 0]
2025-07-16 10:18:11,PLAYER,online-boutique-5015,Tanya anything standing out that you can see? [L7_incident_scope - 0.51]
2025-07-16 10:18:13,Shay,online-boutique-5015,Yes Boss [n/a - 0]
2025-07-16 10:18:23,Tanya,online-boutique-5015,"I think you're right - the product ID is not one that match's in our product catalogue, it's a testing ID [n/a - 0]"
2025-07-16 10:18:26,Bez,business-comms-5015,Why its a sev-5? Tinus is in a super urgent demo call. [n/a - 0]
2025-07-16 10:18:50,Daniel,online-boutique-5015,Just checked with Shay - we're ready and it's safe to rollback his change [n/a - 0]
2025-07-16 10:19:11,PLAYER,online-boutique-5015,"Daniel rollback the change now please, let's see how that goes [L7_incident_scope - 0.49]"
2025-07-16 10:19:21,UptimeLabs,online-boutique-5015,:star: Restoration over root cause analysis [n/a - 0]
2025-07-16 10:19:34,Daniel,online-boutique-5015,Rolling back CHG89358... [n/a - 0]
2025-07-16 10:20:02,PLAYER,online-boutique-5015,Tanya can you check the ID once the change is rolled back to see if it's correct? [L7_incident_scope - 0.42]
2025-07-16 10:20:05,Tinus,online-boutique-5015,Doesn't work with anything [n/a - 0]
2025-07-16 10:20:12,PLAYER,business-comms-5015,We're not seeing reports from outside of the company at this time and we're unable to reproduce at this time. We're making a change now to try and resolve the issue [L7_incident_scope - 0.48]
2025-07-16 10:20:21,Daniel,online-boutique-5015,Rollback is complete [n/a - 0]
2025-07-16 10:20:29,PLAYER,online-boutique-5015,Is there a chance the board meeting is somehow reaching the test site? [L7_incident_scope - 0.46]
2025-07-16 10:20:37,PLAYER,online-boutique-5015,That would explain why the product ID doesn't align correctly [L7_incident_severity - 0.49]
2025-07-16 10:20:44,Tanya,online-boutique-5015,"When I place an order the product ID is different from the ID in our database, this might be a local issue [n/a - 0]"
2025-07-16 10:21:23,Daniel,online-boutique-5015,"Tinus might have been testing something earlier prior to the demo, that would make sense why it's a testing ID [n/a - 0]"
2025-07-16 10:21:57,PLAYER,online-boutique-5015,"Possibly, Tinus is there another machine that you can attempt the demo on at this time? [L7_incident_scope - 0.82]"
2025-07-16 10:22:01,Tanya,online-boutique-5015,I meant to say screenshot NOT database [n/a - 0]
2025-07-16 10:22:11,Tinus,online-boutique-5015,"No, nothing [n/a - 0]"
2025-07-16 10:22:15,Tinus,online-boutique-5015,Please help! [n/a - 0]
2025-07-16 10:22:28,PLAYER,online-boutique-5015,"Tanya I don't understand, what's different? [L7_incident_scope - 0.56]"
2025-07-16 10:22:34,Tinus,online-boutique-5015,They're watching me like sharks [n/a - 0]
2025-07-16 10:22:59,PLAYER,online-boutique-5015,Tinus can you try this link to see if it's any better? <http://hipster.prod.uptimelabs.io/> [FALLBACKINTENT - 0.78]
