datetime,player,channel,message
2025-07-16 12:03:35,tinus,online-boutique-5019,"Hi team, let's have a mood check send an emoji to describe your mood [n/a - 0]"
2025-07-16 12:03:39,tinus,online-boutique-5019,"I'll go first, :thumbsup: [n/a - 0]"
2025-07-16 12:03:45,tanya,online-boutique-5019,:thumbsup: [n/a - 0]
2025-07-16 12:03:47,tinus,online-boutique-5019,I'm excited about showing off all your hard work at todays stakeholder meeting [n/a - 0]
2025-07-16 12:03:50,daniel,online-boutique-5019,":skull: knackered, had a few too many late nights this week [n/a - 0]"
2025-07-16 12:03:54,shay,online-boutique-5019,:rainbow: [n/a - 0]
2025-07-16 12:03:57,hamed,online-boutique-5019,living the dream :smile: [n/a - 0]
2025-07-16 12:04:01,bez,online-boutique-5019,:smirk: im excited to see the show too [n/a - 0]
2025-07-16 12:04:03,tinus,online-boutique-5019,shouldn't you be prepping for the meeting  [n/a - 0]
2025-07-16 12:04:06,bez,online-boutique-5019,:sweat_smile: i am indeed I'll leave you lot to it [n/a - 0]
2025-07-16 12:04:08,shay,online-boutique-5019,hang in there @daniel its gonne be the weekend sooner or later :joy: [n/a - 0]
2025-07-16 12:04:11,tinus,online-boutique-5019,I should get on with my prep too have a good day team [n/a - 0]
2025-07-16 12:04:12,daniel,online-boutique-5019,@shay strict diet of energy drink for me today lol [n/a - 0]
2025-07-16 12:04:15,daniel,online-boutique-5019,hope the presentation goes well @tinus [n/a - 0]
2025-07-16 12:04:17,tanya,online-boutique-5019,:raised_hands: [n/a - 0]
2025-07-16 12:04:32,UptimeLabs,online-boutique-5019,Level 7 start button [n/a - 0]
2025-07-16 12:05:08,PLAYER,online-boutique-5019,Clicked Start button
2025-07-16 12:05:09,UptimeLabs,online-boutique-5019,":alarm_clock: - You have 20 minutes to resolve the outage, good luck! You can type `/help` if you need any reminders. [n/a - 0]"
2025-07-16 12:05:12,tinus,online-boutique-5019,"Hey team, I'm texting from the board room - kinda embarrassing but in my demo to the board, I tried to add a pair of Aviator sunglasses to the shopping cart and I got a ?http 500? [n/a - 0]"
2025-07-16 12:05:14,tinus,online-boutique-5019,"I've bought some time but need this be able to do this demo if we can lets get this sorted in the next 20 minutes.
 [n/a - 0]"
2025-07-16 12:05:17,tinus,online-boutique-5019,500 screenshot [n/a - 0]
2025-07-16 12:05:19,tanya,online-boutique-5019,"uh oh, those Aviators are top sellers due to the new Top Gun movie...It's size up the issue time Jessica Light [n/a - 0]"
2025-07-16 12:05:22,shay,online-boutique-5019,Come on this can't be happening! [n/a - 0]
2025-07-16 12:05:24,tinus,online-boutique-5019,"I'm in this meeting so, wont be able to help but I trust that you all can get this fixed asap, just @ me if you need anything [n/a - 0]"
2025-07-16 12:05:27,shay,online-boutique-5019,ok looking into this now [n/a - 0]
2025-07-16 12:05:55,PLAYER,online-boutique-5019,Hi Bob can we get a view of if this is impacting all customers and where ? [L7_incident_scope - 0.46]
