datetime,player,channel,message
2025-08-04 14:06:20,tinus,online-boutique-5255,"Hi team, let's have a mood check send an emoji to describe your mood [n/a - 0]"
2025-08-04 14:06:25,tinus,online-boutique-5255,"I'll go first, :thumbsup: [n/a - 0]"
2025-08-04 14:06:30,tanya,online-boutique-5255,:thumbsup: [n/a - 0]
2025-08-04 14:06:33,tinus,online-boutique-5255,I'm excited about showing off all your hard work at todays stakeholder meeting [n/a - 0]
2025-08-04 14:06:36,daniel,online-boutique-5255,":skull: knackered, had a few too many late nights this week [n/a - 0]"
2025-08-04 14:06:39,shay,online-boutique-5255,:rainbow: [n/a - 0]
2025-08-04 14:06:42,hamed,online-boutique-5255,living the dream :smile: [n/a - 0]
2025-08-04 14:06:46,bez,online-boutique-5255,:smirk: im excited to see the show too [n/a - 0]
2025-08-04 14:06:48,tinus,online-boutique-5255,shouldn't you be prepping for the meeting  [n/a - 0]
2025-08-04 14:06:51,bez,online-boutique-5255,:sweat_smile: i am indeed I'll leave you lot to it [n/a - 0]
2025-08-04 14:06:53,shay,online-boutique-5255,hang in there @daniel its gonne be the weekend sooner or later :joy: [n/a - 0]
2025-08-04 14:06:56,tinus,online-boutique-5255,I should get on with my prep too have a good day team [n/a - 0]
2025-08-04 14:06:57,daniel,online-boutique-5255,@shay strict diet of energy drink for me today lol [n/a - 0]
2025-08-04 14:07:00,daniel,online-boutique-5255,hope the presentation goes well @tinus [n/a - 0]
2025-08-04 14:07:02,tanya,online-boutique-5255,:raised_hands: [n/a - 0]
2025-08-04 14:07:17,UptimeLabs,online-boutique-5255,Level 7 start button [n/a - 0]
2025-08-04 14:08:20,PLAYER,online-boutique-5255,Clicked Start button
2025-08-04 14:08:21,UptimeLabs,online-boutique-5255,":alarm_clock: - You have 20 minutes to resolve the outage, good luck! You can type `/help` if you need any reminders. [n/a - 0]"
2025-08-04 14:08:23,tinus,online-boutique-5255,"Hey team, I'm texting from the board room - kinda embarrassing but in my demo to the board, I tried to add a pair of Aviator sunglasses to the shopping cart and I got a ?http 500? [n/a - 0]"
2025-08-04 14:08:25,tinus,online-boutique-5255,"I've bought some time but need this be able to do this demo if we can lets get this sorted in the next 20 minutes.
 [n/a - 0]"
2025-08-04 14:08:28,tinus,online-boutique-5255,500 screenshot [n/a - 0]
2025-08-04 14:08:31,tanya,online-boutique-5255,"uh oh, those Aviators are top sellers due to the new Top Gun movie...It's size up the issue time Pradeep C [n/a - 0]"
2025-08-04 14:08:33,shay,online-boutique-5255,Come on this can't be happening! [n/a - 0]
2025-08-04 14:08:35,tinus,online-boutique-5255,"I'm in this meeting so, wont be able to help but I trust that you all can get this fixed asap, just @ me if you need anything [n/a - 0]"
2025-08-04 14:08:38,shay,online-boutique-5255,ok looking into this now [n/a - 0]
2025-08-04 14:09:48,PLAYER,online-boutique-5255,Hi Bob please confirm on the customer imapct. [n/a - 0]
2025-08-04 14:09:51,Shay,online-boutique-5255,"I tried replicating this issue, but for me, orders are going through [n/a - 0]"
2025-08-04 14:09:55,UptimeLabs,online-boutique-5255,:star: Asking questions to validate impact of the problem [n/a - 0]
2025-08-04 14:10:03,Bob,online-boutique-5255,Sure let me check in my dashboard and reports [n/a - 0]
2025-08-04 14:10:18,Shay,online-boutique-5255,How's it for you @Pradeep ? [n/a - 0]
2025-08-04 14:10:46,PLAYER,online-boutique-5255,"Im looking into it, [n/a - 0]"
2025-08-04 14:10:52,Bob,online-boutique-5255,There are no reports from customers similar to what Tinus is facing [n/a - 0]
2025-08-04 14:11:53,PLAYER,online-boutique-5255,Yes even I can able to order the sunglasses [n/a - 0]
2025-08-04 14:12:04,UptimeLabs,online-boutique-5255,:star: Attempt to replicate the issue [n/a - 0]
2025-08-04 14:12:13,Tinus,online-boutique-5255,"@Pradeep, it's a really important demo presentation, and I'm in the conference hall. A lot of investors will be eyeing us. [n/a - 0]"
2025-08-04 14:12:32,PLAYER,online-boutique-5255,Tinus could you please refresh the page and try again [n/a - 0]
2025-08-04 14:12:39,Tinus,online-boutique-5255,Please resolve it asap. Or else it'll be an embarrassment in front of them [n/a - 0]
2025-08-04 14:12:50,Tinus,online-boutique-5255,I tried it multiple time [n/a - 0]
2025-08-04 14:13:27,Tinus,online-boutique-5255,I’m going to dip in and out of this channel for im speaking to some clients [n/a - 0]
2025-08-04 14:13:30,PLAYER,online-boutique-5255,"Tanya Shay Daniel check on your deployments, if you see any anomalies [n/a - 0]"
2025-08-04 14:13:36,UptimeLabs,online-boutique-5255,:star: Form an effective investigation team [n/a - 0]
2025-08-04 14:13:37,UptimeLabs,online-boutique-5255,:bulb: Hint: Declare an incident. [n/a - 0]
2025-08-04 14:13:46,Shay,online-boutique-5255,Sure [n/a - 0]
2025-08-04 14:13:49,Tanya,online-boutique-5255,On it [n/a - 0]
2025-08-04 14:14:03,Daniel,online-boutique-5255,I don't think deployment would mess up [n/a - 0]
2025-08-04 14:14:14,Daniel,online-boutique-5255,For me also orders are also going fine [n/a - 0]
2025-08-04 14:14:15,PLAYER,business-comms-5255,*Incident Number INC100095:* SEV1 Unable to add items to cart [n/a - 0]
2025-08-04 14:14:16,UptimeLabs,online-boutique-5255,:star: Incident record created [n/a - 0]
2025-08-04 14:14:18,UptimeLabs,online-boutique-5255,:star: Send first comms in first 5 minutes [n/a - 0]
2025-08-04 14:14:23,Tanya,online-boutique-5255,Yeah exactly even for me as well [n/a - 0]
2025-08-04 14:14:40,Bez,business-comms-5255,What exactly is this issue ? Is it global ? [n/a - 0]
2025-08-04 14:14:54,PLAYER,business-comms-5255,Hi team Tinus is facing some issue on adding items to the carts during his presentation [n/a - 0]
2025-08-04 14:14:57,Tanya,online-boutique-5255,No issues at all with any of the deployments [n/a - 0]
2025-08-04 14:15:15,Tanya,online-boutique-5255,Faulty deployments would have caused issues for customers [n/a - 0]
2025-08-04 14:15:19,Shay,online-boutique-5255,Right [n/a - 0]
2025-08-04 14:15:26,PLAYER,online-boutique-5255,Is anyone from infra team ? [n/a - 0]
2025-08-04 14:15:32,Tanya,online-boutique-5255,Tinus should be trying to access the site from the browser on his computer. Perhaps it’s a local issue?” [n/a - 0]
2025-08-04 14:15:39,Tanya,online-boutique-5255,Yes i'm from infra [n/a - 0]
