datetime,player,channel,message
2025-08-20 13:25:59,tinus,online-boutique-5457,"Hi team, let's have a mood check send an emoji to describe your mood"
2025-08-20 13:26:03,tinus,online-boutique-5457,"I'll go first, :thumbsup:"
2025-08-20 13:26:09,tanya,online-boutique-5457,:thumbsup:
2025-08-20 13:26:11,tinus,online-boutique-5457,I'm excited about showing off all your hard work at todays stakeholder meeting
2025-08-20 13:26:14,daniel,online-boutique-5457,":skull: knackered, had a few too many late nights this week"
2025-08-20 13:26:17,shay,online-boutique-5457,:rainbow:
2025-08-20 13:26:20,hamed,online-boutique-5457,living the dream :smile:
2025-08-20 13:26:24,bez,online-boutique-5457,:smirk: im excited to see the show too
2025-08-20 13:26:26,tinus,online-boutique-5457,shouldn't you be prepping for the meeting 
2025-08-20 13:26:29,bez,online-boutique-5457,:sweat_smile: i am indeed I'll leave you lot to it
2025-08-20 13:26:31,shay,online-boutique-5457,hang in there @daniel its gonne be the weekend sooner or later :joy:
2025-08-20 13:26:34,tinus,online-boutique-5457,I should get on with my prep too have a good day team
2025-08-20 13:26:35,daniel,online-boutique-5457,@shay strict diet of energy drink for me today lol
2025-08-20 13:26:38,daniel,online-boutique-5457,hope the presentation goes well @tinus
2025-08-20 13:26:40,tanya,online-boutique-5457,:raised_hands:
2025-08-20 13:26:55,UptimeLabs,online-boutique-5457,Level 7 start button
2025-08-20 13:28:36,PLAYER,online-boutique-5457,Clicked org button
2025-08-20 13:28:42,PLAYER,online-boutique-5457,Clicked undefined button
2025-08-20 13:29:11,PLAYER,online-boutique-5457,Clicked Start button
2025-08-20 13:29:12,UptimeLabs,online-boutique-5457,":alarm_clock: - You have 20 minutes to resolve the outage, good luck! You can type `/help` if you need any reminders."
2025-08-20 13:29:15,tinus,online-boutique-5457,"Hey team, I'm texting from the board room - kinda embarrassing but in my demo to the board, I tried to add a pair of Aviator sunglasses to the shopping cart and I got a ?http 500?"
2025-08-20 13:29:17,tinus,online-boutique-5457,"I've bought some time but need this be able to do this demo if we can lets get this sorted in the next 20 minutes.
"
2025-08-20 13:29:19,tinus,online-boutique-5457,500 screenshot
2025-08-20 13:29:22,tanya,online-boutique-5457,"uh oh, those Aviators are top sellers due to the new Top Gun movie...It's size up the issue time Swetha Nayudu"
2025-08-20 13:29:25,shay,online-boutique-5457,Come on this can't be happening!
2025-08-20 13:29:27,tinus,online-boutique-5457,"I'm in this meeting so, wont be able to help but I trust that you all can get this fixed asap, just @ me if you need anything"
2025-08-20 13:29:30,shay,online-boutique-5457,ok looking into this now
2025-08-20 13:30:06,PLAYER,business-comms-5457,sev1 500 internal servcer
2025-08-20 13:30:06,PLAYER,business-comms-5457,*Incident Number INC100044:* sev1 500 internal servcer
2025-08-20 13:30:06,UptimeLabs,online-boutique-5457,:star: Incident record created
2025-08-20 13:30:08,UptimeLabs,online-boutique-5457,:star: Send first comms in first 5 minutes
