datetime,player,channel,message
2025-08-28 13:11:59,UptimeLabs,online-boutique-5547,Start lvl 29
2025-08-28 13:13:17,PLAYER,online-boutique-5547,Clicked org button
2025-08-28 13:13:46,PLAYER,online-boutique-5547,Clicked undefined button
2025-08-28 13:13:51,PLAYER,online-boutique-5547,Clicked undefined button
2025-08-28 13:16:15,PLAYER,business-comms-5547,Slow connection P1
2025-08-28 13:16:15,PLAYER,business-comms-5547,*Incident Number INC100049:* Slow connection P1
2025-08-28 13:17:49,PLAYER,online-boutique-5547,Clicked Start button
2025-08-28 13:17:49,UptimeLabs,online-boutique-5547,":alarm_clock: - You have 25 minutes to resolve the outage, good luck! You can type `/help` if you need any reminders."
2025-08-28 13:17:50,Tinus,online-boutique-5547,"Welcome our new IM @Amy Jeanes, Happy to have you in the team. Hope you get comfortable with everyone"
2025-08-28 13:17:55,Shay,online-boutique-5547,Welcome @Amy Jeanes
2025-08-28 13:18:00,Daniel,online-boutique-5547,Nice to meet you @Amy Jeanes
2025-08-28 13:18:10,Bob,online-boutique-5547,There are a few strange customer reports with the helpdesk
2025-08-28 13:18:14,Bob,online-boutique-5547,"Apparently, the site is loading slowly"
2025-08-28 13:18:18,Bob,online-boutique-5547,People are reporting that they can't make payments either
2025-08-28 13:18:21,Bob,online-boutique-5547,customer_reports
2025-08-28 13:18:25,Bob,online-boutique-5547,@Amy Jeanes Can you check this?
2025-08-28 13:19:20,PLAYER,online-boutique-5547,Clicked org button
2025-08-28 13:19:27,UptimeLabs,online-boutique-5547,:bulb: Hint: Understand the problem by reproducing it
2025-08-28 13:19:58,PLAYER,online-boutique-5547,Daniel it looks like it might have started after a recent deployment of v4.3?
2025-08-28 13:20:07,UptimeLabs,online-boutique-5547,:star: Reviewed changes
2025-08-28 13:20:17,PLAYER,online-boutique-5547,Bob do you have any more info from customers?
2025-08-28 13:20:22,Bob,online-boutique-5547,Let me gather the information for you
2025-08-28 13:20:27,Bob,online-boutique-5547,There are more than 300 customer reports till now
2025-08-28 13:20:29,UptimeLabs,online-boutique-5547,:star: Asking questions to validate impact of the problem
2025-08-28 13:20:34,Bob,online-boutique-5547,"Calls are from every region, likely to be Global"
2025-08-28 13:20:40,Bob,online-boutique-5547,There's a bunch of messages coming in. A few people saying they can't do anything on the site
2025-08-28 13:20:45,Bob,online-boutique-5547,Let me know if you need more information
2025-08-28 13:20:56,Daniel,online-boutique-5547,Below are the changes implemented this morning
2025-08-28 13:20:58,PLAYER,online-boutique-5547,it looks like we're seeing 502 errors on the site
2025-08-28 13:21:01,Daniel,online-boutique-5547,deployments
2025-08-28 13:21:04,Daniel,online-boutique-5547,"If you want more information, check out Incident Manager dashboard for more details: <https://grafana.prod.uptimelabs.io/d/aOf5yan4z/incident-management>"
2025-08-28 13:21:15,UptimeLabs,online-boutique-5547,:star: Reproduces the incident
2025-08-28 13:21:28,PLAYER,online-boutique-5547,Shay can you tell me about the front end service change
