datetime,player,channel,message
2025-09-11 11:12:48,UptimeLabs,online-boutique-5721,"Welcome to Too Good To Be True, the responsibility is on you to size up the problem.

 *Use `/help` at any time for a list of useful links and commands*
 *Use `/incident` to create an incident record*

Once you're ready just click start to begin Start button"
2025-09-11 11:18:48,PLAYER,online-boutique-5721,Clicked org button
2025-09-11 11:21:42,PLAYER,business-comms-5721,slow internet P2
2025-09-11 11:21:42,PLAYER,business-comms-5721,*Incident Number INC100072:* slow internet P2
2025-09-11 11:25:55,PLAYER,online-boutique-5721,Clicked Start button
2025-09-11 11:25:56,Tinus,online-boutique-5721,"Welcome our new IM @Aoife Breen, Happy to have you in the team. Hope you get comfortable with everyone"
2025-09-11 11:25:56,UptimeLabs,online-boutique-5721,":alarm_clock: - You have 25 minutes to resolve the outage, good luck! You can type `/help` if you need any reminders."
2025-09-11 11:26:01,Shay,online-boutique-5721,Welcome @Aoife Breen
2025-09-11 11:26:06,Daniel,online-boutique-5721,Nice to meet you @Aoife Breen
2025-09-11 11:26:16,Bob,online-boutique-5721,There are a few strange customer reports with the helpdesk
2025-09-11 11:26:20,Bob,online-boutique-5721,"Apparently, the site is loading slowly"
2025-09-11 11:26:24,Bob,online-boutique-5721,People are reporting that they can't make payments either
2025-09-11 11:26:27,Bob,online-boutique-5721,customer_reports
2025-09-11 11:26:31,Bob,online-boutique-5721,@Aoife Breen Can you check this?
2025-09-11 11:26:40,PLAYER,online-boutique-5721,How many tweets on average are coming in?
2025-09-11 11:26:47,Bob,online-boutique-5721,Let me gather the information for you
2025-09-11 11:26:48,UptimeLabs,online-boutique-5721,:star: Asking questions to validate impact of the problem
2025-09-11 11:26:52,Bob,online-boutique-5721,There are more than 300 customer reports till now
2025-09-11 11:26:59,Bob,online-boutique-5721,"Calls are from every region, likely to be Global"
2025-09-11 11:27:05,Bob,online-boutique-5721,There's a bunch of messages coming in. A few people saying they can't do anything on the site
2025-09-11 11:27:10,Bob,online-boutique-5721,Let me know if you need more information
2025-09-11 11:27:37,UptimeLabs,online-boutique-5721,:bulb: Form an effective investigation team
2025-09-11 11:27:37,PLAYER,online-boutique-5721,Are users able to load the site and can't navigate properly or is the site not loading whatsoever
2025-09-11 11:27:53,PLAYER,business-comms-5721,- Site loading slowly & Payment issues P2
2025-09-11 11:27:53,PLAYER,business-comms-5721,*Incident Number INC100012:* - Site loading slowly &amp; Payment issues P2
2025-09-11 11:27:53,UptimeLabs,online-boutique-5721,:star: Incident record created
2025-09-11 11:27:55,UptimeLabs,online-boutique-5721,:star: Send first comms in first 5 minutes
2025-09-11 11:27:58,Bez,business-comms-5721,How many customers are affected? Are the reports coming in from all regions?
2025-09-11 11:27:59,UptimeLabs,online-boutique-5721,:star: Formally assign criticality level to the incident
2025-09-11 11:28:45,Shay,online-boutique-5721,"If this started recently, could it be tied to one of today’s changes? Daniel, can you list what got deployed?"
2025-09-11 11:28:53,Daniel,online-boutique-5721,Below are the changes implemented this morning
2025-09-11 11:28:58,Daniel,online-boutique-5721,deployments
2025-09-11 11:29:01,Daniel,online-boutique-5721,"If you want more information, check out Incident Manager dashboard for more details: <https://grafana.prod.uptimelabs.io/d/aOf5yan4z/incident-management>"
2025-09-11 11:29:29,PLAYER,online-boutique-5721,0 user activity
2025-09-11 11:29:36,UptimeLabs,online-boutique-5721,:star: Use metrics as evidence
2025-09-11 11:29:52,PLAYER,business-comms-5721,website is currently down - 0 incoming traffic. In hand and checking with the team
2025-09-11 11:30:45,PLAYER,online-boutique-5721,"Daniel - the initial issues reported involved payment issues, I can see you made this change CHG89347. Can you please cross-check this?"
2025-09-11 11:30:52,UptimeLabs,online-boutique-5721,:star: Reviewed changes
2025-09-11 11:31:20,Daniel,online-boutique-5721,"I have verified Payments change (CHG89347), there are no errors and the service is up and healthy"
2025-09-11 11:31:25,Daniel,online-boutique-5721,"Checkout service change(CHG89350) is in UAT, so not affecting PROD. But I see a few errors from Frontend pods"
2025-09-11 11:31:27,PLAYER,online-boutique-5721,Shay - may you also please check logs while Daniel verifies the above?
2025-09-11 11:31:32,Daniel,online-boutique-5721,All the errors started right after the change (CHG89349) on the Frontend
2025-09-11 11:31:34,UptimeLabs,online-boutique-5721,:star: Form an effective investigation team
2025-09-11 11:31:34,Bob,online-boutique-5721,The customer complaints are rising. @Aoife Breen Do we have an ETA for resolution?
2025-09-11 11:31:36,Bez,business-comms-5721,What is the latest on this?
2025-09-11 11:32:03,Shay,online-boutique-5721,Looking into this and trying to replicate the issue
