datetime,player,channel,message
2025-11-06 10:17:29,UptimeLabs,online-boutique-6624,"Welcome to Too Good To Be True, the responsibility is on you to size up the problem.

 *Use `/help` at any time for a list of useful links and commands*
 *Use `/incident` to create an incident record*

Once you're ready just click start to begin Start button"
2025-11-06 10:21:21,PLAYER,online-boutique-6624,Clicked undefined button
2025-11-06 10:21:33,PLAYER,online-boutique-6624,Clicked org button
2025-11-06 10:21:39,PLAYER,online-boutique-6624,Clicked undefined button
2025-11-06 10:24:13,PLAYER,online-boutique-6624,test
2025-11-06 10:24:13,PLAYER,business-comms-6624,*Incident Number INC100063:* test
2025-11-06 10:25:19,PLAYER,online-boutique-6624,Clicked Start button
2025-11-06 10:25:19,Tinus,online-boutique-6624,"Welcome our new IM @Donnchadh Tierney, Happy to have you in the team. Hope you get comfortable with everyone"
2025-11-06 10:25:20,UptimeLabs,online-boutique-6624,":alarm_clock: - You have 25 minutes to resolve the outage, good luck! You can type `/help` if you need any reminders."
2025-11-06 10:25:25,Shay,online-boutique-6624,Welcome @Donnchadh Tierney
2025-11-06 10:25:30,Daniel,online-boutique-6624,Nice to meet you @Donnchadh Tierney
2025-11-06 10:25:30,PLAYER,online-boutique-6624,Hello
2025-11-06 10:25:38,PLAYER,online-boutique-6624,Great to meet you all
2025-11-06 10:25:40,Bob,online-boutique-6624,There are a few strange customer reports with the helpdesk
2025-11-06 10:25:44,Bob,online-boutique-6624,"Apparently, the site is loading slowly"
2025-11-06 10:25:48,Bob,online-boutique-6624,People are reporting that they can't make payments either
2025-11-06 10:25:51,Bob,online-boutique-6624,customer_reports
2025-11-06 10:25:55,Bob,online-boutique-6624,@Donnchadh Tierney Can you check this?
2025-11-06 10:25:57,PLAYER,online-boutique-6624,How many customers are reporting these issues?
2025-11-06 10:26:01,UptimeLabs,online-boutique-6624,:star: Asking questions to validate impact of the problem
2025-11-06 10:26:14,PLAYER,online-boutique-6624,Bob could you please confirm
2025-11-06 10:26:26,Bob,online-boutique-6624,Let me gather the information for you
2025-11-06 10:26:31,Bob,online-boutique-6624,There are more than 300 customer reports till now
2025-11-06 10:26:38,Bob,online-boutique-6624,"Calls are from every region, likely to be Global"
2025-11-06 10:26:44,Bob,online-boutique-6624,There's a bunch of messages coming in. A few people saying they can't do anything on the site
2025-11-06 10:26:49,Bob,online-boutique-6624,Let me know if you need more information
2025-11-06 10:26:50,PLAYER,online-boutique-6624,is that for both the payments issue and the latency issues?
2025-11-06 10:27:08,PLAYER,online-boutique-6624,Bob
2025-11-06 10:27:13,UptimeLabs,online-boutique-6624,:bulb: Understand the problem by reproducing it
2025-11-06 10:27:26,PLAYER,online-boutique-6624,checking the website now to replicate
2025-11-06 10:27:35,UptimeLabs,online-boutique-6624,:star: Reproduces the incident
2025-11-06 10:27:58,Daniel,online-boutique-6624,Below are the changes implemented this morning
2025-11-06 10:28:03,Daniel,online-boutique-6624,deployments
2025-11-06 10:28:06,Daniel,online-boutique-6624,"If you want more information, checkout the change details : <https://uptime-labs.atlassian.net/wiki/external/ZmRkZTQ1ODg2M2U1NGM3NDk1ZjZhM2I3MWY0MTM5ODA> "
2025-11-06 10:28:06,PLAYER,online-boutique-6624,Seeing a bad gateway error when I try to replicate
2025-11-06 10:28:22,PLAYER,online-boutique-6624,and 0 user activity
2025-11-06 10:28:29,UptimeLabs,online-boutique-6624,:star: Use metrics as evidence
2025-11-06 10:28:41,Shay,online-boutique-6624,`I got the same error
2025-11-06 10:29:07,Shay,online-boutique-6624,Looking into this and trying to replicate the issue
2025-11-06 10:29:09,Daniel,online-boutique-6624,I am able to replicate the issue. Checking the logs now
2025-11-06 10:29:12,Daniel,online-boutique-6624,"I see a lot of errors, most of them are context initialisation errors "
2025-11-06 10:29:16,Daniel,online-boutique-6624,Logs
2025-11-06 10:29:18,Shay,online-boutique-6624,Yes replicated the issue and even i'm seeing similar errors in frontend logs
2025-11-06 10:29:22,Bez,business-comms-6624,"I have a stake holders meet in next 10 minutes, @Donnchadh Tierney do you think this can be resolved by then? "
2025-11-06 10:29:29,PLAYER,online-boutique-6624,has this issue occurred since we pushed the change in question?
2025-11-06 10:29:33,UptimeLabs,online-boutique-6624,:star: Reviewed changes
2025-11-06 10:29:34,PLAYER,online-boutique-6624,when did it start
2025-11-06 10:29:35,UptimeLabs,online-boutique-6624,:bulb: Declare an incident.
2025-11-06 10:30:08,Daniel,online-boutique-6624,"I have verified Payments change (CHG89347), there are no errors and the service is up and healthy"
2025-11-06 10:30:13,Daniel,online-boutique-6624,"Checkout service change(CHG89350) is in UAT, so not affecting PROD. But I see a few errors from Frontend pods"
2025-11-06 10:30:19,Daniel,online-boutique-6624,All the errors started right after the change (CHG89349) on the Frontend
2025-11-06 10:30:22,Bob,online-boutique-6624,The customer complaints are rising. @Donnchadh Tierney Do we have an ETA for resolution?
2025-11-06 10:30:24,Bez,business-comms-6624,What is the latest on this?
2025-11-06 10:30:54,PLAYER,online-boutique-6624,SEV-1 - Global issue impacting a high number of customers
2025-11-06 10:30:54,PLAYER,business-comms-6624,*Incident Number INC100036:* SEV-1 - Global issue impacting a high number of customers
2025-11-06 10:30:55,UptimeLabs,online-boutique-6624,:star: Incident record created
2025-11-06 10:30:57,UptimeLabs,online-boutique-6624,:star: Send first comms in first 5 minutes
2025-11-06 10:31:00,Bez,business-comms-6624,How many customers are affected? Are the reports coming in from all regions?
2025-11-06 10:31:03,UptimeLabs,online-boutique-6624,:star: Qualify the problem
2025-11-06 10:31:40,PLAYER,business-comms-6624,300 customers reported impact so far
2025-11-06 10:31:52,PLAYER,business-comms-6624,I will do my best to resolve in the next 10 mins
2025-11-06 10:33:09,PLAYER,online-boutique-6624,Hamed do you think we should rollback given the impact and stakeholder meeting?
2025-11-06 10:33:15,Hamed,online-boutique-6624,"I did follow the chat, I could see the issue started exactly at the time when the change was implemented on the frontend"
2025-11-06 10:33:17,UptimeLabs,online-boutique-6624,:star: Restoration over root cause analysis
2025-11-06 10:33:22,Hamed,online-boutique-6624,Did we test the change in the UAT environment before implementation
2025-11-06 10:33:28,Daniel,online-boutique-6624,A Frontend change caused by change CHG89349 has brought down the Frontend pods
2025-11-06 10:33:32,PLAYER,online-boutique-6624,Yes I think it is best to rollback the change
2025-11-06 10:33:34,Shay,online-boutique-6624,But this functionally worked when I tested
2025-11-06 10:33:39,Daniel,online-boutique-6624,"Even if it worked in your test environment, something's behaving differently in prod, maybe a config mismatch or unhandled edge case"
2025-11-06 10:33:42,Bez,business-comms-6624,Can you give a quick update on the status?
2025-11-06 10:33:48,PLAYER,online-boutique-6624,Best to be safe and rollback the prod change
2025-11-06 10:33:58,Shay,online-boutique-6624,"Sorry, I've never done a rollback in PROD before, can someone help me with the steps?"
2025-11-06 10:33:58,PLAYER,online-boutique-6624,who pushed the change?
2025-11-06 10:34:12,PLAYER,online-boutique-6624,"No problem Shay, I will escalate further"
2025-11-06 10:34:28,Daniel,online-boutique-6624,"I will help you, @Shay. Rolling back now"
2025-11-06 10:34:29,PLAYER,online-boutique-6624,Daniel could you please assist with this rollback?
