datetime,player,channel,message
2025-08-05 14:14:57,UptimeLabs,online-boutique-5271,Start lvl 29 [n/a - 0]
2025-08-05 14:21:35,PLAYER,online-boutique-5271,Clicked undefined button
2025-08-05 14:21:49,PLAYER,online-boutique-5271,Clicked undefined button
2025-08-05 14:22:12,PLAYER,online-boutique-5271,Clicked org button
2025-08-05 14:24:06,PLAYER,business-comms-5271,*Incident Number INC100020:* TEST p1 [n/a - 0]
2025-08-05 14:26:39,PLAYER,online-boutique-5271,Clicked Start button
2025-08-05 14:26:40,Tinus,online-boutique-5271,"Welcome our new IM @Ehsaan Gaffar, Happy to have you in the team. Hope you get comfortable with everyone [n/a - 0]"
2025-08-05 14:26:45,Shay,online-boutique-5271,Welcome @Ehsaan Gaffar [n/a - 0]
2025-08-05 14:26:50,Daniel,online-boutique-5271,Nice to meet you @Ehsaan Gaffar [n/a - 0]
2025-08-05 14:27:00,Bob,online-boutique-5271,There are a few strange customer reports with the helpdesk [n/a - 0]
2025-08-05 14:27:02,PLAYER,online-boutique-5271,Hi everyone [n/a - 0]
2025-08-05 14:27:04,Bob,online-boutique-5271,"Apparently, the site is loading slowly [n/a - 0]"
2025-08-05 14:27:08,Bob,online-boutique-5271,People are reporting that they can't make payments either [n/a - 0]
2025-08-05 14:27:11,Bob,online-boutique-5271,customer_reports [n/a - 0]
2025-08-05 14:27:15,Bob,online-boutique-5271,@Ehsaan Gaffar Can you check this? [n/a - 0]
2025-08-05 14:27:23,PLAYER,online-boutique-5271,understood ill take a look [n/a - 0]
2025-08-05 14:28:49,PLAYER,online-boutique-5271,"Hi Bob im getting a 502 error when trying to access the website, are the customers seeing the same thing? or are they reporting something different? [n/a - 0]"
2025-08-05 14:28:55,Bob,online-boutique-5271,Let me gather the information for you [n/a - 0]
2025-08-05 14:29:00,Bob,online-boutique-5271,There are more than 300 customer reports till now [n/a - 0]
2025-08-05 14:29:02,UptimeLabs,online-boutique-5271,:star: Asking questions to validate impact of the problem [n/a - 0]
2025-08-05 14:29:07,Bob,online-boutique-5271,"Calls are from every region, likely to be Global [n/a - 0]"
2025-08-05 14:29:13,Bob,online-boutique-5271,There's a bunch of messages coming in. A few people saying they can't do anything on the site [n/a - 0]
2025-08-05 14:29:18,Bob,online-boutique-5271,Let me know if you need more information [n/a - 0]
2025-08-05 14:29:22,UptimeLabs,online-boutique-5271,:star: Reproduces the incident [n/a - 0]
2025-08-05 14:29:49,PLAYER,business-comms-5271,*Incident Number INC100091:* Website is down p1 [n/a - 0]
2025-08-05 14:29:49,UptimeLabs,online-boutique-5271,:star: Incident record created [n/a - 0]
2025-08-05 14:29:51,UptimeLabs,online-boutique-5271,:star: Send first comms in first 5 minutes [n/a - 0]
2025-08-05 14:29:54,Bez,business-comms-5271,How many customers are affected? Are the reports coming in from all regions? [n/a - 0]
2025-08-05 14:30:03,PLAYER,online-boutique-5271,ive just created a p1 alert for this incident [n/a - 0]
2025-08-05 14:30:15,Bez,business-comms-5271,Not again [n/a - 0]
2025-08-05 14:31:14,PLAYER,online-boutique-5271,Shay Daniel could you both please check the logs to see why people are not able to access the website? [n/a - 0]
2025-08-05 14:31:20,UptimeLabs,online-boutique-5271,:star: Form an effective investigation team [n/a - 0]
2025-08-05 14:31:23,Shay,online-boutique-5271,I will check check my changes [n/a - 0]
2025-08-05 14:31:25,Daniel,online-boutique-5271,I am able to replicate the issue. Checking the logs now [n/a - 0]
2025-08-05 14:31:28,Daniel,online-boutique-5271,"I see a lot of errors, most of them are context initialisation errors  [n/a - 0]"
2025-08-05 14:31:32,Daniel,online-boutique-5271,Logs [n/a - 0]
2025-08-05 14:31:38,Bez,business-comms-5271,"I have a stake holders meet in next 10 minutes, @Ehsaan Gaffar do you think this can be resolved by then?  [n/a - 0]"
2025-08-05 14:31:59,PLAYER,business-comms-5271,"Hi Bez according to Bob we have about 300 customer reports, i am working with the team now to get this resolved [n/a - 0]"
2025-08-05 14:32:38,PLAYER,business-comms-5271,I will try to get the site back as fast as i can however i cant promise that it will be resolved in the next 10 minutes [n/a - 0]
2025-08-05 14:32:40,UptimeLabs,online-boutique-5271,:star: Formally assign criticality level to the incident [n/a - 0]
2025-08-05 14:33:01,UptimeLabs,online-boutique-5271,:bulb: Hint: Check the changes done in the platform [n/a - 0]
2025-08-05 14:33:11,PLAYER,online-boutique-5271,Daniel sorry could you please explain what these messages mean? [n/a - 0]
2025-08-05 14:33:55,Daniel,online-boutique-5271,Looks like there are few errors in front end service [n/a - 0]
2025-08-05 14:34:32,PLAYER,online-boutique-5271,Shay could you please check the changes you made to prod today? [n/a - 0]
2025-08-05 14:34:36,UptimeLabs,online-boutique-5271,:star: Reviewed changes [n/a - 0]
2025-08-05 14:35:04,PLAYER,online-boutique-5271,"Daniel i believe that there are issues with the payment service too, could you please also check your changes to prod? [n/a - 0]"
2025-08-05 14:35:07,Daniel,online-boutique-5271,"I have verified Payments change (CHG89347), there are no errors and the service is up and healthy [n/a - 0]"
2025-08-05 14:35:12,Daniel,online-boutique-5271,"Checkout service change(CHG89350) is in UAT, so not affecting PROD. But I see a few errors from Frontend pods [n/a - 0]"
