datetime,player,channel,message
2025-11-04 10:18:26,UptimeLabs,online-boutique-6570,"Welcome to Too Good To Be True, the responsibility is on you to size up the problem.

 *Use `/help` at any time for a list of useful links and commands*
 *Use `/incident` to create an incident record*

Once you're ready just click start to begin Start button"
2025-11-04 10:20:56,PLAYER,online-boutique-6570,test
2025-11-04 10:20:57,PLAYER,business-comms-6570,*Incident Number INC10006:* test
2025-11-04 10:23:51,PLAYER,online-boutique-6570,Clicked undefined button
2025-11-04 10:23:57,PLAYER,online-boutique-6570,Clicked undefined button
2025-11-04 10:30:30,PLAYER,online-boutique-6570,Clicked Start button
2025-11-04 10:30:30,Tinus,online-boutique-6570,"Welcome our new IM @Ellie Walsh, Happy to have you in the team. Hope you get comfortable with everyone"
2025-11-04 10:30:31,UptimeLabs,online-boutique-6570,":alarm_clock: - You have 25 minutes to resolve the outage, good luck! You can type `/help` if you need any reminders."
2025-11-04 10:30:35,Shay,online-boutique-6570,Welcome @Ellie Walsh
2025-11-04 10:30:41,Daniel,online-boutique-6570,Nice to meet you @Ellie Walsh
2025-11-04 10:30:51,Bob,online-boutique-6570,There are a few strange customer reports with the helpdesk
2025-11-04 10:30:55,Bob,online-boutique-6570,"Apparently, the site is loading slowly"
2025-11-04 10:30:59,Bob,online-boutique-6570,People are reporting that they can't make payments either
2025-11-04 10:31:02,Bob,online-boutique-6570,customer_reports
2025-11-04 10:31:06,Bob,online-boutique-6570,@Ellie Walsh Can you check this?
2025-11-04 10:31:21,PLAYER,online-boutique-6570,Yes will take a look
2025-11-04 10:31:40,PLAYER,online-boutique-6570,Are there any particular pages of the website that are running slow?
2025-11-04 10:31:47,UptimeLabs,online-boutique-6570,:star: Asking questions to validate impact of the problem
2025-11-04 10:32:12,Bob,online-boutique-6570,Let me gather the information for you
2025-11-04 10:32:17,Bob,online-boutique-6570,There are more than 300 customer reports till now
2025-11-04 10:32:24,Bob,online-boutique-6570,"Calls are from every region, likely to be Global"
2025-11-04 10:32:30,Bob,online-boutique-6570,There's a bunch of messages coming in. A few people saying they can't do anything on the site
2025-11-04 10:32:35,Bob,online-boutique-6570,Let me know if you need more information
2025-11-04 10:33:31,Shay,online-boutique-6570,Same here!
2025-11-04 10:33:43,UptimeLabs,online-boutique-6570,:bulb: Hint: Declare an incident.
2025-11-04 10:35:57,PLAYER,online-boutique-6570,"users reporting site loading slowly, global issue 300 customer reports, not able to access website sev-1"
