datetime,player,channel,message
2025-09-05 13:11:04,UptimeLabs,online-boutique-5664,"Welcome to Too Good To Be True, the responsibility is on you to size up the problem.

 *Use `/help` at any time for a list of useful links and commands*
 *Use `/incident` to create an incident record*

Once you're ready just click start to begin Start button"
2025-09-05 13:13:55,PLAYER,online-boutique-5664,Clicked org button
2025-09-05 13:18:11,PLAYER,business-comms-5664,test severity p2
2025-09-05 13:18:11,PLAYER,business-comms-5664,*Incident Number INC100025:* test severity p2
2025-09-05 13:20:55,PLAYER,online-boutique-5664,Clicked Start button
2025-09-05 13:20:56,Tinus,online-boutique-5664,"Welcome our new IM @Gowtham Kumar Reddy B, Happy to have you in the team. Hope you get comfortable with everyone"
2025-09-05 13:20:56,UptimeLabs,online-boutique-5664,":alarm_clock: - You have 25 minutes to resolve the outage, good luck! You can type `/help` if you need any reminders."
2025-09-05 13:21:01,Shay,online-boutique-5664,Welcome @Gowtham Kumar Reddy B
2025-09-05 13:21:06,Daniel,online-boutique-5664,Nice to meet you @Gowtham Kumar Reddy B
2025-09-05 13:21:16,Bob,online-boutique-5664,There are a few strange customer reports with the helpdesk
2025-09-05 13:21:20,Bob,online-boutique-5664,"Apparently, the site is loading slowly"
2025-09-05 13:21:24,Bob,online-boutique-5664,People are reporting that they can't make payments either
2025-09-05 13:21:27,Bob,online-boutique-5664,customer_reports
2025-09-05 13:21:31,Bob,online-boutique-5664,@Gowtham Kumar Reddy B Can you check this?
2025-09-05 13:22:53,PLAYER,online-boutique-5664,"Hi Bob, can we have more details on customer relate reports"
2025-09-05 13:22:56,Bob,online-boutique-5664,Let me gather the information for you
2025-09-05 13:23:01,Bob,online-boutique-5664,There are more than 300 customer reports till now
2025-09-05 13:23:02,UptimeLabs,online-boutique-5664,:star: Asking questions to validate impact of the problem
2025-09-05 13:23:08,Bob,online-boutique-5664,"Calls are from every region, likely to be Global"
2025-09-05 13:23:14,Bob,online-boutique-5664,There's a bunch of messages coming in. A few people saying they can't do anything on the site
2025-09-05 13:23:19,Bob,online-boutique-5664,Let me know if you need more information
2025-09-05 13:23:56,PLAYER,online-boutique-5664,"yes, i to see site is down lets drill down the logs and add the engineer"
2025-09-05 13:24:07,UptimeLabs,online-boutique-5664,:star: Reproduces the incident
2025-09-05 13:24:07,UptimeLabs,online-boutique-5664,:star: Facts over opinion
2025-09-05 13:24:57,PLAYER,online-boutique-5664,Daniel can we have the logs and the cause which is causing issue
2025-09-05 13:25:01,Shay,online-boutique-5664,Looking into this and trying to replicate the issue
2025-09-05 13:25:03,Daniel,online-boutique-5664,I am able to replicate the issue. Checking the logs now
2025-09-05 13:25:05,UptimeLabs,online-boutique-5664,:star: Ask team members to provide evidence of their assertions
2025-09-05 13:25:06,Daniel,online-boutique-5664,"I see a lot of errors, most of them are context initialisation errors "
2025-09-05 13:25:10,Daniel,online-boutique-5664,Logs
2025-09-05 13:25:12,Shay,online-boutique-5664,Yes replicated the issue and even i'm seeing similar errors in frontend logs
2025-09-05 13:25:16,Bez,business-comms-5664,"I have a stake holders meet in next 10 minutes, @Gowtham Kumar Reddy B do you think this can be resolved by then? "
2025-09-05 13:25:42,UptimeLabs,online-boutique-5664,:bulb: Declare an incident.
2025-09-05 13:26:10,PLAYER,online-boutique-5664,let raise p1 incident
2025-09-05 13:26:34,Daniel,online-boutique-5664,Below are the changes implemented this morning
2025-09-05 13:26:36,PLAYER,business-comms-5664,p1
2025-09-05 13:26:36,PLAYER,business-comms-5664,*Incident Number INC100035:* p1
2025-09-05 13:26:37,UptimeLabs,online-boutique-5664,:star: Incident record created
2025-09-05 13:26:38,UptimeLabs,online-boutique-5664,:star: Send first comms in first 5 minutes
2025-09-05 13:26:39,Daniel,online-boutique-5664,deployments
2025-09-05 13:26:41,Bez,business-comms-5664,How many customers are affected? Are the reports coming in from all regions?
2025-09-05 13:26:41,UptimeLabs,online-boutique-5664,:star: Formally assign criticality level to the incident
2025-09-05 13:26:42,Daniel,online-boutique-5664,"If you want more information, check out Incident Manager dashboard for more details: <https://grafana.prod.uptimelabs.io/d/aOf5yan4z/incident-management>"
2025-09-05 13:27:55,PLAYER,business-comms-5664,i see 300 customers affected
2025-09-05 13:29:23,PLAYER,business-comms-5664,"HI Bez, we are trying to mitigate the issue can we have join in the online-boutique-5664 bridge to analyse"
2025-09-05 13:30:22,PLAYER,business-comms-5664,"we keep update you shortly, we are trying to bring back the site to online"
2025-09-05 13:30:25,Bez,business-comms-5664,"thanks, keep me in the loop"
2025-09-05 13:32:00,PLAYER,online-boutique-5664,"Tanya Daniel Shay, can we have the quick on the tickets assigned you let have update"
2025-09-05 13:32:02,Tanya,online-boutique-5664,There are no alerts on the Infrastructure. I did see a few errors on the frontend apps
2025-09-05 13:32:08,UptimeLabs,online-boutique-5664,:star: Manage actions and timings
2025-09-05 13:32:08,Tanya,online-boutique-5664,This looks to me like an issue in the frontend pod
