datetime,player,channel,message
2025-10-28 14:31:28,UptimeLabs,online-boutique-6476,"Welcome to Too Good To Be True, the responsibility is on you to size up the problem.

 *Use `/help` at any time for a list of useful links and commands*
 *Use `/incident` to create an incident record*

Once you're ready just click start to begin Start button"
2025-10-28 14:32:37,PLAYER,online-boutique-6476,Clicked undefined button
2025-10-28 14:34:07,PLAYER,online-boutique-6476,Clicked undefined button
2025-10-28 14:34:07,PLAYER,online-boutique-6476,Clicked org button
2025-10-28 14:34:08,PLAYER,online-boutique-6476,Clicked undefined button
2025-10-28 14:35:37,PLAYER,online-boutique-6476,test P1
2025-10-28 14:35:37,PLAYER,business-comms-6476,*Incident Number INC100059:* test P1
2025-10-28 14:36:54,UptimeLabs,online-boutique-6476,:star: Incident record created
2025-10-28 14:37:01,UptimeLabs,online-boutique-6476,:bulb: Declare an incident.
2025-10-28 14:38:33,PLAYER,online-boutique-6476,Clicked Start button
2025-10-28 14:38:33,Tinus,online-boutique-6476,"Welcome our new IM @Leah Murphy, Happy to have you in the team. Hope you get comfortable with everyone"
2025-10-28 14:38:34,UptimeLabs,online-boutique-6476,":alarm_clock: - You have 25 minutes to resolve the outage, good luck! You can type `/help` if you need any reminders."
2025-10-28 14:38:38,Shay,online-boutique-6476,Welcome @Leah Murphy
2025-10-28 14:38:43,Daniel,online-boutique-6476,Nice to meet you @Leah Murphy
2025-10-28 14:38:53,Bob,online-boutique-6476,There are a few strange customer reports with the helpdesk
2025-10-28 14:38:57,Bob,online-boutique-6476,"Apparently, the site is loading slowly"
2025-10-28 14:39:01,Bob,online-boutique-6476,People are reporting that they can't make payments either
2025-10-28 14:39:05,Bob,online-boutique-6476,customer_reports
2025-10-28 14:39:09,Bob,online-boutique-6476,@Leah Murphy Can you check this?
2025-10-28 14:39:10,PLAYER,online-boutique-6476,When did the first report come in?
2025-10-28 14:39:18,Bob,online-boutique-6476,Let me gather the information for you
2025-10-28 14:39:18,UptimeLabs,online-boutique-6476,:star: Asking questions to validate impact of the problem
2025-10-28 14:39:23,Bob,online-boutique-6476,There are more than 300 customer reports till now
2025-10-28 14:39:30,Bob,online-boutique-6476,"Calls are from every region, likely to be Global"
2025-10-28 14:39:36,Bob,online-boutique-6476,There's a bunch of messages coming in. A few people saying they can't do anything on the site
2025-10-28 14:39:41,Bob,online-boutique-6476,Let me know if you need more information
2025-10-28 14:39:49,PLAYER,online-boutique-6476,Global Outage P1
2025-10-28 14:39:49,PLAYER,business-comms-6476,*Incident Number INC100039:* Global Outage P1
2025-10-28 14:39:49,UptimeLabs,online-boutique-6476,:star: Incident record created
