datetime,player,channel,message
2025-11-18 09:43:39,UptimeLabs,online-boutique-6801,"Welcome to Too Good To Be True, the responsibility is on you to size up the problem.

 *Use `/help` at any time for a list of useful links and commands*
 *Use `/incident` to create an incident record*

Once you're ready just click start to begin Start button"
2025-11-18 09:46:53,PLAYER,online-boutique-6801,Clicked org button
2025-11-18 09:49:14,PLAYER,online-boutique-6801,slow internet sev 3
2025-11-18 09:49:14,PLAYER,business-comms-6801,*Incident Number INC100050:* slow internet sev 3
2025-11-18 09:50:32,PLAYER,online-boutique-6801,Clicked undefined button
2025-11-18 09:51:54,PLAYER,online-boutique-6801,Clicked Start button
2025-11-18 09:51:55,Tinus,online-boutique-6801,"Welcome our new IM @Mark Michael McGarry, Happy to have you in the team. Hope you get comfortable with everyone"
2025-11-18 09:51:55,UptimeLabs,online-boutique-6801,":alarm_clock: - You have 25 minutes to resolve the outage, good luck! You can type `/help` if you need any reminders."
2025-11-18 09:52:00,Shay,online-boutique-6801,Welcome @Mark Michael McGarry
2025-11-18 09:52:05,Daniel,online-boutique-6801,Nice to meet you @Mark Michael McGarry
2025-11-18 09:52:12,PLAYER,online-boutique-6801,":wave: Hello, team!"
2025-11-18 09:52:15,Bob,online-boutique-6801,There are a few strange customer reports with the helpdesk
2025-11-18 09:52:19,Bob,online-boutique-6801,"Apparently, the site is loading slowly"
2025-11-18 09:52:23,Bob,online-boutique-6801,People are reporting that they can't make payments either
2025-11-18 09:52:26,Bob,online-boutique-6801,customer_reports
2025-11-18 09:52:30,Bob,online-boutique-6801,@Mark McGarry Can you check this?
2025-11-18 09:52:59,PLAYER,online-boutique-6801,Hi Bob- will check now
2025-11-18 09:53:56,PLAYER,online-boutique-6801,Site isn't loading at all
2025-11-18 09:54:05,UptimeLabs,online-boutique-6801,:star: Qualify the problem
2025-11-18 09:54:06,PLAYER,online-boutique-6801,User activity has dropped to 0
2025-11-18 09:55:16,PLAYER,online-boutique-6801,Bob - are we aware of any regions where the site is still working?
2025-11-18 09:55:17,Bob,online-boutique-6801,Let me gather the information for you
2025-11-18 09:55:20,UptimeLabs,online-boutique-6801,:star: Asking questions to validate impact of the problem
