datetime,player,channel,message
2025-08-29 12:12:05,UptimeLabs,online-boutique-5568,Start lvl 29
2025-08-29 12:14:32,PLAYER,online-boutique-5568,Clicked Start button
2025-08-29 12:14:33,UptimeLabs,online-boutique-5568,":alarm_clock: - You have 25 minutes to resolve the outage, good luck! You can type `/help` if you need any reminders."
2025-08-29 12:14:34,Tinus,online-boutique-5568,"Welcome our new IM @Sanjay V, Happy to have you in the team. Hope you get comfortable with everyone"
2025-08-29 12:14:39,Shay,online-boutique-5568,Welcome @Sanjay V
2025-08-29 12:14:44,Daniel,online-boutique-5568,Nice to meet you @Sanjay V
2025-08-29 12:14:54,Bob,online-boutique-5568,There are a few strange customer reports with the helpdesk
2025-08-29 12:14:58,Bob,online-boutique-5568,"Apparently, the site is loading slowly"
2025-08-29 12:15:02,Bob,online-boutique-5568,People are reporting that they can't make payments either
2025-08-29 12:15:02,PLAYER,online-boutique-5568,Thanks guys. Its great to work with you all.
2025-08-29 12:15:05,Bob,online-boutique-5568,customer_reports
2025-08-29 12:15:09,Bob,online-boutique-5568,@Sanjay V Can you check this?
2025-08-29 12:15:35,PLAYER,online-boutique-5568,Hey Bob What is the complaints that we are getting? Is it specific to any region or are we getting calls from across
2025-08-29 12:15:43,UptimeLabs,online-boutique-5568,:star: Asking questions to validate impact of the problem
2025-08-29 12:16:04,PLAYER,online-boutique-5568,I am getting a 502 bad gateway error
2025-08-29 12:16:05,Bob,online-boutique-5568,Let me gather the information for you
2025-08-29 12:16:10,Bob,online-boutique-5568,There are more than 300 customer reports till now
2025-08-29 12:16:11,UptimeLabs,online-boutique-5568,:star: Reproduces the incident
2025-08-29 12:16:17,Bob,online-boutique-5568,"Calls are from every region, likely to be Global"
2025-08-29 12:16:22,PLAYER,online-boutique-5568,Shay Daniel Can we check from Platform.
2025-08-29 12:16:23,Bob,online-boutique-5568,There's a bunch of messages coming in. A few people saying they can't do anything on the site
2025-08-29 12:16:28,Shay,online-boutique-5568,Looking into this and trying to replicate the issue
2025-08-29 12:16:28,Bob,online-boutique-5568,Let me know if you need more information
2025-08-29 12:16:30,Daniel,online-boutique-5568,I am able to replicate the issue. Checking the logs now
2025-08-29 12:16:33,Daniel,online-boutique-5568,"I see a lot of errors, most of them are context initialisation errors "
2025-08-29 12:16:35,PLAYER,online-boutique-5568,Got it Bob.
2025-08-29 12:16:37,Daniel,online-boutique-5568,Logs
2025-08-29 12:16:39,Shay,online-boutique-5568,Yes replicated the issue and even i'm seeing similar errors in frontend logs
2025-08-29 12:16:42,PLAYER,online-boutique-5568,Let me create a INC.
2025-08-29 12:16:43,Bez,business-comms-5568,"I have a stake holders meet in next 10 minutes, @Sanjay V do you think this can be resolved by then? "
2025-08-29 12:16:46,UptimeLabs,online-boutique-5568,:bulb: Hint: Declare an incident.
2025-08-29 12:16:52,PLAYER,online-boutique-5568,Can we check if there are any ongoing CHG
2025-08-29 12:17:00,UptimeLabs,online-boutique-5568,:star: Check changes done to the platform
2025-08-29 12:17:01,Daniel,online-boutique-5568,Below are the changes implemented this morning
2025-08-29 12:17:06,Daniel,online-boutique-5568,deployments
2025-08-29 12:17:07,PLAYER,business-comms-5568,Users are unable to access the website P1
2025-08-29 12:17:07,PLAYER,business-comms-5568,*Incident Number INC100080:* Users are unable to access the website P1
2025-08-29 12:17:07,UptimeLabs,online-boutique-5568,:star: Incident record created
2025-08-29 12:17:09,Daniel,online-boutique-5568,"If you want more information, check out Incident Manager dashboard for more details: <https://grafana.prod.uptimelabs.io/d/aOf5yan4z/incident-management>"
2025-08-29 12:17:09,UptimeLabs,online-boutique-5568,:star: Send first comms in first 5 minutes
2025-08-29 12:17:12,Bez,business-comms-5568,How many customers are affected? Are the reports coming in from all regions?
2025-08-29 12:17:22,UptimeLabs,online-boutique-5568,:star: Formally assign criticality level to the incident
