datetime,player,channel,message
2025-08-05 14:12:14,UptimeLabs,online-boutique-5270,Start lvl 29 [n/a - 0]
2025-08-05 14:16:27,PLAYER,business-comms-5270,*Incident Number INC100070:* slow internet connection and p3 [n/a - 0]
2025-08-05 14:17:46,PLAYER,online-boutique-5270,Clicked Start button
2025-08-05 14:17:47,UptimeLabs,online-boutique-5270,":alarm_clock: - You have 25 minutes to resolve the outage, good luck! You can type `/help` if you need any reminders. [n/a - 0]"
2025-08-05 14:17:47,Tinus,online-boutique-5270,"Welcome our new IM @Sudarshan R, Happy to have you in the team. Hope you get comfortable with everyone [n/a - 0]"
2025-08-05 14:17:52,Shay,online-boutique-5270,Welcome @Sudarshan R [n/a - 0]
2025-08-05 14:17:57,Daniel,online-boutique-5270,Nice to meet you @Sudarshan R [n/a - 0]
2025-08-05 14:17:57,PLAYER,online-boutique-5270,Hi all [n/a - 0]
2025-08-05 14:18:07,Bob,online-boutique-5270,There are a few strange customer reports with the helpdesk [n/a - 0]
2025-08-05 14:18:11,Bob,online-boutique-5270,"Apparently, the site is loading slowly [n/a - 0]"
2025-08-05 14:18:15,Bob,online-boutique-5270,People are reporting that they can't make payments either [n/a - 0]
2025-08-05 14:18:18,Bob,online-boutique-5270,customer_reports [n/a - 0]
2025-08-05 14:18:22,Bob,online-boutique-5270,@Sudarshan R Can you check this? [n/a - 0]
2025-08-05 14:18:40,PLAYER,online-boutique-5270,Bob do we know how many customers have reported? [n/a - 0]
2025-08-05 14:18:46,UptimeLabs,online-boutique-5270,:star: Asking questions to validate impact of the problem [n/a - 0]
2025-08-05 14:18:56,Bob,online-boutique-5270,Let me gather the information for you [n/a - 0]
2025-08-05 14:19:01,Bob,online-boutique-5270,There are more than 300 customer reports till now [n/a - 0]
2025-08-05 14:19:08,Bob,online-boutique-5270,"Calls are from every region, likely to be Global [n/a - 0]"
2025-08-05 14:19:14,Bob,online-boutique-5270,There's a bunch of messages coming in. A few people saying they can't do anything on the site [n/a - 0]
2025-08-05 14:19:19,Bob,online-boutique-5270,Let me know if you need more information [n/a - 0]
2025-08-05 14:20:30,PLAYER,online-boutique-5270,ok Im getting 502 error as well [n/a - 0]
2025-08-05 14:20:35,UptimeLabs,online-boutique-5270,:star: Reproduces the incident [n/a - 0]
2025-08-05 14:22:50,PLAYER,online-boutique-5270,"I see there are 3 changes deployed, Shay /Daniel can you check? [n/a - 0]"
2025-08-05 14:22:52,Shay,online-boutique-5270,I will check check my changes [n/a - 0]
2025-08-05 14:22:54,Daniel,online-boutique-5270,I am able to replicate the issue. Checking the logs now [n/a - 0]
2025-08-05 14:22:57,Daniel,online-boutique-5270,"I see a lot of errors, most of them are context initialisation errors  [n/a - 0]"
2025-08-05 14:23:01,UptimeLabs,online-boutique-5270,:star: Reviewed changes [n/a - 0]
2025-08-05 14:23:01,UptimeLabs,online-boutique-5270,:star: Form an effective investigation team [n/a - 0]
2025-08-05 14:23:02,Daniel,online-boutique-5270,Logs [n/a - 0]
