datetime,player,channel,message
2025-09-19 11:18:23,UptimeLabs,online-boutique-5856,"Welcome to Too Good To Be True, the responsibility is on you to size up the problem.

 *Use `/help` at any time for a list of useful links and commands*
 *Use `/incident` to create an incident record*

Once you're ready just click start to begin Start button"
2025-09-19 11:20:21,PLAYER,online-boutique-5856,Clicked undefined button
2025-09-19 11:20:36,PLAYER,online-boutique-5856,Clicked org button
2025-09-19 11:20:49,PLAYER,online-boutique-5856,Clicked undefined button
2025-09-19 11:28:22,PLAYER,business-comms-5856,SEV1 test
2025-09-19 11:28:22,PLAYER,business-comms-5856,*Incident Number INC100029:* SEV1 test
2025-09-19 11:29:14,PLAYER,online-boutique-5856,Clicked Start button
2025-09-19 11:29:15,Tinus,online-boutique-5856,"Welcome our new IM @Vaishnavi  B, Happy to have you in the team. Hope you get comfortable with everyone"
2025-09-19 11:29:15,UptimeLabs,online-boutique-5856,":alarm_clock: - You have 25 minutes to resolve the outage, good luck! You can type `/help` if you need any reminders."
2025-09-19 11:29:20,Shay,online-boutique-5856,Welcome @Vaishnavi  B
2025-09-19 11:29:25,Daniel,online-boutique-5856,Nice to meet you @Vaishnavi  B
2025-09-19 11:29:35,Bob,online-boutique-5856,There are a few strange customer reports with the helpdesk
2025-09-19 11:29:39,Bob,online-boutique-5856,"Apparently, the site is loading slowly"
2025-09-19 11:29:43,Bob,online-boutique-5856,People are reporting that they can't make payments either
2025-09-19 11:29:45,PLAYER,online-boutique-5856,Thank You All!!!
2025-09-19 11:29:46,Bob,online-boutique-5856,customer_reports
2025-09-19 11:29:50,Bob,online-boutique-5856,@Vaishnavi  B Can you check this?
2025-09-19 11:30:32,PLAYER,online-boutique-5856,Tanya please check if yoou are facing the same slowness
2025-09-19 11:30:38,UptimeLabs,online-boutique-5856,:star: Reproduces the incident
2025-09-19 11:30:42,Tanya,online-boutique-5856,Sure let me check
2025-09-19 11:31:00,Tanya,online-boutique-5856,"I tried to place an order, and it's failing for me"
2025-09-19 11:31:13,Tanya,online-boutique-5856,How's it for you @Vaishnavi  B ?
2025-09-19 11:32:08,PLAYER,online-boutique-5856,I'm able to place the order
2025-09-19 11:32:14,UptimeLabs,online-boutique-5856,:star: Attempt to replicate the issue
2025-09-19 11:32:26,PLAYER,online-boutique-5856,Hamed please check from you side once
2025-09-19 11:32:44,Hamed,online-boutique-5856,"Let me check again, for me its working"
2025-09-19 11:33:22,PLAYER,online-boutique-5856,@daneil Tanya I dont see any order coming up in monitoring dashboard
2025-09-19 11:33:25,Hamed,online-boutique-5856,Lets check if there are any users complaints
2025-09-19 11:33:30,UptimeLabs,online-boutique-5856,:star: Use metrics as evidence
2025-09-19 11:33:53,Hamed,online-boutique-5856,Bob could help us in this
2025-09-19 11:34:58,Daniel,online-boutique-5856,"Yes, I'm seeing a drop in order metrics"
2025-09-19 11:35:03,PLAYER,online-boutique-5856,Bob Please check if any customer facing issue while placing order. From ourside we are not seeing any issues
2025-09-19 11:35:13,Bob,online-boutique-5856,Let me gather the information for you
2025-09-19 11:35:13,UptimeLabs,online-boutique-5856,:star: Asking questions to validate impact of the problem
2025-09-19 11:35:18,Bob,online-boutique-5856,There are more than 300 customer reports till now
2025-09-19 11:35:25,Bob,online-boutique-5856,"Calls are from every region, likely to be Global"
2025-09-19 11:35:31,Bob,online-boutique-5856,There's a bunch of messages coming in. A few people saying they can't do anything on the site
2025-09-19 11:35:36,Bob,online-boutique-5856,Let me know if you need more information
2025-09-19 11:36:47,PLAYER,online-boutique-5856,Daniel Now I'm seeing Gateway issue
2025-09-19 11:37:06,Daniel,online-boutique-5856,Could it be due to any changes made?
2025-09-19 11:37:17,Shay,online-boutique-5856,I'm seeing the same issue as well
2025-09-19 11:37:20,PLAYER,online-boutique-5856,Tanya Any recent changes went in?
2025-09-19 11:37:26,UptimeLabs,online-boutique-5856,:star: Check changes done to the platform
2025-09-19 11:37:31,Daniel,online-boutique-5856,Below are the changes implemented this morning
2025-09-19 11:37:36,Daniel,online-boutique-5856,deployments
2025-09-19 11:37:39,Daniel,online-boutique-5856,"If you want more information, check out Incident Manager dashboard for more details: <https://grafana.prod.uptimelabs.io/d/aOf5yan4z/incident-management>"
