datetime,player,channel,message
23/02/2026 13:24,bez,online-boutique-7798,Can you believe it? That influencer photoshoot is blowing up! We're making waves all over social media.
23/02/2026 13:24,bob,online-boutique-7798,
23/02/2026 13:24,bez,online-boutique-7798,Our watches and loafers are all over everyone's feeds 
23/02/2026 13:24,bob,online-boutique-7798,You're telling me? My inbox is packed with customer queries 
23/02/2026 13:24,uptimelabs,online-boutique-7798,"Welcome to Discount Disaster, the responsibility is on you to size up the problem.

? *Use `/help` at any time for a list of useful links and commands*
 ? *Use `/incident` to create an incident record*

Once you're ready just click start to begin"
23/02/2026 13:25,daniel,online-boutique-7798,"Yeah, I'm seeing it, traffic's surging. But nothing we didn't anticipate for"
23/02/2026 13:25,hamed,online-boutique-7798,Good. We've optimised the backend for this kind of spike
23/02/2026 13:25,maya,online-boutique-7798,Let's just make sure that's all it is - legit traffic. Influencer campaigns can attract more than just customers
23/02/2026 13:25,shay,online-boutique-7798,I'll keep eyes on the dashboard. We're running at nearly 80% capacity right now for all the user actvity our platform can handle
23/02/2026 13:25,bez,online-boutique-7798,It's all good. People are scrambling to get their hands on our products. That viral post is gold
23/02/2026 13:25,daniel,online-boutique-7798,We're inching closer to max capacity. We're at 95% load now
23/02/2026 13:25,shay,online-boutique-7798,I just refreshed the website and it's now taking ages to load
23/02/2026 13:25,shay,online-boutique-7798,Is the website down? Or maybe it's just my machine
23/02/2026 13:26,PLAYER,online-boutique-7798,getting 503 error on refreshing the site 
23/02/2026 13:26,uptimelabs,online-boutique-7798,:star: Reproduces the incident
23/02/2026 13:26,shay,online-boutique-7798,Its same for me as well
23/02/2026 13:27,PLAYER,online-boutique-7798,@bob are you getting customer complaints?
23/02/2026 13:27,uptimelabs,online-boutique-7798,:star: Asking questions to validate impact of the problem
23/02/2026 13:27,bob,online-boutique-7798,Sure let me check the reports
23/02/2026 13:27,bob,online-boutique-7798,We are getting a lot of calls from customers that they are unable to access the website
23/02/2026 13:27,bob,online-boutique-7798,Few are reporting long loading times 
23/02/2026 13:27,bob,online-boutique-7798,and few are able to load platforms but unable to order
23/02/2026 13:27,bob,online-boutique-7798,Here are the latest reports
23/02/2026 13:27,bob,online-boutique-7798,
23/02/2026 13:27,bob,online-boutique-7798,Looks like a global issue
23/02/2026 13:28,PLAYER,online-boutique-7798,@shay where is the change dashboard?
23/02/2026 13:28,PLAYER,online-boutique-7798,any recent changes that could be causing this?
23/02/2026 13:28,uptimelabs,online-boutique-7798,:star: Check changes done to the platform
23/02/2026 13:28,shay,online-boutique-7798,Let me share it with you
23/02/2026 13:28,shay,online-boutique-7798,https://uptime-labs.atlassian.net/wiki/external/YmMxM2RhNDA1YWY0NGZmY2E0NzJmN2M5YWJmOGRhOGM
23/02/2026 13:29,PLAYER,online-boutique-7798,thanks
23/02/2026 13:29,uptimelabs,online-boutique-7798,:bulb: Declare an incident.
23/02/2026 13:29,PLAYER,online-boutique-7798,
23/02/2026 13:29,uptimelabs,business-comms-7798,*Incident Number INC100013:* Website slowness
23/02/2026 13:30,PLAYER,online-boutique-7798,@shay is there any chance the load test could have spilled over into prod?
23/02/2026 13:30,uptimelabs,online-boutique-7798,:star: Reviewed changes
23/02/2026 13:30,shay,online-boutique-7798,This test must be running in UAT
23/02/2026 13:30,PLAYER,online-boutique-7798,is the test stiill ongoing?
23/02/2026 13:30,shay,online-boutique-7798,So it shouldn't be impacting prod
23/02/2026 13:30,shay,online-boutique-7798,Yes its running but in UAT
23/02/2026 13:30,bez,business-comms-7798,Is it global issue ?
23/02/2026 13:31,bez,business-comms-7798,This will bleed us more due to ongoing sale
23/02/2026 13:31,PLAYER,business-comms-7798,"@bez We have a major incident, the website is extremely slow to load or in some cases not loading at all. Appears to be load related."
23/02/2026 13:31,uptimelabs,online-boutique-7798,:star: Qualify the problem
23/02/2026 13:31,uptimelabs,online-boutique-7798,:star: Formally assign criticality level to the incident
23/02/2026 13:31,daniel,online-boutique-7798,I see a lot of https426 and 503
23/02/2026 13:31,PLAYER,online-boutique-7798,"given the impact, let's make this a Sev 1"
23/02/2026 13:32,shay,online-boutique-7798,"Just to confirm again, would you like me to stop the test ?"
23/02/2026 13:32,PLAYER,online-boutique-7798,@bob any changes in the reports coming in?
23/02/2026 13:32,PLAYER,online-boutique-7798,@shay yes. stop the test
23/02/2026 13:32,bob,online-boutique-7798,Reports are turning severe. 180+ complaints so far
23/02/2026 13:32,bob,online-boutique-7798,Its sale . We can't afford longer downtime
23/02/2026 13:33,shay,online-boutique-7798,ok stopping the tests now
23/02/2026 13:33,PLAYER,online-boutique-7798,@bob let customers know we are investigating
23/02/2026 13:33,bez,business-comms-7798,Whats going to be the revenue impact ?
23/02/2026 13:34,bob,online-boutique-7798,Sure i'll keep them posted
23/02/2026 13:34,PLAYER,business-comms-7798,"180+ customer reports, unsure of revenue impact at this time"
23/02/2026 13:34,shay,online-boutique-7798,Tests have been stopped now
23/02/2026 13:34,shay,online-boutique-7798,I dont see it making any difference
23/02/2026 13:34,PLAYER,online-boutique-7798,is there any way to add additional capacity to prod?
23/02/2026 13:34,bez,business-comms-7798,Keep me posted and get this resolved asap
23/02/2026 13:34,PLAYER,business-comms-7798,ack#
23/02/2026 13:35,daniel,online-boutique-7798,Me and Shay will look into logs now
23/02/2026 13:35,daniel,online-boutique-7798,"On capacity, platform team could help more"
23/02/2026 13:35,PLAYER,online-boutique-7798,do we understand the revenue impact?
23/02/2026 13:36,PLAYER,online-boutique-7798,@hamed @tanya can you explore adding more capacity?
23/02/2026 13:36,bob,online-boutique-7798,We are losing revenue at the rate of $1.5k every min due to huge sale
23/02/2026 13:36,shay,online-boutique-7798,Im seeing a lot of errors in the logs 
23/02/2026 13:36,shay,online-boutique-7798,Not sure what the root cause is but we are seeing high load on our Frontend Pods - this may be due to the ongoing discount or if it could be related to any tests we were running.
23/02/2026 13:36,shay,online-boutique-7798,"I see high number of rest-call errors like  http429, http503 and 504s "
23/02/2026 13:36,PLAYER,business-comms-7798,@bez We are losing revenue at the rate of $1.5k every min. 
