datetime,player,channel,message
28/01/2026 10:39,bez,online-boutique-7542,Can you believe it? That influencer photoshoot is blowing up! We're making waves all over social media.
28/01/2026 10:39,bob,online-boutique-7542,
28/01/2026 10:39,bez,online-boutique-7542,Our watches and loafers are all over everyone's feeds 
28/01/2026 10:39,bob,online-boutique-7542,You're telling me? My inbox is packed with customer queries 
28/01/2026 10:39,uptimelabs,online-boutique-7542,"Welcome to Discount Disaster, the responsibility is on you to size up the problem.

? *Use `/help` at any time for a list of useful links and commands*
 ? *Use `/incident` to create an incident record*

Once you're ready just click start to begin"
28/01/2026 10:41,daniel,online-boutique-7542,"Yeah, I'm seeing it, traffic's surging. But nothing we didn't anticipate for"
28/01/2026 10:41,hamed,online-boutique-7542,Good. We've optimised the backend for this kind of spike
28/01/2026 10:41,maya,online-boutique-7542,Let's just make sure that's all it is - legit traffic. Influencer campaigns can attract more than just customers
28/01/2026 10:41,shay,online-boutique-7542,I'll keep eyes on the dashboard. We're running at nearly 80% capacity right now for all the user actvity our platform can handle
28/01/2026 10:41,bez,online-boutique-7542,It's all good. People are scrambling to get their hands on our products. That viral post is gold
28/01/2026 10:41,daniel,online-boutique-7542,We're inching closer to max capacity. We're at 95% load now
28/01/2026 10:41,shay,online-boutique-7542,I just refreshed the website and it's now taking ages to load
28/01/2026 10:41,shay,online-boutique-7542,Is the website down? Or maybe it's just my machine
28/01/2026 10:42,PLAYER,online-boutique-7542,
28/01/2026 10:42,uptimelabs,business-comms-7542,*Incident Number INC100054:* [P1 - Website is down ]
28/01/2026 10:42,bez,business-comms-7542,Seriously @Sree - Not again- we have a sale announced some time back
28/01/2026 10:42,PLAYER,online-boutique-7542,I am seeing spike in failures @Daniel @Hamed can we take a look whats happening 
28/01/2026 10:42,uptimelabs,online-boutique-7542,:star: Take command
28/01/2026 10:42,uptimelabs,online-boutique-7542,:star: Escalating when required
28/01/2026 10:43,PLAYER,online-boutique-7542,@bob whats the scale of the client impact 
28/01/2026 10:43,uptimelabs,online-boutique-7542,:star: Asking questions to validate impact of the problem
28/01/2026 10:43,bob,online-boutique-7542,We are getting a lot of calls from customers that they are unable to access the website
28/01/2026 10:43,bob,online-boutique-7542,Few are reporting long loading times 
28/01/2026 10:43,bob,online-boutique-7542,and few are able to load platforms but unable to order
28/01/2026 10:43,daniel,online-boutique-7542,I see a lot of https426 and 503
28/01/2026 10:43,bob,online-boutique-7542,Here are the latest reports
28/01/2026 10:43,bob,online-boutique-7542,
28/01/2026 10:43,PLAYER,business-comms-7542,"@Bez we are on top of it, will keep you posted shortly."
28/01/2026 10:43,bob,online-boutique-7542,Looks like a global issue
28/01/2026 10:44,hamed,online-boutique-7542,"Sure, what do we see so far ?"
28/01/2026 10:44,hamed,online-boutique-7542,I know we had a sale announced
28/01/2026 10:44,hamed,online-boutique-7542,do we know if thats the cause?
28/01/2026 10:44,PLAYER,online-boutique-7542,@hamed requests are failing with https 426 and 503 @daniel can you shed more light on the problem 
28/01/2026 10:44,daniel,online-boutique-7542,"Sure, @Shay can you join me"
28/01/2026 10:45,shay,online-boutique-7542,Im seeing a lot of errors in the logs 
28/01/2026 10:45,shay,online-boutique-7542,Not sure what the root cause is but we are seeing high load on our Frontend Pods - this may be due to the ongoing discount or if it could be related to any tests we were running.
28/01/2026 10:45,shay,online-boutique-7542,"I see high number of rest-call errors like  http429, http503 and 504s "
28/01/2026 10:45,shay,online-boutique-7542,"```
ERROR: GET /api/GetInfo HTTP/1.1 429 200 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/91.0.4472.124 Safari/537.36 FrontEndApp
``` ```
ERROR: GET /api/GetInfo HTTP/1.1 429 200 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/91.0.4472.124 Safari/537.36 FrontEndApp
```"
28/01/2026 10:45,shay,online-boutique-7542,Im also seeing this
28/01/2026 10:45,shay,online-boutique-7542,"```
[error]: Service unavailable, cannot process request for /api/GetInfo (503).
``` ```
[error]: Service unavailable, cannot process request for /api/GetInfo (503).
```"
28/01/2026 10:45,bez,business-comms-7542,Is this a global issue?
28/01/2026 10:45,daniel,online-boutique-7542,Seeing frontend errors as well
28/01/2026 10:45,daniel,online-boutique-7542,"```
[error] 12345#12345: *98765 limiting requests, exceeded 10 requests per second for client 149.34.52.176, request: GET /api/GetInfo HTTP/1.1, FrontEndApp
``` 
```[error] 12345#12345: *98766 limiting requests, exceeded 10 requests per second for client 149.34.52.176, request: GET /api/GetInfo HTTP/1.1, FrontEndApp
``` ```
[error] 12345#12345: *98767 limiting requests, exceeded 10 requests per second for client 149.34.52.176, request: GET /api/GetInfo HTTP/1.1, FrontEndApp
```"
28/01/2026 10:45,PLAYER,business-comms-7542,"Yes, its affecting all across. 

"
