datetime,player,channel,message
2026-02-06 13:13:00,bez,online-boutique-7656,Can you believe it? That influencer photoshoot is blowing up! We're making waves all over social media.
2026-02-06 13:13:04,bob,online-boutique-7656,
2026-02-06 13:13:10,bez,online-boutique-7656,Our watches and loafers are all over everyone's feeds 
2026-02-06 13:13:14,bob,online-boutique-7656,You're telling me? My inbox is packed with customer queries 
2026-02-06 13:13:21,uptimelabs,online-boutique-7656,"Welcome to Discount Disaster, the responsibility is on you to size up the problem.

? *Use `/help` at any time for a list of useful links and commands*
 ? *Use `/incident` to create an incident record*

Once you're ready just click start to begin"
2026-02-06 13:14:40,daniel,online-boutique-7656,"Yeah, I'm seeing it, traffic's surging. But nothing we didn't anticipate for"
2026-02-06 13:14:43,hamed,online-boutique-7656,Good. We've optimised the backend for this kind of spike
2026-02-06 13:14:47,maya,online-boutique-7656,Let's just make sure that's all it is - legit traffic. Influencer campaigns can attract more than just customers
2026-02-06 13:14:52,shay,online-boutique-7656,I'll keep eyes on the dashboard. We're running at nearly 80% capacity right now for all the user actvity our platform can handle
2026-02-06 13:14:56,bez,online-boutique-7656,It's all good. People are scrambling to get their hands on our products. That viral post is gold
2026-02-06 13:14:59,daniel,online-boutique-7656,We're inching closer to max capacity. We're at 95% load now
2026-02-06 13:15:05,shay,online-boutique-7656,I just refreshed the website and it's now taking ages to load
2026-02-06 13:15:10,shay,online-boutique-7656,Is the website down? Or maybe it's just my machine
2026-02-06 13:16:11,PLAYER,online-boutique-7656,where is the dashboard that shows the capacity and usage?
2026-02-06 13:16:32,daniel,online-boutique-7656,I am monitoring from logs !!! we have crossed more than 3k logins per minute
2026-02-06 13:16:33,PLAYER,online-boutique-7656,I got a 503 response
2026-02-06 13:16:35,uptimelabs,online-boutique-7656,:star: Reproduces the incident
2026-02-06 13:16:43,PLAYER,online-boutique-7656,
2026-02-06 13:16:43,uptimelabs,business-comms-7656,*Incident Number INC100096:* website down
2026-02-06 13:16:50,shay,online-boutique-7656,same here
2026-02-06 13:17:05,daniel,online-boutique-7656,Are there any customer reports yet?
2026-02-06 13:17:30,PLAYER,online-boutique-7656,"Created the incident, can I get an read on any abnormal logs? @daniel "
2026-02-06 13:17:43,daniel,online-boutique-7656,i see a lot of 429's in logs
2026-02-06 13:17:46,shay,online-boutique-7656,Im seeing a lot of errors in the logs 
2026-02-06 13:17:50,shay,online-boutique-7656,Not sure what the root cause is but we are seeing high load on our Frontend Pods - this may be due to the ongoing discount or if it could be related to any tests we were running.
2026-02-06 13:17:55,PLAYER,online-boutique-7656,What are the errors?
2026-02-06 13:17:55,shay,online-boutique-7656,"I see high number of rest-call errors like  http429, http503 and 504s "
2026-02-06 13:18:03,shay,online-boutique-7656,"```
ERROR: GET /api/GetInfo HTTP/1.1 429 200 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/91.0.4472.124 Safari/537.36 FrontEndApp
``` ```
ERROR: GET /api/GetInfo HTTP/1.1 429 200 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/91.0.4472.124 Safari/537.36 FrontEndApp
```"
2026-02-06 13:18:11,shay,online-boutique-7656,Im also seeing this
2026-02-06 13:18:14,shay,online-boutique-7656,"```
[error]: Service unavailable, cannot process request for /api/GetInfo (503).
``` ```
[error]: Service unavailable, cannot process request for /api/GetInfo (503).
```"
2026-02-06 13:18:15,PLAYER,online-boutique-7656,Are you running active test load?
2026-02-06 13:18:24,daniel,online-boutique-7656,Seeing frontend errors as well
2026-02-06 13:18:29,daniel,online-boutique-7656,"```
[error] 12345#12345: *98765 limiting requests, exceeded 10 requests per second for client 149.34.52.176, request: GET /api/GetInfo HTTP/1.1, FrontEndApp
``` 
```[error] 12345#12345: *98766 limiting requests, exceeded 10 requests per second for client 149.34.52.176, request: GET /api/GetInfo HTTP/1.1, FrontEndApp
``` ```
[error] 12345#12345: *98767 limiting requests, exceeded 10 requests per second for client 149.34.52.176, request: GET /api/GetInfo HTTP/1.1, FrontEndApp
```"
2026-02-06 13:18:29,PLAYER,online-boutique-7656,"OK, let's please stop any active tests now"
