datetime,player,channel,message
2026-01-23 09:59:58,uptimelabs,online-boutique-7513,"Welcome to Too Good To Be True, the responsibility is on you to size up the problem.

 *Access game links by pressing the Uptime Labs Logo in the top right of the screen*
 *Use `/incident` to create an incident record*

Once you're ready just click start to begin"
2026-01-23 10:07:25,PLAYER,online-boutique-7513,
2026-01-23 10:07:25,uptimelabs,business-comms-7513,*Incident Number INC100033:* P1 test
2026-01-23 10:08:48,tinus,online-boutique-7513,"Welcome our new IM @cflounders-bloomberg.net, Happy to have you in the team. Hope you get comfortable with everyone"
2026-01-23 10:08:53,shay,online-boutique-7513,Welcome @cflounders-bloomberg.net
2026-01-23 10:08:58,daniel,online-boutique-7513,Nice to meet you @cflounders-bloomberg.net
2026-01-23 10:09:08,bob,online-boutique-7513,There are a few strange customer reports with the helpdesk
2026-01-23 10:09:12,bob,online-boutique-7513,"Apparently, the site is loading slowly"
2026-01-23 10:09:16,bob,online-boutique-7513,People are reporting that they can't make payments either
2026-01-23 10:09:19,bob,online-boutique-7513,
2026-01-23 10:09:23,bob,online-boutique-7513,@cflounders-bloomberg.net Can you check this?
2026-01-23 10:09:37,PLAYER,online-boutique-7513,"Hi Bob, can you respond to the twitter users that we are looking now"
2026-01-23 10:09:40,bob,online-boutique-7513,Sure
2026-01-23 10:10:15,bob,online-boutique-7513,But is there any message you want me to convey them ?
2026-01-23 10:10:29,uptimelabs,online-boutique-7513,:bulb: Declare an incident.
2026-01-23 10:10:46,PLAYER,online-boutique-7513,"Danie and Hamed, can you look in the machine logs to determine if see any errors?"
2026-01-23 10:10:56,daniel,online-boutique-7513,"Sure, i ll take a look - I need an incident to login to server"
2026-01-23 10:11:10,uptimelabs,online-boutique-7513,:star: Facts over opinion
2026-01-23 10:11:10,hamed,online-boutique-7513,"I am on my way to office, can you pull tanya"
2026-01-23 10:11:27,PLAYER,online-boutique-7513,"looking at the IM dashboard, user activity looks 0, as do orders per minute - so definitely an issue"
2026-01-23 10:11:30,uptimelabs,online-boutique-7513,:star: Use metrics as evidence
2026-01-23 10:11:35,bez,business-comms-7513,Looks like there is a lot of complaints on X - Are we looking into this
2026-01-23 10:11:56,PLAYER,online-boutique-7513,Maya do you see any problems on the network?
2026-01-23 10:11:57,maya,online-boutique-7513,"Sure, i ll sweep a sec check"
2026-01-23 10:12:03,shay,online-boutique-7513,Looking into this and trying to replicate the issue
2026-01-23 10:12:05,daniel,online-boutique-7513,I am able to replicate the issue. Checking the logs now
2026-01-23 10:12:08,daniel,online-boutique-7513,"I see a lot of errors, most of them are context initialisation errors "
2026-01-23 10:12:12,daniel,online-boutique-7513,
2026-01-23 10:12:14,shay,online-boutique-7513,Yes replicated the issue and even i'm seeing similar errors in frontend logs
2026-01-23 10:12:18,bez,business-comms-7513,"I have a stake holders meet in next 10 minutes, @cflounders-bloomberg.net do you think this can be resolved by then? "
2026-01-23 10:12:34,PLAYER,business-comms-7513,HI can you acknowledge that we are able to reproduce the issue and that we are actively working on it
2026-01-23 10:13:00,tinus,business-comms-7513,I will let Bob know this
2026-01-23 10:13:03,PLAYER,business-comms-7513,@bez we are actively investigating and will have resolved as soon as possible
2026-01-23 10:13:07,bez,business-comms-7513,Thanks
2026-01-23 10:13:31,PLAYER,online-boutique-7513,@daniel can you look with Shay at what the log errors are indicating?
2026-01-23 10:13:35,bez,business-comms-7513,@Shristene - do you know if this is a global issue?
2026-01-23 10:13:36,PLAYER,online-boutique-7513,"i.e., which service"
2026-01-23 10:13:43,uptimelabs,online-boutique-7513,:star: Manage actions and timings
2026-01-23 10:13:50,daniel,online-boutique-7513,Most of the errors are from front end
2026-01-23 10:13:59,uptimelabs,online-boutique-7513,:bulb: Check the changes done in the platform
2026-01-23 10:14:23,PLAYER,online-boutique-7513,@daniel can if any changes were made the system
2026-01-23 10:14:25,uptimelabs,online-boutique-7513,:star: Check changes done to the platform
2026-01-23 10:14:27,daniel,online-boutique-7513,Below are the changes implemented this morning
2026-01-23 10:14:32,daniel,online-boutique-7513,
2026-01-23 10:14:35,daniel,online-boutique-7513,"If you want more information, checkout the change details : https://uptime-labs.atlassian.net/wiki/external/ZmRkZTQ1ODg2M2U1NGM3NDk1ZjZhM2I3MWY0MTM5ODA "
2026-01-23 10:14:50,PLAYER,online-boutique-7513,@daniel can you revert changes to the front end service
2026-01-23 10:14:52,uptimelabs,online-boutique-7513,:star: Restoration over root cause analysis
2026-01-23 10:14:53,hamed,online-boutique-7513,@Tanya can you take  a look
2026-01-23 10:15:12,daniel,online-boutique-7513,can you raise an incident please?
2026-01-23 10:15:26,bez,business-comms-7513,Do we have an incident?
2026-01-23 10:15:53,PLAYER,online-boutique-7513,
2026-01-23 10:15:53,uptimelabs,business-comms-7513,*Incident Number INC100060:* P1 Website down
2026-01-23 10:15:53,uptimelabs,online-boutique-7513,:star: Incident record created
2026-01-23 10:15:55,uptimelabs,online-boutique-7513,:star: Send first comms in first 5 minutes
2026-01-23 10:15:58,bez,business-comms-7513,How many customers are affected? Are the reports coming in from all regions?
2026-01-23 10:16:02,daniel,online-boutique-7513,"It was Shay's change - Thanks, i ll take a look"
2026-01-23 10:16:08,daniel,online-boutique-7513,A Frontend change caused by change CHG89349 has brought down the Frontend pods
2026-01-23 10:16:08,PLAYER,online-boutique-7513,@daniel please revert the latest change to the frontend service
2026-01-23 10:16:14,shay,online-boutique-7513,But this functionally worked when I tested
2026-01-23 10:16:19,daniel,online-boutique-7513,"Even if it worked in your test environment, something's behaving differently in prod, maybe a config mismatch or unhandled edge case"
2026-01-23 10:16:22,bez,business-comms-7513,Can you give a quick update on the status?
2026-01-23 10:16:36,PLAYER,online-boutique-7513,"@shay we'll look into it later, we are priortizing getting the website back now"
2026-01-23 10:16:38,shay,online-boutique-7513,"Sorry, I've never done a rollback in PROD before, can someone help me with the steps?"
2026-01-23 10:16:39,uptimelabs,online-boutique-7513,:star: Take command
2026-01-23 10:16:59,PLAYER,business-comms-7513,"@bez we are down on all regions, we believe we have identified the issue and are reverting the change noow. we will confirm shortly"
2026-01-23 10:17:01,uptimelabs,online-boutique-7513,:star: Confirm resolution with the business
2026-01-23 10:17:08,daniel,online-boutique-7513,"I will help you, @Shay. Rolling back now"
2026-01-23 10:17:23,daniel,online-boutique-7513,I have rollbacked Frontend:version to 10.1.0 to more stable version. Can somebody verify?
2026-01-23 10:17:25,bez,business-comms-7513,Any ETA?
2026-01-23 10:17:26,uptimelabs,online-boutique-7513,"To verify resolution and close incident:
--Validate fix with team:white_check_mark:
--Check with Customer Support:white_check_mark:
--Confirm in 'Business-comms':white_check_mark:"
2026-01-23 10:17:29,PLAYER,online-boutique-7513,"@daniel thank you , if you need any help pls involve hamed"
2026-01-23 10:17:38,bob,online-boutique-7513,"Customers are able to place the orders, complaint calls have reduced as well."
2026-01-23 10:17:43,PLAYER,online-boutique-7513,@bob pls verify
2026-01-23 10:17:46,uptimelabs,online-boutique-7513,:star: Cross check resolution with stakeholders
2026-01-23 10:17:48,PLAYER,online-boutique-7513,wonderul
2026-01-23 10:17:53,bob,online-boutique-7513,"Yes, its positive"
2026-01-23 10:17:59,PLAYER,online-boutique-7513,everyone see that its working. good for me
2026-01-23 10:18:01,uptimelabs,online-boutique-7513,:star: Cross checking resolution with team
2026-01-23 10:18:43,PLAYER,business-comms-7513,@bez we should be back up now
2026-01-23 10:18:44,bez,business-comms-7513,"Great , Much appreciate the quick turn around time"
2026-01-23 10:18:51,daniel,online-boutique-7513,It's definitely working again!
2026-01-23 10:18:56,shay,online-boutique-7513,Wow that was intense!
2026-01-23 10:18:58,bez,business-comms-7513,Thanks! for resolving it quickly
2026-01-23 10:19:01,hamed,online-boutique-7513,Good job guys
2026-01-23 10:19:05,tinus,online-boutique-7513,Yes well done! that could have gone much worse so props to everyone
2026-01-23 10:19:09,tinus,online-boutique-7513,We will have a Post-Incident Review (PIR) to understand what happened
2026-01-23 10:19:18,PLAYER,online-boutique-7513,"@daniel, @shay please look at the logs and confirm no other errors are cropping up"
