datetime,player,channel,message
2026-03-04 10:11:35,bez,online-boutique-7879,"What a day! Our Grand Summer Sale kicked off this morning at 10, and the response has been insane. Can't believe we're already 5 hours in"
2026-03-04 10:11:37,bob,online-boutique-7879,"Totally! Just checked the dashboard, we've already crossed $160k+ in revenue :money_mouth_face: . The sale energy is next level!"
2026-03-04 10:11:40,tinus,online-boutique-7879,"That's fantastic, but hey, this is just the beginning. Three days to go... I'm keeping my fingers crossed :crossed_fingers:"
2026-03-04 10:11:43,bez,online-boutique-7879,"Seeing so many people shopping on a holiday, it feels satisfying. Exactly the momentum we were hoping for"
2026-03-04 10:11:45,uptimelabs,online-boutique-7879,"Welcome to DEFCON 1, are you prepared for the challenge?.

 *Access game links by pressing the Uptime Labs Logo in the top right of the screen*
 *Use `/incident` to create an incident record*

Once you're ready just click start to begin"
2026-03-04 10:12:37,PLAYER,online-boutique-7879,@nshetty46-bloomberg.ne 
2026-03-04 10:13:58,PLAYER,business-comms-7879,@nshetty46-bloomberg.ne  :wave: 
2026-03-04 10:18:11,shay,online-boutique-7879,"Not this time!, I just got a few alerts mentioning severe errors popping up in PROD"
2026-03-04 10:18:14,bob,online-boutique-7879,Weird... a few users just complained they are unable to complete their orders. Feels... off..
2026-03-04 10:19:17,PLAYER,online-boutique-7879,Hi @bob  we're investing
2026-03-04 10:19:19,PLAYER,online-boutique-7879,investigating
2026-03-04 10:19:23,bob,online-boutique-7879,Thanks
2026-03-04 10:20:12,PLAYER,online-boutique-7879,@bob Any particular regions that are impacted?
2026-03-04 10:20:14,PLAYER,online-boutique-7879,"I'm looking at our dashboards, and I don't see an obvious problem with Logs, HTTP, Orders."
2026-03-04 10:20:16,uptimelabs,online-boutique-7879,:star: Asking questions to validate impact of the problem
2026-03-04 10:20:17,uptimelabs,online-boutique-7879,:star: Attempt to replicate the issue
2026-03-04 10:20:20,PLAYER,online-boutique-7879,Can you elaborate ?
2026-03-04 10:20:21,bob,online-boutique-7879,"Sure, let me look at my reports"
2026-03-04 10:20:36,bob,online-boutique-7879,Here are some of the complaints we've received in the last few minutes. It's coming all across the globe 
2026-03-04 10:20:38,bob,online-boutique-7879,"Germany - ""I added items to my cart, clicked checkout, and it just kept spinning. Then it dumped me back to an empty cart"""
2026-03-04 10:20:40,bob,online-boutique-7879,"USA - ""Order failed twice, and now the cart is empty. I refreshed, but now the site is laggy"""
2026-03-04 10:20:42,bob,online-boutique-7879,"Japan - ""Got to checkout, then error 502. Tried again - cart gone"""
2026-03-04 10:20:44,bob,online-boutique-7879,"To sum it all, we have got 240+ reports globally"
2026-03-04 10:20:46,bob,online-boutique-7879,
2026-03-04 10:21:10,PLAYER,online-boutique-7879,"So scope global, complaint is impact to the order system"
2026-03-04 10:21:12,uptimelabs,online-boutique-7879,:star: Qualify the problem
2026-03-04 10:21:24,bez,business-comms-7879,"Hi @Nitin - There is lot of posts on Social media, do we have any issues ?"
2026-03-04 10:21:24,PLAYER,online-boutique-7879,"Hi tech teams,  what are the recent changes to the system?"
2026-03-04 10:21:27,uptimelabs,online-boutique-7879,:star: Check changes done to the platform
2026-03-04 10:21:34,PLAYER,online-boutique-7879,
2026-03-04 10:21:34,uptimelabs,business-comms-7879,*Incident Number INC100015:* Sev1 incident impacting multiple regions across the globe placing orders
2026-03-04 10:21:34,uptimelabs,online-boutique-7879,:star: Incident record created
2026-03-04 10:21:36,uptimelabs,online-boutique-7879,:star: Send first comms in first 5 minutes
2026-03-04 10:21:39,bez,business-comms-7879,"I'm seeing some posts on social media about issues with our platform, is this a regional issue or hitting customers globally?"
2026-03-04 10:21:40,shay,online-boutique-7879,Here is the list of latest deployments : https://uptime-labs.atlassian.net/wiki/external/YzYwYTAxNWQzOTI0NDYzOWI1MjkxNTI2YmVmMjUyZDE 
2026-03-04 10:21:51,PLAYER,online-boutique-7879,Thanks Shay
2026-03-04 10:22:09,bez,online-boutique-7879,"@Nitin, What's the customer experience like ?"
2026-03-04 10:22:10,PLAYER,business-comms-7879,There is a global incident affecting multiple regions APAC EMEA and AMER and impacting placing orders
2026-03-04 10:22:38,bez,online-boutique-7879,Wrong channel
2026-03-04 10:22:40,PLAYER,online-boutique-7879,@tanya can we please begin rollback of the AdService change (most recent)
2026-03-04 10:22:43,uptimelabs,online-boutique-7879,:star: Restoration over root cause analysis
2026-03-04 10:22:47,bez,business-comms-7879,"@Nitin, What's the customer experience like ?"
2026-03-04 10:23:19,tanya,online-boutique-7879,"Sure, we can - but ad service is non critical application - the app dont have any dependency"
2026-03-04 10:23:37,daniel,online-boutique-7879,Shall we quickly take a look at errors ?
2026-03-04 10:23:38,PLAYER,online-boutique-7879,Looks like orders are still coming in.  @bob are some orders being executed correctly?
2026-03-04 10:23:43,PLAYER,online-boutique-7879,
2026-03-04 10:23:44,uptimelabs,business-comms-7879,*Incident Number INC100074:* logging a sev1 incident
2026-03-04 10:23:55,PLAYER,online-boutique-7879,"Hi @Daniel, yes please investigate the errors."
2026-03-04 10:24:08,bob,online-boutique-7879,"@Eugene, at the end after placing orders, the cart says, its empty"
2026-03-04 10:24:09,PLAYER,online-boutique-7879,"@tanya, please proceed to rollback"
2026-03-04 10:24:18,bob,online-boutique-7879,They get an empty cart errors
2026-03-04 10:24:24,tanya,online-boutique-7879,Rolling back change now
2026-03-04 10:24:26,PLAYER,business-comms-7879,Customers are unable to complete orders from their cart and getting errors.
2026-03-04 10:24:30,shay,online-boutique-7879,Alerts are around Checkout app - lots of timeouts and out of memory
2026-03-04 10:24:35,shay,online-boutique-7879,"For further clarity, looking into logs now"
2026-03-04 10:24:40,bez,business-comms-7879,Customers have gone outrageous. #OBFail and #OBStealsSale are trending with frustrated posts. We're getting hammered online! Where are we? 
2026-03-04 10:24:40,PLAYER,online-boutique-7879,@tanya please report status within the next 5 minutes
2026-03-04 10:24:42,tanya,online-boutique-7879,I have rolled back my Ad service change
2026-03-04 10:24:43,uptimelabs,online-boutique-7879,:star: Track actions and time box them
2026-03-04 10:24:45,shay,online-boutique-7879,Found these below error logs
2026-03-04 10:24:46,shay,online-boutique-7879,"```
app[checkout-service] [ERROR] - write() failed, Read-only filesystem
app[checkout-service] Order submission failed for session_id=ae43f9 due to I/O error
app[checkout-service] [ERROR] - Transaction commit failed, Read-only file system
[ERROR] nginx[3245] - 502 Bad Gateway while accessing upstream checkout service
[ERROR] nginx[3245] - 504 Gateway Timeout while accessing upstream checkout service```"
2026-03-04 10:24:50,shay,online-boutique-7879,The server is too slow and give up while responding back. I'm not sure why read-only errors are there
2026-03-04 10:24:52,PLAYER,online-boutique-7879,@bob What is the financial impact so far?
2026-03-04 10:25:08,daniel,online-boutique-7879,"Looking at the above logs, app looks fine. But system can't write new data. Errors suggests to be an infra component failure"
2026-03-04 10:25:10,tanya,online-boutique-7879,"Rollback complete, i still see errors in apps"
2026-03-04 10:25:12,PLAYER,online-boutique-7879,"@shay, what does this mean?  Does this mean the server is broken?"
2026-03-04 10:25:15,PLAYER,online-boutique-7879,The number of orders seem to be dropping 
2026-03-04 10:25:15,daniel,online-boutique-7879,"Also checkout servers show CPU and memory limits exceeded alerts, this definitely looks bigger than just an app issue"
2026-03-04 10:25:17,daniel,online-boutique-7879,"```app[checkout-service]: systemd[1][WARN] Resource usage threshold exceeded - CPU: 96%, Memory: 92%```"
2026-03-04 10:25:25,shay,online-boutique-7879,Could this be due to load or any changes ?
2026-03-04 10:25:26,bob,online-boutique-7879,"Well, the impact is none of the customers are able to place orders"
2026-03-04 10:25:30,daniel,online-boutique-7879,@eschulman6-bloomberg.net let us know if you would like us to rollback any changes ?
2026-03-04 10:26:01,PLAYER,business-comms-7879,Placing orders is completely down
2026-03-04 10:26:04,daniel,online-boutique-7879,Better to check with Platform team whats happening at infra level
2026-03-04 10:26:04,PLAYER,online-boutique-7879,@hamed  Is there an infrastructure issue here?
2026-03-04 10:26:05,uptimelabs,online-boutique-7879,:star: Formally assign criticality level to the incident
2026-03-04 10:26:16,PLAYER,online-boutique-7879,Should we be moving workload across servers?
2026-03-04 10:26:20,bez,business-comms-7879,"Okay, lets be on top of this and update me"
2026-03-04 10:26:39,hamed,online-boutique-7879,@Tanya?
2026-03-04 10:26:40,tanya,online-boutique-7879,Checking infra...
2026-03-04 10:27:09,PLAYER,online-boutique-7879,Can @tanya  confirm whether this is a server problem?
2026-03-04 10:27:10,tanya,online-boutique-7879,"All four checkout servers are maxed out - CPU, memory, and disk I/O all spiking. No changes or deployments were done from platform side"
2026-03-04 10:27:15,tanya,online-boutique-7879,
2026-03-04 10:27:30,tanya,online-boutique-7879,Looks like all checkout servers are under huge load . CPU and Memory has spiked up a lot
2026-03-04 10:27:31,bez,business-comms-7879,"@Nitin, this isn't looking good- Do we have the right people to resolve this"
2026-03-04 10:27:35,tanya,online-boutique-7879,Shall we try adding more resources to checkout app ?
2026-03-04 10:27:37,PLAYER,online-boutique-7879,This is a contradiction -  @tanya and @shay 
2026-03-04 10:27:41,PLAYER,business-comms-7879,We tried rolling back a change which did not help. Looking into infra issues now
2026-03-04 10:28:00,PLAYER,online-boutique-7879,@tanya please check each server for the issue that @shay listed about read-only filesystem
2026-03-04 10:28:02,uptimelabs,online-boutique-7879,:star: Manage actions and timings
2026-03-04 10:28:09,shay,online-boutique-7879,Agreed - looks like we are not in control of our system
2026-03-04 10:28:16,PLAYER,online-boutique-7879,... and report back in 5 minutes
2026-03-04 10:28:18,PLAYER,online-boutique-7879,Can we add more server instances?
2026-03-04 10:28:57,tanya,online-boutique-7879,"We can , but can we involve Sec ops as well, so we can have their opinion - Since"
2026-03-04 10:28:57,PLAYER,online-boutique-7879,@tanya Can we add more server instances
2026-03-04 10:29:27,PLAYER,online-boutique-7879,This is a Sev1 so please go ahead and add. We will meanwhile add them to let them know
2026-03-04 10:29:28,tanya,online-boutique-7879,"Not sure, why the resource utilization is spiking all of sudden"
2026-03-04 10:29:44,PLAYER,online-boutique-7879,@maya can you do a quick check to see if this is security related?
2026-03-04 10:30:00,maya,online-boutique-7879,"On it, let me do a quick check on our security systems"
2026-03-04 10:30:06,tanya,online-boutique-7879,I will work on adding more resource
2026-03-04 10:30:20,maya,online-boutique-7879,Ok I went through our SIEM. No security alerts firing. Looks much more like a platform issue to me
2026-03-04 10:30:25,tanya,online-boutique-7879,Something is off with these metrics and I cannot explain it with a normal infra failure
2026-03-04 10:30:26,tanya,online-boutique-7879,1. Disk I/O writes are maxed out but reads are completely flat ? not a pattern you see with a degraded volume
2026-03-04 10:30:27,tanya,online-boutique-7879,"2. CPU spiked simultaneously across all four checkout servers around same time ? infra failures cascade, they do not strike all nodes at once"
