datetime,player,channel,message
2026-02-13 16:08:09,uptimelabs,online-boutique-7725,"Welcome to The Unknown Unknown, are you prepared for the challenge?

 *Use `/help` at any time for a list of useful links and commands* 
 *Use `/incident` to create an incident record*

Once you're ready just click start to begin"
2026-02-13 16:10:01,PLAYER,online-boutique-7725,Hello Eugene
2026-02-13 16:10:04,PLAYER,online-boutique-7725,yo!
2026-02-13 16:11:04,bob,online-boutique-7725,"Hey team, getting a few reports now, looks like confusion from the customers on what they ordering?"
2026-02-13 16:11:11,bob,online-boutique-7725,This is strange
2026-02-13 16:11:17,bob,online-boutique-7725,Just seen a couple of reports of customers not receiving the right item on delivery
2026-02-13 16:11:17,PLAYER,online-boutique-7725,Hi @bob Can you elaborate on the problem?
2026-02-13 16:11:22,tinus,online-boutique-7725,Hmm? that sounds strange. @eschulman6-bloomberg.net can you take point and start sizing this up?
2026-02-13 16:11:23,bob,online-boutique-7725,Checking reports...
2026-02-13 16:11:41,PLAYER,online-boutique-7725,"I'm looking at the dashboard and I don't see any obvious issues with HTTP responses, order rates."
2026-02-13 16:11:45,uptimelabs,online-boutique-7725,:star: Attempt to replicate the issue
2026-02-13 16:11:47,bob,online-boutique-7725,One report said the user wanted to buy 'Sunglasses' but he got 'Tank-top' in confirmation
2026-02-13 16:11:58,bob,online-boutique-7725,Just double checked with shipping looks like the items that has been ordered are correct and we're sending the right item
2026-02-13 16:12:00,PLAYER,online-boutique-7725,Karan is able to place orders.
2026-02-13 16:12:03,bob,online-boutique-7725,We have currently got more than 17 complaints so far
2026-02-13 16:12:05,PLAYER,online-boutique-7725,We're trying to reproduce
2026-02-13 16:12:10,uptimelabs,online-boutique-7725,:star: Reproduces the incident
2026-02-13 16:12:55,PLAYER,online-boutique-7725,Hi Bob - I can't reproduce -  can you say more about what the customers are seeing?
2026-02-13 16:13:01,uptimelabs,online-boutique-7725,:star: Asking questions to validate impact of the problem
2026-02-13 16:13:02,PLAYER,business-comms-7725,"Hi @bez , we may have a potential issue - We are investigating "
2026-02-13 16:13:06,PLAYER,online-boutique-7725,
2026-02-13 16:13:06,uptimelabs,business-comms-7725,*Incident Number INC100095:* sev-4
2026-02-13 16:13:06,uptimelabs,online-boutique-7725,:star: Incident record created
2026-02-13 16:13:15,bez,business-comms-7725,How big is this problem?
2026-02-13 16:13:24,bez,business-comms-7725,Is it a global issue ?
2026-02-13 16:13:29,PLAYER,business-comms-7725,Hi we have reports of 17 users having difficulty with ordering.  Engineers are investigating -  we are trying to reproduce.
2026-02-13 16:13:34,uptimelabs,online-boutique-7725,:star: Qualify the problem
2026-02-13 16:13:34,uptimelabs,online-boutique-7725,:star: Formally assign criticality level to the incident
2026-02-13 16:13:38,bob,online-boutique-7725,Gathering more information....
2026-02-13 16:13:42,PLAYER,online-boutique-7725,@bob what regions are affected?
2026-02-13 16:14:00,bob,online-boutique-7725,The customers are complaining that the image is not matching up with the product name
2026-02-13 16:14:10,bob,online-boutique-7725,Seems to be that users don't know whether the product they're purchasing matches the image or the description. 
2026-02-13 16:14:13,PLAYER,online-boutique-7725,I have just reproduced this.
2026-02-13 16:14:23,PLAYER,business-comms-7725,"INCIDENT #     :  INC10008
Description    :  The product name and image mismatch impacting Global customers .
Impact Summary :  Customers are able to place orders but Not sure which product they are purchasing as there is mismatch in labels and image
Current Status :  Teams are currently looking into the issue.
Next Update    :  In Next 5 minutes
"
2026-02-13 16:14:31,bez,business-comms-7725,How is the order metrics at the moment ?
2026-02-13 16:14:45,PLAYER,business-comms-7725,They are going down- we are cuurently invetsigating
2026-02-13 16:14:48,PLAYER,online-boutique-7725,Hi @daniel and @shay  what are the recent changes?
2026-02-13 16:14:53,uptimelabs,online-boutique-7725,:star: Check changes done to the platform
2026-02-13 16:14:58,PLAYER,online-boutique-7725,Particularly around ProductCatalogService?
2026-02-13 16:14:58,shay,online-boutique-7725,Here's the detailed info on each of the changes made today
2026-02-13 16:15:00,shay,online-boutique-7725,Hope this helps:https://uptime-labs.atlassian.net/wiki/external/MDI1YjRiNzUxMGEwNGVmMjkwNmU2Y2ZkNzRjZjBjMWE
2026-02-13 16:15:01,bob,online-boutique-7725,"We'll likely see high return rates from customers, that's going to mean a lot of financial loss from shipping and refund costs."
2026-02-13 16:15:05,bez,business-comms-7725,What is going to be the revenue impact ?
2026-02-13 16:15:21,bob,online-boutique-7725,I'm receiving more cancellation/refund requests than new orders. @eschulman6-bloomberg.net What shall we do now? 
