datetime,player,channel,message
2026-01-28 15:47:29,uptimelabs,online-boutique-7550,"Welcome to Too Good To Be True, the responsibility is on you to size up the problem.

 *Access game links by pressing the Uptime Labs Logo in the top right of the screen*
 *Use `/incident` to create an incident record*

Once you're ready just click start to begin"
2026-01-28 15:49:24,tinus,online-boutique-7550,"Welcome our new IM @eschulman6-bloomberg.net, Happy to have you in the team. Hope you get comfortable with everyone"
2026-01-28 15:49:29,shay,online-boutique-7550,Welcome @eschulman6-bloomberg.net
2026-01-28 15:49:33,PLAYER,online-boutique-7550,hi
2026-01-28 15:49:34,daniel,online-boutique-7550,Nice to meet you @eschulman6-bloomberg.net
2026-01-28 15:49:44,bob,online-boutique-7550,There are a few strange customer reports with the helpdesk
2026-01-28 15:49:48,bob,online-boutique-7550,"Apparently, the site is loading slowly"
2026-01-28 15:49:52,bob,online-boutique-7550,People are reporting that they can't make payments either
2026-01-28 15:49:55,bob,online-boutique-7550,
2026-01-28 15:49:59,bob,online-boutique-7550,@eschulman6-bloomberg.net Can you check this?
2026-01-28 15:50:08,PLAYER,online-boutique-7550,Can you say more?  Is anyone currently investigating?
2026-01-28 15:50:12,uptimelabs,online-boutique-7550,:star: Manage actions and timings
2026-01-28 15:51:16,bob,online-boutique-7550,Let me gather the information for you
2026-01-28 15:51:21,bob,online-boutique-7550,There are more than 300 customer reports till now
2026-01-28 15:51:28,bob,online-boutique-7550,"Calls are from every region, likely to be Global"
2026-01-28 15:51:34,bob,online-boutique-7550,There's a bunch of messages coming in. A few people saying they can't do anything on the site
2026-01-28 15:51:39,bob,online-boutique-7550,Let me know if you need more information
2026-01-28 15:52:11,shay,online-boutique-7550,"Investigating, checking logs"
2026-01-28 15:52:18,PLAYER,online-boutique-7550,Hi @tanya can you take a look at this?
2026-01-28 15:52:30,PLAYER,online-boutique-7550,I notice that user traffic has fallen off in the dashboard...
2026-01-28 15:52:36,uptimelabs,online-boutique-7550,:star: Qualify the problem
2026-01-28 15:52:36,uptimelabs,online-boutique-7550,:star: Use metrics as evidence
2026-01-28 15:52:39,PLAYER,online-boutique-7550,and... that log activity has tailed off.
2026-01-28 15:52:45,tanya,online-boutique-7550,There are no alerts on the Infrastructure. I did see a few errors on the frontend apps
2026-01-28 15:52:51,tanya,online-boutique-7550,This looks to me like an issue in the frontend pod
2026-01-28 15:53:51,PLAYER,online-boutique-7550,Which team owns the frontend?  Can we pull them in?
2026-01-28 15:54:05,shay,online-boutique-7550,"we should get Daniel to help, we both own this app"
2026-01-28 15:54:17,PLAYER,online-boutique-7550,I'm seeing 502 Bad Gateway now -  customers seem to be seeing this as well.
2026-01-28 15:54:19,hamed,online-boutique-7550,"I did follow the chat, I could see the issue started exactly at the time when the change was implemented on the frontend"
2026-01-28 15:54:26,hamed,online-boutique-7550,Did we test the change in the UAT environment before implementation
2026-01-28 15:54:26,uptimelabs,online-boutique-7550,:star: Reproduces the incident
2026-01-28 15:54:28,shay,online-boutique-7550,lets get Hamed as well
2026-01-28 15:54:35,PLAYER,online-boutique-7550,@hamed look like we have a live issue here -  FYI -  We're investigating.
