datetime,player,channel,message
2026-02-23 13:24:16,bez,online-boutique-7798,Can you believe it? That influencer photoshoot is blowing up! We're making waves all over social media.
2026-02-23 13:24:20,bob,online-boutique-7798,
2026-02-23 13:24:26,bez,online-boutique-7798,Our watches and loafers are all over everyone's feeds 
2026-02-23 13:24:30,bob,online-boutique-7798,You're telling me? My inbox is packed with customer queries 
2026-02-23 13:24:37,uptimelabs,online-boutique-7798,"Welcome to Discount Disaster, the responsibility is on you to size up the problem.

? *Use `/help` at any time for a list of useful links and commands*
 ? *Use `/incident` to create an incident record*

Once you're ready just click start to begin"
2026-02-23 13:25:11,daniel,online-boutique-7798,"Yeah, I'm seeing it, traffic's surging. But nothing we didn't anticipate for"
2026-02-23 13:25:14,hamed,online-boutique-7798,Good. We've optimised the backend for this kind of spike
2026-02-23 13:25:18,maya,online-boutique-7798,Let's just make sure that's all it is - legit traffic. Influencer campaigns can attract more than just customers
2026-02-23 13:25:23,shay,online-boutique-7798,I'll keep eyes on the dashboard. We're running at nearly 80% capacity right now for all the user actvity our platform can handle
2026-02-23 13:25:27,bez,online-boutique-7798,It's all good. People are scrambling to get their hands on our products. That viral post is gold
2026-02-23 13:25:30,daniel,online-boutique-7798,We're inching closer to max capacity. We're at 95% load now
2026-02-23 13:25:36,shay,online-boutique-7798,I just refreshed the website and it's now taking ages to load
2026-02-23 13:25:41,shay,online-boutique-7798,Is the website down? Or maybe it's just my machine
2026-02-23 13:26:15,PLAYER,online-boutique-7798,getting 503 error on refreshing the site 
2026-02-23 13:26:19,uptimelabs,online-boutique-7798,:star: Reproduces the incident
2026-02-23 13:26:30,shay,online-boutique-7798,Its same for me as well
2026-02-23 13:27:12,PLAYER,online-boutique-7798,@bob are you getting customer complaints?
2026-02-23 13:27:14,uptimelabs,online-boutique-7798,:star: Asking questions to validate impact of the problem
2026-02-23 13:27:27,bob,online-boutique-7798,Sure let me check the reports
2026-02-23 13:27:40,bob,online-boutique-7798,We are getting a lot of calls from customers that they are unable to access the website
2026-02-23 13:27:43,bob,online-boutique-7798,Few are reporting long loading times 
2026-02-23 13:27:47,bob,online-boutique-7798,and few are able to load platforms but unable to order
2026-02-23 13:27:51,bob,online-boutique-7798,Here are the latest reports
2026-02-23 13:27:54,bob,online-boutique-7798,
2026-02-23 13:27:58,bob,online-boutique-7798,Looks like a global issue
2026-02-23 13:28:18,PLAYER,online-boutique-7798,@shay where is the change dashboard?
2026-02-23 13:28:30,PLAYER,online-boutique-7798,any recent changes that could be causing this?
2026-02-23 13:28:33,uptimelabs,online-boutique-7798,:star: Check changes done to the platform
2026-02-23 13:28:44,shay,online-boutique-7798,Let me share it with you
2026-02-23 13:28:50,shay,online-boutique-7798,https://uptime-labs.atlassian.net/wiki/external/YmMxM2RhNDA1YWY0NGZmY2E0NzJmN2M5YWJmOGRhOGM
2026-02-23 13:29:00,PLAYER,online-boutique-7798,thanks
2026-02-23 13:29:16,uptimelabs,online-boutique-7798,:bulb: Declare an incident.
2026-02-23 13:29:32,PLAYER,online-boutique-7798,
2026-02-23 13:29:32,uptimelabs,business-comms-7798,*Incident Number INC100013:* Website slowness
2026-02-23 13:30:06,PLAYER,online-boutique-7798,@shay is there any chance the load test could have spilled over into prod?
2026-02-23 13:30:10,uptimelabs,online-boutique-7798,:star: Reviewed changes
2026-02-23 13:30:22,shay,online-boutique-7798,This test must be running in UAT
2026-02-23 13:30:36,PLAYER,online-boutique-7798,is the test stiill ongoing?
2026-02-23 13:30:36,shay,online-boutique-7798,So it shouldn't be impacting prod
2026-02-23 13:30:45,shay,online-boutique-7798,Yes its running but in UAT
2026-02-23 13:30:58,bez,business-comms-7798,Is it global issue ?
2026-02-23 13:31:16,bez,business-comms-7798,This will bleed us more due to ongoing sale
2026-02-23 13:31:24,PLAYER,business-comms-7798,"@bez We have a major incident, the website is extremely slow to load or in some cases not loading at all. Appears to be load related."
2026-02-23 13:31:29,uptimelabs,online-boutique-7798,:star: Qualify the problem
2026-02-23 13:31:29,uptimelabs,online-boutique-7798,:star: Formally assign criticality level to the incident
2026-02-23 13:31:49,daniel,online-boutique-7798,I see a lot of https426 and 503
2026-02-23 13:31:53,PLAYER,online-boutique-7798,"given the impact, let's make this a Sev 1"
2026-02-23 13:32:18,shay,online-boutique-7798,"Just to confirm again, would you like me to stop the test ?"
2026-02-23 13:32:22,PLAYER,online-boutique-7798,@bob any changes in the reports coming in?
2026-02-23 13:32:33,PLAYER,online-boutique-7798,@shay yes. stop the test
