datetime,player,channel,message
2026-01-28 10:39:22,bez,online-boutique-7542,Can you believe it? That influencer photoshoot is blowing up! We're making waves all over social media.
2026-01-28 10:39:26,bob,online-boutique-7542,
2026-01-28 10:39:32,bez,online-boutique-7542,Our watches and loafers are all over everyone's feeds 
2026-01-28 10:39:36,bob,online-boutique-7542,You're telling me? My inbox is packed with customer queries 
2026-01-28 10:39:43,uptimelabs,online-boutique-7542,"Welcome to Discount Disaster, the responsibility is on you to size up the problem.

? *Use `/help` at any time for a list of useful links and commands*
 ? *Use `/incident` to create an incident record*

Once you're ready just click start to begin"
2026-01-28 10:41:22,daniel,online-boutique-7542,"Yeah, I'm seeing it, traffic's surging. But nothing we didn't anticipate for"
2026-01-28 10:41:25,hamed,online-boutique-7542,Good. We've optimised the backend for this kind of spike
2026-01-28 10:41:29,maya,online-boutique-7542,Let's just make sure that's all it is - legit traffic. Influencer campaigns can attract more than just customers
2026-01-28 10:41:34,shay,online-boutique-7542,I'll keep eyes on the dashboard. We're running at nearly 80% capacity right now for all the user actvity our platform can handle
2026-01-28 10:41:38,bez,online-boutique-7542,It's all good. People are scrambling to get their hands on our products. That viral post is gold
2026-01-28 10:41:41,daniel,online-boutique-7542,We're inching closer to max capacity. We're at 95% load now
2026-01-28 10:41:47,shay,online-boutique-7542,I just refreshed the website and it's now taking ages to load
2026-01-28 10:41:52,shay,online-boutique-7542,Is the website down? Or maybe it's just my machine
2026-01-28 10:42:16,PLAYER,online-boutique-7542,
2026-01-28 10:42:17,uptimelabs,business-comms-7542,*Incident Number INC100054:* [P1 - Website is down ]
2026-01-28 10:42:48,bez,business-comms-7542,Seriously @Sree - Not again- we have a sale announced some time back
2026-01-28 10:42:56,PLAYER,online-boutique-7542,I am seeing spike in failures @Daniel @Hamed can we take a look whats happening 
2026-01-28 10:42:59,uptimelabs,online-boutique-7542,:star: Take command
2026-01-28 10:42:59,uptimelabs,online-boutique-7542,:star: Escalating when required
2026-01-28 10:43:14,PLAYER,online-boutique-7542,@bob whats the scale of the client impact 
2026-01-28 10:43:17,uptimelabs,online-boutique-7542,:star: Asking questions to validate impact of the problem
2026-01-28 10:43:31,bob,online-boutique-7542,We are getting a lot of calls from customers that they are unable to access the website
2026-01-28 10:43:34,bob,online-boutique-7542,Few are reporting long loading times 
2026-01-28 10:43:38,bob,online-boutique-7542,and few are able to load platforms but unable to order
2026-01-28 10:43:40,daniel,online-boutique-7542,I see a lot of https426 and 503
2026-01-28 10:43:42,bob,online-boutique-7542,Here are the latest reports
2026-01-28 10:43:45,bob,online-boutique-7542,
2026-01-28 10:43:49,PLAYER,business-comms-7542,"@Bez we are on top of it, will keep you posted shortly."
2026-01-28 10:43:49,bob,online-boutique-7542,Looks like a global issue
2026-01-28 10:44:21,hamed,online-boutique-7542,"Sure, what do we see so far ?"
2026-01-28 10:44:33,hamed,online-boutique-7542,I know we had a sale announced
2026-01-28 10:44:41,hamed,online-boutique-7542,do we know if thats the cause?
2026-01-28 10:44:55,PLAYER,online-boutique-7542,@hamed requests are failing with https 426 and 503 @daniel can you shed more light on the problem 
2026-01-28 10:44:57,daniel,online-boutique-7542,"Sure, @Shay can you join me"
2026-01-28 10:45:04,shay,online-boutique-7542,Im seeing a lot of errors in the logs 
2026-01-28 10:45:08,shay,online-boutique-7542,Not sure what the root cause is but we are seeing high load on our Frontend Pods - this may be due to the ongoing discount or if it could be related to any tests we were running.
2026-01-28 10:45:13,shay,online-boutique-7542,"I see high number of rest-call errors like  http429, http503 and 504s "
2026-01-28 10:45:21,shay,online-boutique-7542,"```
ERROR: GET /api/GetInfo HTTP/1.1 429 200 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/91.0.4472.124 Safari/537.36 FrontEndApp
``` ```
ERROR: GET /api/GetInfo HTTP/1.1 429 200 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/91.0.4472.124 Safari/537.36 FrontEndApp
```"
2026-01-28 10:45:29,shay,online-boutique-7542,Im also seeing this
2026-01-28 10:45:32,shay,online-boutique-7542,"```
[error]: Service unavailable, cannot process request for /api/GetInfo (503).
``` ```
[error]: Service unavailable, cannot process request for /api/GetInfo (503).
```"
2026-01-28 10:45:34,bez,business-comms-7542,Is this a global issue?
2026-01-28 10:45:42,daniel,online-boutique-7542,Seeing frontend errors as well
2026-01-28 10:45:47,daniel,online-boutique-7542,"```
[error] 12345#12345: *98765 limiting requests, exceeded 10 requests per second for client 149.34.52.176, request: GET /api/GetInfo HTTP/1.1, FrontEndApp
``` 
```[error] 12345#12345: *98766 limiting requests, exceeded 10 requests per second for client 149.34.52.176, request: GET /api/GetInfo HTTP/1.1, FrontEndApp
``` ```
[error] 12345#12345: *98767 limiting requests, exceeded 10 requests per second for client 149.34.52.176, request: GET /api/GetInfo HTTP/1.1, FrontEndApp
```"
2026-01-28 10:45:56,PLAYER,business-comms-7542,"Yes, its affecting all across. 

"
2026-01-28 10:45:57,daniel,online-boutique-7542,"```
[ERROR] 12345#12345: *98765 gateway timed out (504) while receiving response from upstream, client: 149.34.52.176, request: GET /api/GetInfo HTTP/1.1, host: FrontEndApp
``` ```
[ERROR] 12345#12345: *98766 gateway timed out (504) while receiving response from upstream, client: 149.34.52.176, request: GET /api/GetInfo HTTP/1.1, host: FrontEndApp
``` ```
[ERROR] 12345#12345: *98767 gateway timed out (504) while receiving response from upstream, client: 149.34.52.176, request: GET /api/GetInfo HTTP/1.1, host: FrontEndApp
``` "
2026-01-28 10:45:59,uptimelabs,online-boutique-7542,:star: Qualify the problem
2026-01-28 10:46:06,daniel,online-boutique-7542,Do we know what the expected amount of traffic should be due to the on-going discount? 
2026-01-28 10:46:10,bez,business-comms-7542,That's looking bad
2026-01-28 10:46:19,bez,business-comms-7542,I hope you have everyone who is required
2026-01-28 10:46:40,PLAYER,business-comms-7542,"yup, we have the team triaging it"
2026-01-28 10:47:20,PLAYER,online-boutique-7542,@daniel who can help to answer that question ?
2026-01-28 10:47:38,PLAYER,online-boutique-7542,"For the errors mentioned, do we know where is this stemming from ?"
2026-01-28 10:47:43,daniel,online-boutique-7542,Can we check with BOb if we anticipated high numbe rof login due to sale
2026-01-28 10:47:55,uptimelabs,online-boutique-7542,:bulb: Check the changes done in the platform
2026-01-28 10:48:19,PLAYER,online-boutique-7542,"Were there any recent changes rolled out, including configuration or system updates ?"
2026-01-28 10:48:22,uptimelabs,online-boutique-7542,:star: Check changes done to the platform
2026-01-28 10:48:24,bob,online-boutique-7542,Hi @Daniel- We were anticipating just 10 % more new logins due to sale
2026-01-28 10:48:33,bob,online-boutique-7542,How much more are we doing now ? @Sree?
2026-01-28 10:48:51,shay,online-boutique-7542,Changes this morning
2026-01-28 10:48:52,shay,online-boutique-7542,https://uptime-labs.atlassian.net/wiki/spaces/ULPUBLIC/pages/1118961668/Discount+Disaster+-+Change+Request+Logs
2026-01-28 10:49:29,PLAYER,online-boutique-7542,@bob we are at a total of 6555 user hits 
2026-01-28 10:49:31,uptimelabs,online-boutique-7542,:star: Use metrics as evidence
2026-01-28 10:49:40,daniel,online-boutique-7542,We are more than 6k logins per minute now - which is 10 times our capacity
2026-01-28 10:49:47,daniel,online-boutique-7542,This is not due to sale
2026-01-28 10:50:22,bez,business-comms-7542,What's the latest @Sree - The stakeholders are calling us
2026-01-28 10:50:38,bob,online-boutique-7542,Thats definitely not due to sale
2026-01-28 10:50:53,hamed,online-boutique-7542,Did we look at all changes ? Teams were running load test
2026-01-28 10:51:39,PLAYER,business-comms-7542,We are reviewing the recent changes and narrowing down the root cause 
2026-01-28 10:51:42,bez,business-comms-7542,Please dont tell me this is due to a change
2026-01-28 10:51:42,uptimelabs,online-boutique-7542,:star: Reviewed changes
2026-01-28 10:52:06,PLAYER,online-boutique-7542,"@hamed whose running these tests, is that stopped now ?"
2026-01-28 10:52:09,uptimelabs,online-boutique-7542,:star: Manage actions and timings
2026-01-28 10:52:16,hamed,online-boutique-7542,"Change ID: CHG85387

Owner: Shay

Service: FrontEndService

Environment: UAT

Version Deployed: N/A (Load Test)

Time Of Change: Less than 30 minutes ago

Description: Load test conducted in UAT simulating 5000 concurrent users on /api/login and /api/GetInfo endpoints."
2026-01-28 10:52:24,hamed,online-boutique-7542,That must be Shay and Dan
2026-01-28 10:52:41,PLAYER,online-boutique-7542,But thats UAT ? how is that affecting PROD ? 
2026-01-28 10:52:43,hamed,online-boutique-7542,There are 2 tests running
2026-01-28 10:52:49,hamed,online-boutique-7542,I hope team has not misconfigered
