datetime,player,channel,message
2026-01-21 10:48:14,uptimelabs,online-boutique-7480,"Welcome to Too Good To Be True, the responsibility is on you to size up the problem.

 *Access game links by pressing the Uptime Labs Logo in the top right of the screen*
 *Use `/incident` to create an incident record*

Once you're ready just click start to begin"
2026-01-21 10:52:59,PLAYER,online-boutique-7480,
2026-01-21 10:52:59,uptimelabs,business-comms-7480,*Incident Number INC100072:* P1 Test: Website is down
2026-01-21 10:53:46,tinus,online-boutique-7480,"Welcome our new IM @s.sasi-bloomberg.net, Happy to have you in the team. Hope you get comfortable with everyone"
2026-01-21 10:53:51,shay,online-boutique-7480,Welcome @s.sasi-bloomberg.net
2026-01-21 10:53:56,daniel,online-boutique-7480,Nice to meet you @s.sasi-bloomberg.net
2026-01-21 10:54:05,bob,online-boutique-7480,There are a few strange customer reports with the helpdesk
2026-01-21 10:54:10,bob,online-boutique-7480,"Apparently, the site is loading slowly"
2026-01-21 10:54:14,bob,online-boutique-7480,People are reporting that they can't make payments either
2026-01-21 10:54:17,bob,online-boutique-7480,
2026-01-21 10:54:21,bob,online-boutique-7480,@s.sasi-bloomberg.net Can you check this?
2026-01-21 10:55:22,PLAYER,online-boutique-7480,I can see the same @hamed @tanya could you please take a look and the possible failure underneath ?
2026-01-21 10:55:25,hamed,online-boutique-7480,"Sure, let me take a look"
2026-01-21 10:55:25,uptimelabs,online-boutique-7480,:star: Form an effective investigation team
2026-01-21 10:55:38,tanya,online-boutique-7480,Do we have an incident ?
2026-01-21 10:56:02,bez,business-comms-7480,There is alot of noise in Social media X platform
2026-01-21 10:56:06,PLAYER,online-boutique-7480,"While @hamed is looking at it, can we have @daniel also look at the backend "
2026-01-21 10:56:11,bez,business-comms-7480,DO we have an issue?
2026-01-21 10:56:23,daniel,online-boutique-7480,"Sure, i ll take a look"
2026-01-21 10:56:43,uptimelabs,online-boutique-7480,:bulb: Collect enough information to send meaningful business comunication within the first 5 minutes
2026-01-21 10:57:00,PLAYER,online-boutique-7480,"yes, 502 failure"
2026-01-21 10:57:01,bez,business-comms-7480,is this  a global issue?
2026-01-21 10:57:04,uptimelabs,online-boutique-7480,:star: Qualify the problem
2026-01-21 10:57:04,uptimelabs,online-boutique-7480,:star: Reproduces the incident
2026-01-21 10:57:21,daniel,online-boutique-7480,I see a lot of errors in Front end pods
2026-01-21 10:57:47,PLAYER,online-boutique-7480,@bob whats the customer impact so far ?
2026-01-21 10:57:49,uptimelabs,online-boutique-7480,:star: Asking questions to validate impact of the problem
2026-01-21 10:57:55,daniel,online-boutique-7480,can you create an incident ? i need it to login to server
2026-01-21 10:58:01,bob,online-boutique-7480,Let me gather the information for you
2026-01-21 10:58:06,bob,online-boutique-7480,There are more than 300 customer reports till now
2026-01-21 10:58:13,bob,online-boutique-7480,"Calls are from every region, likely to be Global"
2026-01-21 10:58:19,bob,online-boutique-7480,There's a bunch of messages coming in. A few people saying they can't do anything on the site
2026-01-21 10:58:24,bob,online-boutique-7480,Let me know if you need more information
2026-01-21 10:58:29,bez,business-comms-7480,"Hi Sree, any update please"
2026-01-21 10:58:38,bez,business-comms-7480,I have a stake holders meet in 10 minutes
2026-01-21 10:58:46,PLAYER,online-boutique-7480,
2026-01-21 10:58:46,uptimelabs,business-comms-7480,*Incident Number INC10008:* Test: Access to website failing globally (502 error)
2026-01-21 10:58:46,uptimelabs,online-boutique-7480,:star: Incident record created
2026-01-21 10:58:48,uptimelabs,online-boutique-7480,:star: Send first comms in first 5 minutes
2026-01-21 10:58:51,daniel,online-boutique-7480,"Thanks, i ll do the check now"
2026-01-21 10:58:51,bez,business-comms-7480,How many customers are affected? Are the reports coming in from all regions?
2026-01-21 10:59:00,daniel,online-boutique-7480,"@Shay, can you join as wel"
2026-01-21 10:59:05,shay,online-boutique-7480,Looking into this and trying to replicate the issue
