datetime,player,channel,message
2026-02-20 11:47:39,uptimelabs,online-boutique-7785,"Welcome to The Unknown Unknown, are you prepared for the challenge?

 *Use `/help` at any time for a list of useful links and commands* 
 *Use `/incident` to create an incident record*

Once you're ready just click start to begin"
2026-02-20 11:48:56,bob,online-boutique-7785,"Hey team, getting a few reports now, looks like confusion from the customers on what they ordering?"
2026-02-20 11:49:03,bob,online-boutique-7785,This is strange
2026-02-20 11:49:09,bob,online-boutique-7785,Just seen a couple of reports of customers not receiving the right item on delivery
2026-02-20 11:49:14,tinus,online-boutique-7785,Hmm? that sounds strange. @stuck2-bloomberg.net can you take point and start sizing this up?
2026-02-20 11:49:24,PLAYER,online-boutique-7785,"Hi everyone, I am here and ill take point indeed."
2026-02-20 11:49:27,uptimelabs,online-boutique-7785,:star: Take command
2026-02-20 11:49:39,tinus,online-boutique-7785,Thanks Stephen
2026-02-20 11:49:42,PLAYER,online-boutique-7785,@bob is there any pattern you are seeing?
2026-02-20 11:49:45,uptimelabs,online-boutique-7785,:star: Asking questions to validate impact of the problem
2026-02-20 11:49:56,bob,online-boutique-7785,Checking reports...
2026-02-20 11:49:59,tinus,online-boutique-7785,Let me know if you need anything from me
2026-02-20 11:50:20,bob,online-boutique-7785,One report said the user wanted to buy 'Sunglasses' but he got 'Tank-top' in confirmation
2026-02-20 11:50:24,PLAYER,online-boutique-7785,If I click on sunglasses in the webpage I get a picture of a mug
2026-02-20 11:50:27,PLAYER,online-boutique-7785,I can reproduce
2026-02-20 11:50:29,uptimelabs,online-boutique-7785,:star: Reproduces the incident
2026-02-20 11:50:31,bob,online-boutique-7785,Just double checked with shipping looks like the items that has been ordered are correct and we're sending the right item
2026-02-20 11:50:36,bob,online-boutique-7785,We have currently got more than 17 complaints so far
2026-02-20 11:50:53,PLAYER,online-boutique-7785,this may be an issue with the frontend then
2026-02-20 11:51:18,PLAYER,online-boutique-7785,@daniel can you review if any frontend changes have been made
2026-02-20 11:51:20,uptimelabs,online-boutique-7785,:star: Reviewed changes
2026-02-20 11:51:34,daniel,online-boutique-7785,"Sure, but what's the issue ?"
2026-02-20 11:51:59,bob,online-boutique-7785,@Stephen - Do we know if we are taking orders based on label or image ? we may take wrong orders
2026-02-20 11:52:04,PLAYER,online-boutique-7785,customers are receiving unexpected items and I can reproduce that the image for sunglasses was incorrect on drilling
2026-02-20 11:52:06,shay,online-boutique-7785,Here's the detailed info on each of the changes made today
2026-02-20 11:52:07,uptimelabs,online-boutique-7785,:star: Qualify the problem
2026-02-20 11:52:08,shay,online-boutique-7785,Hope this helps:https://uptime-labs.atlassian.net/wiki/external/MDI1YjRiNzUxMGEwNGVmMjkwNmU2Y2ZkNzRjZjBjMWE
2026-02-20 11:52:26,daniel,online-boutique-7785,"Okay, do we haev an incident ?"
2026-02-20 11:52:31,PLAYER,online-boutique-7785,@daniel can you send me a link to the recent releases please
2026-02-20 11:52:42,daniel,online-boutique-7785,https://uptime-labs.atlassian.net/wiki/external/MDI1YjRiNzUxMGEwNGVmMjkwNmU2Y2ZkNzRjZjBjMWE
2026-02-20 11:52:44,daniel,online-boutique-7785,We could try to halt all incoming orders but not sure on the scale of impact
2026-02-20 11:52:49,bob,online-boutique-7785,@stuck2-bloomberg.net Could you please discuss this with Bez?
2026-02-20 11:52:54,PLAYER,online-boutique-7785,I am going to call this an incident as it reduces trust in our product and is impacting clients directly
2026-02-20 11:53:29,bez,business-comms-7785,"If we're taking the wrong orders, then let's pause all incoming orders right away. We can't afford huge returns or refunds"
2026-02-20 11:53:29,PLAYER,online-boutique-7785,@bob on it
2026-02-20 11:53:40,PLAYER,business-comms-7785,@bez agreed
2026-02-20 11:53:50,PLAYER,online-boutique-7785,@daniel yes let's halt all orders
2026-02-20 11:53:57,bez,online-boutique-7785,Thanks @Stephen - Let me know if you need any help from me
2026-02-20 11:54:06,daniel,online-boutique-7785,"Whenever needed, we can switch the site to maintenance mode via a feature-flag update in the config repo. It cleanly pauses new orders once business gives the go-ahead"
2026-02-20 11:54:09,bez,business-comms-7785,What's the impact? 
2026-02-20 11:54:14,PLAYER,online-boutique-7785,
2026-02-20 11:54:14,uptimelabs,business-comms-7785,*Incident Number INC100070:* SEV1 incorrect orders stopping sales
2026-02-20 11:54:14,uptimelabs,online-boutique-7785,:star: Incident record created
2026-02-20 11:54:23,bez,business-comms-7785,How big is this problem?
2026-02-20 11:54:52,PLAYER,online-boutique-7785,@bez can you list your approval to halt all orders
2026-02-20 11:54:56,daniel,online-boutique-7785,Getting up maintenance banner on the website...
2026-02-20 11:55:08,PLAYER,online-boutique-7785,I've made this a sev1 as we have halted the ability to sell
2026-02-20 11:55:13,PLAYER,online-boutique-7785,we need all hands here
2026-02-20 11:55:36,daniel,online-boutique-7785,Ok the website now displays a maintenance banner
2026-02-20 11:55:41,daniel,online-boutique-7785,@stuck2-bloomberg.net How does it look now?
2026-02-20 11:55:42,daniel,online-boutique-7785,I haev reviewed all PROD changes - There is nothign wrong in them - Shall we start looking health and errors
2026-02-20 11:55:49,PLAYER,business-comms-7785,as we've paused now we've limited direct impact for erroneous orders but obviously we are paused
2026-02-20 11:56:06,bez,business-comms-7785,@stuck2-bloomberg.net Now that we are under maintenance. Let's prioritize resolution
2026-02-20 11:56:07,bez,business-comms-7785,"Thanks , thats a good move"
2026-02-20 11:56:24,PLAYER,online-boutique-7785,@daniel i see the maintenance banner but that is all
