datetime,player,channel,message
2026-01-30 13:34:23,uptimelabs,online-boutique-7576,"Welcome to Too Good To Be True, the responsibility is on you to size up the problem.

 *Access game links by pressing the Uptime Labs Logo in the top right of the screen*
 *Use `/incident` to create an incident record*

Once you're ready just click start to begin"
2026-01-30 13:38:14,PLAYER,online-boutique-7576,
2026-01-30 13:38:14,uptimelabs,business-comms-7576,*Incident Number INC100020:* P1 Test
2026-01-30 13:38:57,PLAYER,business-comms-7576,Clients reporting increased latency
2026-01-30 13:39:45,tinus,online-boutique-7576,"Welcome our new IM @utopkara-bloomberg.net, Happy to have you in the team. Hope you get comfortable with everyone"
2026-01-30 13:39:50,shay,online-boutique-7576,Welcome @utopkara-bloomberg.net
2026-01-30 13:39:55,daniel,online-boutique-7576,Nice to meet you @utopkara-bloomberg.net
2026-01-30 13:40:05,bob,online-boutique-7576,There are a few strange customer reports with the helpdesk
2026-01-30 13:40:09,bob,online-boutique-7576,"Apparently, the site is loading slowly"
2026-01-30 13:40:13,bob,online-boutique-7576,People are reporting that they can't make payments either
2026-01-30 13:40:14,PLAYER,online-boutique-7576,
2026-01-30 13:40:14,uptimelabs,business-comms-7576,*Incident Number INC100022:* Clients are reporting increased latency
2026-01-30 13:40:14,uptimelabs,online-boutique-7576,:star: Incident record created
2026-01-30 13:40:16,bob,online-boutique-7576,
2026-01-30 13:40:16,uptimelabs,online-boutique-7576,:star: Send first comms in first 5 minutes
2026-01-30 13:40:19,bez,business-comms-7576,How many customers are affected? Are the reports coming in from all regions?
2026-01-30 13:40:20,bob,online-boutique-7576,@utopkara-bloomberg.net Can you check this?
2026-01-30 13:41:25,PLAYER,online-boutique-7576,@bob Are all regions affected? Do you have a sense on the number of clients impacted?
2026-01-30 13:41:27,bob,online-boutique-7576,Let me gather the information for you
2026-01-30 13:41:28,uptimelabs,online-boutique-7576,:star: Asking questions to validate impact of the problem
2026-01-30 13:41:32,bob,online-boutique-7576,There are more than 300 customer reports till now
2026-01-30 13:41:39,bob,online-boutique-7576,"Calls are from every region, likely to be Global"
2026-01-30 13:41:45,bob,online-boutique-7576,There's a bunch of messages coming in. A few people saying they can't do anything on the site
2026-01-30 13:41:50,bob,online-boutique-7576,Let me know if you need more information
2026-01-30 13:42:04,PLAYER,online-boutique-7576,"@tanya please can you check the dashboards, I saw a dip in the recorded usage around 8am"
2026-01-30 13:42:06,uptimelabs,online-boutique-7576,:star: Manage actions and timings
2026-01-30 13:42:17,tanya,online-boutique-7576,Sure
2026-01-30 13:42:20,tanya,online-boutique-7576,let me check
2026-01-30 13:42:29,tanya,online-boutique-7576,The user activity is nill
2026-01-30 13:42:50,tanya,online-boutique-7576,This looks serious
2026-01-30 13:43:02,PLAYER,online-boutique-7576,"Looks like it started at 8:40am
"
2026-01-30 13:43:02,tanya,online-boutique-7576,DO we have APp team looking into this ?
