datetime,player,channel,diff,message
01/04/2026 12:09,uptimelabs,online-boutique-8284,,"Welcome to Version Confusion, the responsibility is on you to size up the problem.

? *Use `/help` at any time for a list of useful links and commands*
 ? *Use `/incident` to create an incident record*

Once youre ready just click start to begin"
01/04/2026 12:12,tanya,online-boutique-8284,3.17,Hey guys im seeing an issue with the website loading slowly
01/04/2026 12:12,tanya,online-boutique-8284,3.18,Anyone else experaning this?
01/04/2026 12:12,shay,online-boutique-8284,3.22,No all ok for me
01/04/2026 12:12,daniel,online-boutique-8284,3.23,No issue for me
01/04/2026 12:12,daniel,online-boutique-8284,3.25,What browser and version of it are you using Tanya?
01/04/2026 12:12,tanya,online-boutique-8284,3.28,Im using chrome and let me check the version
01/04/2026 12:12,daniel,online-boutique-8284,3.32,Ok if it is V105.0 this is a recorded bug with a ticket in the backlog
01/04/2026 12:12,tanya,online-boutique-8284,3.33,Yeah it is V105.0
01/04/2026 12:12,tanya,online-boutique-8284,3.35,Should we not raise an incident for this? I know I can update the version and it will stop effecting me.
01/04/2026 12:12,tanya,online-boutique-8284,3.38,But could this not be effecting customers?
01/04/2026 12:12,daniel,online-boutique-8284,3.42,Had a look at the market share of people using this version it is only at 0.09%
01/04/2026 12:12,tanya,online-boutique-8284,3.47,Still not sure if it should not be an incidnt. @gowthamkumar.b-dominos.co.uk What do you think? 
01/04/2026 12:13,PLAYER,online-boutique-8284,3.87,"@tanya, let see whehter all ar efacing same issue"
01/04/2026 12:13,uptimelabs,online-boutique-8284,3.90,:star: Asking questions to validate impact of the problem
01/04/2026 12:13,PLAYER,online-boutique-8284,4.20,if user affecting it is will be incident
01/04/2026 12:14,PLAYER,online-boutique-8284,4.67,is it with local issue with client?
01/04/2026 12:14,bob,online-boutique-8284,4.73,We’ve had a couple of customers mention slow loading on Chrome
01/04/2026 12:14,bob,online-boutique-8284,4.77,"I don’t have numbers yet, but I can check reports"
01/04/2026 12:14,shay,online-boutique-8284,5.07,Could be just an intermittent issue
01/04/2026 12:14,PLAYER,online-boutique-8284,5.43,it is affecting the individual user we have check the client version
01/04/2026 12:14,bob,online-boutique-8284,5.47,I’ve pulled some numbers — this is bigger than expected
01/04/2026 12:14,bob,online-boutique-8284,5.53,About 20% of sessions are showing elevated load times
01/04/2026 12:14,bob,online-boutique-8284,5.63,Seeing some timeouts as well
01/04/2026 12:15,tanya,online-boutique-8284,5.77,That’s much larger than Chrome 105’s share
01/04/2026 12:15,PLAYER,online-boutique-8284,6.02,@bob  pls confirm users are affecting
01/04/2026 12:15,shay,online-boutique-8284,6.08,"Could be tied to one of our deployments, perhaps"
01/04/2026 12:15,shay,online-boutique-8284,6.58,"We made a few changes to the platform recently
https://uptime-labs.atlassian.net/wiki/external/ZDQ1MTE3NWU5ZDYxNDA4MTkxZmM3ZGJmMGJhNmE1OTE
Here's detailed information"
01/04/2026 12:16,bob,online-boutique-8284,6.85,It's seems this is indeed global
01/04/2026 12:16,PLAYER,online-boutique-8284,7.08,@tanya you deployed version related deployment is that causing issue
01/04/2026 12:16,uptimelabs,online-boutique-8284,7.13,:star: Reviewed changes
01/04/2026 12:16,shay,online-boutique-8284,7.28,Maybe detection is mislabeling browser versions?
01/04/2026 12:16,tanya,online-boutique-8284,7.57,I will double-check the recent deployment
01/04/2026 12:17,PLAYER,online-boutique-8284,7.80,"ok, what will the impact if user are using older version than it required?"
01/04/2026 12:17,PLAYER,online-boutique-8284,8.03,"CR
Description
Environment
Owner
Time
CHG89462
CHG89462:RecommendationService:version 0.9.0-7.0.1 deployed:PROD:Tanya
PROD
Tanya
2026-03-31 17:29:06
CHG89374
CHG89374:AdService:version 0.8.1-14.0.0 deployed:PROD:Tanya
PROD
Tanya
2026-03-31 17:39:06
CHG89553
CHG89553:FrontEndService:version 0.5.0-14.2.1 deployed:PROD:Daniel B
PROD
Daniel
2026-03-31 20:12:26
CHG89356"
01/04/2026 12:17,uptimelabs,online-boutique-8284,8.08,:star: Check changes done to the platform
01/04/2026 12:17,PLAYER,online-boutique-8284,8.22,above is the changes done
01/04/2026 12:17,shay,online-boutique-8284,8.35,Most likely face similar issue as I do
01/04/2026 12:18,PLAYER,online-boutique-8284,8.82,"CHG89462 , CHG89374 these two changes done related version "
01/04/2026 12:18,daniel,online-boutique-8284,8.82,We have this in the backlog
01/04/2026 12:18,daniel,online-boutique-8284,8.83,"Title 
Slow load times for users using V105.0 of chrome
Description

User have reported the frontend as loading slowly and with quick look at there set up appears to be an issue with frontend for users using V105.0 of chrome. 
Reporter
User
Components
OB-Frontend"
01/04/2026 12:18,daniel,online-boutique-8284,9.27,"Really don't think it's that serious, we know about this"
01/04/2026 12:18,daniel,online-boutique-8284,9.42,This was raised 2 weeks ago
01/04/2026 12:18,PLAYER,online-boutique-8284,9.50,"@daniel, CHG89553 these the deployment done on front end"
01/04/2026 12:19,PLAYER,online-boutique-8284,9.88,@tanya @daniel replicate the issue 
01/04/2026 12:19,uptimelabs,online-boutique-8284,9.95,:star: Form an effective investigation team
01/04/2026 12:19,uptimelabs,online-boutique-8284,9.95,:star: Reproduces the incident
01/04/2026 12:19,tanya,online-boutique-8284,10.03,"If what Daniels says is true , none of today's deployments would be the cause"
01/04/2026 12:19,daniel,online-boutique-8284,10.23,Unable to replicate this
01/04/2026 12:19,shay,online-boutique-8284,10.27,Same
01/04/2026 12:20,PLAYER,online-boutique-8284,10.72,"ok, check the logs which has latency and which service is taking more time to respond"
01/04/2026 12:20,uptimelabs,online-boutique-8284,10.77,:star: Facts over opinion
01/04/2026 12:20,tanya,online-boutique-8284,10.83,On it
01/04/2026 12:20,shay,online-boutique-8284,11.07,"If this is browser-specific and global, we should check proxy behavior"
01/04/2026 12:20,PLAYER,online-boutique-8284,11.32,what will be the cause for slow down the web site
01/04/2026 12:20,daniel,online-boutique-8284,11.37,We made a change to Frontend around 2 weeks ago when the issue started
01/04/2026 12:20,daniel,online-boutique-8284,11.40,Could be a frontend performance regression
01/04/2026 12:20,daniel,online-boutique-8284,11.50,"If rendering is slower for older Chrome, that would explain it"
01/04/2026 12:20,daniel,online-boutique-8284,11.57,Maybe bundle size changes impacted legacy parsing
01/04/2026 12:21,tanya,online-boutique-8284,11.83,Investigating
01/04/2026 12:21,shay,online-boutique-8284,12.03,"If checkout forms are timing out, maybe retry logic is triggering delays."
01/04/2026 12:21,shay,online-boutique-8284,12.27,or payment authorisation could be introducing wait states
01/04/2026 12:21,PLAYER,online-boutique-8284,12.42,change request CHG89462 is that causing issue
01/04/2026 12:21,daniel,online-boutique-8284,12.63,The delay appears before JS execution
01/04/2026 12:22,daniel,online-boutique-8284,12.72,That makes frontend less likely as root cause
01/04/2026 12:22,daniel,online-boutique-8284,12.93,Might be something happening at request handling stage
01/04/2026 12:22,PLAYER,online-boutique-8284,13.20,I am able to accessing website without latency
01/04/2026 12:22,daniel,online-boutique-8284,13.23,Todays changes don't line up with incident timeline
01/04/2026 12:22,uptimelabs,online-boutique-8284,13.23,:star: Attempt to replicate the issue
01/04/2026 12:22,shay,online-boutique-8284,13.52,Are you using chrome version 105?
01/04/2026 12:22,PLAYER,online-boutique-8284,13.58,i am creating incident 
01/04/2026 12:23,tanya,online-boutique-8284,13.75,I’m checking NGINX logs for latency spikes by User-Agent
01/04/2026 12:23,PLAYER,online-boutique-8284,14.02,
01/04/2026 12:23,uptimelabs,business-comms-8284,14.02,*Incident Number INC1015:* p2 latency accesing web site
01/04/2026 12:23,uptimelabs,online-boutique-8284,14.02,:star: Incident record created
01/04/2026 12:23,daniel,online-boutique-8284,14.10,Really dont think we need an incident. As I said we have a bug already and really need to focus on delivery of new features.
01/04/2026 12:23,PLAYER,online-boutique-8284,14.53,@hamed can you pls check the network logs
