datetime,player,channel,message
2026-04-09 13:05:02,uptimelabs,online-boutique-8369,"Welcome to Version Confusion, the responsibility is on you to size up the problem.

? *Use `/help` at any time for a list of useful links and commands*
 ? *Use `/incident` to create an incident record*

Once youre ready just click start to begin"
2026-04-09 13:05:46,tanya,online-boutique-8369,Hey guys im seeing an issue with the website loading slowly
2026-04-09 13:05:47,tanya,online-boutique-8369,Anyone else experaning this?
2026-04-09 13:05:49,shay,online-boutique-8369,No all ok for me
2026-04-09 13:05:50,daniel,online-boutique-8369,No issue for me
2026-04-09 13:05:51,daniel,online-boutique-8369,What browser and version of it are you using Tanya?
2026-04-09 13:05:53,tanya,online-boutique-8369,Im using chrome and let me check the version
2026-04-09 13:05:55,daniel,online-boutique-8369,Ok if it is V105.0 this is a recorded bug with a ticket in the backlog
2026-04-09 13:05:56,tanya,online-boutique-8369,Yeah it is V105.0
2026-04-09 13:05:57,tanya,online-boutique-8369,Should we not raise an incident for this? I know I can update the version and it will stop effecting me.
2026-04-09 13:05:59,tanya,online-boutique-8369,But could this not be effecting customers?
2026-04-09 13:06:01,daniel,online-boutique-8369,Had a look at the market share of people using this version it is only at 0.09%
2026-04-09 13:06:04,tanya,online-boutique-8369,Still not sure if it should not be an incidnt. @praveen.sadul-dominos.co.uk What do you think? 
2026-04-09 13:06:32,PLAYER,online-boutique-8369,hi @bob  any user complaints ? 
2026-04-09 13:06:36,uptimelabs,online-boutique-8369,:star: Asking questions to validate impact of the problem
2026-04-09 13:06:42,bob,online-boutique-8369,I'll check now
2026-04-09 13:07:19,bob,online-boutique-8369,There have been some reports over the last two weeks of users reporting slow loading times
2026-04-09 13:07:34,bob,online-boutique-8369,I believe a ticket was created for this about two weeks ago
2026-04-09 13:07:40,PLAYER,online-boutique-8369,
2026-04-09 13:07:40,uptimelabs,business-comms-8369,*Incident Number INC1041:* P1 Website slow loading
2026-04-09 13:07:40,uptimelabs,online-boutique-8369,:star: Incident record created
2026-04-09 13:07:45,daniel,online-boutique-8369,Really dont think we need an incident. As I said we have a bug already and really need to focus on delivery of new features.
2026-04-09 13:08:06,daniel,online-boutique-8369,We've had this on the backlog as a bug we shouldn't really be making a fuss
2026-04-09 13:08:48,PLAYER,online-boutique-8369,Hi @daniel  webpage loading slow will impact business 
2026-04-09 13:08:48,bob,online-boutique-8369,Ohh the reports is actually showing that 20% of our customers are experiencing an issue where it is taking three times as long the website to load. Seeing a few timeouts occurring as well
2026-04-09 13:09:27,bez,business-comms-8369,What's the impact on revenue?
2026-04-09 13:10:16,PLAYER,online-boutique-8369,Hi all can some send me recent changes ?
2026-04-09 13:10:19,uptimelabs,online-boutique-8369,:star: Check changes done to the platform
2026-04-09 13:10:26,shay,online-boutique-8369,Sure thing!
