datetime,player,channel,message
2026-02-13 12:06:45,uptimelabs,online-boutique-7721,"Welcome to Version Confusion, the responsibility is on you to size up the problem.

? *Use `/help` at any time for a list of useful links and commands*
 ? *Use `/incident` to create an incident record*

Once youre ready just click start to begin"
2026-02-13 12:08:54,tanya,online-boutique-7721,Hey guys im seeing an issue with the website loading slowly
2026-02-13 12:08:55,tanya,online-boutique-7721,Anyone else experaning this?
2026-02-13 12:08:57,shay,online-boutique-7721,No all ok for me
2026-02-13 12:08:58,daniel,online-boutique-7721,No issue for me
2026-02-13 12:08:59,daniel,online-boutique-7721,What browser and version of it are you using Tanya?
2026-02-13 12:09:01,tanya,online-boutique-7721,Im using chrome and let me check the version
2026-02-13 12:09:03,daniel,online-boutique-7721,Ok if it is V105.0 this is a recorded bug with a ticket in the backlog
2026-02-13 12:09:04,tanya,online-boutique-7721,Yeah it is V105.0
2026-02-13 12:09:05,tanya,online-boutique-7721,Should we not raise an incident for this? I know I can update the version and it will stop effecting me.
2026-02-13 12:09:07,tanya,online-boutique-7721,But could this not be effecting customers?
2026-02-13 12:09:09,daniel,online-boutique-7721,Had a look at the market share of people using this version it is only at 0.09%
2026-02-13 12:09:13,tanya,online-boutique-7721,Still not sure if it should not be an incidnt. @vaishnavi.b-dominos.co.uk What do you think? 
2026-02-13 12:10:20,PLAYER,online-boutique-7721,@tanya I'm not seeing the slowness. Let me check on the customer impact
2026-02-13 12:10:26,uptimelabs,online-boutique-7721,:star: Attempt to replicate the issue
2026-02-13 12:10:26,uptimelabs,online-boutique-7721,:star: Asking questions to validate impact of the problem
2026-02-13 12:10:42,bob,online-boutique-7721,Let me check the reports to see if there are more reports like tanyas!
2026-02-13 12:10:44,PLAYER,online-boutique-7721,@bob Are we seeing any customer impact ?
2026-02-13 12:11:13,bob,online-boutique-7721,Oh—reports actually show ~20% of customers impacted
2026-02-13 12:11:16,bob,online-boutique-7721,"They’re seeing 3× longer load times, and there are some timeouts"
2026-02-13 12:11:45,bob,online-boutique-7721,It’s happening globally. The trend has been building for two weeks. We’re down ~10% sales vs two-week average
2026-02-13 12:12:07,daniel,online-boutique-7721,This will drag half the org into a non-issue
2026-02-13 12:12:15,daniel,online-boutique-7721,We’ve got this on the backlog
2026-02-13 12:12:16,PLAYER,online-boutique-7721,
2026-02-13 12:12:16,uptimelabs,business-comms-7721,*Incident Number INC100032:* sev2 Version impact for 20% of customer
2026-02-13 12:12:16,uptimelabs,online-boutique-7721,:star: Incident record created
2026-02-13 12:12:21,daniel,online-boutique-7721,Really dont think we need an incident. As I said we have a bug already and really need to focus on delivery of new features.
2026-02-13 12:13:16,shay,online-boutique-7721,"We made a few changes recently
https://uptime-labs.atlassian.net/wiki/external/ZDQ1MTE3NWU5ZDYxNDA4MTkxZmM3ZGJmMGJhNmE1OTE
This might be helpful"
2026-02-13 12:13:58,PLAYER,online-boutique-7721,@daniel We need to resolve this since its affecting 20% of customer
2026-02-13 12:14:26,tinus,business-comms-7721,Is this affecting users globally?
2026-02-13 12:14:51,PLAYER,business-comms-7721,Affecting 20% customer globally @tinus 
2026-02-13 12:14:53,daniel,online-boutique-7721,"Sure, I will start checking things now!"
2026-02-13 12:14:57,uptimelabs,online-boutique-7721,:star: Qualify the problem
2026-02-13 12:14:57,uptimelabs,online-boutique-7721,:star: Escalating when required
2026-02-13 12:15:22,PLAYER,business-comms-7721,For certain version we are seeing this issue. But team said that they already have a ticket in backlogs
2026-02-13 12:15:58,shay,online-boutique-7721,"If it’s slow loads + form delays, could be CheckoutService latency or payment authorisation retries?"
2026-02-13 12:16:16,daniel,online-boutique-7721,Could be AdService blocking render threads. Ads can cause slow load and timeouts!
2026-02-13 12:16:31,tanya,online-boutique-7721,I’ll confirm whether it’s browser-specific and whether it correlates with any edge/handshake differences
2026-02-13 12:16:42,PLAYER,online-boutique-7721,@shay could you please check on this CHG89356
2026-02-13 12:16:43,bez,business-comms-7721,What do we know so far?
2026-02-13 12:16:45,uptimelabs,online-boutique-7721,:star: Reviewed changes
2026-02-13 12:16:58,shay,online-boutique-7721,Certainly!
2026-02-13 12:17:48,PLAYER,online-boutique-7721,@tanya Also confirm on the Adservice CHG89374 as Daniel mentioned
2026-02-13 12:18:12,shay,online-boutique-7721,"I have checked checkout, seems fine. No errors in logs and deployment also looks healthy"
2026-02-13 12:18:20,tanya,online-boutique-7721,"If it’s still ‘Chrome only’ but high %, that suggests version-range not just 105"
2026-02-13 12:18:28,daniel,online-boutique-7721,20%? That can’t be just Chrome 105… unless detection is off
