DateTime,Channel,Name,Message
08/10/2025 13:04,Online Boutique 6223,Bez,"What a day! Our Grand Summer Sale kicked off this morning at 10, and the response has been insane. Can't believe we're already 5 hours in"
08/10/2025 13:04,Online Boutique 6223,Bob,"Totally! Just checked the dashboard, we've already crossed $160k+ in revenue :money_mouth_face: . The sale energy is next level!"
08/10/2025 13:04,Online Boutique 6223,Tinus,"That's fantastic, but hey, this is just the beginning. Three days to go... I'm keeping my fingers crossed :crossed_fingers:"
08/10/2025 13:04,Online Boutique 6223,Bez,"Seeing so many people shopping on a holiday, it feels satisfying. Exactly the momentum we were hoping for"
08/10/2025 13:04,Online Boutique 6223,UptimeLabs,"Welcome to DEFCON 1, are you perpared for the challenge?.

 *Use `/help` at any time for a list of useful links and commands*
 *Use `/incident` to create an incident record*

Once you're ready just click start to begin Start button"
08/10/2025 13:08,Online Boutique 6223,UptimeLabs,":alarm_clock: - You have 40 minutes to resolve the outage, good luck! You can type `/help` if you need any reminders."
08/10/2025 13:08,Online Boutique 6223,Shay,"Not this time!, I just got a few alerts mentioning severe errors popping up in PROD"
08/10/2025 13:08,Online Boutique 6223,Bob,Weird... a few users just complained they are unable to complete their orders. Feels... off..
08/10/2025 13:09,Online Boutique 6223,Bob,Complaints are rising up a lot
08/10/2025 13:10,Online Boutique 6223,Player2,"HI @Bob, May I know the impact on business and trade?"
08/10/2025 13:10,Online Boutique 6223,Bob,"Sure, let me look at my reports"
08/10/2025 13:10,Online Boutique 6223,Bob,Here are some of the complaints we've received in the last few minutes. It's coming all across the globe 
08/10/2025 13:10,Online Boutique 6223,Bob,"Germany - ""I added items to my cart, clicked checkout, and it just kept spinning. Then it dumped me back to an empty cart"""
08/10/2025 13:10,Online Boutique 6223,Bob,"USA - ""Order failed twice, and now the cart is empty. I refreshed, but now the site is laggy"""
08/10/2025 13:10,Online Boutique 6223,Bob,"Japan - ""Got to checkout, then error 502. Tried again - cart gone"""
08/10/2025 13:10,Online Boutique 6223,Bob,"To sum it all, we have got 240+ reports globally"
08/10/2025 13:10,Online Boutique 6223,Bob,Metrics
08/10/2025 13:11,Online Boutique 6223,Player2,How much impact this has caused on the business ?
08/10/2025 13:12,Online Boutique 6223,Bob,So far we have seen drop of 11% in sales
08/10/2025 13:12,Online Boutique 6223,Bob,And sales are declining rapidly
08/10/2025 13:13,Online Boutique 6223,Player2,"Incident P2 ""Orders are failing across the globe and sales are declining rapidly"""
08/10/2025 13:13,Business Comms 6223,Player2,"*Incident Number INC100044:* P2 ""Orders are failing across the globe and sales are declining rapidly"""
08/10/2025 13:13,Online Boutique 6223,UptimeLabs,:star: Incident record created
08/10/2025 13:13,Online Boutique 6223,UptimeLabs,:star: Send first comms in first 5 minutes
08/10/2025 13:13,Business Comms 6223,Bez,"I'm seeing some posts on social media about issues with our platform, is this a regional issue or hitting customers globally?"
08/10/2025 13:13,Online Boutique 6223,Shay,Again i'm getting alerts in PROD
08/10/2025 13:14,Business Comms 6223,Player2,"Hi @Bez, There are issues across the globe and sales is imapacted and I am working on this.."
08/10/2025 13:14,Business Comms 6223,Player2,"@Bez, we will try to resolve it at ealriest"
08/10/2025 13:16,Online Boutique 6223,Player2,"Hi @Shay and @Daniel, There is some issue with Checkout and Orders. can you please analyze and let me know if there is any deployment related to checkout at that time?"
08/10/2025 13:16,Online Boutique 6223,Shay,<https://uptime-labs.atlassian.net/wiki/spaces/ULPUBLIC/pages/1104216138/DEFCON+1+-+Change+Request+Details>
08/10/2025 13:17,Online Boutique 6223,Daniel,There were no deployments from checkout in prod
08/10/2025 13:17,Online Boutique 6223,Player2,I see shopping cart is empty once after adding the product..
08/10/2025 13:17,Online Boutique 6223,Shay,Alerts are coming up too frequently. Have to check the logs now
08/10/2025 13:17,Online Boutique 6223,Daniel,Same issue when i tried to place an order
08/10/2025 13:18,Online Boutique 6223,Shay,Looking into logs now
08/10/2025 13:18,Business Comms 6223,Bez,Customers have gone outrageous. #OBFail and #OBStealsSale are trending with frustrated posts. We're getting hammered online! Where are we @Player2? 
08/10/2025 13:18,Online Boutique 6223,Shay,Found these below error logs
08/10/2025 13:18,Online Boutique 6223,Shay,"```
app[checkout-service] [ERROR] - write() failed, Read-only filesystem
app[checkout-service] Order submission failed for session_id=ae43f9 due to I/O error
app[checkout-service] [ERROR] - Transaction commit failed, Read-only file system
[ERROR] nginx[3245] - 502 Bad Gateway while accessing upstream checkout service
[ERROR] nginx[3245] - 504 Gateway Timeout while accessing upstream checkout service```"
08/10/2025 13:18,Online Boutique 6223,Shay,The server is too slow and give up while responding back. I'm not sure why read-only errors are there
08/10/2025 13:18,Online Boutique 6223,Daniel,"Looking at the above logs, app looks fine. But system can't write new data. Errors suggests to be an infra component failure"
08/10/2025 13:18,Online Boutique 6223,Daniel,"Also checkout servers show CPU and memory limits exceeded alerts, this definitely looks bigger than just an app issue"
08/10/2025 13:18,Online Boutique 6223,Daniel,"```app[checkout-service]: systemd[1][WARN] Resource usage threshold exceeded - CPU: 96%, Memory: 92%```"
08/10/2025 13:18,Online Boutique 6223,Shay,Could this be due to load or any changes ?
08/10/2025 13:19,Online Boutique 6223,Player2,"hi @Tanya, Can you please check and increase the memory at production ?"
08/10/2025 13:19,Online Boutique 6223,Tanya,Checking infra...
08/10/2025 13:20,Online Boutique 6223,Tanya,"All four checkout servers are maxed out - CPU, memory, and disk I/O all spiking. No changes or deployments were done from platform side"
08/10/2025 13:20,Online Boutique 6223,Tanya,ServerMetrics
08/10/2025 13:20,Online Boutique 6223,Tanya,It doesn't looks like a load issue either. CPU and Memory spike is not matching with incoming traffic
08/10/2025 13:20,Online Boutique 6223,Tanya,I'm seeing a running process called init_locker.sh eating up most of the CPU on the checkout server. That's not something we usually run. Something's suspicious here
08/10/2025 13:20,Online Boutique 6223,Tanya,ProcessRunning
08/10/2025 13:20,Online Boutique 6223,Tanya,We have already allocated maximum CPU to checkout servers. This is to something else. Its very unusual
08/10/2025 13:21,Online Boutique 6223,Player2,Do we have  HPA implemented ?
08/10/2025 13:22,Online Boutique 6223,Tanya,Pods have been scaled up beyond limits to a point where there is no resource available for other new pods
08/10/2025 13:22,Online Boutique 6223,Player2,Can we restart the servers and see ?
08/10/2025 13:22,Online Boutique 6223,Tanya,I dont know if restart would solve this issue. I'm seeing it for the first time. This looks suspicious
08/10/2025 13:22,Online Boutique 6223,Tanya,We should loop in SecOps
08/10/2025 13:23,Online Boutique 6223,Player2,"HI @Hamed S, Can you please help here to increase the memory ?"
08/10/2025 13:24,Online Boutique 6223,Hamed,I can see the resource availability and we have already exhausted most of it
08/10/2025 13:24,Online Boutique 6223,Hamed,This is unusual. We should loop in Maya from SecOps on this
08/10/2025 13:24,Online Boutique 6223,Player2,"HI @Hamed , Can we restart the servers and see whether this can help?"
08/10/2025 13:24,Online Boutique 6223,Tanya,I tried restarting and again CPU is spiking up
08/10/2025 13:24,Online Boutique 6223,Player2,"Hi @Maya, Can you please help here in this situation?"
08/10/2025 13:25,Online Boutique 6223,Maya,Let me check if there's anything suspicious
08/10/2025 13:25,Business Comms 6223,Bez,"Got an email claiming responsibility by ""BlackCrow Group"" and demanding payment of $5M in crypto. Honestly, I get these hoax emails all the time, so I'm not buying it"
08/10/2025 13:25,Online Boutique 6223,Maya,Weird!! Security agent known as EDR(Endpoint Detection and Response) is missing from all 4 checkout servers. That's? concerning
08/10/2025 13:25,Online Boutique 6223,Maya,"```EDR is basically our endpoint defense tool, it tracks unusual activity at the servers```"
08/10/2025 13:25,Online Boutique 6223,Maya,"Also,I found an init_locker.sh script encrypting DB, app, and log files which is renaming the filename like below"
08/10/2025 13:25,Online Boutique 6223,Maya,"```
order_log_2025-06-01.locked
session_state.tmp.locked```"
08/10/2025 13:25,Online Boutique 6223,Daniel,"this explains why there were errors in checkout logs saying write failed , read-only filesystem"
08/10/2025 13:25,Online Boutique 6223,Tanya,"Wait... there's a file here named HELP_ME_DECRYPT.txt. I opened it, appears a ransom note. This doesn't look good"
08/10/2025 13:25,Online Boutique 6223,Tanya,help_me_decrypt
08/10/2025 13:25,Online Boutique 6223,Maya,Confirmed. This is a ransomware breach. @Player2 inform business about this
08/10/2025 13:25,Online Boutique 6223,Tanya,Shall i try killing this script ?
08/10/2025 13:25,Online Boutique 6223,Player2,Sure..
08/10/2025 13:25,Online Boutique 6223,Bob,"Guys!!! User complaints are sky rocketing, its turning catastrophic!"
08/10/2025 13:26,Online Boutique 6223,Tanya,Shall i kill the process ?
08/10/2025 13:26,Business Comms 6223,Bez,Wait! you're telling me this is an actual ransomware hit?
08/10/2025 13:26,Business Comms 6223,Bez,"Alright, tell everyone, no one says a single thing outside online-boutique! I don't care who's asking, not a word until we know exactly what's going on!"
08/10/2025 13:26,Business Comms 6223,Player2,"Hi @Bez, There is a  ransomware breach taking @Tanya help to resolve this.."
08/10/2025 13:27,Business Comms 6223,Player2,"Yes, @Bez. We should be able to resolve this.."
08/10/2025 13:27,Online Boutique 6223,Player2,"Yes, please @Tanya"
08/10/2025 13:27,Online Boutique 6223,Tanya,"Ok , killing the script now..."
08/10/2025 13:27,Online Boutique 6223,Tanya,"Tried killing the script, all checkout servers just rebooted with a ransom banner. New ransom note say: ""Interruption detected. Price doubled. Pay $10M in Bitcoin"" "
08/10/2025 13:28,Business Comms 6223,Bez,"Just got another ransom email, says we tried to interfere and now the price doubled. Was something stupid done on our side? "
08/10/2025 13:28,Online Boutique 6223,Player2,Is this resolved now  after killing the ransome ware?
08/10/2025 13:28,Online Boutique 6223,Tanya,No still the same
08/10/2025 13:29,Online Boutique 6223,Tanya,Maya could help us more from here. This is beyond app or infra
08/10/2025 13:29,Online Boutique 6223,Player2,Can we Identify the IP's that are having repeated spike and block them as well?
08/10/2025 13:29,Online Boutique 6223,Maya,"Killing the script could make things worse, higher ransom or losing data forever"
08/10/2025 13:29,Business Comms 6223,Bez,This is nightmare! @Player2 where are we right now?
08/10/2025 13:29,Online Boutique 6223,Maya,"@Player2 before we do anything, I'd request everyone to please change their passwords"
08/10/2025 13:29,Online Boutique 6223,Maya,Also I'm removing everyone's access to servers - only I'll have control for now. Later we will reassess to do any activity further
08/10/2025 13:29,Online Boutique 6223,Daniel,Done on my end
08/10/2025 13:29,Online Boutique 6223,Hamed,Updated. @Maya smart move by limiting server's access
08/10/2025 13:29,Online Boutique 6223,Shay,Password updated
08/10/2025 13:29,Online Boutique 6223,Bob,Changed mine too. Better safe than sorry
08/10/2025 13:29,Online Boutique 6223,Tanya,All set
08/10/2025 13:30,Online Boutique 6223,Tanya,"It's much worse now. Every file I check is encrypted, nothing can be opened or recovered."
08/10/2025 13:30,Online Boutique 6223,Shay,I'm seeing new errors on frontend now. How's it for you @Player2 ?
08/10/2025 13:30,Online Boutique 6223,Maya,"Attention! when it comes to potential security breaches, it's important we don't discuss sensitive details here"
08/10/2025 13:30,Online Boutique 6223,Maya,I'm setting up private channel...
08/10/2025 13:30,Online Boutique 6223,Maya,"@Player2 before we move to private channel, can you check with business what's the plan - are we paying the ransom or moving with response?"
08/10/2025 13:31,Online Boutique 6223,Maya,Have we got to hear anything from business ?
08/10/2025 13:31,Online Boutique 6223,Player2,"ok..Hi @Maya, we need to remove ransome we are not going to pay anything.."
