DateTime,Channel,Name,Message
16/10/2025 10:06,Online Boutique 6327,Bez,"What a day! Our Grand Summer Sale kicked off this morning at 10, and the response has been insane. Can't believe we're already 5 hours in"
16/10/2025 10:06,Online Boutique 6327,Bob,"Totally! Just checked the dashboard, we've already crossed $160k+ in revenue :money_mouth_face: . The sale energy is next level!"
16/10/2025 10:06,Online Boutique 6327,Tinus,"That's fantastic, but hey, this is just the beginning. Three days to go... I'm keeping my fingers crossed :crossed_fingers:"
16/10/2025 10:06,Online Boutique 6327,Bez,"Seeing so many people shopping on a holiday, it feels satisfying. Exactly the momentum we were hoping for"
16/10/2025 10:07,Online Boutique 6327,UptimeLabs,"Welcome to DEFCON 1, are you perpared for the challenge?.

 *Use `/help` at any time for a list of useful links and commands*
 *Use `/incident` to create an incident record*

Once you're ready just click start to begin Start button"
16/10/2025 10:10,Online Boutique 6327,UptimeLabs,":alarm_clock: - You have 40 minutes to resolve the outage, good luck! You can type `/help` if you need any reminders."
16/10/2025 10:10,Online Boutique 6327,Shay,"Not this time!, I just got a few alerts mentioning severe errors popping up in PROD"
16/10/2025 10:10,Online Boutique 6327,Bob,Weird... a few users just complained they are unable to complete their orders. Feels... off..
16/10/2025 10:10,Online Boutique 6327,Player5,"All, We have a Big Day Today - Lets Monitor our systems closely"
16/10/2025 10:11,Online Boutique 6327,Shay,I'm getting a lot of alerts in PROD
16/10/2025 10:11,Online Boutique 6327,Bob,Customer complaints are increasing
16/10/2025 10:11,Online Boutique 6327,Player5,"@Shay, Can you please perform a check on the website and see what is failing"
16/10/2025 10:11,Online Boutique 6327,Shay,Sure
16/10/2025 10:12,Online Boutique 6327,Shay,"I tried to place an order, but it said empty cart at the end"
16/10/2025 10:12,Online Boutique 6327,Player5,Team I am raising an P1 Incident
16/10/2025 10:13,Business Comms 6327,Player5,*Incident Number INC100078:* - P1 - Website is unable to Checkout the cart Items and Sessions IDs are being displaced on Front end page
16/10/2025 10:13,Online Boutique 6327,UptimeLabs,:star: Incident record created
16/10/2025 10:13,Online Boutique 6327,UptimeLabs,:star: Send first comms in first 5 minutes
16/10/2025 10:13,Business Comms 6327,Bez,"I'm seeing some posts on social media about issues with our platform, is this a regional issue or hitting customers globally?"
16/10/2025 10:13,Business Comms 6327,Bez,Is it a global issue ?
16/10/2025 10:14,Business Comms 6327,Player5,"@Bez We are in a P1, I am working with team to get the Impact and Revenue loss and time to fix"
16/10/2025 10:15,Online Boutique 6327,Player5,"@Bob Can you please get what all is impacted and revenue loss due to this P1 and which location is impacted.
I did a check out of a Glasses and observed that I am unable to check out successfully, basket items are being disappeared"
16/10/2025 10:15,Online Boutique 6327,Bob,"Sure, let me look at my reports"
16/10/2025 10:15,Online Boutique 6327,Bob,Here are some of the complaints we've received in the last few minutes. It's coming all across the globe 
16/10/2025 10:15,Online Boutique 6327,Bob,"Germany - ""I added items to my cart, clicked checkout, and it just kept spinning. Then it dumped me back to an empty cart"""
16/10/2025 10:15,Online Boutique 6327,Bob,"USA - ""Order failed twice, and now the cart is empty. I refreshed, but now the site is laggy"""
16/10/2025 10:15,Online Boutique 6327,Bob,"Japan - ""Got to checkout, then error 502. Tried again - cart gone"""
16/10/2025 10:15,Online Boutique 6327,Bob,"To sum it all, we have got 240+ reports globally"
16/10/2025 10:15,Online Boutique 6327,Bob,Metrics
16/10/2025 10:16,Online Boutique 6327,Player5,"@Bob / @Hamed S, Can anyone please check is there anything which Release to Production today
Can you please get the CR;s and check the logs"
16/10/2025 10:16,Online Boutique 6327,Hamed,<https://uptime-labs.atlassian.net/wiki/external/YzYwYTAxNWQzOTI0NDYzOWI1MjkxNTI2YmVmMjUyZDE>
16/10/2025 10:16,Online Boutique 6327,Hamed,These are the above changes that went into PROD
16/10/2025 10:17,Business Comms 6327,Player5,"@Bez,
Just an update to Business,

Below are the Impacted countries and Services
Germany - ""I added items to my cart, clicked checkout, and it just kept spinning. Then it dumped me back to an empty cart""
USA - ""Order failed twice, and now the cart is empty. I refreshed, but now the site is laggy""
Japan - ""Got to checkout, then error 502. Tried again - cart gone""

To sum it all, we have got 240+ reports globally"
16/10/2025 10:17,Online Boutique 6327,Shay,Again i've got an alert
16/10/2025 10:18,Online Boutique 6327,Player5,"@Hamed, Can you please check is there any this which is causing failures?"
16/10/2025 10:18,Online Boutique 6327,Hamed,For that we need dev teams to do the initial triaging
16/10/2025 10:19,Online Boutique 6327,Shay,Looking into logs now
16/10/2025 10:19,Business Comms 6327,Bez,Customers have gone outrageous. #OBFail and #OBStealsSale are trending with frustrated posts. We're getting hammered online! Where are we @Player5? 
16/10/2025 10:19,Online Boutique 6327,Shay,Found these below error logs
16/10/2025 10:19,Online Boutique 6327,Shay,"```
app[checkout-service] [ERROR] - write() failed, Read-only filesystem
app[checkout-service] Order submission failed for session_id=ae43f9 due to I/O error
app[checkout-service] [ERROR] - Transaction commit failed, Read-only file system
[ERROR] nginx[3245] - 502 Bad Gateway while accessing upstream checkout service
[ERROR] nginx[3245] - 504 Gateway Timeout while accessing upstream checkout service```"
16/10/2025 10:19,Online Boutique 6327,Shay,The server is too slow and give up while responding back. I'm not sure why read-only errors are there
16/10/2025 10:19,Online Boutique 6327,Player5,@Daniel - Please involve your team member and can you check what is going wrong?
16/10/2025 10:19,Online Boutique 6327,Daniel,"Looking at the above logs, app looks fine. But system can't write new data. Errors suggests to be an infra component failure"
16/10/2025 10:20,Online Boutique 6327,Daniel,"Also checkout servers show CPU and memory limits exceeded alerts, this definitely looks bigger than just an app issue"
16/10/2025 10:20,Online Boutique 6327,Daniel,"```app[checkout-service]: systemd[1][WARN] Resource usage threshold exceeded - CPU: 96%, Memory: 92%```"
16/10/2025 10:20,Online Boutique 6327,Shay,Could this be due to load or any changes ?
16/10/2025 10:20,Online Boutique 6327,Player5,@Maya Also I am seeing Session IDs on the front end screen - Please take a look
16/10/2025 10:21,Online Boutique 6327,Maya,Is it something concerning?
16/10/2025 10:21,Online Boutique 6327,Player5,"@Shay What does that error mean ? Can you check is it frequently error's are just new errors during the isseus?
How can we fix this?"
16/10/2025 10:21,Online Boutique 6327,Shay,These errors are coming since last 15 mins
16/10/2025 10:21,Online Boutique 6327,Shay,And i havent seen such errors till now
16/10/2025 10:22,Online Boutique 6327,Player5,"@Maya - Yes Session IDs should not shown, as per the security policy"
16/10/2025 10:22,Online Boutique 6327,Hamed,None of the changes are aligning with the errors in the logs
16/10/2025 10:22,Online Boutique 6327,Player5,@Shay How can we resolve this errors?
16/10/2025 10:22,Online Boutique 6327,Shay,All the errors are suggesting to be platform issue and its suspicious to see such issues at the first hand
16/10/2025 10:23,Online Boutique 6327,Player5,@Daniel Can you please check Check out and Cart services as we have more failures there
16/10/2025 10:23,Online Boutique 6327,Daniel,I have checked the checkout service and there are lot of write failed errors. And to be very honest this looks very suspicious
16/10/2025 10:23,Online Boutique 6327,Player5,"@Hamed, Can you please involve your team to debug this and provide fix asap"
16/10/2025 10:23,Online Boutique 6327,Player5,As we are losing business
16/10/2025 10:24,Online Boutique 6327,Hamed,"Sure , @Tanya please"
16/10/2025 10:24,Online Boutique 6327,Tanya,Checking infra...
16/10/2025 10:24,Online Boutique 6327,Tanya,"All four checkout servers are maxed out - CPU, memory, and disk I/O all spiking. No changes or deployments were done from platform side"
16/10/2025 10:24,Online Boutique 6327,Bob,So far 22% of users have already complained about it
16/10/2025 10:24,Online Boutique 6327,Tanya,ServerMetrics
16/10/2025 10:24,Business Comms 6327,Player5,"@Bez, I am working with Technical Team, to resolve asap
Team has indetified that Issues are from Platform Side"
16/10/2025 10:24,Online Boutique 6327,Tanya,It doesn't looks like a load issue either. CPU and Memory spike is not matching with incoming traffic
16/10/2025 10:24,Online Boutique 6327,Tanya,I'm seeing a running process called init_locker.sh eating up most of the CPU on the checkout server. That's not something we usually run. Something's suspicious here
16/10/2025 10:24,Online Boutique 6327,Tanya,ProcessRunning
16/10/2025 10:25,Online Boutique 6327,Player5,"@Hamed, Please suggest would you like to allocate more memory and CPU to applications ? or restart the applications if we have multiple replicas?"
16/10/2025 10:25,Online Boutique 6327,Hamed,"Both the app and infra are struggling, which is very strange. Need SecOps on this asap"
16/10/2025 10:25,Online Boutique 6327,Hamed,We have already scaled up to max of our capacities
16/10/2025 10:26,Online Boutique 6327,Player5,@Tanya / @Maya - Please check which process is this and take necessary actions
16/10/2025 10:26,Online Boutique 6327,Maya,Let me check if there's anything suspicious
16/10/2025 10:26,Business Comms 6327,Bez,"Got an email claiming responsibility by ""BlackCrow Group"" and demanding payment of $5M in crypto. Honestly, I get these hoax emails all the time, so I'm not buying it"
