index,datetime,player,channel,Time,message,Notes
0,19/12/2025 15:38,Bez,online-boutique-7216,,What a day! Our Grand Summer Sale kicked off this morning at 10 and the response has been insane. Can't believe we're already 5 hours in,
1,19/12/2025 15:38,Bob,online-boutique-7216,,Totally! Just checked the dashboard we've already crossed $160k+ in revenue :money_mouth_face: . The sale energy is next level!,
2,19/12/2025 15:38,Tinus,online-boutique-7216,,That's fantastic but hey this is just the beginning. Three days to go... I'm keeping my fingers crossed :crossed_fingers:,
3,19/12/2025 15:38,Bez,online-boutique-7216,,Seeing so many people shopping on a holiday it feels satisfying. Exactly the momentum we were hoping for,
5,19/12/2025 15:40,player2,online-boutique-7216,,Clicked Start button,
7,19/12/2025 15:40,Shay,online-boutique-7216,0,Not this time! I just got a few alerts mentioning severe errors popping up in PROD,
8,19/12/2025 15:40,Bob,online-boutique-7216,0,Weird... a few users just complained they are unable to complete their orders. Feels... off..,
9,19/12/2025 15:40,Bob,online-boutique-7216,0,Reports are rising,
10,19/12/2025 15:41,Shay,online-boutique-7216,1,Same for me as well,
12,19/12/2025 15:44,player2,online-boutique-7216,4,Tanya looking at the flow I suspect the database might be having an issues can you take a look?,
15,19/12/2025 15:45,Tanya,online-boutique-7216,5,Sure i can take a look,
16,19/12/2025 15:45,Tanya,online-boutique-7216,5,Do we know when this issue got started ?,
17,19/12/2025 15:46,Bez,business-comms-7216,6,@player2 i'm seeing some users complaints on social media. Is this something you're looking into ?,
18,19/12/2025 15:46,Shay,online-boutique-7216,6,I've got an alert again from checkout service,
19,19/12/2025 15:46,player2,online-boutique-7216,6,Bob around what time did complaints start coming in?,
21,19/12/2025 15:46,Bob,online-boutique-7216,6,Sure let me look at my reports,
22,19/12/2025 15:47,Bob,online-boutique-7216,7,Here are some of the complaints we've received in the last few minutes. It's coming all across the globe,
23,19/12/2025 15:47,Bob,online-boutique-7216,7,"Germany - ""I added items to my cart clicked checkout and it just kept spinning. Then it dumped me back to an empty cart",
24,19/12/2025 15:47,Bob,online-boutique-7216,7,"USA - ""Order failed twice and now the cart is empty. I refreshed but now the site is laggy",
25,19/12/2025 15:47,Bob,online-boutique-7216,7,"Japan - ""Got to checkout then error 502. Tried again - cart gone",
26,19/12/2025 15:47,Bob,online-boutique-7216,7,To sum it all we have got 240+ reports globally,
27,19/12/2025 15:47,Bob,online-boutique-7216,7,Metrics,
29,19/12/2025 15:48,Bob,online-boutique-7216,8,Reports started to come in the last 15 mins,
30,19/12/2025 15:49,player2,online-boutique-7216,9,Sev1 Users are unable to checkout,
31,19/12/2025 15:49,player2,business-comms-7216,9,*Incident Number INC100021:* Sev1 Users are unable to checkout,
34,19/12/2025 15:49,Bez,business-comms-7216,9,I'm seeing some posts on social media about issues with our platform is this a regional issue or hitting customers globally?,
36,19/12/2025 15:49,player2,business-comms-7216,9,Globally Currently we are working to resolve the issue I will have an update in 15 mins,
