session_start,id,player,name,SaaS,last_state,session_id,GUOT,surprises,learnedToday
03/06/2026 07:17,9285,kenny.vaughan,Too Good To Be True,1,retro,9285,10,"Two shareholders adding pressure ""I have a stakeholder meeting in 10 min"" and the CEO saying he wants a specific ETA and dates; both pushing for time to resolution.

I noticed a little bit of blame from Daniel: ""It's not my PR it's Shays"" which is a thing to curb.",I should be more specific with people on what I need from them.
28/05/2026 09:22,9174,david.rant,Too Good To Be True,1,retro,9174,8,"Normally I'm the one digging through logs and PRs to find a root cause, so it was a different experience being able to lean on the expertise of others to surface the right information back to me.

It was a bit misleading having two very similar but not identical grafana dashboards, that was a bit confusing. Also having them initially set to ""last 15 minutes"" when the incident occurred longer than 15 minutes before the lab started added some distraction from learning to run the incident.",Surface information and communicate sideways/upwards to colleagues sooner before starting to dig into possible root causes.
26/05/2026 11:38,9133,sam.broughton,Too Good To Be True,1,retro,9133,7,Bots claiming ownership of parts of the issue and needing me to confirm it,Take command and confirm with the bots that they should be doing what they say they're about to do
21/05/2026 09:43,9076,barry,Too Good To Be True,1,retro,9076,8,NA,NA
18/05/2026 13:34,8991,john.dilley,Too Good To Be True,1,retro,8991,9,Having to keep switching between the two channels,May try and keep both channels both open
15/05/2026 15:20,8946,antoine.poullet,Too Good To Be True,1,retro,8946,8,Didn't have any specific surprises,N/A
11/05/2026 12:59,8826,catherine,Too Good To Be True,1,retro,8826,8,It felt surprising real. It was difficult to come into a system I wasn't familiar with and know what the metrics I was looking at,Learning the type of things you can ask different characters
07/05/2026 14:16,8770,michael.hillman,Too Good To Be True,1,retro,8770,7,"Adding the onus of updating exec level people really puts the commander skills to the test, it's a nice touch.",Confidence in the commanding skills and the communication are helpful
05/05/2026 12:30,8706,jaime.holland,Too Good To Be True,1,retro,8706,8,The chat bots responded in a very human like manner,Keeping comms going with all parties at all times
01/05/2026 14:21,8690,patrick.boyd,Too Good To Be True,1,retro,8690,8,n/a,Got a grounding in how the systems work and what is expected of us during a drill.
30/04/2026 20:54,8676,gabriel,Too Good To Be True,1,retro,,,,
30/04/2026 12:58,8666,joshua.quinn,Too Good To Be True,1,retro,,,,
30/04/2026 12:44,8665,joshua.quinn,Too Good To Be True,1,aborted,,,,
30/04/2026 12:20,8663,david.emmerson,Too Good To Be True,1,retro,8663,9,"it was hard to figure out the system itself while dealing with the incident, so doing this pre-session is a good idea",more business comms. remember to actually raise incident.
30/04/2026 12:20,8662,gabriel,Too Good To Be True,1,retro,8662,10,Getting messages for revenue reports from the CEO when trying to diagnose the problem,My main area for potential improvement right now is probably prioritisation
29/04/2026 14:12,8645,joshua.quinn,Too Good To Be True,1,retro,8645,10,"Realistic setting, pretty smooth overall I'd say","How to use UptimeLabs! Timing is important: for example, drill ended whilst typing in a response to someone. Understanding business hierarchy is important, would benefit from looking into it more to know who to call on & when"
29/04/2026 14:09,8644,harsh.mohan,Too Good To Be True,1,retro,8644,8,"nothing to be honest, it was the first drill so bit new to get used to but overall quite nice to get used to all the moving bits of the platform.",how to communicate and getting cross-validation.
20/02/2026 15:23,7789,andy.knox,Too Good To Be True,1,retro,7789,9,"Not too much surprising or unexpected - it was a good intro to the platform, seemed like a real enough drill",Doing incident response on a laptop is hard - suggest people have a decent setup with an extra monitor :)    Take time to pause and read what people are saying.
18/06/2026 13:23,9521,joshua.quinn,Bezs Beatles Day!,1,retro,,,,
12/06/2026 15:26,9460,eamonn.boyle,Bezs Beatles Day!,1,retro,9460,,,Be sure to frame the priority. I guess we're used to internally understanding that getting back to stability and resolving customer impacting work is the priority. But here I only did this when Dan was pushing back about rolling back.
10/06/2026 15:02,9414,kenny.vaughan,Bezs Beatles Day!,1,retro,,,,
11/05/2026 13:10,8828,oli,Bezs Beatles Day!,1,retro,8828,8,Having to push back on the engineer insisting it wasn't his change,Verify assumptions
07/05/2026 12:35,8767,joshua.quinn,Bezs Beatles Day!,1,retro,8767,8,"Daniel's reluctance, although it was a bit hard to figure out why?","Be more firm, trust logs & metrics > people"
30/04/2026 12:21,8664,rosie.miller,Bezs Beatles Day!,1,retro,8664,8,Too real!,Don't just stare in a blind panic. Learn how to delegate. Clear instructions.
18/06/2026 14:04,9523,joshua.quinn,The Big Investor,0,retro,9523,8,Tests existed.,Being more forthright with time boxing
18/06/2026 14:26,9526,joshua.quinn,Rumours,1,retro,9526,7,"I wasn't expecting to have to debug the team's browsers, so useful information.","Don't just think about changes, but also the People."
11/06/2026 09:06,9420,david.rant,Missing Delivery,0,retro,9420,9,"Having to bring in an exec to bypass AWS support, and that it all went through a 3rd party. That's not hugely representative of our setup having to get execs phone execs.","Reminded me to be more enquisitive about the shape of customers impacted, when it began, building up a picture of the incident for reporting upwards."
11/06/2026 09:01,9419,davide.ungari,Missing Delivery,0,retro,9419,9,That it was AWS issue was not expecting that,To always consider the platform not only the product.
08/06/2026 13:02,9384,john.dilley,Missing Delivery,0,retro,9384,8,Dealing with third party vendors,How to escalate to the right people
04/06/2026 09:04,9338,barry,Missing Delivery,0,retro,9338,9,the lack of metrics for SNS specifically on the dashboard - most would have an alert for that I think,who can escalate the AWS support case
03/06/2026 14:04,9321,harsh.mohan,Missing Delivery,0,retro,,,,
01/06/2026 13:03,9232,catherine,Missing Delivery,0,retro,9232,8,Clarifying what people mean if I don't understand something,don't be afraid to ask a dumb question
29/05/2026 15:02,9206,antoine.poullet,Missing Delivery,1,retro,9206,10,Learning to understand when to escalate was very useful,Knowing when to escalate
