datetime,player,channel,message
2025-11-28 15:27:43,Bez,online-boutique-6963,"What a day! Our Grand Summer Sale kicked off this morning at 10, and the response has been insane. Can't believe we're already 5 hours in"
2025-11-28 15:27:45,Bob,online-boutique-6963,"Totally! Just checked the dashboard, we've already crossed $160k+ in revenue :money_mouth_face: . The sale energy is next level!"
2025-11-28 15:27:48,Tinus,online-boutique-6963,"That's fantastic, but hey, this is just the beginning. Three days to go... I'm keeping my fingers crossed :crossed_fingers:"
2025-11-28 15:27:51,Bez,online-boutique-6963,"Seeing so many people shopping on a holiday, it feels satisfying. Exactly the momentum we were hoping for"
2025-11-28 15:27:53,UptimeLabs,online-boutique-6963,"Welcome to DEFCON 1, are you perpared for the challenge?.

 *Use `/help` at any time for a list of useful links and commands*
 *Use `/incident` to create an incident record*

Once you're ready just click start to begin Start button"
2025-11-28 15:30:23,PLAYER,online-boutique-6963,Clicked Start button
2025-11-28 15:30:24,UptimeLabs,online-boutique-6963,":alarm_clock: - You have 40 minutes to resolve the outage, good luck! You can type `/help` if you need any reminders."
2025-11-28 15:30:25,Shay,online-boutique-6963,"Not this time!, I just got a few alerts mentioning severe errors popping up in PROD"
2025-11-28 15:30:28,Bob,online-boutique-6963,Weird... a few users just complained they are unable to complete their orders. Feels... off..
2025-11-28 15:30:38,PLAYER,online-boutique-6963,I am incident command. I am in control
2025-11-28 15:30:46,Shay,online-boutique-6963,Again i've got an alert in PROD
2025-11-28 15:30:52,PLAYER,online-boutique-6963,What alert have you seen?
2025-11-28 15:31:13,Shay,online-boutique-6963,Have to check more into logs
2025-11-28 15:31:15,PLAYER,online-boutique-6963,Bob can you give us some examples of user complaints?
2025-11-28 15:31:21,Bob,online-boutique-6963,"Sure, let me look at my reports"
2025-11-28 15:31:36,Bob,online-boutique-6963,Here are some of the complaints we've received in the last few minutes. It's coming all across the globe 
2025-11-28 15:31:36,PLAYER,online-boutique-6963,Thanks
2025-11-28 15:31:38,Bob,online-boutique-6963,"Germany - ""I added items to my cart, clicked checkout, and it just kept spinning. Then it dumped me back to an empty cart"""
2025-11-28 15:31:40,Bob,online-boutique-6963,"USA - ""Order failed twice, and now the cart is empty. I refreshed, but now the site is laggy"""
2025-11-28 15:31:42,Bob,online-boutique-6963,"Japan - ""Got to checkout, then error 502. Tried again - cart gone"""
2025-11-28 15:31:44,Bob,online-boutique-6963,"To sum it all, we have got 240+ reports globally"
2025-11-28 15:31:46,Bob,online-boutique-6963,Metrics
2025-11-28 15:31:57,PLAYER,online-boutique-6963,When did this start happening Bob?
