datetime,player,channel,message
2026-02-10 10:33:20,bez,online-boutique-7677,Can you believe it? That influencer photoshoot is blowing up! We're making waves all over social media.
2026-02-10 10:33:24,bob,online-boutique-7677,
2026-02-10 10:33:30,bez,online-boutique-7677,Our watches and loafers are all over everyone's feeds 
2026-02-10 10:33:34,bob,online-boutique-7677,You're telling me? My inbox is packed with customer queries 
2026-02-10 10:33:41,uptimelabs,online-boutique-7677,"Welcome to Discount Disaster, the responsibility is on you to size up the problem.

? *Use `/help` at any time for a list of useful links and commands*
 ? *Use `/incident` to create an incident record*

Once you're ready just click start to begin"
2026-02-10 10:37:48,daniel,online-boutique-7677,"Yeah, I'm seeing it, traffic's surging. But nothing we didn't anticipate for"
2026-02-10 10:37:51,hamed,online-boutique-7677,Good. We've optimised the backend for this kind of spike
2026-02-10 10:37:55,maya,online-boutique-7677,Let's just make sure that's all it is - legit traffic. Influencer campaigns can attract more than just customers
2026-02-10 10:38:01,shay,online-boutique-7677,I'll keep eyes on the dashboard. We're running at nearly 80% capacity right now for all the user actvity our platform can handle
2026-02-10 10:38:05,bez,online-boutique-7677,It's all good. People are scrambling to get their hands on our products. That viral post is gold
2026-02-10 10:38:08,daniel,online-boutique-7677,We're inching closer to max capacity. We're at 95% load now
2026-02-10 10:38:14,shay,online-boutique-7677,I just refreshed the website and it's now taking ages to load
2026-02-10 10:38:19,shay,online-boutique-7677,Is the website down? Or maybe it's just my machine
2026-02-10 10:38:24,PLAYER,online-boutique-7677,Let me check my end
2026-02-10 10:38:27,uptimelabs,online-boutique-7677,:star: Reproduces the incident
2026-02-10 10:38:44,PLAYER,online-boutique-7677,"Yep it's down, 503 service unavailable"
2026-02-10 10:39:08,PLAYER,online-boutique-7677,@bob is anyone else getting this? We need to know the impact of this on customers
2026-02-10 10:39:11,uptimelabs,online-boutique-7677,:star: Asking questions to validate impact of the problem
2026-02-10 10:39:13,PLAYER,online-boutique-7677,Is anyone able to log in?
2026-02-10 10:39:19,bob,online-boutique-7677,We are getting a lot of calls from customers that they are unable to access the website
2026-02-10 10:39:20,shay,online-boutique-7677,well i cant
2026-02-10 10:39:22,bob,online-boutique-7677,Few are reporting long loading times 
2026-02-10 10:39:26,bob,online-boutique-7677,and few are able to load platforms but unable to order
2026-02-10 10:39:30,bob,online-boutique-7677,Here are the latest reports
2026-02-10 10:39:33,bob,online-boutique-7677,
2026-02-10 10:39:37,bob,online-boutique-7677,Looks like a global issue
2026-02-10 10:39:59,PLAYER,online-boutique-7677,
2026-02-10 10:39:59,uptimelabs,business-comms-7677,"*Incident Number INC100056:* ""website down 503"" P1"
2026-02-10 10:40:24,PLAYER,online-boutique-7677,Metrics also show number of active users tailed off but now it's spiking really high
2026-02-10 10:40:27,uptimelabs,online-boutique-7677,:star: Use metrics as evidence
2026-02-10 10:40:54,PLAYER,online-boutique-7677,"@tanya can you look at the metrics please and tell me, do you think this is a DDoS? Traffic has gone _extremely_ high"
2026-02-10 10:40:58,uptimelabs,online-boutique-7677,:star: Facts over opinion
2026-02-10 10:40:58,uptimelabs,online-boutique-7677,:star: Form a working theory
2026-02-10 10:41:15,tanya,online-boutique-7677,"Sure, but we had a sale announced"
2026-02-10 10:41:27,tanya,online-boutique-7677,i see the front end is throwing 429's
2026-02-10 10:41:36,tanya,online-boutique-7677,can we have Dev team looked into logs please
2026-02-10 10:41:43,tanya,online-boutique-7677,i ll check the capacity
2026-02-10 10:42:02,PLAYER,online-boutique-7677,Can we get any more information on where the requests are coming from? Are they all coming from the same set of IPs? If they aren't we can probably rule out DDoS
2026-02-10 10:42:13,PLAYER,online-boutique-7677,It is quite likely this is due to the higher traffix
