index,datetime,player,channel,message
0,11/12/2025 16:08,Bez,online-boutique-7109,Can you believe it? That influencer photoshoot is blowing up! We're making waves all over social media.
1,11/12/2025 16:08,Bob,online-boutique-7109,Infleuncer photoshoot
2,11/12/2025 16:08,Bez,online-boutique-7109,Our watches and loafers are all over everyone's feeds
3,11/12/2025 16:08,Bob,online-boutique-7109,You're telling me? My inbox is packed with customer queries
5,11/12/2025 16:09,PLAYER,online-boutique-7109,Clicked undefined button
6,11/12/2025 16:09,PLAYER,online-boutique-7109,Clicked org button
7,11/12/2025 16:09,PLAYER,online-boutique-7109,Clicked undefined button
8,11/12/2025 16:12,PLAYER,online-boutique-7109,test
9,11/12/2025 16:12,PLAYER,business-comms-7109,*Incident Number INC10009:* test
10,11/12/2025 16:12,PLAYER,online-boutique-7109,test2 p1
11,11/12/2025 16:12,PLAYER,business-comms-7109,*Incident Number INC10008:* test2 p1
12,11/12/2025 16:13,PLAYER,online-boutique-7109,Clicked Start button
14,11/12/2025 16:13,Daniel,online-boutique-7109,Yeah I'm seeing it traffic's surging. But nothing we didn't anticipate for
15,11/12/2025 16:13,Hamed,online-boutique-7109,Good. We've optimised the backend for this kind of spike
16,11/12/2025 16:13,Maya,online-boutique-7109,Let's just make sure that's all it is - legit traffic. Influencer campaigns can attract more than just customers
17,11/12/2025 16:13,Shay,online-boutique-7109,I'll keep eyes on the dashboard. We're running at nearly 80% capacity right now for all the user actvity our platform can handle
18,11/12/2025 16:14,Bez,online-boutique-7109,It's all good. People are scrambling to get their hands on our products. That viral post is gold
19,11/12/2025 16:14,Daniel,online-boutique-7109,We're inching closer to max capacity. We're at 95% load now
20,11/12/2025 16:14,Shay,online-boutique-7109,I just refreshed the website and it's now taking ages to load
21,11/12/2025 16:14,Shay,online-boutique-7109,Is the website down? Or maybe it's just my machine
22,11/12/2025 16:14,PLAYER,online-boutique-7109,Seeing 503's response via the dashboard and when testing directly
24,11/12/2025 16:14,Shay,online-boutique-7109,Same here
25,11/12/2025 16:15,PLAYER,online-boutique-7109,503 response on frontend store site p1
26,11/12/2025 16:15,PLAYER,business-comms-7109,*Incident Number INC100018:* 503 response on frontend store site p1
28,11/12/2025 16:15,Bez,business-comms-7109,Not good- Get this sorted asap please
30,11/12/2025 16:16,PLAYER,online-boutique-7109,Daniel can we get a look at the state of the frontend services.
31,11/12/2025 16:16,Daniel,online-boutique-7109,Sure
32,11/12/2025 16:16,Daniel,online-boutique-7109,Checking
33,11/12/2025 16:16,Daniel,online-boutique-7109,I see a lot of 429 and 503's in front end
34,11/12/2025 16:16,Bez,business-comms-7109,Is this a global issu e?
35,11/12/2025 16:16,PLAYER,online-boutique-7109,shopping cart view is accessible but not the product view page.
36,11/12/2025 16:17,PLAYER,online-boutique-7109,can we look to see if this is valid traffic from customers or localize it to a single source Maya
38,11/12/2025 16:18,Shay,online-boutique-7109,Im seeing a lot of errors in the logs
39,11/12/2025 16:18,Shay,online-boutique-7109,Not sure what the root cause is but we are seeing high load on our Frontend Pods - this may be due to the ongoing discount or if it could be related to any tests we were running.
40,11/12/2025 16:18,PLAYER,online-boutique-7109,Daniel are these errors for a specific region of customers?
41,11/12/2025 16:18,Shay,online-boutique-7109,I see high number of rest-call errors like  http429 http503 and 504s
42,11/12/2025 16:18,Shay,online-boutique-7109,```\nERROR: GET /api/GetInfo HTTP/1.1 429 200 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/91.0.4472.124 Safari/537.36 FrontEndApp\n``` ```\nERROR: GET /api/GetInfo HTTP/1.1 429 200 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/91.0.4472.124 Safari/537.36 FrontEndApp\n```
43,11/12/2025 16:18,Maya,online-boutique-7109,What do you want me to look at ?
44,11/12/2025 16:18,Maya,online-boutique-7109,can do a security scan
45,11/12/2025 16:18,Shay,online-boutique-7109,Im also seeing this
46,11/12/2025 16:19,Shay,online-boutique-7109,```\n[error]: Service unavailable cannot process request for /api/GetInfo (503).\n``` ```
47,11/12/2025 16:19,Daniel,online-boutique-7109,Seeing frontend errors as well
48,11/12/2025 16:19,Daniel,online-boutique-7109,```\n[error] 12345#12345: *98765 limiting requests exceeded 10 requests per second for client 149.34.52.176 request: GET /api/GetInfo HTTP/1.1 FrontEndApp\n``` \n```[error] 12345#12345: *98766 limiting requests exceeded 10 requests per second for client 149.34.52.176 request: GET /api/GetInfo HTTP/1.1 FrontEndApp\n``` ```
49,11/12/2025 16:19,Daniel,online-boutique-7109,@Bob can give that details on impact ?
50,11/12/2025 16:19,PLAYER,online-boutique-7109,Maya please verify if this traffic is valid or some sort of spike from 1 specific source ip.
