datetime,player,channel,message
2026-02-03 15:03:22,bez,online-boutique-7607,Hey team!:rocket: Can you believe it's been 8 fantastic years for Online Boutique?
2026-02-03 15:03:26,bez,online-boutique-7607,"Before we dive into anniversary celebrations, let's give a warm welcome to Maya, our new Security Analyst. She's got 5 years of cybersecurity expertise under her belt! :clap: "
2026-02-03 15:03:31,maya,online-boutique-7607,"Hi everyone! :raised_hand_with_fingers_splayed: Thrilled to be here, especially on such a special occasion. Let's make Online Boutique even successful and secure together!"
2026-02-03 15:03:34,tinus,online-boutique-7607,"Welcome, Maya! Your experience will elevate our cybersecurity efforts."
2026-02-03 15:03:38,tanya,online-boutique-7607,"Excited to have you, Maya! Bez has been very excited to have you on the team."
2026-02-03 15:03:41,daniel,online-boutique-7607,"Impressive! Eager to learn from you, Maya."
2026-02-03 15:03:45,shay,online-boutique-7607,":+1: Welcome Maya, pleasure meeting you."
2026-02-03 15:03:48,bob,online-boutique-7607,Hi Maya! Your experience is top-notch. Cheers to you and to Online Boutique's 8-year anniversary! :partying_face: :tada:
2026-02-03 15:03:51,maya,online-boutique-7607,Thanks for the warm welcome! Excited for the celebration and our anniversary party.
2026-02-03 15:04:01,uptimelabs,online-boutique-7607,"Welcome to The Switch, the responsibility is on you to size up the problem.

 *Access game links by pressing the Uptime Labs Logo in the top right of the screen*
 *Use `/incident` to create an incident record*

Once you're ready just click start to begin"
2026-02-03 15:06:00,bez,online-boutique-7607,We are all so glad you have joined us Maya
2026-02-03 15:06:02,tinus,online-boutique-7607,"Hold on, team. Quick check-in. Is anyone else experiencing internet problems or slow connectivity?"
2026-02-03 15:06:04,PLAYER,online-boutique-7607,welcome maya 
2026-02-03 15:06:05,shay,online-boutique-7607,"Internet's definitely sluggish, was loading up github and it took ages to load"
2026-02-03 15:06:08,bez,online-boutique-7607,Perhaps it could be due to the increase of sales we have been having with this anniversary sale?
2026-02-03 15:06:10,hamed,online-boutique-7607,"Hey team, we've seen some weird traffic from our data centre network in the last couple of days, it's been mostly minor but never as bad compared to now although"
2026-02-03 15:06:14,tanya,online-boutique-7607,Hamed and I will have been monitoring outbound traffic. Checking for anomalies again.
2026-02-03 15:06:21,daniel,online-boutique-7607,I will try to place an order and check the platform.
2026-02-03 15:06:31,shay,online-boutique-7607,Just ran a test on my internet speed.
2026-02-03 15:06:34,shay,online-boutique-7607,
2026-02-03 15:06:43,PLAYER,online-boutique-7607,i've places and order
2026-02-03 15:06:55,shay,online-boutique-7607,i will try and place one now
2026-02-03 15:07:01,daniel,online-boutique-7607,so will i
2026-02-03 15:07:13,daniel,online-boutique-7607,"The site works fine for me, its not even slow"
2026-02-03 15:07:28,shay,online-boutique-7607,"speak for yourself, im still trying to load the cart"
2026-02-03 15:07:50,PLAYER,online-boutique-7607,could anyone having issues with internet let me know 
2026-02-03 15:07:54,uptimelabs,online-boutique-7607,:star: Asking questions to validate impact of the problem
2026-02-03 15:08:02,PLAYER,online-boutique-7607,so we can navigate a root cause 
2026-02-03 15:08:22,tanya,online-boutique-7607,"mine is a bit slow, it doesnt seem to be as slow as shays but it take a few seconds to load things"
2026-02-03 15:08:30,PLAYER,online-boutique-7607,@hamed what weird traffic did you see?
2026-02-03 15:08:34,uptimelabs,online-boutique-7607,:star: Facts over opinion
2026-02-03 15:08:50,hamed,online-boutique-7607,let me take a closer look into it
2026-02-03 15:08:55,PLAYER,online-boutique-7607,@tanya could you check the anomalies and let me know how it looks  
2026-02-03 15:08:59,uptimelabs,online-boutique-7607,:star: Manage actions and timings
2026-02-03 15:09:15,PLAYER,online-boutique-7607,also @shay when did you start seeing internet issues?
2026-02-03 15:09:26,tanya,online-boutique-7607,sure i will take a look into the logs
2026-02-03 15:09:54,shay,online-boutique-7607,they have been going on all day but the past 30 mins has REALLY shown the issues on my end
2026-02-03 15:10:00,PLAYER,online-boutique-7607,@channel could we please like this message if you seem to be having issues 
2026-02-03 15:10:02,bez,business-comms-7607,whats going on?
2026-02-03 15:10:30,tanya,online-boutique-7607,There is a spike in outbound connections in the edge router and the origin IP block 10.50.0.0/24. That IP range is the same as the IP block the frontend and payments are hosted on.
2026-02-03 15:10:44,daniel,online-boutique-7607,could this be change-related?
2026-02-03 15:10:51,daniel,online-boutique-7607,how could this impact the network?
2026-02-03 15:11:15,hamed,online-boutique-7607,im reaching out to the network team to see if they are runing anything that may slow down the speeds
2026-02-03 15:11:23,PLAYER,online-boutique-7607,
2026-02-03 15:11:23,uptimelabs,business-comms-7607,*Incident Number INC100047:* sev 3
