datetime,player,channel,message
2026-02-03 10:02:13,uptimelabs,online-boutique-7595,"Welcome to Version Confusion, the responsibility is on you to size up the problem.

? *Use `/help` at any time for a list of useful links and commands*
 ? *Use `/incident` to create an incident record*

Once youre ready just click start to begin"
2026-02-03 10:03:46,tanya,online-boutique-7595,Hey guys im seeing an issue with the website loading slowly
2026-02-03 10:03:47,tanya,online-boutique-7595,Anyone else experaning this?
2026-02-03 10:03:49,shay,online-boutique-7595,No all ok for me
2026-02-03 10:03:50,daniel,online-boutique-7595,No issue for me
2026-02-03 10:03:51,daniel,online-boutique-7595,What browser and version of it are you using Tanya?
2026-02-03 10:03:53,tanya,online-boutique-7595,Im using chrome and let me check the version
2026-02-03 10:03:55,daniel,online-boutique-7595,Ok if it is V105.0 this is a recorded bug with a ticket in the backlog
2026-02-03 10:03:56,tanya,online-boutique-7595,Yeah it is V105.0
2026-02-03 10:03:57,tanya,online-boutique-7595,Should we not raise an incident for this? I know I can update the version and it will stop effecting me.
2026-02-03 10:03:59,tanya,online-boutique-7595,But could this not be effecting customers?
2026-02-03 10:04:01,daniel,online-boutique-7595,Had a look at the market share of people using this version it is only at 0.09%
2026-02-03 10:04:04,tanya,online-boutique-7595,Still not sure if it should not be an incidnt. @jamie.dow-options-it.com What do you think? 
2026-02-03 10:04:46,PLAYER,online-boutique-7595,"Hi everyone - I'll start looking into this now. I think as it's only affecting a small number of users, we should open a SEV-3 case on this."
2026-02-03 10:05:28,PLAYER,business-comms-7595,
2026-02-03 10:05:28,uptimelabs,business-comms-7595,*Incident Number INC100092:* Opening a SEV-3 case following reports of slow web browser performance when using a legacy version of Chrome.
2026-02-03 10:05:28,uptimelabs,online-boutique-7595,:star: Incident record created
2026-02-03 10:05:33,daniel,online-boutique-7595,Really dont think we need an incident. As I said we have a bug already and really need to focus on delivery of new features.
2026-02-03 10:05:57,bez,business-comms-7595,how long has this been going on for?
2026-02-03 10:06:29,PLAYER,online-boutique-7595,"Hi @bob - As customer services lead, what do you think of this issue? "
2026-02-03 10:06:35,uptimelabs,online-boutique-7595,:star: Asking questions to validate impact of the problem
2026-02-03 10:07:14,PLAYER,online-boutique-7595,"@daniel - How long have we been aware of the bug? Do we have the option to upgrade our Boutique to resolve the bug from our side? The onus is on us to resolve this, not the customer "
2026-02-03 10:07:17,uptimelabs,online-boutique-7595,:star: Manage actions and timings
2026-02-03 10:07:31,PLAYER,business-comms-7595,"Asking internally now Bez, i'll follow up shortlly. "
2026-02-03 10:07:32,bob,online-boutique-7595,"From my view this is worth looking into, we dont know the % of our own customers who are on this version of chrome, even if the market is 0.09% this doesnt allways apply to us"
2026-02-03 10:07:57,daniel,online-boutique-7595,I believe this was reported around a week ago
2026-02-03 10:08:01,daniel,online-boutique-7595,let me check
2026-02-03 10:08:17,PLAYER,online-boutique-7595,"I think that's fair - We can't control the source browser that our client base is using, so this could impact sales. I think we should look at resolving the bug from our side "
2026-02-03 10:08:35,PLAYER,online-boutique-7595,@daniel - Please get back to me in a minute
2026-02-03 10:09:00,daniel,online-boutique-7595,"My bad it was 2 weeks ago, here is the ticket made for it:


Title; Slow load times for users using V105.0 of chrome
Description; User have reported the frontend as loading slowly and with quick look at there set up appears to be an issue with frontend for users using V105.0 of chrome. 
Reporter; User
Components; OB-Frontend"
2026-02-03 10:09:24,PLAYER,business-comms-7595,"@bez  - We have been aware of the bug for a week, according to @daniel our metrics suggest this impacts 0.09% of our customer base, but we can't control the browser customers use, so this number could change on a day to day basis "
2026-02-03 10:09:29,uptimelabs,online-boutique-7595,:star: Qualify the problem
2026-02-03 10:09:29,uptimelabs,online-boutique-7595,:star: Use metrics as evidence
2026-02-03 10:09:38,PLAYER,business-comms-7595,"I think it's important we resolve the bug from our side, i'm working with Daniel on this now"
2026-02-03 10:09:58,bob,online-boutique-7595,Do you want me to gather customer reports for you?
2026-02-03 10:10:07,PLAYER,business-comms-7595,"Update @bez  - It turns out we have been aware of this for 2 weeks. See detail below:

 it was 2 weeks ago, here is the ticket made for it:

Title; Slow load times for users using V105.0 of chrome
Description; User have reported the frontend as loading slowly and with quick look at there set up appears to be an issue with frontend for users using V105.0 of chrome. 
Reporter; User
Components; OB-Frontend"
2026-02-03 10:10:33,PLAYER,online-boutique-7595,"@bob Yes please, i would like to get a sense of the customer impact "
2026-02-03 10:10:50,bob,online-boutique-7595,ok i will take a look at the past 2 weeks of reports as this will give us a good idea of the impact on our product
2026-02-03 10:11:02,PLAYER,online-boutique-7595,@daniel - What will it take to resolve the bug from our side? 
2026-02-03 10:11:08,bez,business-comms-7595,"thanks for the update, how do you plan on resolving this issue?"
2026-02-03 10:11:25,PLAYER,business-comms-7595,"Checking now, i'll follow up "
2026-02-03 10:11:28,daniel,online-boutique-7595,"it may be hard, if it was change related this was caused 2 weeks ago"
2026-02-03 10:11:58,PLAYER,online-boutique-7595,Can you please send me the recent changes logs please
2026-02-03 10:12:01,uptimelabs,online-boutique-7595,:star: Check changes done to the platform
2026-02-03 10:12:07,daniel,online-boutique-7595,"A rollback won't be realistic as we have a lot of features added from then, and we have a sale on soon"
2026-02-03 10:12:18,PLAYER,online-boutique-7595,Please send me the recent change log 
2026-02-03 10:12:28,bob,online-boutique-7595,Reports are indicating the issue is impacting us more than first anticipated
2026-02-03 10:12:44,shay,online-boutique-7595,here are the changes
2026-02-03 10:12:45,shay,online-boutique-7595,https://uptime-labs.atlassian.net/wiki/external/ZDQ1MTE3NWU5ZDYxNDA4MTkxZmM3ZGJmMGJhNmE1OTE
2026-02-03 10:12:47,PLAYER,online-boutique-7595,@bob - How do you mean? Can you provide examples.
2026-02-03 10:13:01,daniel,online-boutique-7595,"they are todays changes, we need to look at the changes 2 weeks ago"
2026-02-03 10:13:30,PLAYER,online-boutique-7595,"@daniel - The recent changes logs is just showing changes in the previous 24 hours, do you have a record of what changed from our side 2 weeks ago when the reports started/"
2026-02-03 10:13:45,bob,online-boutique-7595,The reports are looking to be 5-8% of our total customers
2026-02-03 10:13:53,PLAYER,online-boutique-7595,@shay - Please follow up in 30 seconds with the change log.
