index,datetime,player,channel,message
0,10/10/2025 10:06,Bez,online-boutique-6269,What a day! Our Grand Summer Sale kicked off this morning at 10 and the response has been insane. Can't believe we're already 5 hours in
1,10/10/2025 10:06,Bob,online-boutique-6269,Totally! Just checked the dashboard we've already crossed $160k+ in revenue :money_mouth_face: . The sale energy is next level!
2,10/10/2025 10:06,Tinus,online-boutique-6269,That's fantastic but hey this is just the beginning. Three days to go... I'm keeping my fingers crossed :crossed_fingers:
3,10/10/2025 10:06,Bez,online-boutique-6269,Seeing so many people shopping on a holiday it feels satisfying. Exactly the momentum we were hoping for
5,10/10/2025 10:14,player2,online-boutique-6269,Clicked undefined button
6,10/10/2025 10:14,player2,online-boutique-6269,Clicked org button
7,10/10/2025 10:14,player2,online-boutique-6269,Clicked undefined button
8,10/10/2025 10:16,player2,online-boutique-6269,Clicked Start button
10,10/10/2025 10:16,Shay,online-boutique-6269,Not this time! I just got a few alerts mentioning severe errors popping up in PROD
11,10/10/2025 10:16,Bob,online-boutique-6269,Weird... a few users just complained they are unable to complete their orders. Feels... off..
12,10/10/2025 10:16,Bob,online-boutique-6269,Complaints are rising continuously
13,10/10/2025 10:17,player2,online-boutique-6269,Bob is there any region this is in?
14,10/10/2025 10:17,player2,online-boutique-6269,can you also confirm what time the reports started
15,10/10/2025 10:17,Bob,online-boutique-6269,Sure let me look at my reports
16,10/10/2025 10:17,Bob,online-boutique-6269,Here are some of the complaints we've received in the last few minutes. It's coming all across the globe
17,10/10/2025 10:17,Bob,online-boutique-6269,"Germany - ""I added items to my cart clicked checkout and it just kept spinning. Then it dumped me back to an empty cart"
18,10/10/2025 10:17,Bob,online-boutique-6269,"USA - ""Order failed twice and now the cart is empty. I refreshed but now the site is laggy"
19,10/10/2025 10:17,Bob,online-boutique-6269,"Japan - ""Got to checkout then error 502. Tried again - cart gone"
20,10/10/2025 10:17,Bob,online-boutique-6269,To sum it all we have got 240+ reports globally
21,10/10/2025 10:17,Bob,online-boutique-6269,Metrics
22,10/10/2025 10:18,player2,online-boutique-6269,Daniel Shay Hamed S Tanya can you guys all assist in looking into this please?
23,10/10/2025 10:18,Hamed,online-boutique-6269,Whats happening ?
24,10/10/2025 10:18,Daniel,online-boutique-6269,what is expected from us ?
25,10/10/2025 10:19,player2,online-boutique-6269,Users are receiving the above errors stated by Bob can you look into recent changes made / any logs that could show where this issue is coming from
26,10/10/2025 10:20,Daniel,online-boutique-6269,These are the recent changes : <https://uptime-labs.atlassian.net/wiki/spaces/ULPUBLIC/pages/1104216138/DEFCON+1+-+Change+Request+Details>
27,10/10/2025 10:20,Shay,online-boutique-6269,I tried to place an order but in the end it shows me an empty cart
28,10/10/2025 10:21,player2,online-boutique-6269,Bob can you confirm what time the first report came in at
29,10/10/2025 10:21,Bob,online-boutique-6269,Since last 10 mins
30,10/10/2025 10:21,Daniel,online-boutique-6269,Let me start looking at the logs
31,10/10/2025 10:22,player2,online-boutique-6269,Shay can you also assist with looking at the logs
32,10/10/2025 10:22,Shay,online-boutique-6269,Looking into logs now
33,10/10/2025 10:22,player2,online-boutique-6269,#NAME?
34,10/10/2025 10:22,player2,business-comms-6269,*Incident Number INC100069:* - Sev1 - Users globally are experiencing issues purchasing items
35,10/10/2025 10:22,Bez,business-comms-6269,Customers have gone outrageous. #OBFail and #OBStealsSale are trending with frustrated posts. We're getting hammered online! Where are we @player2?
36,10/10/2025 10:22,Shay,online-boutique-6269,Found these below error logs
