index,datetime,player,channel,message
0,06/02/2026 12:19,bez@localhost,online-boutique-7653,What a day! Our Grand Summer Sale kicked off this morning at 10 and the response has been insane. Can't believe we're already 5 hours in
1,06/02/2026 12:19,bob@localhost,online-boutique-7653,Totally! Just checked the dashboard we've already crossed $160k+ in revenue :money_mouth_face: . The sale energy is next level!
2,06/02/2026 12:19,tinus@localhost,online-boutique-7653,That's fantastic but hey this is just the beginning. Three days to go... I'm keeping my fingers crossed :crossed_fingers:
3,06/02/2026 12:19,bez@localhost,online-boutique-7653,Seeing so many people shopping on a holiday it feels satisfying. Exactly the momentum we were hoping for
4,06/02/2026 12:20,uptimelabs@localhost,online-boutique-7653,Welcome to DEFCON 1 are you prepared for the challenge?.\n\n *Access game links by pressing the Uptime Labs Logo in the top right of the screen*\n *Use `/incident` to create an incident record*\n\nOnce you're ready just click start to begin
5,06/02/2026 12:20,shay@localhost,online-boutique-7653,Not this time! I just got a few alerts mentioning severe errors popping up in PROD
6,06/02/2026 12:20,bob@localhost,online-boutique-7653,Weird... a few users just complained they are unable to complete their orders. Feels... off..
7,06/02/2026 12:21,PLAYER,online-boutique-7653,@karim.elghazouly-constructor.io
8,06/02/2026 12:21,PLAYER,business-comms-7653,@karim.elghazouly-constructor.io
9,06/02/2026 12:22,shay@localhost,online-boutique-7653,Again i've got an alert
10,06/02/2026 12:22,PLAYER,online-boutique-7653,@karim.elghazouly-constructor.io https://grafana.prod.uptimelabs.io/d/pt36kbdnk1/online-boutique-monitoring?orgId=1&from=now-5m&to=now&timezone=browser&refresh=10s - here is link
11,06/02/2026 12:24,PLAYER,online-boutique-7653,@daniel I see raise in 504s could you check which service return them? What do see in logs for these 504s?
12,06/02/2026 12:24,uptimelabs@localhost,online-boutique-7653,:star: Facts over opinion
13,06/02/2026 12:25,daniel@localhost,online-boutique-7653,Sure Me and Shay both could check the app logs
14,06/02/2026 12:25,uptimelabs@localhost,online-boutique-7653,:bulb: how many users are affected? does this rule out possible causes?
15,06/02/2026 12:25,daniel@localhost,online-boutique-7653,Do we have an incident ? Whats the customer impact ?
16,06/02/2026 12:27,daniel@localhost,online-boutique-7653,Create an incident. Meanwhile we will look into logs
17,06/02/2026 12:27,bez@localhost,business-comms-7653,Whats going on ?
18,06/02/2026 12:28,PLAYER,business-comms-7653,@bez We are observing an increase in 504 for some customers
19,06/02/2026 12:28,daniel@localhost,online-boutique-7653,Is it a regional or global issue ? PLAYER
20,06/02/2026 12:28,uptimelabs@localhost,online-boutique-7653,:star: Qualify the problem
21,06/02/2026 12:28,shay@localhost,online-boutique-7653,PLAYER Bob could help us to know this
22,06/02/2026 12:29,bez@localhost,business-comms-7653,Is it impacting customers ?
23,06/02/2026 12:29,PLAYER,online-boutique-7653,@daniel customers report not being able to complete the order
24,06/02/2026 12:29,PLAYER,online-boutique-7653,@daniel do you see anything in logs?
25,06/02/2026 12:29,shay@localhost,online-boutique-7653,Alerts are around Checkout app - lots of timeouts and out of memory
26,06/02/2026 12:29,PLAYER,business-comms-7653,@bez yes only a percentage of them we are investigating it and will keep you updates
27,06/02/2026 12:29,shay@localhost,online-boutique-7653,For further clarity looking into logs now
28,06/02/2026 12:29,bez@localhost,business-comms-7653,Customers have gone outrageous. #OBFail and #OBStealsSale are trending with frustrated posts. We're getting hammered online! Where are we PLAYER?
29,06/02/2026 12:29,shay@localhost,online-boutique-7653,Found these below error logs
30,06/02/2026 12:29,shay@localhost,online-boutique-7653,```\napp[checkout-service] [ERROR] - write() failed Read-only filesystem\napp[checkout-service] Order submission failed for session_id=ae43f9 due to I/O error\napp[checkout-service] [ERROR] - Transaction commit failed Read-only file system\n[ERROR] nginx[3245] - 502 Bad Gateway while accessing upstream checkout service\n[ERROR] nginx
31,06/02/2026 12:29,shay@localhost,online-boutique-7653,The server is too slow and give up while responding back. I'm not sure why read-only errors are there
32,06/02/2026 12:29,daniel@localhost,online-boutique-7653,Looking at the above logs app looks fine. But system can't write new data. Errors suggests to be an infra component failure
33,06/02/2026 12:30,daniel@localhost,online-boutique-7653,Also checkout servers show CPU and memory limits exceeded alerts this definitely looks bigger than just an app issue
34,06/02/2026 12:30,daniel@localhost,online-boutique-7653,```app[checkout-service]: systemd[1]
35,06/02/2026 12:30,uptimelabs@localhost,online-boutique-7653,:bulb: Understand the problem by reproducing it
36,06/02/2026 12:30,shay@localhost,online-boutique-7653,Could this be due to load or any changes ?
37,06/02/2026 12:30,PLAYER,online-boutique-7653,@daniel could you check also iops and free disk space?
38,06/02/2026 12:30,bez@localhost,business-comms-7653,I want numbers on how many users have been impacted by this so far ?
39,06/02/2026 12:31,PLAYER,business-comms-7653,@shay can you help identify how many customers are impacted
