Channel Name,Time,Character Name,utterance
UptimeLabs,,System,APP  3:05 PM
UptimeLabs,,System,"joined online-boutique-5988. Also, Pradeep C"
Bez,,System,APP  3:05 PM
Bez,,System,"What a day! Our Grand Summer Sale kicked off this morning at 10, and the response has been insane. Can't believe we're already 5 hours in"
Bob,,System,APP  3:06 PM
Bob,,System,"Totally! Just checked the dashboard, we've already crossed $160k+ in revenue :money_mouth_face: . The sale energy is next level!"
Tinus,,System,APP  3:06 PM
Tinus,,System,"That's fantastic, but hey, this is just the beginning. Three days to go... I'm keeping my fingers crossed :crossed_fingers:"
Bez,,System,APP  3:06 PM
Bez,,System,"Seeing so many people shopping on a holiday, it feels satisfying. Exactly the momentum we were hoping for"
UptimeLabs,,System,APP  3:06 PM
UptimeLabs,,System,"Welcome to DEFCON 1, are you perpared for the challenge?."
Use /incident to create an incident record,,System,Once you're ready just click start to begin
Use /incident to create an incident record,03:07,System,":alarm_clock: - You have 40 minutes to resolve the outage, good luck! You can type /help if you need any reminders.\n"
Shay,,System,APP  3:07 PM
Shay,,System,"Not this time!, I just got a few alerts mentioning severe errors popping up in PROD"
Bob,,System,APP  3:07 PM
Bob,,System,Weird... a few users just complained they are unable to complete their orders. Feels... off..
Pradeep C,03:08,Unknown,"PM\nHi @Bob which region is affected, could you please confirm ?\n"
Bob,,System,APP  3:08 PM
Bob,,System,"Sure, let me look at my reports"
Bob,03:08,System,Here are some of the complaints we've received in the last few minutes. It's coming all across the globe
Bob,03:08,System,"Germany - ""I added items to my cart, clicked checkout, and it just kept spinning. Then it dumped me back to an empty cart"""
Bob,03:08,System,"USA - ""Order failed twice, and now the cart is empty. I refreshed, but now the site is laggy"""
Bob,03:08,System,"Japan - ""Got to checkout, then error 502. Tried again - cart gone"""
Bob,03:08,System,"To sum it all, we have got 240+ reports globally"
Bob,03:08,System,(12 kB)\nhttps://i.ibb.co/7csQGjg/Lvl-26-reports-2.webp\n\n\n
Pradeep C,03:10,Unknown,PM\n@Shay and @Daniel was there any deployments today in prod ?\n
Shay,,System,APP  3:10 PM
Pradeep C,03:11,Unknown,PM\nWhile clicking on Place order the cart is getting empty @Daniel @Shay\n
Daniel,,System,APP  3:11 PM
Daniel,,System,https://uptime-labs.atlassian.net/wiki/external/YzYwYTAxNWQzOTI0NDYzOWI1MjkxNTI2YmVmMjUyZDE
Daniel,03:11,System,"I don't think this is due to any changes because nothing matches the issue start time, and no PROD deployments have happened in a while around checkout service\n"
Tanya,,System,APP  3:11 PM
Tanya,,System,"Same from the platform side. Strangely, both apps and infrastructure are struggling without any changes"
Shay,,System,APP  3:11 PM
Shay,,System,"You're right, that makes sense. On top of that, only checkout is having issues and it hasn't been touched in a while"
Daniel,,System,APP  3:12 PM
UptimeLabs,,System,APP  3:12 PM
UptimeLabs,,System,:star: Incident record created
UptimeLabs,03:12,System,:star: Send first comms in first 5 minutes\n
Daniel,,System,APP  3:12 PM
Daniel,,System,Shall i check the logs?
UptimeLabs,,System,APP  3:12 PM
UptimeLabs,,System,:bulb: Hint: Declare an incident.
Pradeep C,03:13,Unknown,PM
Shay,,System,APP  3:13 PM
Looking into logs now,03:13,Unknown,
