index,datetime,player,channel,message
0,2025-07-02 11:08:22,Tinus,online-boutique-4797,"So despite the payments outage the other day Bez tells me we had bumper profits from the flash sale."
1,2025-07-02 11:08:32,Tinus,online-boutique-4797,"In more good news Bez has turned off the Beatles music in head office and we are now all allowed to play whatever we want in our headphones."
2,2025-07-02 11:08:38,Tinus,online-boutique-4797,"I don't know about you but I was getting bored of ""I am the walrus"" on repeat."
3,2025-07-02 11:08:44,Daniel,online-boutique-4797,"Ooh Coo Ca Choo to that Tinus"
5,2025-07-02 11:09:43,PLAYER,online-boutique-4797,"Clicked Start button"
7,2025-07-02 11:09:46,Bez,online-boutique-4797,"Everyone listen up I am just got off the phone from our biggest investor Melon Tusk. He told me he was just trying to buy a Candle Holder for his grandma but the website wouldnt let him buy it"
8,2025-07-02 11:09:51,Bez,online-boutique-4797,"Melon is really nervous cause he heard of our outage earlier in the week. Please tell me its a problem with his computer and not a problem with our website."
9,2025-07-02 11:09:56,Bez,online-boutique-4797,"Tusk might not invest in the next round if we have another serious outage. Help!"
10,2025-07-02 11:10:01,Tinus,online-boutique-4797,"Ok everyone you know what to do.  @Damian Heymann lets size up the issue."
11,2025-07-02 11:10:16,Tinus,online-boutique-4797,"I hope it's not payments again. I fear it is."
12,2025-07-02 11:10:22,Tinus,online-boutique-4797,"@Damian Heymann do your thing and lets size this issue up and hopefully it'll be a non event."
13,2025-07-02 11:10:24,Bob,online-boutique-4797,"Getting lots of calls saying they can't buy stuff it's not just Melon."
14,2025-07-02 11:10:38,PLAYER,business-comms-4797,"Bob we have an investor unable to use our services are we getting any other clients reporting issues ?"
16,2025-07-02 11:11:27,PLAYER,online-boutique-4797,"i'm seeing number of orders going down on the dashboard"
18,2025-07-02 11:11:37,PLAYER,online-boutique-4797,"but frontend is up"
19,2025-07-02 11:11:44,Bez,online-boutique-4797,"Oh my knees! Not again. Get this back up fast or we're toast!"
21,2025-07-02 11:12:15,damian.heymann,business-comms-4797,"*Incident Number INC100022:* clients are unable to coplete sales P1"
24,2025-07-02 11:12:21,Bez,business-comms-4797,"Damian - Bob isn't there in this channel"
25,2025-07-02 11:12:24,Tinus,online-boutique-4797,"Have we got our best people on this?"
