index,datetime,player,channel,message
0,2025-08-13 12:04:35,Bez,online-boutique-5362,"Hey everyone. I'm pumped today about our flash sale"
1,2025-08-13 12:04:41,Bez,online-boutique-5362,"You know it's been 53 years since the Beatles released Abbey Road right? My favourite album"
2,2025-08-13 12:04:46,Tanya,online-boutique-5362,"53 years already?? Wow that makes me feel old..."
3,2025-08-13 12:04:51,Bez,online-boutique-5362,"Indeed! We're celebrating today by promoting a flash sale on retro items from 1969"
4,2025-08-13 12:04:57,Bez,online-boutique-5362,"I re-watched Paul McCartney's Glastonbury set last night to get in the mood!"
6,2025-08-13 12:05:30,PLAYER,online-boutique-5362,"Clicked undefined button"
7,2025-08-13 12:05:40,PLAYER,online-boutique-5362,"Clicked org button"
8,2025-08-13 12:05:53,PLAYER,online-boutique-5362,"Clicked undefined button"
9,2025-08-13 12:09:22,PLAYER,online-boutique-5362,"Clicked Start button"
11,2025-08-13 12:09:24,Tinus,online-boutique-5362,"That sounds great Bez. Huge Beatles fan myself here"
12,2025-08-13 12:09:29,Tinus,online-boutique-5362,"We've just deployed a couple of changes into prod earlier but we should be all good"
13,2025-08-13 12:09:34,Tinus,online-boutique-5362,"We're a step closer to allowing folks to pay for items from the 1960s with Bitcoin thanks to Daniel!"
14,2025-08-13 12:09:37,Daniel,online-boutique-5362,"Think of it like time travelling!"
15,2025-08-13 12:09:41,Bez,online-boutique-5362,"Wow good work Daniel! Looking forward to seeing it in action in prod"
16,2025-08-13 12:09:45,Tinus,online-boutique-5362,"How's the test-driven development going?"
17,2025-08-13 12:09:50,Daniel,online-boutique-5362,"TDDs going well. We are as solid as a rock! Though don't ask me what the Liskov Substitution Principle is..."
18,2025-08-13 12:09:57,Shay,online-boutique-5362,"erm - funny you should say that Daniel I'm just testing my checkout service change in prod and I can't complete the payment - something's up"
19,2025-08-13 12:10:04,Shay,online-boutique-5362,"I hope my checkout service change is all good. Can someone check its not just me? And before you ask yes I've cleared my cookies"
20,2025-08-13 12:10:10,Tanya,online-boutique-5362,"Sorry Daniel it's not looking good on my end either"
21,2025-08-13 12:10:13,Tinus,online-boutique-5362,"Uh oh...here we go again"
22,2025-08-13 12:10:17,Tinus,online-boutique-5362,"@Ehsaan Gaffar can you ""Size up the Issue"" please and keep us informed"
23,2025-08-13 12:10:19,Bob,online-boutique-5362,"From what I can see it looks like we are still getting orders through"
24,2025-08-13 12:10:27,Daniel,online-boutique-5362,"It can't be payments service the new code shouldn't be invoked yet"
25,2025-08-13 12:10:31,PLAYER,online-boutique-5362,"Tinus okay ill take a look"
26,2025-08-13 12:10:33,Daniel,online-boutique-5362,"@Ehsaan Gaffar it's worth having a look at the checkout service change first"
27,2025-08-13 12:10:37,Shay,online-boutique-5362,"@Ehsaan Gaffar what should I look at first?"
28,2025-08-13 12:10:56,Bez,online-boutique-5362,"Get this sorted ASAP!!!"
29,2025-08-13 12:11:04,Daniel,online-boutique-5362,"@Bob it could be UK only issue? I can also see orders coming through"
30,2025-08-13 12:11:16,PLAYER,online-boutique-5362,"Daniel Shay im getting an 500 error when going through checkout"
31,2025-08-13 12:11:20,Shay,online-boutique-5362,"I tried placing an order and it failed as well."
33,2025-08-13 12:11:33,PLAYER,online-boutique-5362,"ill post an incident"
34,2025-08-13 12:11:51,PLAYER,business-comms-5362,"Customers cannot finish checkout P1"
35,2025-08-13 12:11:51,ehsaan.gaffar,business-comms-5362,"*Incident Number INC100059:* Customers cannot finish checkout P1"
38,2025-08-13 12:11:58,Bez,business-comms-5362,"Is it a global issue or a regional one?"
40,2025-08-13 12:12:09,PLAYER,business-comms-5362,"im checking now"
41,2025-08-13 12:12:15,Daniel,online-boutique-5362,"Same for me as well"
42,2025-08-13 12:12:26,PLAYER,online-boutique-5362,"is this only regional or global?"
44,2025-08-13 12:12:33,Daniel,online-boutique-5362,"Bob could help us in this"
45,2025-08-13 12:12:47,PLAYER,online-boutique-5362,"Bob could you take a look to see if its regional or global?"
46,2025-08-13 12:12:54,Bob,online-boutique-5362,"Sure let me run quickly through my reports"
47,2025-08-13 12:13:22,Bob,online-boutique-5362,"Seeing several reports coming from customers. Not able to make payments. Seems to be affecting globally at the moment"
48,2025-08-13 12:13:44,PLAYER,online-boutique-5362,"meanwhile Daniel Tanya Shay could you revert your recent changes each to see if we can get last known good config working?"
51,2025-08-13 12:13:59,PLAYER,business-comms-5362,"Bez we can confirm its global"
52,2025-08-13 12:14:06,PLAYER,business-comms-5362,"and were working on fixing it asap"
53,2025-08-13 12:14:10,Shay,online-boutique-5362,"Which change you are referring to ?"
54,2025-08-13 12:14:52,Bez,business-comms-5362,"This is not a good sign. We recently got the funding and I don't want to lose it on these outages"
55,2025-08-13 12:14:53,PLAYER,online-boutique-5362,"all the changes made to PROD today"
57,2025-08-13 12:15:12,Bob,online-boutique-5362,"We are still getting orders coming through but nothing in terms of sales"
58,2025-08-13 12:15:15,PLAYER,online-boutique-5362,"im not sure which ones broke it yet but if we get it working first then we can troubleshoot"
59,2025-08-13 12:15:29,Bob,online-boutique-5362,"Order confirmations are impacted"
60,2025-08-13 12:15:45,Shay,online-boutique-5362,"I checked the logs"
61,2025-08-13 12:15:50,PLAYER,business-comms-5362,"im working with the team now to try to get payments working again"
62,2025-08-13 12:16:03,Shay,online-boutique-5362,"I'm seeing errors in payments service"
63,2025-08-13 12:16:25,PLAYER,online-boutique-5362,"Daniel could you please try to revert your changes to payments today?"
64,2025-08-13 12:16:30,PLAYER,online-boutique-5362,"on prod?"
65,2025-08-13 12:16:37,Tanya,online-boutique-5362,"I'm looking into infra"
66,2025-08-13 12:16:40,Daniel,online-boutique-5362,"It can't be payments service the new code shouldn't be invoked yet"
67,2025-08-13 12:16:49,Daniel,online-boutique-5362,"It’s worth examining the checkout service change first."
68,2025-08-13 12:16:56,Daniel,online-boutique-5362,"It could be a dependent service affecting payments which in this case is our checkout service."
69,2025-08-13 12:17:09,PLAYER,online-boutique-5362,"okay then Shay could you please revert yours first?"
70,2025-08-13 12:17:27,Shay,online-boutique-5362,"I'm sure I tested my code properly and even after my deployment the website was up and running"
71,2025-08-13 12:17:37,Shay,online-boutique-5362,"But no problem  i can revert my change if you say so"
72,2025-08-13 12:17:41,PLAYER,online-boutique-5362,"please do"
73,2025-08-13 12:17:46,Tanya,online-boutique-5362,"Payments servers are down in production"
