index,datetime,player,channel,message
0,2025-05-29 11:52:09,Bez,incident-4388,Hey everyone. I'm pumped today about our flash sale
1,2025-05-29 11:52:15,Bez,incident-4388,You know it's been 53 years since the Beatles released Abbey Road right? My favourite album
2,2025-05-29 11:52:20,Tanya,incident-4388,53 years already?? Wow that makes me feel old...
3,2025-05-29 11:52:25,Bez,incident-4388,Indeed! We're celebrating today by promoting a flash sale on retro items from 1969
4,2025-05-29 11:52:31,Bez,incident-4388,I re-watched Paul McCartney's Glastonbury set last night to get in the mood!
6,2025-05-29 11:53:56,jernej.primcic,business-comms-4388,"*Incident Number INC100090:* sev1 testing"
7,2025-05-29 11:55:05,PLAYER,incident-4388,Clicked Start button
9,2025-05-29 11:55:06,Tinus,incident-4388,That sounds great Bez. Huge Beatles fan myself here
10,2025-05-29 11:55:11,Tinus,incident-4388,We've just deployed a couple of changes into prod earlier but we should be all good
11,2025-05-29 11:55:16,Tinus,incident-4388,We're a step closer to allowing folks to pay for items from the 1960s with Bitcoin thanks to Daniel!
12,2025-05-29 11:55:19,Daniel,incident-4388,Think of it like time travelling!
13,2025-05-29 11:55:23,Bez,incident-4388,Wow good work Daniel! Looking forward to seeing it in action in prod
14,2025-05-29 11:55:27,Tinus,incident-4388,How's the test-driven development going?
15,2025-05-29 11:55:32,Daniel,incident-4388,TDDs going well. We are as solid as a rock! Though don't ask me what the Liskov Substitution Principle is...
16,2025-05-29 11:55:39,Shay,incident-4388,"erm - funny you should say that Daniel, I'm just testing my checkout service change in prod and I can't complete the payment - something's up"
17,2025-05-29 11:55:46,Shay,incident-4388,"I hope my checkout service change is all good. Can someone check its not just me? And before you ask, yes I've cleared my cookies"
18,2025-05-29 11:55:52,Tanya,incident-4388,Sorry Daniel it's not looking good on my end either
19,2025-05-29 11:55:55,Tinus,incident-4388,Uh oh...here we go again
20,2025-05-29 11:55:59,Tinus,incident-4388,"@jernej Primcic can you ""Size up the Issue"" please and keep us informed"
21,2025-05-29 11:56:01,Bob,incident-4388,From what I can see it looks like we are still getting orders through
22,2025-05-29 11:56:09,Daniel,incident-4388,"It can't be payments service, the new code shouldn't be invoked yet"
23,2025-05-29 11:56:15,Daniel,incident-4388,@jernej Primcic it's worth having a look at the checkout service change first
24,2025-05-29 11:56:19,Shay,incident-4388,@jernej Primcic what should I look at first?
25,2025-05-29 11:56:38,Bez,incident-4388,Get this sorted ASAP!!!
26,2025-05-29 11:56:46,Daniel,incident-4388,@Bob it could be UK only issue? I can also see orders coming through
27,2025-05-29 11:56:46,PLAYER,incident-4388,"Hi everyone, I have tried on my end, and when trying to pay I receive a 500 internal error, can we check if the same issue is happening with the customers or not, and if the error is specific to a certain payment method?"
28,2025-05-29 11:56:57,PLAYER,incident-4388,Or if its specific to a region?
29,2025-05-29 11:57:08,Bob,incident-4388,I can check the reports now..
30,2025-05-29 11:57:15,Bob,incident-4388,will update you soon
32,2025-05-29 11:57:16,PLAYER,incident-4388,Thank you bob
34,2025-05-29 11:57:32,Daniel,incident-4388,I can check the logs
35,2025-05-29 11:57:44,Shay,incident-4388,We do have recent changes made to the platform
36,2025-05-29 11:57:48,PLAYER,incident-4388,"I can see in the dashboard that the order numbers are looking okay, its just the order confirmation that is down."
37,2025-05-29 11:58:04,Bob,incident-4388,Getting over 200+ reports
38,2025-05-29 11:58:12,PLAYER,incident-4388,Was there a change deployed specific to only order confirmation?
39,2025-05-29 11:58:13,Bob,incident-4388,Looks to be a global issue
41,2025-05-29 11:58:48,Daniel,incident-4388,Not sure but there is changes to checkout and payment service
42,2025-05-29 11:58:49,PLAYER,incident-4388,"Thanks Bob. Considering the orders are coming through, its just the order confirmation Service thats not working, we will run it as a Sev 2 incident, Im creating the incident as we speak"
43,2025-05-29 11:59:06,Bez,business-comms-4388,"is there an incident ongoing?"
44,2025-05-29 11:59:07,jernej.primcic,business-comms-4388,"*Incident Number INC100097:* Sev2 Order Confirmations not working"
47,2025-05-29 11:59:25,Daniel,incident-4388,But i made the change to payments service and the new code shouldn't be invoked yet
48,2025-05-29 11:59:44,PLAYER,business-comms-4388,"Hi Bez we have a Sev2 incident ongoing for issues with order confirmations. The orders itself are going through it is just the confirmation that are not being received by customers. The teams are looking further into the issue"
49,2025-05-29 12:00:02,Bob,incident-4388,looks like no customers are able to make payments @Jernej
51,2025-05-29 12:00:24,Bez,business-comms-4388,"Let me know the scope of the customer impact when you can"
52,2025-05-29 12:00:32,Shay,incident-4388,Checkout service change looks good @Jernej
53,2025-05-29 12:01:04,PLAYER,incident-4388,"Looks like we are seeing an increase currencyservices, can someone check the logs for that service please, looks like it could be something going on with that"
54,2025-05-29 12:01:13,Shay,incident-4388,Will do
55,2025-05-29 12:01:22,PLAYER,incident-4388,Thank you Shay
56,2025-05-29 12:02:12,Daniel,incident-4388,Looks like the payments service is down
57,2025-05-29 12:02:52,PLAYER,incident-4388,Thank you Daniel. Can we please roll back the change for payment services? CHG89359
58,2025-05-29 12:02:59,Shay,incident-4388,Currency service is not having any issue looking at the logs
