index,datetime,player,channel,message
0,2025-06-06 15:23:09,Bez,incident-4505,Hey everyone. I'm pumped today about our flash sale
1,2025-06-06 15:23:15,Bez,incident-4505,You know it's been 53 years since the Beatles released Abbey Road right? My favourite album
2,2025-06-06 15:23:19,Tanya,incident-4505,53 years already?? Wow that makes me feel old...
3,2025-06-06 15:23:24,Bez,incident-4505,Indeed! We're celebrating today by promoting a flash sale on retro items from 1969
4,2025-06-06 15:23:30,Bez,incident-4505,I re-watched Paul McCartney's Glastonbury set last night to get in the mood!
6,2025-06-06 15:27:13,PLAYER,incident-4505,Clicked org button
7,2025-06-06 15:29:31,PLAYER,incident-4505,Clicked Start button
8,2025-06-06 15:29:32,Tinus,incident-4505,That sounds great Bez. Huge Beatles fan myself here
10,2025-06-06 15:29:37,Tinus,incident-4505,We've just deployed a couple of changes into prod earlier but we should be all good
11,2025-06-06 15:29:42,Tinus,incident-4505,We're a step closer to allowing folks to pay for items from the 1960s with Bitcoin thanks to Daniel!
12,2025-06-06 15:29:45,Daniel,incident-4505,Think of it like time travelling!
13,2025-06-06 15:29:49,Bez,incident-4505,Wow good work Daniel! Looking forward to seeing it in action in prod
14,2025-06-06 15:29:53,Tinus,incident-4505,How's the test-driven development going?
15,2025-06-06 15:29:58,Daniel,incident-4505,TDDs going well. We are as solid as a rock! Though don't ask me what the Liskov Substitution Principle is...
16,2025-06-06 15:30:06,Shay,incident-4505,"erm - funny you should say that Daniel, I'm just testing my checkout service change in prod and I can't complete the payment - something's up"
17,2025-06-06 15:30:12,Shay,incident-4505,"I hope my checkout service change is all good. Can someone check its not just me? And before you ask, yes I've cleared my cookies"
18,2025-06-06 15:30:18,Tanya,incident-4505,Sorry Daniel it's not looking good on my end either
19,2025-06-06 15:30:21,Tinus,incident-4505,Uh oh...here we go again
20,2025-06-06 15:30:25,Tinus,incident-4505,"@Jose Luis Roiz can you ""Size up the Issue"" please and keep us informed"
21,2025-06-06 15:30:27,Bob,incident-4505,From what I can see it looks like we are still getting orders through
22,2025-06-06 15:30:35,Daniel,incident-4505,"It can't be payments service, the new code shouldn't be invoked yet"
23,2025-06-06 15:30:41,Daniel,incident-4505,@Jose Luis Roiz it's worth having a look at the checkout service change first
24,2025-06-06 15:30:45,Shay,incident-4505,@Jose Luis Roiz what should I look at first?
25,2025-06-06 15:31:04,Bez,incident-4505,Get this sorted ASAP!!!
26,2025-06-06 15:31:10,Bob,incident-4505,I'm getting lot of reports from customers
27,2025-06-06 15:31:12,Daniel,incident-4505,@Bob it could be UK only issue? I can also see orders coming through
28,2025-06-06 15:31:26,PLAYER,incident-4505,how many customer reports for the issue?
30,2025-06-06 15:31:53,Bob,incident-4505,Let me pull in reports and summarise it
31,2025-06-06 15:32:05,PLAYER,incident-4505,did we test the checkout service change in qa?
32,2025-06-06 15:32:19,Bob,incident-4505,Not able to make payments. Seems to be affecting globally at the moment.
34,2025-06-06 15:32:39,Bob,incident-4505,"We are still getting orders coming through, but nothing in terms of sales"
35,2025-06-06 15:32:55,joseluis.roiz,business-comms-4505,"*Incident Number INC10000:* checkout service (payments) down sev1"
38,2025-06-06 15:33:03,Shay,incident-4505,"Hi Roiz, i made change into checkout. Its working fine"
40,2025-06-06 15:33:35,Shay,incident-4505,"I have tested , its healthy"
41,2025-06-06 15:33:38,PLAYER,incident-4505,can we confirm the new code is good and not being actually invoked
44,2025-06-06 15:34:38,PLAYER,incident-4505,can we check this CHG89360:AdService:version 8.4 ?
45,2025-06-06 15:34:45,PLAYER,incident-4505,is it healthy?
47,2025-06-06 15:35:01,Tanya,incident-4505,"Hi Roiz, i made this Adservice change. Let me review"
48,2025-06-06 15:35:18,Bez,business-comms-4505,"This is serious - Is this a global issue?"
49,2025-06-06 15:35:25,Shay,incident-4505,I see something's wrong in payments
50,2025-06-06 15:35:45,PLAYER,business-comms-4505,"checkout (payment) service is down global issue orders coming through but no sales are checked. teams are testing the changes and the code right now."
51,2025-06-06 15:35:50,Tanya,incident-4505,My change to adservice was just repositioning some of our ads. Should be non-customer impacting
52,2025-06-06 15:36:14,PLAYER,incident-4505,CHG89357:PaymentService:version 1.4  ?
53,2025-06-06 15:36:16,Bez,business-comms-4505,"Okay - keep the updates coming Shareholders are getting antsy"
