index,datetime,player,channel,message
1,2026-01-13 14:05:24,PLAYER,online-boutique-7392,"Clicked Start button"
2,2026-01-13 14:05:25,Tanya,online-boutique-7392,"Hey guys im seeing an issue with the website loading slowly"
3,2026-01-13 14:05:27,Tanya,online-boutique-7392,"Anyone else experaning this?"
4,2026-01-13 14:05:28,Shay,online-boutique-7392,"No all ok for me"
5,2026-01-13 14:05:30,Daniel,online-boutique-7392,"No issue for me"
6,2026-01-13 14:05:31,Daniel,online-boutique-7392,"What browser and version of it are you using Tanya?"
7,2026-01-13 14:05:32,Tanya,online-boutique-7392,"Im using chrome and let me check the version"
8,2026-01-13 14:05:34,Daniel,online-boutique-7392,"Ok if it is V105.0 this is a recorded bug with a ticket in the backlog"
9,2026-01-13 14:05:35,Tanya,online-boutique-7392,"Yeah it is V105.0"
10,2026-01-13 14:05:36,Tanya,online-boutique-7392,"Should we not raise an incident for this? I know I can update the version and it will stop effecting me."
11,2026-01-13 14:05:38,Tanya,online-boutique-7392,"But could this not be effecting customers?"
12,2026-01-13 14:05:40,Daniel,online-boutique-7392,"Had a look at the market share of people using this version it is only at 0.09%"
13,2026-01-13 14:05:44,Tanya,online-boutique-7392,"Still not sure if it should not be an incidnt. @Marcin Nowok What do you think?"
14,2026-01-13 14:06:10,PLAYER,online-boutique-7392,"I think we should def consider that"
15,2026-01-13 14:06:20,PLAYER,online-boutique-7392,"Bob have you received any customer reports?"
17,2026-01-13 14:06:37,Bob,online-boutique-7392,"Hello Marcin - Nothing is blowing up  but let me check"
18,2026-01-13 14:06:56,PLAYER,online-boutique-7392,"Tanyawhat about different browsers?"
19,2026-01-13 14:07:06,Bob,online-boutique-7392,"There are few reports from customer from last 2 weeks - But nothing pressing or out of proportion"
20,2026-01-13 14:07:23,Tanya,online-boutique-7392,"Other browsers are working fine"
21,2026-01-13 14:07:31,Tanya,online-boutique-7392,"Just Chrome that too V105.0"
22,2026-01-13 14:07:42,PLAYER,online-boutique-7392,"ok I believe we should have it as P2 at least as it's impacting customers"
23,2026-01-13 14:07:53,PLAYER,online-boutique-7392,"browser issues with Chrome P2"
24,2026-01-13 14:07:53,marcin.nowok,business-comms-7392,"*Incident Number INC100019:* browser issues with Chrome P2"
26,2026-01-13 14:07:58,Daniel,online-boutique-7392,"Really dont think we need an incident. As I said we have a bug already and really need to focus on delivery of new features."
27,2026-01-13 14:08:16,PLAYER,online-boutique-7392,"Daniel it's customer impacting and we have to be on top of that"
28,2026-01-13 14:08:21,PLAYER,online-boutique-7392,"what can we do here?"
29,2026-01-13 14:08:28,Daniel,online-boutique-7392,"Title  : Slow load times for users using V105.0 of chrome\nDescription : User have reported the frontend as loading slowly and with quick look at there set up appears to be an issue with frontend for users using V105.0 of chrome. \nReporter\nUser\nComponents : OB-Frontend"
30,2026-01-13 14:08:31,Bob,online-boutique-7392,"Ohh the reports is actually showing that 10% of our customers are experiencing an issue where it is taking three times as long the website to load. Seeing a few timeouts occurring as well"
31,2026-01-13 14:08:56,PLAYER,online-boutique-7392,"see thanks Bob"
32,2026-01-13 14:09:09,Bob,online-boutique-7392,"It is effecting customers globally\n\nThat drop in loading times have been occurring for two weeks \n\nIt is still limited to customers using Chrome"
33,2026-01-13 14:09:23,PLAYER,online-boutique-7392,"Daniel can we fix the bug right away?"
34,2026-01-13 14:09:24,Bez,business-comms-7392,"Can you give me more details please"
35,2026-01-13 14:09:34,Bez,business-comms-7392,"How many customers or is this global ?"
36,2026-01-13 14:09:53,Daniel,online-boutique-7392,"I mean  we raised the bug 2 weeks ago"
37,2026-01-13 14:10:05,PLAYER,business-comms-7392,"hi Bez 10% customers using Chrome globally"
38,2026-01-13 14:10:10,Daniel,online-boutique-7392,"we have implemented too many changes after that on front end"
40,2026-01-13 14:10:17,Daniel,online-boutique-7392,"we will have to review all the changes"
41,2026-01-13 14:10:28,PLAYER,business-comms-7392,"10% of our customers are experiencing an issue where it is taking three times as long the website to load"
42,2026-01-13 14:10:36,Bez,business-comms-7392,"What's the user experience like?"
43,2026-01-13 14:10:42,PLAYER,online-boutique-7392,"can you pls provide those changes here?"
45,2026-01-13 14:10:48,PLAYER,online-boutique-7392,"from the past 2 weeks?"
46,2026-01-13 14:11:15,PLAYER,business-comms-7392,"site is loading slowly"
47,2026-01-13 14:11:22,PLAYER,business-comms-7392,"but it only applies to Chrome browser"
48,2026-01-13 14:11:28,PLAYER,business-comms-7392,"other are working fine"
49,2026-01-13 14:11:31,Daniel,online-boutique-7392,"<https://uptime-labs.atlassian.net/wiki/spaces/ULPUBLIC/pages/1114341401/Version+Confusion+-+Change+Request+Logs>"
50,2026-01-13 14:11:31,PLAYER,business-comms-7392,"hence P2"
51,2026-01-13 14:11:40,Daniel,online-boutique-7392,"But we will have to look manually all the changes"
53,2026-01-13 14:12:08,Bez,business-comms-7392,"Olay thanks - Let me know if you need any help from Tinus or me"
55,2026-01-13 14:12:33,PLAYER,online-boutique-7392,"• *Change ID: CHG89553*\n*Owner*: Daniel\n*Service*: FrontEndService\n*Environment*: PROD\n*Version*: 0.5.0-14.2.1\n*Time Of Change:* 21 hours ago\n*Description*: Deployment of FrontEndService cleaning up repository by removing code/files that were no longer needed."
56,2026-01-13 14:12:41,Bob,online-boutique-7392,"Can see that there has been a drop in sales of 10% compared to the average over a two week period"
57,2026-01-13 14:12:43,PLAYER,online-boutique-7392,"I see one change for FE made by Daniel"
58,2026-01-13 14:13:20,Daniel,online-boutique-7392,"Yes but we will have to review all changes made since 2 week"
59,2026-01-13 14:13:31,Daniel,online-boutique-7392,"@Shay You mind joining me please?"
60,2026-01-13 14:13:35,PLAYER,online-boutique-7392,"so can you pls provide that?"
61,2026-01-13 14:13:42,PLAYER,online-boutique-7392,"Daniel Shay"
62,2026-01-13 14:13:48,Shay,online-boutique-7392,"HI Dan - Let me dig into it"
63,2026-01-13 14:13:54,Shay,online-boutique-7392,"Sure @Marcin"
64,2026-01-13 14:14:24,PLAYER,online-boutique-7392,"I don't like the drop in sales of 10% it will be steadily increasing"
65,2026-01-13 14:14:25,Daniel,online-boutique-7392,"The change list is not at one place i am digging our Jira requests- Need some time to check"
66,2026-01-13 14:14:31,PLAYER,online-boutique-7392,"we need to fix it right away"
67,2026-01-13 14:14:42,PLAYER,online-boutique-7392,"Daniel how much time u need?"
68,2026-01-13 14:14:49,Daniel,online-boutique-7392,"I agree- But this might take some time to dig"
71,2026-01-13 14:15:09,PLAYER,online-boutique-7392,"Tinus"
72,2026-01-13 14:15:15,PLAYER,online-boutique-7392,"I believe we need your help here"
73,2026-01-13 14:15:16,Bez,business-comms-7392,"Whats the latest ?"
74,2026-01-13 14:15:30,PLAYER,online-boutique-7392,"we need to fix the issue asap no ETA is being provided by Daniel"
75,2026-01-13 14:15:35,Tinus,online-boutique-7392,"Hey Marcin - What's the issue"
76,2026-01-13 14:15:46,PLAYER,business-comms-7392,"teams are currently checking recent changes"
77,2026-01-13 14:15:50,PLAYER,business-comms-7392,"from the past 2 weeks"
79,2026-01-13 14:16:08,Tinus,online-boutique-7392,"Did we have a word with PLatforms team ? i know were making few changes 2 weeks back"
80,2026-01-13 14:16:10,PLAYER,online-boutique-7392,"customers using chrome as seeing 3x slowness of the site"
81,2026-01-13 14:16:12,Tinus,online-boutique-7392,"@Hamed?"
82,2026-01-13 14:16:25,Hamed,online-boutique-7392,"Hi Marcin  Tinus"
83,2026-01-13 14:16:28,Hamed,online-boutique-7392,"Let me check this"
84,2026-01-13 14:16:43,Hamed,online-boutique-7392,"the issue is not with Frontend but with an update made to the nginx web server version that does not support V105.0 of chrome and older"
85,2026-01-13 14:16:58,Bez,business-comms-7392,"Can we expedite this ?"
86,2026-01-13 14:17:01,PLAYER,online-boutique-7392,"what's the change number? can we roll it back?"
88,2026-01-13 14:17:08,PLAYER,business-comms-7392,"the issue is not with Frontend but with an update made to the nginx web server version that does not support V105.0 of chrome and older"
89,2026-01-13 14:17:11,PLAYER,business-comms-7392,"Hamed is checking it"
90,2026-01-13 14:17:32,Hamed,online-boutique-7392,"We don't have change since it was kind of external change .\n@Tanya- You worked on it  what are your suggestion ?"
91,2026-01-13 14:17:44,Tanya,online-boutique-7392,"change the nginx web server version back or add a patch. Either of these will resolve the incident."
92,2026-01-13 14:18:00,PLAYER,online-boutique-7392,"which one you recommend more Hamed"
93,2026-01-13 14:18:03,PLAYER,online-boutique-7392,"or Tanya"
94,2026-01-13 14:18:09,PLAYER,online-boutique-7392,"which one is faster?"
95,2026-01-13 14:18:28,Tanya,online-boutique-7392,"Sorry we didnt have a means to check or test the issue - this is on specific broswser vresion"
96,2026-01-13 14:18:36,Hamed,online-boutique-7392,"Lets add a patch"
97,2026-01-13 14:18:40,Hamed,online-boutique-7392,"that i sfaster"
98,2026-01-13 14:18:48,Tanya,online-boutique-7392,"Sure i will work on it"
99,2026-01-13 14:18:49,PLAYER,online-boutique-7392,"Tanya can you start with it?"
100,2026-01-13 14:18:53,PLAYER,online-boutique-7392,"ETA Tanya?"
101,2026-01-13 14:18:59,Tanya,online-boutique-7392,"ETA is 2 minutes we haev the patch ready"
102,2026-01-13 14:19:06,Tanya,online-boutique-7392,"Hey @Marcin Nowok I have just retried the website with V105.0 of chrome and it seems the fix worked"
103,2026-01-13 14:19:08,Tinus,online-boutique-7392,"Glad we created an incident for this. Need to review our training on when to create an incident or a bug but great work team."
104,2026-01-13 14:19:10,Daniel,online-boutique-7392,"Sorry guys should have raised an incident when first discovered."
105,2026-01-13 14:19:15,PLAYER,online-boutique-7392,"Bob pls be ready to check with customers"
106,2026-01-13 14:19:20,Tinus,online-boutique-7392,"We are all learning Daniel. We can carry the learnings foward"
107,2026-01-13 14:19:23,Bob,online-boutique-7392,"Just checked and it looks all good now team"
108,2026-01-13 14:19:25,Bob,online-boutique-7392,"XChecking"
109,2026-01-13 14:19:25,Tinus,online-boutique-7392,"Lets continue monitoring this and we can have a great conversation during the PIR"
110,2026-01-13 14:19:27,PLAYER,online-boutique-7392,"thanks"
111,2026-01-13 14:19:36,Bob,online-boutique-7392,"I think its positive"
112,2026-01-13 14:19:38,PLAYER,business-comms-7392,"issue fixed Bez"
113,2026-01-13 14:19:46,Bob,online-boutique-7392,"i am able to place orders with V105.0"
115,2026-01-13 14:19:48,PLAYER,business-comms-7392,"patch implemented onto nginx server"
116,2026-01-13 14:19:56,Bob,online-boutique-7392,"and i am on call with a customer who raise an issue earlier"
117,2026-01-13 14:20:00,Bob,online-boutique-7392,"its resolved"
118,2026-01-13 14:20:07,PLAYER,online-boutique-7392,"Clicked Start_feedback button\n"
