index,datetime,player,channel,message
0,01/10/2025 09:05,Bez,online-boutique-6023,What a day! Our Grand Summer Sale kicked off this morning at 10 and the response has been insane. Can't believe we're already 5 hours in
1,01/10/2025 09:05,Bob,online-boutique-6023,Totally! Just checked the dashboard we've already crossed $160k+ in revenue :money_mouth_face: . The sale energy is next level!
2,01/10/2025 09:05,Tinus,online-boutique-6023,That's fantastic but hey this is just the beginning. Three days to go... I'm keeping my fingers crossed :crossed_fingers:
3,01/10/2025 09:05,Bez,online-boutique-6023,Seeing so many people shopping on a holiday it feels satisfying. Exactly the momentum we were hoping for
5,01/10/2025 09:05,player2,online-boutique-6023,Clicked Start button
7,01/10/2025 09:06,Shay,online-boutique-6023,Not this time! I just got a few alerts mentioning severe errors popping up in PROD
8,01/10/2025 09:06,Bob,online-boutique-6023,Weird... a few users just complained they are unable to complete their orders. Feels... off..
9,01/10/2025 09:06,player2,online-boutique-6023,help/
10,01/10/2025 09:07,player2,online-boutique-6023,Shay  which systems errors are in prod?
11,01/10/2025 09:07,Shay,online-boutique-6023,Most of the errors are coming from checkout
12,01/10/2025 09:07,Shay,online-boutique-6023,not sure about the rest of the applications
13,01/10/2025 09:08,player2,online-boutique-6023,Bob do this error affect all regions?
14,01/10/2025 09:08,Bob,online-boutique-6023,Sure let me look at my reports
15,01/10/2025 09:08,Bob,online-boutique-6023,Here are some of the complaints we've received in the last few minutes. It's coming all across the globe
16,01/10/2025 09:08,Bob,online-boutique-6023,"Germany - ""I added items to my cart clicked checkout and it just kept spinning. Then it dumped me back to an empty cart"
17,01/10/2025 09:08,Bob,online-boutique-6023,"USA - ""Order failed twice and now the cart is empty. I refreshed but now the site is laggy"
18,01/10/2025 09:08,Bob,online-boutique-6023,"Japan - ""Got to checkout then error 502. Tried again - cart gone"
19,01/10/2025 09:08,Bob,online-boutique-6023,To sum it all we have got 240+ reports globally
20,01/10/2025 09:08,Bob,online-boutique-6023,Metrics
21,01/10/2025 09:09,Shay,online-boutique-6023,There are so many gateway errors
22,01/10/2025 09:09,player2,online-boutique-6023,Shay I also see errors in the frontend service are they related?
23,01/10/2025 09:09,player2,online-boutique-6023,Clicked org button
24,01/10/2025 09:09,Shay,online-boutique-6023,We need to check rest of the applications
25,01/10/2025 09:10,player2,online-boutique-6023,Daniel can you help Shay investigate the errors?
26,01/10/2025 09:10,Daniel,online-boutique-6023,We should check other services
27,01/10/2025 09:10,Shay,online-boutique-6023,Looking into logs now
28,01/10/2025 09:10,Bez,business-comms-6023,Customers have gone outrageous. #OBFail and #OBStealsSale are trending with frustrated posts. We're getting hammered online! Where are we @player2?
29,01/10/2025 09:10,Shay,online-boutique-6023,Found these below error logs
30,01/10/2025 09:10,Shay,online-boutique-6023,```\napp[checkout-service] [ERROR] - write() failed Read-only filesystem\napp[checkout-service] Order submission failed for session_id=ae43f9 due to I/O error\napp[checkout-service] [ERROR] - Transaction commit failed Read-only file system\n[ERROR] nginx[3245] - 502 Bad Gateway while accessing upstream checkout service\n[ERROR] nginx
31,01/10/2025 09:10,player2,business-comms-6023,Sev2 some customers can't complete orders
32,01/10/2025 09:10,player2,business-comms-6023,*Incident Number INC100079:* Sev2 some customers can't complete orders
35,01/10/2025 09:10,Shay,online-boutique-6023,The server is too slow and give up while responding back. I'm not sure why read-only errors are there
36,01/10/2025 09:10,Bez,business-comms-6023,I'm seeing some posts on social media about issues with our platform is this a regional issue or hitting customers globally?
37,01/10/2025 09:10,Shay,online-boutique-6023,I was able to replicate the issue
38,01/10/2025 09:10,Daniel,online-boutique-6023,Looking at the above logs app looks fine. But system can't write new data. Errors suggests to be an infra component failure
39,01/10/2025 09:11,Daniel,online-boutique-6023,Also checkout servers show CPU and memory limits exceeded alerts this definitely looks bigger than just an app issue
40,01/10/2025 09:11,Daniel,online-boutique-6023,```app[checkout-service]: systemd[1]
41,01/10/2025 09:11,Shay,online-boutique-6023,Could this be due to load or any changes ?
42,01/10/2025 09:11,Shay,online-boutique-6023,Ok reviewing the change
43,01/10/2025 09:11,player2,online-boutique-6023,I was able to complete an order in the website Bob can you confirm that the customer complains are still coming in?
44,01/10/2025 09:12,Shay,online-boutique-6023,<https://uptime-labs.atlassian.net/wiki/spaces/ULPUBLIC/pages/1104216138/DEFCON+1+-+Change+Request+Details>
45,01/10/2025 09:12,player2,online-boutique-6023,Daniel could this be related to the load?
46,01/10/2025 09:12,Daniel,online-boutique-6023,I don't think this is due to any changes because nothing matches the issue start time and no PROD deployments have happened in a while around checkout service
47,01/10/2025 09:12,Tanya,online-boutique-6023,Same from the platform side. Strangely both apps and infrastructure are struggling without any changes
48,01/10/2025 09:13,Shay,online-boutique-6023,You're right that makes sense. On top of that only checkout is having issues and it hasn't been touched in a while
49,01/10/2025 09:13,Daniel,online-boutique-6023,If you want to cross-check the load we should look at this from the platform side
50,01/10/2025 09:15,Bob,online-boutique-6023,So far we have received 300+ reports and it's rising
51,01/10/2025 09:15,player2,business-comms-6023,We are currently investigating our services
52,01/10/2025 09:15,player2,business-comms-6023,it's affecting customers globally
53,01/10/2025 09:17,player2,online-boutique-6023,Daniel do we have a way to activate backup servers if we reach the CPU or memory limits?
54,01/10/2025 09:17,Daniel,online-boutique-6023,I think @Tanya would be the best person to help us with this
55,01/10/2025 09:18,player2,online-boutique-6023,Tanya can we increase the server capacity?
56,01/10/2025 09:18,Tanya,online-boutique-6023,Checking infra...
57,01/10/2025 09:18,Tanya,online-boutique-6023,All four checkout servers are maxed out - CPU memory and disk I/O all spiking. No changes or deployments were done from platform side
58,01/10/2025 09:18,Tanya,online-boutique-6023,ServerMetrics
59,01/10/2025 09:18,Tanya,online-boutique-6023,It doesn't looks like a load issue either. CPU and Memory spike is not matching with incoming traffic
60,01/10/2025 09:18,Tanya,online-boutique-6023,I'm seeing a running process called init_locker.sh eating up most of the CPU on the checkout server. That's not something we usually run. Something's suspicious here
61,01/10/2025 09:19,Tanya,online-boutique-6023,ProcessRunning
62,01/10/2025 09:19,player2,online-boutique-6023,Shay can you check the latest changes and see if they could be responsible for the load error messages?
63,01/10/2025 09:19,Shay,online-boutique-6023,All changes were for non-critical services they shouldn't impact the prod
64,01/10/2025 09:20,player2,online-boutique-6023,Maya it seems that our current load is not matching with the incoming traffic could it be some kind of DDOs attack?
65,01/10/2025 09:20,Maya,online-boutique-6023,Let me check if there's anything suspicious
66,01/10/2025 09:20,Bez,business-comms-6023,"Got an email claiming responsibility by ""BlackCrow Group"" and demanding payment of $5M in crypto. Honestly I get these hoax emails all the time so I'm not buying it"
67,01/10/2025 09:20,Maya,online-boutique-6023,Weird!! Security agent known as EDR(Endpoint Detection and Response) is missing from all 4 checkout servers. That's? concerning
68,01/10/2025 09:20,Maya,online-boutique-6023,```EDR is basically our endpoint defense tool it tracks unusual activity at the servers```
69,01/10/2025 09:20,Maya,online-boutique-6023,AlsoI found an init_locker.sh script encrypting DB app and log files which is renaming the filename like below
70,01/10/2025 09:20,Maya,online-boutique-6023,```\norder_log_2025-06-01.locked\nsession_state.tmp.locked```
71,01/10/2025 09:20,Daniel,online-boutique-6023,this explains why there were errors in checkout logs saying write failed  read-only filesystem
72,01/10/2025 09:20,Tanya,online-boutique-6023,Wait... there's a file here named HELP_ME_DECRYPT.txt. I opened it appears a ransom note. This doesn't look good
73,01/10/2025 09:20,Tanya,online-boutique-6023,help_me_decrypt
74,01/10/2025 09:20,player2,business-comms-6023,investigating if we are being attacked somehow
75,01/10/2025 09:20,Maya,online-boutique-6023,Confirmed. This is a ransomware breach. @player2 inform business about this
76,01/10/2025 09:21,Tanya,online-boutique-6023,Shall i try killing this script ?
77,01/10/2025 09:21,Bob,online-boutique-6023,Guys!!! User complaints are sky rocketing its turning catastrophic!
78,01/10/2025 09:21,player2,business-comms-6023,confirmed it is a ransomware attack
79,01/10/2025 09:21,Bez,business-comms-6023,Wait! you're telling me this is an actual ransomware hit?
80,01/10/2025 09:21,player2,business-comms-6023,Sev1 ransomware attack
81,01/10/2025 09:21,Bez,business-comms-6023,Alright tell everyone no one says a single thing outside online-boutique! I don't care who's asking not a word until we know exactly what's going on!
82,01/10/2025 09:22,player2,business-comms-6023,yes it is confirmed
83,01/10/2025 09:22,player2,online-boutique-6023,Maya what is the best way to kill this script?
84,01/10/2025 09:22,Maya,online-boutique-6023,Killing the script could make things worse higher ransom or losing data forever
85,01/10/2025 09:22,Bez,business-comms-6023,This is nightmare! @player2 where are we right now?
86,01/10/2025 09:22,Maya,online-boutique-6023,@player2 before we do anything I'd request everyone to please change their passwords
87,01/10/2025 09:23,Maya,online-boutique-6023,Also I'm removing everyone's access to servers - only I'll have control for now. Later we will reassess to do any activity further
88,01/10/2025 09:23,Daniel,online-boutique-6023,Done on my end
89,01/10/2025 09:23,Hamed,online-boutique-6023,Updated. @Maya smart move by limiting server's access
90,01/10/2025 09:23,Shay,online-boutique-6023,Password updated
91,01/10/2025 09:23,Bob,online-boutique-6023,Changed mine too. Better safe than sorry
92,01/10/2025 09:23,Tanya,online-boutique-6023,All set
93,01/10/2025 09:23,Tanya,online-boutique-6023,It's much worse now. Every file I check is encrypted nothing can be opened or recovered.
94,01/10/2025 09:23,Shay,online-boutique-6023,I'm seeing new errors on frontend now. How's it for you @player2 ?
95,01/10/2025 09:23,Maya,online-boutique-6023,Attention! when it comes to potential security breaches it's important we don't discuss sensitive details here
96,01/10/2025 09:23,player2,business-comms-6023,We need everyone to change their passwords
97,01/10/2025 09:23,Maya,online-boutique-6023,I'm setting up private channel...
98,01/10/2025 09:23,Maya,online-boutique-6023,@player2 before we move to private channel can you check with business what's the plan - are we paying the ransom or moving with response?
99,01/10/2025 09:23,Bez,business-comms-6023,Understood!
100,01/10/2025 09:23,Tinus,business-comms-6023,on it
101,01/10/2025 09:23,player2,business-comms-6023,Bez you too please change your password
102,01/10/2025 09:24,player2,online-boutique-6023,I'm also seeing error on the website
103,01/10/2025 09:25,player2,business-comms-6023,Bez are we paying the ransom?
104,01/10/2025 09:25,Bez,business-comms-6023,Not in favor of paying. Ethically it sets the wrong example and there's no real guarantee we'll get anything back
105,01/10/2025 09:25,Tinus,business-comms-6023,Agree. Also just to be clear - we don't need to alert the ICO(Information Commissioner's Office) right this second. We've got up to 72 hours but that depends on how serious this really is
106,01/10/2025 09:26,player2,business-comms-6023,ok we will try to fix it from our side
107,01/10/2025 09:26,Bez,business-comms-6023,@Tinus do you think this is something we should loop in any cyber security agency for?
108,01/10/2025 09:26,Tinus,business-comms-6023,If it looks like a complete lock-out I'd say yes
109,01/10/2025 09:26,Tinus,business-comms-6023,We've got Cyvantics Security on retainer - just in case this gets out of hand. @player2 ask Maya to reach out if needed
110,01/10/2025 09:27,player2,business-comms-6023,Working with Maya for a solution
111,01/10/2025 09:27,Bez,business-comms-6023,@player2 I need a clear answer from the team. What exactly is affected right now?
112,01/10/2025 09:27,Tinus,business-comms-6023,You're right. We need clear facts - which systems are locked which are safe
113,01/10/2025 09:28,Bob,online-boutique-6023,@player2 user complaints are spiking. They're reporting the site is down earlier it wasn't the case. What should I tell them now?
114,01/10/2025 09:29,Bez,business-comms-6023,Do we have any backup storage? Maybe we can try restoring from that
115,01/10/2025 09:29,player2,business-comms-6023,we are following the Steps for Isolation
116,01/10/2025 09:31,Tinus,business-comms-6023,Do we know what systems are affected?
117,01/10/2025 09:32,player2,business-comms-6023,Steps for Isolation have been completed
118,01/10/2025 09:32,player2,business-comms-6023,are we good to cntinue with the restoration steps?
119,01/10/2025 09:33,Bez,business-comms-6023,Are there any downsides on doing so?
120,01/10/2025 09:33,player2,business-comms-6023,Tinus the systems aaffected are infected server and storage
121,01/10/2025 09:35,player2,business-comms-6023,Bez the potential loss is significant - around $180k
122,01/10/2025 09:35,Bez,business-comms-6023,Losing this much worth of data isn't good. However we do have insurance let me check
123,01/10/2025 09:35,Bez,business-comms-6023,We're insured for up to $1M for such losses. Once we're back up we'll take it forward with the insurer
124,01/10/2025 09:35,Tinus,business-comms-6023,In that case we can proceed with the restoration from backup - it's our best option right now
125,01/10/2025 09:35,Bez,business-comms-6023,Agreed. @player2 let's move forward
126,01/10/2025 09:35,Bez,business-comms-6023,Update me as soon as it'll be recovered. Board members are getting impatient
128,01/10/2025 09:41,player2,online-boutique-6023,the site is back in
129,01/10/2025 09:42,Bob,online-boutique-6023,They are continuously asking for refunds can we check with business?
130,01/10/2025 09:42,player2,online-boutique-6023,Missing today's checkout data. Anyone who ordered or returned something during that time won't see it - makes sense since we restored from the yesterday's backup
131,01/10/2025 09:42,player2,online-boutique-6023,Bob can we refund the customer for todays purchases?
132,01/10/2025 09:42,Bob,online-boutique-6023,only if the business agrees with it
133,01/10/2025 09:43,Bez,business-comms-6023,Keeping it high-level just say website restored but there's an issue with few orders. We'll refund them and customers will get a $10 gift voucher as an apology
134,01/10/2025 09:43,player2,online-boutique-6023,Bez can you confirm with we can refund todays purchases?
