index,datetime,player,channel,message
0,07/11/2025 16:10,Bez,online-boutique-6658,What a day! Our Grand Summer Sale kicked off this morning at 10 and the response has been insane. Can't believe we're already 5 hours in
1,07/11/2025 16:10,Bob,online-boutique-6658,Totally! Just checked the dashboard we've already crossed $160k+ in revenue :money_mouth_face: . The sale energy is next level!
2,07/11/2025 16:10,Tinus,online-boutique-6658,That's fantastic but hey this is just the beginning. Three days to go... I'm keeping my fingers crossed :crossed_fingers:
3,07/11/2025 16:10,Bez,online-boutique-6658,Seeing so many people shopping on a holiday it feels satisfying. Exactly the momentum we were hoping for
5,07/11/2025 16:12,player3,online-boutique-6658,Hello
6,07/11/2025 16:13,player3,online-boutique-6658,Clicked undefined button
7,07/11/2025 16:13,player3,online-boutique-6658,Clicked org button
8,07/11/2025 16:13,player3,online-boutique-6658,Clicked undefined button
9,07/11/2025 16:14,player3,online-boutique-6658,Clicked Start button
11,07/11/2025 16:14,Shay,online-boutique-6658,Not this time! I just got a few alerts mentioning severe errors popping up in PROD
12,07/11/2025 16:14,Bob,online-boutique-6658,Weird... a few users just complained they are unable to complete their orders. Feels... off..
13,07/11/2025 16:15,Bob,online-boutique-6658,It's not looking good
14,07/11/2025 16:15,player3,online-boutique-6658,Do you have the order details ? how many users are affected ?
15,07/11/2025 16:16,Bob,online-boutique-6658,Sure let me look into my reports
16,07/11/2025 16:16,Bob,online-boutique-6658,Here are some of the complaints we’ve received in the last few minutes.
17,07/11/2025 16:16,Bob,online-boutique-6658,Germany  - “I added items to my cart clicked checkout and it just kept spinning. Then it dumped me back to an empty cart.”\n\nUS - “Order failed twice and now the cart is empty. I refreshed but now the site is laggy.”\n\nJapan - “Got to checkout then error 504. Tried again — cart gone.“
18,07/11/2025 16:17,Bob,online-boutique-6658,Received around 120+ complaints so far
19,07/11/2025 16:19,Shay,online-boutique-6658,I've again received another alert in PROD
20,07/11/2025 16:19,Shay,online-boutique-6658,Not sure if this is going to correlate with what Bob is receiving as complaints
21,07/11/2025 16:21,player3,business-comms-6658,Please be advised we are receiving reports of issues with customers being able to check out. This appears to be a global issue and the team are swarming in the incident Slack channel. We will provide an update in 15 minutes when we are able to establish more information
22,07/11/2025 16:21,player3,online-boutique-6658,Tanya Shay Please join the bride for investigation Multiple user have reported issues adding items to their carts and checking out. Its Global.
23,07/11/2025 16:21,Tanya,online-boutique-6658,Sure
24,07/11/2025 16:22,Bez,business-comms-6658,Are we tracking this with an incident ?
25,07/11/2025 16:22,Shay,online-boutique-6658,Are you able to replicate this issue from your end? I'm unable to do so
26,07/11/2025 16:22,player3,online-boutique-6658,are you looking anything?
27,07/11/2025 16:22,player3,online-boutique-6658,yes
29,07/11/2025 16:23,Tanya,online-boutique-6658,Could you please open an incident for us? I can look more into platform logs
30,07/11/2025 16:23,Bob,online-boutique-6658,Here is the consolidated number of reports : \n<https://i.ibb.co/HDNv7t2C/CS-Reports.webp>
31,07/11/2025 16:23,Shay,online-boutique-6658,Looking into logs now
32,07/11/2025 16:23,Bez,business-comms-6658,Customers have gone outrageous. #OBFail and #OBStealsSale are trending with frustrated posts. We're getting hammered online! Where are we @player3?
33,07/11/2025 16:23,Shay,online-boutique-6658,Found these below error logs
34,07/11/2025 16:23,Shay,online-boutique-6658,```\napp[checkout-service] [ERROR] - write() failed Read-only filesystem\napp[checkout-service] Order submission failed for session_id=ae43f9 due to I/O error\napp[checkout-service] [ERROR] - Transaction commit failed Read-only file system\n[ERROR] nginx[3245] - 502 Bad Gateway while accessing upstream checkout service\n[ERROR] nginx
35,07/11/2025 16:23,Shay,online-boutique-6658,The server is too slow and give up while responding back. I'm not sure why read-only errors are there
36,07/11/2025 16:23,player3,online-boutique-6658,Tanya here you go - <#C09SC3REFPS|>
37,07/11/2025 16:24,Daniel,online-boutique-6658,Looking at the above logs app looks fine. But system can't write new data. Errors suggests to be an infra component failure
38,07/11/2025 16:24,Daniel,online-boutique-6658,Also checkout servers show CPU and memory limits exceeded alerts this definitely looks bigger than just an app issue
39,07/11/2025 16:24,Daniel,online-boutique-6658,```app[checkout-service]: systemd[1]
40,07/11/2025 16:24,Shay,online-boutique-6658,Could this be due to load or any changes ?
41,07/11/2025 16:24,Tanya,online-boutique-6658,We need an incident number to check into servers
42,07/11/2025 16:25,player3,business-comms-6658,This is being prioritised as a P1 incident with all tech personel reviewing logs and actively swarming to identify the issues
43,07/11/2025 16:25,Shay,online-boutique-6658,Here are the latest changes that were deployed: <https://uptime-labs.atlassian.net/wiki/external/YzYwYTAxNWQzOTI0NDYzOWI1MjkxNTI2YmVmMjUyZDE>
44,07/11/2025 16:26,Bez,business-comms-6658,@Daniel - This is really crucial for us - I have a press meet in 10 minutes Keep me more frequent updates
45,07/11/2025 16:26,player3,online-boutique-6658,are there any changes that have been made arround the time of this incident?
46,07/11/2025 16:26,player3,online-boutique-6658,Bob Please can you update the website and social media to infomr customers know we are experiencing issues.
47,07/11/2025 16:27,Shay,online-boutique-6658,There are 2 changes - AdService and RecommendationService into PROD
48,07/11/2025 16:27,Bob,online-boutique-6658,Noted - We will do it .\nWe don't have banner but will send email to them
49,07/11/2025 16:27,player3,online-boutique-6658,can we have your platform engineers on the call please
50,07/11/2025 16:27,Shay,online-boutique-6658,Do we exactly know around what time the issue started to come?
51,07/11/2025 16:27,Tanya,online-boutique-6658,Checking infra...
52,07/11/2025 16:28,Tanya,online-boutique-6658,All four checkout servers are maxed out - CPU memory and disk I/O all spiking. No changes or deployments were done from platform side
53,07/11/2025 16:28,Tanya,online-boutique-6658,ServerMetrics
54,07/11/2025 16:28,Tanya,online-boutique-6658,It doesn't looks like a load issue either. CPU and Memory spike is not matching with incoming traffic
55,07/11/2025 16:28,Tanya,online-boutique-6658,I'm seeing a running process called init_locker.sh eating up most of the CPU on the checkout server. That's not something we usually run. Something's suspicious here
56,07/11/2025 16:28,Tanya,online-boutique-6658,ProcessRunning
57,07/11/2025 16:29,player3,online-boutique-6658,Hamed S Please join this P1 incident.
58,07/11/2025 16:30,Hamed,online-boutique-6658,What's happening?
59,07/11/2025 16:31,player3,online-boutique-6658,Our CPU and Memory usage is higher that usual we see an even running we do not know the origin of can you take a look for us please
60,07/11/2025 16:31,player3,online-boutique-6658,We have reports that user globaly are getting issues trying to checkout. Tanya has identified spike in memory and CPU on checkout servers.
61,07/11/2025 16:32,Hamed,online-boutique-6658,This looks serious. We haven't deployed such a script. I think we should loop in SecOps into this
62,07/11/2025 16:32,Bez,business-comms-6658,Can you let me know the business impact and if we are loosing any money due to this ?
63,07/11/2025 16:33,Hamed,online-boutique-6658,Maya could help us more with this from SecOps
64,07/11/2025 16:33,player3,online-boutique-6658,Maya please join the P1 bridge for investigation.
65,07/11/2025 16:33,Bez,business-comms-6658,@DAniel @player3 Can anyone of you update me ?
66,07/11/2025 16:33,Maya,online-boutique-6658,Let me check if there's anything suspicious
67,07/11/2025 16:33,Bez,business-comms-6658,"Got an email claiming responsibility by ""BlackCrow Group"" and demanding payment of $5M in crypto. Honestly I get these hoax emails all the time so I'm not buying it"
68,07/11/2025 16:33,Maya,online-boutique-6658,Weird!! Security agent known as EDR(Endpoint Detection and Response) is missing from all 4 checkout servers. That's? concerning
69,07/11/2025 16:33,Maya,online-boutique-6658,```EDR is basically our endpoint defense tool it tracks unusual activity at the servers```
70,07/11/2025 16:33,Maya,online-boutique-6658,AlsoI found an init_locker.sh script encrypting DB app and log files which is renaming the filename like below
71,07/11/2025 16:33,Maya,online-boutique-6658,```\norder_log_2025-06-01.locked\nsession_state.tmp.locked```
72,07/11/2025 16:34,Daniel,online-boutique-6658,this explains why there were errors in checkout logs saying write failed  read-only filesystem
73,07/11/2025 16:34,Tanya,online-boutique-6658,Wait... there's a file here named HELP_ME_DECRYPT.txt. I opened it appears a ransom note. This doesn't look good
74,07/11/2025 16:34,Tanya,online-boutique-6658,help_me_decrypt
75,07/11/2025 16:34,Maya,online-boutique-6658,Confirmed. This is a ransomware breach. @player3 inform business about this
76,07/11/2025 16:34,Tanya,online-boutique-6658,Shall i try killing this script ?
77,07/11/2025 16:34,Shay,online-boutique-6658,We should KILL the script straightaway if it is killing our resources and impacting user activities.
78,07/11/2025 16:34,Bob,online-boutique-6658,Guys!!! User complaints are sky rocketing its turning catastrophic!
79,07/11/2025 16:34,Bez,business-comms-6658,Wait! you're telling me this is an actual ransomware hit?
80,07/11/2025 16:35,Bob,online-boutique-6658,Reports have gone up to impacting 27% of our daily users now
81,07/11/2025 16:35,Bez,business-comms-6658,Alright tell everyone no one says a single thing outside online-boutique! I don't care who's asking not a word until we know exactly what's going on!
82,07/11/2025 16:36,player3,online-boutique-6658,CAN Report:\n\nConditions: Fans globally are reporting issues being able to check out on the website. This is impacting cicra 27% of users.\n\nActions: We have identified some unusual processes running on the Checkout server. The Security team are taking actions to lock down our estate to prevent any further disruptions\n\nNeeds: None at this time.
83,07/11/2025 16:37,player3,online-boutique-6658,We are ontop if the issue a security issue has been identified our team is working on eliminating the threat.
84,07/11/2025 16:37,Tanya,online-boutique-6658,We can try killing it. Shall we give it a try ?
85,07/11/2025 16:37,player3,online-boutique-6658,yes please
86,07/11/2025 16:37,player3,business-comms-6658,Bez this looks real we are seeing ransomware on our servers. Maya from the security team is taking action to lock everything down.
87,07/11/2025 16:38,player3,business-comms-6658,Its impacting about 27% of traffice.
88,07/11/2025 16:38,player3,online-boutique-6658,Tanya what action being taken by you?
89,07/11/2025 16:38,Tanya,online-boutique-6658,Ok  killing the script now...
90,07/11/2025 16:38,Tanya,online-boutique-6658,"Tried killing the script all checkout servers just rebooted with a ransom banner. New ransom note say: ""Interruption detected. Price doubled. Pay $10M in Bitcoin"
