datetime,player,channel,message
2025-11-21 13:14:55,UptimeLabs,online-boutique-6865,"Welcome to The Unknown Unknown, are you prepared for the challenge?

 *Use `/help` at any time for a list of useful links and commands*
 *Use `/incident` to create an incident record*

Once you're ready just click start to begin Start button"
2025-11-21 13:16:30,PLAYER,online-boutique-6865,Clicked Start button
2025-11-21 13:16:31,UptimeLabs,online-boutique-6865,":alarm_clock: - You have 30 minutes to resolve the outage, good luck! You can type `/help` if you need any reminders."
2025-11-21 13:16:32,Bob,online-boutique-6865,"Hey team, getting a few reports now, looks like confusion from the customers on what they ordered?"
2025-11-21 13:16:39,Bob,online-boutique-6865,This is strange
2025-11-21 13:16:45,Bob,online-boutique-6865,Just seen a couple of reports of customers not receiving the right item on delivery
2025-11-21 13:16:50,Tinus,online-boutique-6865,Hmm? that sounds strange. @jamie.buchanan can you take point and start sizing this up?
2025-11-21 13:18:05,PLAYER,online-boutique-6865,Bob can you tell me what percentage of customers are being impacted? And which countries?
2025-11-21 13:18:12,UptimeLabs,online-boutique-6865,:star: Asking questions to validate impact of the problem
2025-11-21 13:18:16,PLAYER,online-boutique-6865,Tinus I'm on it
2025-11-21 13:18:27,PLAYER,online-boutique-6865,Clicked undefined button
2025-11-21 13:18:31,PLAYER,online-boutique-6865,Clicked org button
2025-11-21 13:18:34,PLAYER,online-boutique-6865,Clicked undefined button
2025-11-21 13:18:34,Bob,online-boutique-6865,Checking reports...
2025-11-21 13:18:58,Bob,online-boutique-6865,One report said the user wanted to buy 'Sunglasses' but he got 'Tank-top' in confirmation
2025-11-21 13:19:09,Bob,online-boutique-6865,Just double checked with shipping looks like the items that has been ordered are correct and we're sending the right item
2025-11-21 13:19:14,Bob,online-boutique-6865,We have currently got more than 17 complaints so far
2025-11-21 13:19:30,PLAYER,online-boutique-6865,Shay Can you try to recreate the problem please? We are looking for wrong items
2025-11-21 13:19:37,UptimeLabs,online-boutique-6865,:star: Reproduces the incident
2025-11-21 13:19:51,PLAYER,business-comms-6865,"Bez FYI, just investigating some incorrect item delivery"
2025-11-21 13:19:58,Shay,online-boutique-6865,Sure i can try now
2025-11-21 13:20:30,Bez,business-comms-6865,Do we have a ticket created for this?
2025-11-21 13:21:08,Shay,online-boutique-6865,I was able to place an order
2025-11-21 13:21:19,PLAYER,online-boutique-6865,"Working theory so far:
• Customers are seeing incorrect Item after they have chosen it
• But correct Item is being shipped
• Problem sounds narrowed to basket presentation?"
