datetime,player,channel,message
2025-11-24 15:04:19,UptimeLabs,online-boutique-6871,"Welcome to The Unknown Unknown, are you prepared for the challenge?

 *Use `/help` at any time for a list of useful links and commands*
 *Use `/incident` to create an incident record*

Once you're ready just click start to begin Start button"
2025-11-24 15:04:50,PLAYER,online-boutique-6871,Clicked undefined button
2025-11-24 15:04:55,PLAYER,online-boutique-6871,Clicked org button
2025-11-24 15:04:56,PLAYER,online-boutique-6871,Clicked undefined button
2025-11-24 15:05:10,PLAYER,online-boutique-6871,Clicked Start button
2025-11-24 15:05:11,UptimeLabs,online-boutique-6871,":alarm_clock: - You have 30 minutes to resolve the outage, good luck! You can type `/help` if you need any reminders."
2025-11-24 15:05:12,Bob,online-boutique-6871,"Hey team, getting a few reports now, looks like confusion from the customers on what they ordered?"
2025-11-24 15:05:19,Bob,online-boutique-6871,This is strange
2025-11-24 15:05:25,Bob,online-boutique-6871,Just seen a couple of reports of customers not receiving the right item on delivery
2025-11-24 15:05:30,Tinus,online-boutique-6871,Hmm? that sounds strange. @reza.imany can you take point and start sizing this up?
2025-11-24 15:06:08,PLAYER,online-boutique-6871,"its ok in main page , but in product page its wrong"
2025-11-24 15:06:18,UptimeLabs,online-boutique-6871,:star: Qualify the problem
2025-11-24 15:06:26,PLAYER,online-boutique-6871,details are for watch but picture is for top tank
2025-11-24 15:06:50,PLAYER,online-boutique-6871,SEV1-Misleading information in website products
2025-11-24 15:06:51,PLAYER,business-comms-6871,*Incident Number INC100049:* SEV1-Misleading information in website products
2025-11-24 15:06:51,UptimeLabs,online-boutique-6871,:star: Incident record created
2025-11-24 15:07:00,Bez,business-comms-6871,"Oh no, please let me know what % of sales is affected by this quickly "
2025-11-24 15:07:05,PLAYER,online-boutique-6871,"I've just raised an SEV1 incident, All eys on this please"
2025-11-24 15:07:06,PLAYER,online-boutique-6871,\
2025-11-24 15:07:12,UptimeLabs,online-boutique-6871,:star: Take command
2025-11-24 15:07:22,PLAYER,online-boutique-6871,Bob Is it impacting all users?
2025-11-24 15:07:26,UptimeLabs,online-boutique-6871,:star: Asking questions to validate impact of the problem
2025-11-24 15:07:38,Bob,online-boutique-6871,Checking reports...
2025-11-24 15:07:41,Bob,online-boutique-6871,"Yes, look slike its global"
2025-11-24 15:07:48,PLAYER,business-comms-6871,"I've just raiesd an incident as it looks global, give me 2 minutes and I'll give you updates about impact"
2025-11-24 15:07:51,UptimeLabs,online-boutique-6871,:star: Track actions and time box them
2025-11-24 15:07:58,PLAYER,business-comms-6871,Its global issue based on report
2025-11-24 15:08:02,Bob,online-boutique-6871,One report said the user wanted to buy 'Sunglasses' but he got 'Tank-top' in confirmation
2025-11-24 15:08:10,PLAYER,online-boutique-6871,Daniel Could you please start checking whats wrong
2025-11-24 15:08:13,Bob,online-boutique-6871,Just double checked with shipping looks like the items that has been ordered are correct and we're sending the right item
2025-11-24 15:08:18,Bob,online-boutique-6871,We have currently got more than 17 complaints so far
2025-11-24 15:08:19,Daniel,online-boutique-6871,I can take a look into our services now
2025-11-24 15:08:20,PLAYER,online-boutique-6871,Shay Can you give me a list of recent changes
2025-11-24 15:08:24,UptimeLabs,online-boutique-6871,:star: Check changes done to the platform
2025-11-24 15:08:29,Shay,online-boutique-6871,Here's the detailed info on each of the changes made today
2025-11-24 15:08:30,PLAYER,online-boutique-6871,Bob Do we know when this issue started?
2025-11-24 15:08:31,Shay,online-boutique-6871,Hope this helps:<https://uptime-labs.atlassian.net/wiki/spaces/ULPUBLIC/pages/1186431049/The+Unknown+Unknown+-+Change+Request+Logs>
2025-11-24 15:08:38,Daniel,online-boutique-6871,We don't have any alerts in the system
2025-11-24 15:08:44,Daniel,online-boutique-6871,"All apps looks healthy, no errors at all"
2025-11-24 15:08:50,Bob,online-boutique-6871,"I am not 100% Sure, but first report was 2 hours earlier"
2025-11-24 15:08:52,Shay,online-boutique-6871,Even i don't see any issue
2025-11-24 15:08:57,Bob,online-boutique-6871,Gathering more information....
2025-11-24 15:09:01,Daniel,online-boutique-6871,Must be network or platform issue.
2025-11-24 15:09:19,Bob,online-boutique-6871,Wait one customer noticed that the image is not matching up with the product name
2025-11-24 15:09:26,Bob,online-boutique-6871,This will actually have a major financial impact.
2025-11-24 15:09:26,Bez,business-comms-6871,Are the users able to place orders?
2025-11-24 15:09:31,Bob,online-boutique-6871,"We'll likely see high return rates from customers, that's going to mean a lot of financial loss from shipping and refund costs."
2025-11-24 15:09:37,Bob,online-boutique-6871,Seems to be that users don't know whether the product they're purchasing matches the image or the description. 
2025-11-24 15:09:41,Bez,business-comms-6871,"If yes, are we sure we are delivering right items ?"
2025-11-24 15:09:44,Bob,online-boutique-6871,We could be shipping the wrong items 
2025-11-24 15:09:49,PLAYER,online-boutique-6871,Tanya Is there anything changes on platform network or storage services ?
2025-11-24 15:09:50,Bob,online-boutique-6871,Please let Bez know right away
2025-11-24 15:09:57,Bez,business-comms-6871,"Can you explain customer impact, what's the user experience like?"
2025-11-24 15:09:59,PLAYER,business-comms-6871,"Seems to be that users don't know whether the product they're purchasing matches the image or the description.

[3:09 PM] We could be shipping the wrong items"
2025-11-24 15:10:27,Tanya,online-boutique-6871,Cart service shouldn't have any impact
2025-11-24 15:10:29,PLAYER,business-comms-6871,Should we put a blockers for orders until fix the issue Bez?
2025-11-24 15:10:41,Bez,business-comms-6871,"Oh, thats bad"
2025-11-24 15:10:44,PLAYER,online-boutique-6871,Its on frontend Tanya
2025-11-24 15:10:51,Bez,business-comms-6871,what are the options @Reza ?
2025-11-24 15:11:09,PLAYER,business-comms-6871,We are currently looking for finding a root cause
2025-11-24 15:11:14,Tanya,online-boutique-6871,Front end was from Shay
2025-11-24 15:11:35,Bez,business-comms-6871,If we ship wrogn items- that will be a huge financial impact
2025-11-24 15:11:44,Bez,business-comms-6871,How can we stop orders now ?
2025-11-24 15:11:59,PLAYER,online-boutique-6871,Daniel Shay is it safe to roll back front end change?
2025-11-24 15:12:06,UptimeLabs,online-boutique-6871,:star: Reviewed changes
2025-11-24 15:12:08,Shay,online-boutique-6871,Yes
2025-11-24 15:12:30,PLAYER,online-boutique-6871,Now I think even picture in front page is wrong
2025-11-24 15:12:36,PLAYER,online-boutique-6871,do that roll back please Shay
2025-11-24 15:12:38,Bob,online-boutique-6871,Hi @Reza- The orders are still going on
2025-11-24 15:12:40,UptimeLabs,online-boutique-6871,:star: Restoration over root cause analysis
2025-11-24 15:12:47,Bob,online-boutique-6871,we will have a huge impact - can we stop all orders please
2025-11-24 15:12:50,PLAYER,business-comms-6871,let me check with team and come back to you
2025-11-24 15:12:54,Daniel,online-boutique-6871,Sure i can rollback my change now
2025-11-24 15:12:59,Daniel,online-boutique-6871,Rolling back change....
2025-11-24 15:13:10,PLAYER,online-boutique-6871,Daniel Is there any way to stop users to send orders?
2025-11-24 15:13:16,PLAYER,online-boutique-6871,any kind of blocker option?
2025-11-24 15:13:22,Bez,online-boutique-6871,"Can we stop all orders, or bring front end down and put a ststus message we are down"
2025-11-24 15:13:29,Daniel,online-boutique-6871,Rollback complete. 
2025-11-24 15:13:30,PLAYER,online-boutique-6871,Can you help us here Hamed ?
2025-11-24 15:13:34,UptimeLabs,online-boutique-6871,:star: Escalating when required
2025-11-24 15:13:42,PLAYER,online-boutique-6871,Roll back didn't help
2025-11-24 15:13:46,Daniel,online-boutique-6871,Looks like that didnt work for i still see the issue 
2025-11-24 15:13:48,Bez,business-comms-6871,Can we put any status message we are under maintanance
2025-11-24 15:14:04,Tanya,online-boutique-6871,Checking now...
2025-11-24 15:14:23,Tanya,online-boutique-6871,no memory or cpu spikes all looks good from Infra nothing to highlight
2025-11-24 15:14:25,Bob,online-boutique-6871,"@Reza, what are we doing to stop orders ?"
2025-11-24 15:14:31,Tanya,online-boutique-6871,"Although I don't have any data, I strongly believe this issue originates from the application rather than the platform."
2025-11-24 15:14:39,Tanya,online-boutique-6871,"No spikes or response time deviations, app owners must check configuration."
2025-11-24 15:14:48,Tanya,online-boutique-6871,"This is not an infra problem. If users are seeing mismatched products, someone could be messing with our system otherwise its an application/service-level bug"
2025-11-24 15:14:49,Tanya,online-boutique-6871,I don't think it's the change
2025-11-24 15:14:54,Tanya,online-boutique-6871,But it's not a platform issue.
2025-11-24 15:14:55,Tanya,online-boutique-6871,but i can rollback
2025-11-24 15:15:09,PLAYER,online-boutique-6871,Hamed Daniel Lets focus on stop order flow first then work on remediation
2025-11-24 15:15:10,Hamed,online-boutique-6871,@reza - we should do damage control first
2025-11-24 15:15:24,Hamed,online-boutique-6871,Shall we stop all orders ? like bring teh front end down and put status message
2025-11-24 15:15:27,PLAYER,business-comms-6871,"I'll check with team ,"
2025-11-24 15:15:31,Hamed,online-boutique-6871,"else, we will have to do a lot of refunds"
2025-11-24 15:15:32,PLAYER,online-boutique-6871,Yes please
2025-11-24 15:15:41,Hamed,online-boutique-6871,"Dan, what are teh options"
