datetime,player,channel,message
2026-01-23 11:05:34,uptimelabs,online-boutique-7516,"Welcome to The Unknown Unknown, are you prepared for the challenge?

 *Use `/help` at any time for a list of useful links and commands* 
 *Use `/incident` to create an incident record*

Once you're ready just click start to begin"
2026-01-23 11:07:36,bob,online-boutique-7516,"Hey team, getting a few reports now, looks like confusion from the customers on what they ordering?"
2026-01-23 11:07:44,bob,online-boutique-7516,This is strange
2026-01-23 11:07:49,bob,online-boutique-7516,Just seen a couple of reports of customers not receiving the right item on delivery
2026-01-23 11:07:54,tinus,online-boutique-7516,Hmm? that sounds strange. @sangeetha.niranjan-thetrainline.com can you take point and start sizing this up?
2026-01-23 11:07:55,PLAYER,online-boutique-7516,"hi Bob, pls explain what is the confusion"
2026-01-23 11:08:04,bob,online-boutique-7516,Checking reports...
2026-01-23 11:08:28,bob,online-boutique-7516,One report said the user wanted to buy 'Sunglasses' but he got 'Tank-top' in confirmation
2026-01-23 11:08:39,bob,online-boutique-7516,Just double checked with shipping looks like the items that has been ordered are correct and we're sending the right item
2026-01-23 11:08:44,bob,online-boutique-7516,We have currently got more than 17 complaints so far
2026-01-23 11:09:28,PLAYER,online-boutique-7516,how can we validate this. When i place order im getting confirmation number
2026-01-23 11:09:31,uptimelabs,online-boutique-7516,:star: Attempt to replicate the issue
2026-01-23 11:09:31,bob,online-boutique-7516,Gathering more information....
2026-01-23 11:09:53,bob,online-boutique-7516,The customers are complaining that the image is not matching up with the product name
2026-01-23 11:09:59,PLAYER,online-boutique-7516,@daniel can we please check errors on our side from backend services
2026-01-23 11:10:03,bob,online-boutique-7516,Seems to be that users don't know whether the product they're purchasing matches the image or the description. 
2026-01-23 11:10:26,daniel,online-boutique-7516,But whats the issue ? I'm able to place orders
2026-01-23 11:10:34,PLAYER,online-boutique-7516,yes. I can see the image mismatch 
2026-01-23 11:10:37,uptimelabs,online-boutique-7516,:star: Reproduces the incident
2026-01-23 11:10:43,daniel,online-boutique-7516,Oh right
2026-01-23 11:10:54,bob,online-boutique-7516,"We'll likely see high return rates from customers, that's going to mean a lot of financial loss from shipping and refund costs."
2026-01-23 11:11:04,PLAYER,online-boutique-7516,
2026-01-23 11:11:04,uptimelabs,business-comms-7516,*Incident Number INC10000:* P1 - wrong images shown in website.
2026-01-23 11:11:04,uptimelabs,online-boutique-7516,:star: Incident record created
2026-01-23 11:11:13,bez,business-comms-7516,How big is this problem?
2026-01-23 11:11:14,bob,online-boutique-7516,I'm receiving more cancellation/refund requests than new orders. @sangeetha.niranjan-thetrainline.com What shall we do now? 
2026-01-23 11:11:23,PLAYER,business-comms-7516,"hi , We are displaying wrong images in website"
2026-01-23 11:11:26,uptimelabs,online-boutique-7516,:star: Qualify the problem
2026-01-23 11:11:32,PLAYER,business-comms-7516,which is causing confusion for customers
2026-01-23 11:11:44,bez,business-comms-7516,I'm concerned we might be doing more harm than good by letting the new orders continue... 
2026-01-23 11:11:54,PLAYER,business-comms-7516,i have declared a P1 so that everyone can jump on this
2026-01-23 11:11:58,uptimelabs,online-boutique-7516,:star: Formally assign criticality level to the incident
2026-01-23 11:12:14,bob,online-boutique-7516,"Orders are still coming in high volume, and we now have 130+ customers asking to cancel their orders"
2026-01-23 11:12:28,PLAYER,online-boutique-7516,@hamed what is the flow? where are the images loaded from ? 
2026-01-23 11:12:43,hamed,online-boutique-7516,Checking
2026-01-23 11:12:57,PLAYER,online-boutique-7516,Also do we need to put the website in maintenance till we recover
2026-01-23 11:13:12,PLAYER,online-boutique-7516,this is going to create a lot of confusion to customers
2026-01-23 11:13:25,hamed,online-boutique-7516,Images are loaded to frontend via cartService
2026-01-23 11:13:31,daniel,online-boutique-7516,"Whenever needed, we can switch the site to maintenance mode via a feature-flag update in the config repo. It cleanly pauses new orders once business gives the go-ahead"
2026-01-23 11:13:34,PLAYER,online-boutique-7516,@bob we can process refunds. Meanwhile i am check if we need to suspend the website
2026-01-23 11:13:36,daniel,online-boutique-7516,Getting up maintenance banner on the website...
2026-01-23 11:14:01,daniel,online-boutique-7516,Ok the website now displays a maintenance banner
2026-01-23 11:14:05,PLAYER,business-comms-7516,@bez can we switch on maintenance on website till we recover from this issue
2026-01-23 11:14:08,daniel,online-boutique-7516,@sangeetha.niranjan-thetrainline.com How does it look now?
2026-01-23 11:14:21,bez,business-comms-7516,@sangeetha.niranjan-thetrainline.com Yes put the site on maintenance mode
2026-01-23 11:14:28,PLAYER,business-comms-7516,thanks
2026-01-23 11:14:33,bez,business-comms-7516,@sangeetha.niranjan-thetrainline.com Now that we are under maintenance. Let's prioritize resolution
2026-01-23 11:14:44,PLAYER,online-boutique-7516,ok good
2026-01-23 11:15:29,PLAYER,online-boutique-7516,@hamed @daniel was there any recent deployment. why is there a mismatch
2026-01-23 11:15:32,uptimelabs,online-boutique-7516,:star: Check changes done to the platform
2026-01-23 11:15:33,shay,online-boutique-7516,Here's the detailed info on each of the changes made today
2026-01-23 11:15:35,shay,online-boutique-7516,Hope this helps:https://uptime-labs.atlassian.net/wiki/external/MDI1YjRiNzUxMGEwNGVmMjkwNmU2Y2ZkNzRjZjBjMWE
2026-01-23 11:15:40,daniel,online-boutique-7516,I can take a look into our services now
2026-01-23 11:15:41,PLAYER,online-boutique-7516,@bob do we know when this issue started
2026-01-23 11:15:59,daniel,online-boutique-7516,We don't have any alerts in the system
