datetime,player,channel,message
2026-01-21 12:03:54,UptimeLabs,online-boutique-7483,"Welcome to The Unknown Unknown, are you prepared for the challenge?

 *Use `/help` at any time for a list of useful links and commands* 
 *Use `/incident` to create an incident record*

Once you're ready just click start to begin Start button"
2026-01-21 12:07:09,PLAYER,online-boutique-7483,Clicked org button
2026-01-21 12:07:56,PLAYER,online-boutique-7483,Clicked Start button
2026-01-21 12:07:57,Bob,online-boutique-7483,"Hey team, getting a few reports now, looks like confusion from the customers on what they ordering?"
2026-01-21 12:08:04,Bob,online-boutique-7483,This is strange
2026-01-21 12:08:10,Bob,online-boutique-7483,Just seen a couple of reports of customers not receiving the right item on delivery
2026-01-21 12:08:15,Tinus,online-boutique-7483,Hmm? that sounds strange. @sankalp.bartariya can you take point and start sizing this up?
2026-01-21 12:08:23,PLAYER,online-boutique-7483,"Bob Can you please provide more information on this?
Also, is this impacting everywhere or specific regions?"
2026-01-21 12:08:28,UptimeLabs,online-boutique-7483,:star: Asking questions to validate impact of the problem
2026-01-21 12:08:29,PLAYER,online-boutique-7483,yes
2026-01-21 12:08:29,Bob,online-boutique-7483,Checking reports...
2026-01-21 12:08:53,Bob,online-boutique-7483,One report said the user wanted to buy 'Sunglasses' but he got 'Tank-top' in confirmation
2026-01-21 12:08:58,PLAYER,online-boutique-7483,looks like we have messed with the titles or product names
2026-01-21 12:09:04,Bob,online-boutique-7483,Just double checked with shipping looks like the items that has been ordered are correct and we're sending the right item
2026-01-21 12:09:09,Bob,online-boutique-7483,We have currently got more than 17 complaints so far
2026-01-21 12:09:13,PLAYER,online-boutique-7483,Can we please put sites under MM and put a custome message?
2026-01-21 12:09:14,Bob,online-boutique-7483,The issue seems to be global
2026-01-21 12:09:33,PLAYER,online-boutique-7483,this need to be looked at priority as our customers might be geting incorrect orders
2026-01-21 12:09:46,Shay,online-boutique-7483,do we have an incident for that
2026-01-21 12:09:48,PLAYER,online-boutique-7483,Tanya Shay who can do this activity?
2026-01-21 12:10:10,Shay,online-boutique-7483,i beleve propper porticol is to have an incident made with that
2026-01-21 12:10:13,Bob,online-boutique-7483,Gathering more information....
2026-01-21 12:10:13,PLAYER,online-boutique-7483,i' am raising an incident as sev 1 because we will be loosing money once sites are under MM
2026-01-21 12:10:18,UptimeLabs,online-boutique-7483,:star: Qualify the problem
2026-01-21 12:10:33,PLAYER,online-boutique-7483,sev1 incorrect product names
2026-01-21 12:10:33,PLAYER,business-comms-7483,*Incident Number INC100023:* sev1 incorrect product names
2026-01-21 12:10:33,UptimeLabs,online-boutique-7483,:star: Incident record created
2026-01-21 12:10:35,Bob,online-boutique-7483,The customers are complaining that the image is not matching up with the product name
2026-01-21 12:10:43,Bez,business-comms-7483,How big is this problem?
2026-01-21 12:10:45,Bob,online-boutique-7483,Seems to be that users don't know whether the product they're purchasing matches the image or the description. 
2026-01-21 12:10:45,Tanya,online-boutique-7483,daniel can put up the maintenance banner
2026-01-21 12:11:14,Daniel,online-boutique-7483,We could try to halt all incoming orders but not sure on the scale of impact
2026-01-21 12:11:18,PLAYER,business-comms-7483,"We have just declared an incident after reports sugggested that we are showing incorrect product names.
We will have to put sites under MM which means the transactions wil drop completely"
2026-01-21 12:11:19,Bob,online-boutique-7483,@sankalp.bartariya Could you please discuss this with Bez?
2026-01-21 12:11:27,UptimeLabs,online-boutique-7483,:star: Formally assign criticality level to the incident
2026-01-21 12:11:33,Bez,business-comms-7483,yes thats a good idea
2026-01-21 12:11:36,Bob,online-boutique-7483,"We'll likely see high return rates from customers, that's going to mean a lot of financial loss from shipping and refund costs."
2026-01-21 12:11:36,Daniel,online-boutique-7483,"Whenever needed, we can switch the site to maintenance mode via a feature-flag update in the config repo. It cleanly pauses new orders once business gives the go-ahead"
2026-01-21 12:11:41,Daniel,online-boutique-7483,Getting up maintenance banner on the website...
2026-01-21 12:11:56,Bob,online-boutique-7483,I'm receiving more cancellation/refund requests than new orders. @sankalp.bartariya What shall we do now? 
2026-01-21 12:11:59,Bez,business-comms-7483,"If we're taking the wrong orders, then let's pause all incoming orders right away. We can't afford huge returns or refunds"
2026-01-21 12:12:04,PLAYER,online-boutique-7483,"yes, I am discussing but we will have to putt sites Under MM first.
Daniel Can you please prepare for it?
Shay meanwhile can you and Tanya start investigating the root cause?"
2026-01-21 12:12:06,Daniel,online-boutique-7483,Ok the website now displays a maintenance banner
2026-01-21 12:12:10,UptimeLabs,online-boutique-7483,:star: Take command
2026-01-21 12:12:10,UptimeLabs,online-boutique-7483,:star: Form an effective investigation team
2026-01-21 12:12:13,Daniel,online-boutique-7483,@sankalp.bartariya How does it look now?
2026-01-21 12:12:24,Daniel,online-boutique-7483,I can take a look into our services now
2026-01-21 12:12:25,PLAYER,business-comms-7483,"yes.
Also, we will need to look at the orders which are already went through"
2026-01-21 12:12:26,Bez,business-comms-7483,I'm concerned we might be doing more harm than good by letting the new orders continue... 
2026-01-21 12:12:38,Bez,business-comms-7483,@sankalp.bartariya Now that we are under maintenance. Let's prioritize resolution
2026-01-21 12:12:39,Bez,business-comms-7483,What's the impact? 
2026-01-21 12:12:39,Tanya,online-boutique-7483,Checking now...
2026-01-21 12:12:42,PLAYER,online-boutique-7483,"Daniel please go ahead and put sites under MM
Bex has agreed"
2026-01-21 12:12:43,Daniel,online-boutique-7483,We don't have any alerts in the system
2026-01-21 12:12:49,Daniel,online-boutique-7483,"All apps looks healthy, no errors at all"
2026-01-21 12:12:54,Bez,business-comms-7483,Its good that you thought about maintenance mode
2026-01-21 12:12:56,Bob,online-boutique-7483,"Orders are still coming in high volume, and we now have 130+ customers asking to cancel their orders"
2026-01-21 12:12:57,Shay,online-boutique-7483,Even i don't see any issue
2026-01-21 12:12:58,Tanya,online-boutique-7483,no memory or cpu spikes all looks good from Infra nothing to highlight
2026-01-21 12:13:00,Tanya,online-boutique-7483,Application_Check
2026-01-21 12:13:06,Daniel,online-boutique-7483,Must be network or platform issue.
2026-01-21 12:13:06,Tanya,online-boutique-7483,"Although I don't have any data, I strongly believe this issue originates from the application rather than the platform."
2026-01-21 12:13:14,Tanya,online-boutique-7483,"No spikes or response time deviations, app owners must check configuration."
2026-01-21 12:13:16,PLAYER,online-boutique-7483,"I am seeing the sites under MM message
A nicer message is needed but will do for now"
2026-01-21 12:13:22,UptimeLabs,online-boutique-7483,:star: Reproduces the incident
