datetime,player,channel,message
2026-01-13 12:09:02,UptimeLabs,online-boutique-7389,"Welcome to The Unknown Unknown, are you prepared for the challenge?

 *Use `/help` at any time for a list of useful links and commands*
 *Use `/incident` to create an incident record*

Once you're ready just click start to begin Start button"
2026-01-13 12:10:44,PLAYER,online-boutique-7389,Clicked org button
2026-01-13 12:12:25,PLAYER,online-boutique-7389,Clicked Start button
2026-01-13 12:12:27,Bob,online-boutique-7389,"Hey team, getting a few reports now, looks like confusion from the customers on what they ordering?"
2026-01-13 12:12:34,Bob,online-boutique-7389,This is strange
2026-01-13 12:12:40,Bob,online-boutique-7389,Just seen a couple of reports of customers not receiving the right item on delivery
2026-01-13 12:12:43,PLAYER,online-boutique-7389,:wave:
2026-01-13 12:12:46,Tinus,online-boutique-7389,Hmm? that sounds strange. @shivanand.hebballi can you take point and start sizing this up?
2026-01-13 12:12:57,PLAYER,online-boutique-7389,Tinus let me take a look
2026-01-13 12:14:05,PLAYER,online-boutique-7389,"Bob could you please share the full details, like if they are see any errors
is it for all the regions impacted?"
2026-01-13 12:14:07,UptimeLabs,online-boutique-7389,:star: Asking questions to validate impact of the problem
2026-01-13 12:14:29,Bob,online-boutique-7389,Checking reports...
2026-01-13 12:14:53,Bob,online-boutique-7389,One report said the user wanted to buy 'Sunglasses' but he got 'Tank-top' in confirmation
2026-01-13 12:14:56,PLAYER,online-boutique-7389,"I am able to place the orders
and also not seeing any issues in dashboardss so far"
2026-01-13 12:15:04,Bob,online-boutique-7389,Just double checked with shipping looks like the items that has been ordered are correct and we're sending the right item
2026-01-13 12:15:05,UptimeLabs,online-boutique-7389,:star: Attempt to replicate the issue
2026-01-13 12:15:09,Bob,online-boutique-7389,We have currently got more than 17 complaints so far
2026-01-13 12:16:09,Shay,online-boutique-7389,"Yeah exactly, seeing this issue as well"
2026-01-13 12:16:28,PLAYER,online-boutique-7389,let me raise a Sev2 incident
2026-01-13 12:16:53,PLAYER,online-boutique-7389,on the App catalog showing the incorrect details
2026-01-13 12:16:53,PLAYER,business-comms-7389,*Incident Number INC100069:* on the App catalog showing the incorrect details
2026-01-13 12:16:53,UptimeLabs,online-boutique-7389,:star: Incident record created
2026-01-13 12:17:02,Bez,business-comms-7389,How big is this problem?
2026-01-13 12:18:34,PLAYER,online-boutique-7389,Shay could you pelase take a look on the catalog related service to see if any changes got deployed?
2026-01-13 12:18:39,UptimeLabs,online-boutique-7389,:star: Reviewed changes
2026-01-13 12:18:47,Shay,online-boutique-7389,Here's the detailed info on each of the changes made today
2026-01-13 12:18:49,Shay,online-boutique-7389,Hope this helps:<https://uptime-labs.atlassian.net/wiki/external/MDI1YjRiNzUxMGEwNGVmMjkwNmU2Y2ZkNzRjZjBjMWE>
2026-01-13 12:18:50,PLAYER,online-boutique-7389,Bob do you have ant timeline when this extactly started?
2026-01-13 12:18:58,UptimeLabs,online-boutique-7389,:star: Facts over opinion
2026-01-13 12:19:30,Bob,online-boutique-7389,Checking
2026-01-13 12:19:50,Bez,business-comms-7389,What exactly is the revenue impact?
2026-01-13 12:20:08,PLAYER,online-boutique-7389,"Shay Tanya
Can you please take a look these below two changes? and provide an update in 5mins, pelase

Change ID: CHG89415



*Owner:* Shay
*Service:* FrontEndService
*Environment:* PROD
*Version Deployed:* 10.1.3
*Time Of Change:* 2 hours ago
*Description:* Fix for issue where the “Add to Cart” button was unresponsive on mobile

Change ID: CHG89418


*Owner:* Tanya
*Service:* Cart-service
*Environment:* PROD
*Version Deployed:* 3.9.2
*Time Of Change:* 1 hour ago
*Description:* Minor version bump for CartService; updated internal packages with no functional changes."
2026-01-13 12:20:35,Bob,online-boutique-7389,Gathering more information....
2026-01-13 12:20:57,Bob,online-boutique-7389,The customers are complaining that the image is not matching up with the product name
2026-01-13 12:21:00,PLAYER,business-comms-7389,this is going to be major impact since items are not in correct naming. let me check with CS team on reveneue impact
2026-01-13 12:21:03,Bob,online-boutique-7389,Issue started 15 mins back
2026-01-13 12:21:07,Bob,online-boutique-7389,Seems to be that users don't know whether the product they're purchasing matches the image or the description. 
2026-01-13 12:21:08,Bob,online-boutique-7389,Its a global issue
2026-01-13 12:21:58,Bob,online-boutique-7389,"We'll likely see high return rates from customers, that's going to mean a lot of financial loss from shipping and refund costs."
2026-01-13 12:22:07,PLAYER,online-boutique-7389,"thanks looks like its not good UX experiences.
Bob along with further details, can you pease confrirm whats the revenue impact"
2026-01-13 12:22:10,Daniel,online-boutique-7389,Sure me and @Shay can take a look now.
2026-01-13 12:22:18,Bob,online-boutique-7389,I'm receiving more cancellation/refund requests than new orders. @shivanand.hebballi What shall we do now? 
2026-01-13 12:22:21,PLAYER,online-boutique-7389,do you see slowdown in order placing?
2026-01-13 12:22:39,Daniel,online-boutique-7389,CHG89415: Checked the mobile Add to Cart button is working perfectly for me
2026-01-13 12:22:44,PLAYER,business-comms-7389,we are getting more requests for refund and cancle the orders
2026-01-13 12:22:45,Shay,online-boutique-7389,"For CHG89418 the CartService 3.9.3 deployed successfully, no functional issues detected."
