datetime,player,channel,message
2026-01-14 13:10:55,UptimeLabs,online-boutique-7406,"Welcome to The Unknown Unknown, are you prepared for the challenge?

 *Use `/help` at any time for a list of useful links and commands*
 *Use `/incident` to create an incident record*

Once you're ready just click start to begin Start button"
2026-01-14 13:11:34,PLAYER,online-boutique-7406,Clicked Start button
2026-01-14 13:11:36,Bob,online-boutique-7406,"Hey team, getting a few reports now, looks like confusion from the customers on what they ordering?"
2026-01-14 13:11:43,Bob,online-boutique-7406,This is strange
2026-01-14 13:11:49,Bob,online-boutique-7406,Just seen a couple of reports of customers not receiving the right item on delivery
2026-01-14 13:11:54,Tinus,online-boutique-7406,Hmm? that sounds strange. @soumya.jk can you take point and start sizing this up?
2026-01-14 13:11:55,PLAYER,online-boutique-7406,"HI Bob, Could you please share more details on the incident"
2026-01-14 13:12:12,PLAYER,online-boutique-7406,Is it coming from customers everywhere?
2026-01-14 13:12:17,Bob,online-boutique-7406,Checking reports...
2026-01-14 13:12:22,UptimeLabs,online-boutique-7406,:star: Asking questions to validate impact of the problem
2026-01-14 13:12:25,PLAYER,online-boutique-7406,can you give an example of specific order or order id?
2026-01-14 13:12:41,Bob,online-boutique-7406,One report said the user wanted to buy 'Sunglasses' but he got 'Tank-top' in confirmation
2026-01-14 13:12:52,Bob,online-boutique-7406,Just double checked with shipping looks like the items that has been ordered are correct and we're sending the right item
2026-01-14 13:12:57,Bob,online-boutique-7406,We have currently got more than 17 complaints so far
2026-01-14 13:13:02,Bob,online-boutique-7406,You are right
2026-01-14 13:13:05,Bob,online-boutique-7406,Gathering more information....
2026-01-14 13:13:19,PLAYER,online-boutique-7406,Website showing incorrect product details
2026-01-14 13:13:19,PLAYER,business-comms-7406,*Incident Number INC100018:* Website showing incorrect product details
2026-01-14 13:13:19,UptimeLabs,online-boutique-7406,:star: Incident record created
2026-01-14 13:13:27,Bob,online-boutique-7406,The customers are complaining that the image is not matching up with the product name
2026-01-14 13:13:29,Bez,business-comms-7406,How big is this problem?
2026-01-14 13:13:35,Bez,business-comms-7406,Whats teh user impact ?
2026-01-14 13:13:37,Bob,online-boutique-7406,Seems to be that users don't know whether the product they're purchasing matches the image or the description. 
2026-01-14 13:13:52,Bez,business-comms-7406,can they place order and right orders are getting delivered?
2026-01-14 13:14:28,Bob,online-boutique-7406,"We'll likely see high return rates from customers, that's going to mean a lot of financial loss from shipping and refund costs."
2026-01-14 13:14:39,PLAYER,online-boutique-7406,Daniel could you please help us investigate ? SKU #66VCHSJNUP what exactly is this product?  its showing as tank top with a sunglass image
2026-01-14 13:14:48,Bob,online-boutique-7406,I'm receiving more cancellation/refund requests than new orders. @soumya.jk What shall we do now? 
2026-01-14 13:14:53,Bob,online-boutique-7406,This is actually going bad- we have to do somethign to stop this
2026-01-14 13:15:03,Bob,online-boutique-7406,Customers dont know what they are ordering
2026-01-14 13:15:08,Daniel,online-boutique-7406,I ll check that
2026-01-14 13:15:13,PLAYER,business-comms-7406,They are seeing incorrect information on the website.
2026-01-14 13:15:18,Bez,business-comms-7406,I'm concerned we might be doing more harm than good by letting the new orders continue... 
2026-01-14 13:15:21,PLAYER,business-comms-7406,I think its best to put the site on maintencance
2026-01-14 13:15:25,Bez,business-comms-7406,What are the orders ? Image or Label ?
2026-01-14 13:15:42,Bez,online-boutique-7406,Yes go ahead
2026-01-14 13:15:46,Daniel,online-boutique-7406,We could try to halt all incoming orders but not sure on the scale of impact
2026-01-14 13:15:48,Bob,online-boutique-7406,"Orders are still coming in high volume, and we now have 130+ customers asking to cancel their orders"
2026-01-14 13:15:50,PLAYER,business-comms-7406,"Its very unclear at the moment. But, while we investigate its best to take down the website as we are misleading the customers."
2026-01-14 13:15:51,Bob,online-boutique-7406,@soumya.jk Could you please discuss this with Bez?
2026-01-14 13:15:58,PLAYER,business-comms-7406,If you approve i will ask the team to put the site on maintenance.
2026-01-14 13:16:01,Bez,business-comms-7406,Go Ahead
2026-01-14 13:16:22,Daniel,online-boutique-7406,"Whenever needed, we can switch the site to maintenance mode via a feature-flag update in the config repo. It cleanly pauses new orders once business gives the go-ahead"
2026-01-14 13:16:27,Daniel,online-boutique-7406,Getting up maintenance banner on the website...
2026-01-14 13:16:31,Bez,business-comms-7406,"If we're taking the wrong orders, then let's pause all incoming orders right away. We can't afford huge returns or refunds"
2026-01-14 13:16:35,PLAYER,online-boutique-7406,Can we please put the site to maintenance immediately. I have approval from Bez
2026-01-14 13:16:43,Daniel,online-boutique-7406,I am on it
2026-01-14 13:16:50,UptimeLabs,online-boutique-7406,:star: Restoration over root cause analysis
2026-01-14 13:16:52,Daniel,online-boutique-7406,Ok the website now displays a maintenance banner
2026-01-14 13:16:59,Daniel,online-boutique-7406,@soumya.jk How does it look now?
2026-01-14 13:17:09,Daniel,online-boutique-7406,I can take a look into our services now
2026-01-14 13:17:10,PLAYER,online-boutique-7406,Hamed can we do a sweep of the platform in the meanwhile?
